ƶ|ж|Ж|ž|Ƶ	<i>character</i><br><ol><li>The forty-fifth letter of the Abkhaz alphabet, in the Latin script</li></ol>
Џь|Ǯ̍	<i>character</i><br><ol><li>The sixty-second letter of the Abkhaz alphabet</li></ol>
Џьамтәыла	<i>name</i><br><ol><li>Iran (a country in Asia)</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Abkhaz alphabet, written in the Cyrillic script.</li></ol>
Азербаиџьан|Azerbaiǯ̍an	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Алмантәыла	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Алџьаир|Alǯ̍air	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Англызтәыла	<i>name</i><br><ol><li>England (a country in Europe)</li></ol>
Арнауҭтәыла	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Ауартәыла	<i>name</i><br><ol><li>Avaria (a region of the northern Caucasus of Russia)</li></ol>
Ауриатәыла	<i>name</i><br><ol><li>Israel (a country in Asia)</li></ol>
Аусҭриа	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Афӷантәыла	<i>name</i><br><ol><li>Afganistan (a country in Asia)</li></ol>
Ахҷыԥсоу|Abzhywa|Axč̣̍əpsou	<i>name</i><br><ol><li>Akhchipsou (a historical region in Abkhazia)</li></ol>
Аҟәа	<i>name</i><br><ol><li>Sukhumi</li></ol>
Аԥсны|Aṗsny	<i>name</i><br><ol><li>Abkhazia</li></ol>
Аԥснытәи|Аҧснытәи́	<i>adj</i><br><ol><li>Abkhazian, belonging to Abkhazia.</li></ol>
Аԥсуа|аԥсуаа|a-ps-ua|а-ԥс-ыуа|а-ԥс-уа	<i>noun</i><br><ol><li>The Abkhaz</li></ol>
Аԥсуара|Abzhywa|Apsuara	<i>noun</i><br><ol><li>Code of conduct followed by the Abkhaz-Abaza people.</li></ol>
Аԥсынҟьаҟьаду|Apsənq̇̍aq̇̍adu	<i>name</i><br><ol><li>Great Abkhazia</li></ol>
Аԥсҳа|Apsḥa	<i>name</i><br><ol><li>King of Abkhazia</li></ol>
Аԥсҳара|Apsḥara	<i>name</i><br><ol><li>Kingdom of Abkhazia</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The second letter of the Abkhaz alphabet, written in the Cyrillic script.</li></ol>
Бырзентәыла	<i>name</i><br><ol><li>Greece (a country in Europe)</li></ol>
В|V|в|v	<i>character</i><br><ol><li>The third letter of the Abkhaz alphabet, written in the Cyrillic script.</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fourth letter of the Abkhaz alphabet, written in the Cyrillic script.</li></ol>
Гь|g̍|гь|G̍	<i>character</i><br><ol><li>The fifth letter of the Abkhaz alphabet</li></ol>
Гә|гә	<i>character</i><br><ol><li>The sixth letter of the Abkhaz alphabet</li></ol>
Гәдоуҭа	<i>name</i><br><ol><li>Gudauta</li></ol>
Дә|дә	<i>character</i><br><ol><li>The eleventh letter of the Abkhaz alphabet</li></ol>
Егры|Egrə	<i>name</i><br><ol><li>Inguri river</li></ol>
Еирытәыла	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Ермантәыла	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Еҵәаџьаа	<i>name</i><br><ol><li>Ursa Minor</li></ol>
Жь|жь|Ž̍|ž̍	<i>character</i><br><ol><li>The fourteenth letter of the Abkhaz alphabet</li></ol>
Жә|жә|Ž°|ž°	<i>character</i><br><ol><li>The fifteenth letter of the Abkhaz alphabet</li></ol>
Жәгараа	<i>name</i><br><ol><li>Ursa Major</li></ol>
Зыхәны	<i>name</i><br><ol><li>Circassia (a former country in Europe)</li></ol>
Ирландиа|Irlandia	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Куба|Ḳuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Кь|ḳ̍|кь|Ḳ̍	<i>character</i><br><ol><li>The twenty-first letter of the Abkhaz alphabet</li></ol>
Кә|кә|Ḳ°|ḳ°	<i>character</i><br><ol><li>The twenty-second letter of the Abkhaz alphabet</li></ol>
Кәыдры	<i>name</i><br><ol><li>Kodori</li></ol>
Кәырыкьаа рыхәшә|Abzhywa	<i>noun</i><br><ol><li>wood cudweed</li></ol>
Лахьтәыла	<i>name</i><br><ol><li>Poland (a country in Europe)</li></ol>
Маџьартәыла	<i>name</i><br><ol><li>Hungary (a country in Europe)</li></ol>
Москва|Moskva	<i>name</i><br><ol><li>Moscow (a federal city, the capital of Russia)</li><li>Moscow (an oblast of Russia, surrounding the city of Moscow)</li></ol>
Мсыр|Msər	<i>name</i><br><ol><li>Egypt (a country in Africa)</li></ol>
Наҩеи	<i>name</i><br><ol><li>Nogai (a region of Asia)</li></ol>
Пакистан|Ṗaḳisṭan	<i>name</i><br><ol><li>Pakistan (a country in South Asia)</li></ol>
Полша	<i>name</i><br><ol><li>Poland (a country in Central Europe)</li></ol>
Самырзаҟан|Samərzaq̇an	<i>name</i><br><ol><li>Samurzakan (a historical region in Abkhazia)</li></ol>
Саӡны|Abzhywa|Saʒnə	<i>name</i><br><ol><li>Sadzen (a historical region in Abkhazia)</li></ol>
Суоми|Suomi	<i>name</i><br><ol><li>Finland (a country in Northern Europe)</li></ol>
