А|а|Ā|ā	<i>character</i><br><ol><li>The first letter of the Adyghe alphabet, written in the Cyrillic script.</li></ol>
Адыгэ|Ādəɣă	<i>name</i><br><ol><li>Adygea (a republic of south-west Russia)</li></ol>
Адэм|Адэмэхэкӏэ|Адэмэхэ|Адэмэхэмэ|Адэмэмăč̣̍ă)|Адэмэр|Адэмэхэр|Адэмэхэмăč̣̍ă)|Адэмыу|Адэмэм|Адэмэхыу|Адэмэмămč̣̍ă)|Адэмэкӏэ|Адэмэхэмămč̣̍ă)|Адэмэ|Ādăm	<i>name</i><br><ol><li>Adam (name)</li></ol>
Алахь|Алахьэмăč̣̍ă)|Алахьэхэр|Алахьэмămč̣̍ă)|Алахьэ|Алахьыу|Ālāḥ|Алахьэхэ|Алахьэхэмăč̣̍ă)|Алахьэхыу|Алахьэхэкӏэ|Алахьэхэмămč̣̍ă)|Алахьэм|Алахьэкӏэ|Алахьэр|Алахьэхэмэ	<i>name</i><br><ol><li>Allah</li></ol>
Амыщ|Амыщхэр|Амыщхыу|Амыщхэмămč̣̍ă)|Амыщм|Āməš̍|Амыщкӏэ č̣̍ă)|Амыщмкӏэ č̣̍ă)|Амыщхэмэ|Амыщу|Амыщхэмăč̣̍ă)|Амыщр|Амыщхэкӏэ	<i>name</i><br><ol><li>Amesh : Initially god of fauna, then god of sheep.</li></ol>
Аушыджэр|Аушыджэрхэмămč̣̍ă)|Аушыджэру|Аушыджэрмrmč̣̍ă)|Аушыджэрхэкӏэ|Āwšəǯ̍ăr|Аушыджэрмrč̣̍ă)|Аушыджэрхэмăč̣̍ă)|Аушыджэркӏэ|Аушыджэрр|Аушыджэрм|Аушыджэрхыу|Аушыджэрхэр|Аушыджэрхэмэ	<i>name</i><br><ol><li>Awishijer, Awischjerjiy, Dawischjerjiy : God of courage and bravery.</li></ol>
Афы|Афыу|Афым|Афыхэмămč̣̍ă)|Афыхэр|Афыр|Афыкӏэ|Афыхэкӏэ|Афымəmč̣̍ă)|Афыхыу|Афымəč̣̍ă)|Афыхэмăč̣̍ă)|Āfə|Афыхэмэ	<i>name</i><br><ol><li>Afe: the pagan Circassian god of thunder</li></ol>
Ахын|Ахынэхэмămč̣̍ă)|Ахынэм|Ахынэхыу|Ахынэр|Ахынэкӏэ|Ахыныу|Ахынэ|Ахынэхэ|Ахынэхэмэ|Ахынэмămč̣̍ă)|Ахынэхэмăč̣̍ă)|Ахынэхэр|Āxən|Ахынэмăč̣̍ă)|Ахынэхэкӏэ	<i>name</i><br><ol><li>Akhen (Circassian (pagan) god of cattle)</li></ol>
Бытырбыф|Bətərbəf	<i>name</i><br><ol><li>Saint Petersburg (a city in Russia)</li></ol>
Бэдзэогъу|Băʒăoġ°	<i>name</i><br><ol><li>July</li></ol>
Даут|Dāwt	<i>name</i><br><ol><li>David (name)</li></ol>
Джантый|Ǯ̍āntəj	<i>name</i><br><ol><li>Janty (name)</li></ol>
Джэдыпэ|Джэдыпэхэмэ|Джэдыпэхыу|Джэдыпэхэ|Ǯ̍ădəpă|Джэдыпэмăč̣̍ă)|Джэдыпэмămč̣̍ă)|Джэдыпэр|Джэдыпэкӏэ|Джэдыпэм|Джэдыпэхэмămč̣̍ă)|Джэдыпэхэкӏэ|Джэдыпэу|Джэдыпэхэмăč̣̍ă)|Джэдыпэхэр	<i>name</i><br><ol><li>Jedipe: God of rivers and seas (literally: ‘hen’s beak’).</li></ol>
Жьытхьэ|Жьытхьэкӏэ|Жьытхьэр|Жьытхьэхэ|Жьытхьэхэмămč̣̍ă)|Жьытхьэхыу|Жьытхьэм|Жьытхьэхэкӏэ|Жьытхьэмămč̣̍ă)|Жьытхьэхэмăč̣̍ă)|Жьытхьэу|Жьытхьэхэмэ|Жьытхьэмăč̣̍ă)|Жьытхьэхэр|Ž̍ətḥă	<i>name</i><br><ol><li>Zhitha: God of wind.</li></ol>
Зэчэрые|Zăčărəe	<i>name</i><br><ol><li>Zakaria (name)</li></ol>
Ибрахьим|Ибрахьимэмămč̣̍ă)|Ибрахьимыу|Ибрахьимэхыу|Ибрахьимэмăč̣̍ă)|Ibrāḥim|Ибрахьимэхэ|Ибрахьимэхэмэ|Ибрахьимэхэмăč̣̍ă)|Ибрахьимэкӏэ|Ибрахьимэр|Ибрахьимэхэмămč̣̍ă)|Ибрахьимэхэкӏэ|Ибрахьимэм|Ибрахьимэхэр|Ибрахьимэ	<i>name</i><br><ol><li>Abraham (name)</li></ol>
Исхьэкъ|Исхьэкъэхэмăč̣̍ă)|Исхьэкъыу|Исхьэкъэхэмămč̣̍ă)|Исхьэкъэхэмэ|Исхьэкъэхэкӏэ|Исхьэкъэкӏэ|Исхьэкъэхэ|Исхьэкъэхыу|Исхьэкъэхэр|Исхьэкъэр|Исхьэкъэ|Исхьэкъэмăč̣̍ă)|Исхьэкъэм|Isḥăq|Исхьэкъэмămč̣̍ă)	<i>name</i><br><ol><li>Isaac (name)</li></ol>
Иусыф|Иусыфэхэмăč̣̍ă)|Иусыфэкӏэ|Иусыфэр|Иусыфэхэкӏэ|Иусыфэхэмămč̣̍ă)|Иусыфэм|Иусыфэхэр|Иусыфэхэмэ|Iwsəf|Иусыфыу|Иусыфэхэ|Иусыфэмămč̣̍ă)|Иусыфэхыу|Иусыфэ|Иусыфэмăč̣̍ă)	<i>name</i><br><ol><li>Josef (name)</li></ol>
Китай|Kitāj	<i>name</i><br><ol><li>China (a region and country in East Asia)</li></ol>
Куба	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Къуэдэс|Къуэдэсэ (Q°ădăsă)|Къуэдэсэм (Q°ădăsăm)|Къуэдэсэмăč̣̍ă)|Къуэдэсэмămč̣̍ă)|Къуэдэсэхэ (Q°ădăsăxă)|Къуэдэсэкӏэ (Q°ădăsămč̣̍ă)|Къуэдэсэр (Q°ădăsăr)|Къуэдэсэхэр (Q°ădăsăxăr)|Къуэдэсэхэмэ (Q°ădăsăxămă)|Къуэдэсэкӏэ (Q°ădăsăč̣̍ă)|Къуэдэсыу (Q°ădăsəw)|Къуэдэсэхэкӏэ (Q°ădăsăxăč̣̍ă)|Къуэдэсэхэкӏэ (Q°ădăsăxămč̣̍ă)|Къуэдэсэхэмămč̣̍ă)|Къуэдэсэхыу (Q°ădăsăxəw)|Къуэдэсэхэмăč̣̍ă)	<i>name</i><br><ol><li>Qwedes : God of sea, in form of fish (literally: ‘living in a depression’).</li></ol>
Къызбэч|Qəzbăč	<i>name</i><br><ol><li>Qzbek (name)</li></ol>
Лъэпщ|Łăpš̍|Лъэпщхыу|Лъэпщхэмэ|Лъэпщм|Лъэпщр|Лъэпщхэмămč̣̍ă)|Лъэпщу|Лъэпщхэкӏэ|Лъэпщхэр|Лъэпщхэмăč̣̍ă)|Лъэпщмкӏэ č̣̍ă)|Лъэпщкӏэ č̣̍ă)	<i>name</i><br><ol><li>Lhepsch, Tlepsh: Patron of smiths, iron, weapons and fire. Corresponds to the Roman god Vulcan and to Hephæstus in the Greek Pantheon.</li></ol>
Мамыщ|Māməš̍|Мамыщм|Мамыщхэр|Мамыщхэмэ|Мамыщмкӏэ č̣̍ă)|Мамыщхыу|Мамыщхэкӏэ|Мамыщу|Мамыщр|Мамыщкӏэ č̣̍ă)|Мамыщхэмăč̣̍ă)|Мамыщхэмămč̣̍ă)	<i>name</i><br><ol><li>Mamisch, Mamish: Patron of fortunetellers, specifically of scapula readers.</li></ol>
Мусэ|Мусээм|Мусээмăč̣̍ă)|Мусээхэр|Мусээр|Mwsă|Мусэыу|Мусээхэкӏэ|Мусээкӏэ|Мусээхэмăč̣̍ă)|Мусээ|Мусээхэмămč̣̍ă)|Мусээхэмэ|Мусээмămč̣̍ă)|Мусээхыу|Мусээхэ	<i>noun</i><br><ol><li>Moses (name)</li></ol>
Мэзгуащэ|Мэзгуащэхэмэ (Măzg°āš̍ăxămă)|Мэзгуащэхэ (Măzg°āš̍ăxă)|Мэзгуащэхэкӏэ (Măzg°āš̍ăxăč̣̍ă)|Мэзгуащэр (Măzg°āš̍ăr)|Мэзгуащэхэр (Măzg°āš̍ăxăr)|Мэзгуащэкӏэ (Măzg°āš̍ăč̣̍ă)|Мэзгуащэхэкӏэ (Măzg°āš̍ăxămč̣̍ă)|Мэзгуащэхыу (Măzg°āš̍ăxəw)|Мэзгуащэ (Măzg°āš̍ă)|Мэзгуащэм (Măzg°āš̍ăm)|Мэзгуащэкӏэ (Măzg°āš̍ămč̣̍ă)|Мэзгуащэхэмăč̣̍ă)|Мэзгуащэхэмămč̣̍ă)|Мэзгуащэу (Măzg°āš̍ăw)|Мэзгуащэмăč̣̍ă)|Мэзгуащэмămč̣̍ă)	<i>name</i><br><ol><li>Mezgwasche: Goddess of forests and trees.</li></ol>
