A	<i>character</i><br><ol><li>The first letter of the Afar alphabet, called a and written in the Latin script.</li></ol>
Amcar|Amcártu|Amcartó|Amcár	<i>noun</i><br><ol><li>(collective) Amhara people</li></ol>
Amcarto|Amcártu|Amcár|Amcartó	<i>noun</i><br><ol><li>Amhara woman</li></ol>
Amcartu|Amcártu|Amcár|Amcartó	<i>noun</i><br><ol><li>Amhara man</li></ol>
B	<i>character</i><br><ol><li>The second letter in the Afar alphabet.</li></ol>
Baariis|Baaríis	<i>name</i><br><ol><li>Paris (the capital city of France)</li></ol>
Biritaanya|Biritaanyáh|Biritaanyál|Biritaanyák|Biritaanyát|Biritaanyá	<i>name</i><br><ol><li>Great Britain (a country in Europe)</li></ol>
Cabsa|Cabsál|Cabsák|Cabsát|Cabsáh|Cabsiitá|Cabsá|Cabsíita	<i>noun</i><br><ol><li>(collective) Ethiopian people</li></ol>
Cabsiita|Cabsiitáh|Cabsiití|Cabsiitál|Cabsiitá|Cabsá|Cabsiitát|Cabsíital|Cabsíitah|Cabsíitak|Cabsíitat|Cabsíita|Cabsiiták	<i>noun</i><br><ol><li>Ethiopian man</li><li>Ethiopian woman</li></ol>
D	<i>character</i><br><ol><li>The tenth letter of the Afar alphabet, written in the Latin script.</li></ol>
E	<i>character</i><br><ol><li>The fifth letter of the Afar alphabet, written in the Latin script.</li></ol>
F	<i>character</i><br><ol><li>The thirteenth letter in the Afar alphabet.</li></ol>
Faatuma|Faatumák|Faatumáy|Faatumáh|Faatumá|Faatumát|Faatumál	<i>name</i><br><ol><li>Fatima</li></ol>
Faransaawi|Faransáawik|Faransaawí|Faransáawil|Faransáawi|Faransaawíita|Faransáawih|Faransáawit|Faransaawiitá	<i>noun</i><br><ol><li>(collective) Frenchmen, French people</li></ol>
Faransaawiita|Faransaawiitál|Faransaawí|Faransaawíitat|Faransaawíitah|Faransaawiití|Faransaawíita|Faransaawiitáh|Faransaawíital|Faransaawiitát|Faransaawiiták|Faransaawiitá|Faransaawíitak	<i>noun</i><br><ol><li>Frenchman</li><li>Frenchwoman</li></ol>
G	<i>character</i><br><ol><li>The fourteenth letter in the Afar alphabet.</li></ol>
Gabuuti|Gabuutík|Gabúuti|Gabúutih|Gabuutít|Gabuutíh|Gabúutit|Gabúutil|Gabuutíl|Gabuutí|Gabúutik	<i>name</i><br><ol><li>Djibouti (a country in Africa)</li><li>Djibouti (the capital city of Djibouti)</li></ol>
H	<i>character</i><br><ol><li>The twentyfirst and penultimate letter in the Afar alphabet.</li></ol>
