𐔰|𐔰 (A)|a	<i>character</i><br><ol><li>The first letter of the Caucasian Albanian alphabet. Transliterated as A.</li><li>The numeral 1 in Caucasian Albanian numbering.</li></ol><br><i>article</i><br><ol><li>feminine article</li></ol>
𐔰𐔰|𐔰𐔰𐔵𐔰|aa|aaza	<i>verb</i><br><ol><li>to know</li></ol>
𐔰𐔰𐕎𐔰𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎|aanabiyesun	<i>verb</i><br><ol><li>to confer</li></ol>
𐔰𐔰𐕎𐔰𐕒𐕡𐕎|aanaun	<i>noun</i><br><ol><li>knowledge</li></ol>
𐔰𐔱𐔰|aba	<i>noun</i><br><ol><li>Abba</li></ol>
𐔰𐔱𐔰𐔵𐔰𐕄|abazaḳ	<i>noun</i><br><ol><li>robber</li></ol>
𐔰𐔺𐔵|𐔰𐔺𐔵𐔼|ayz|𐔰𐔺𐔵𐔴𐕇|ablative II|𐔰𐔺𐔵𐔴|𐔰𐔺𐔵𐔴𐕎|𐔰𐔺𐔵𐔼𐕎|dative I|dative III|𐔰𐔺𐔵𐔰𐕇|𐔰𐔺𐔵𐔰|𐔰𐔺𐔵𐔴𐕇𐕒𐕠	<i>noun</i><br><ol><li>world</li><li>land, region</li></ol>
𐔰𐔺𐔵𐔼𐕁𐔼𐕗|ayzid'iṗ	<i>noun</i><br><ol><li>land taxation</li></ol>
𐔰𐔾𐔶𐔾𐕒𐕡𐔺𐔰|alēluya	<i>intj</i><br><ol><li>hallelujah</li></ol>
𐔰𐕀𐔰𐔺|axay	<i>adj</i><br><ol><li>open</li></ol>
𐔰𐕀𐔰𐔺𐔱𐕒𐕄𐔰𐔾|axayboḳal	<i>noun</i><br><ol><li>leader</li></ol>
𐔰𐕀𐔰𐔺𐔱𐕒𐕄𐔴𐕚𐕒𐕡𐕎|axayboḳesun	<i>verb</i><br><ol><li>to lead</li><li>to disturb</li></ol>
𐔰𐕄𐔰|aḳa	<i>verb</i><br><ol><li>see</li></ol>
𐔰𐕄𐔰𐔾|aḳal|𐔰𐕄𐔰𐔾𐔼𐕀|aḳalix	<i>noun</i><br><ol><li>seer, witness</li></ol>
𐔰𐕄𐔴𐕚𐕒𐕡𐕎|aḳesun	<i>verb</i><br><ol><li>to see</li></ol>
𐔰𐕄𐕒𐕡𐕄|aḳuḳ	<i>adj</i><br><ol><li>visible, apparent</li></ol>
𐔰𐕄𐕒𐕡𐕄𐕆𐔶𐕒𐕡𐕎|aḳuḳhēun	<i>noun</i><br><ol><li>(Christianity) Epiphany</li><li>revelation</li></ol>
𐔰𐕅𐔴|al'e	<i>noun</i><br><ol><li>elder</li></ol>
𐔰𐕇𐕚𐔼𐔱𐔰𐔺|ax̣sibay|𐔰𐕇𐕂𐔼𐔱𐔰𐔺|ax̣c̣ibay	<i>noun</i><br><ol><li>Easter</li></ol>
𐔰𐕊𐔰𐕌|ač̣am	<i>noun</i><br><ol><li>unleavened bread</li></ol>
𐔰𐕌𐔶𐕎|amēn	<i>noun</i><br><ol><li>amen</li></ol>
𐔰𐕍𐔰𐕓𐔼	<i>adj</i><br><ol><li>naked</li></ol>
𐔰𐕍𐔰𐕓𐔼𐔴𐕎	<i>noun</i><br><ol><li>nakedness</li></ol>
𐔰𐕎𐔲𐔴𐔾𐕒𐕚|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐕎|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐕊|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐕇|angelosen|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐔴𐕎|dative I|angelosuġoč̣|ablative I|angelosuġox̣|angelosuġoc|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕇|angelosuġo|case plural 𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐔺|angelosuġoy|adessive II|angelosux̣|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘|dative III|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐕠|angelosuġ|angelosuġon|angelos|𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒	<i>noun</i><br><ol><li>angel</li></ol>
𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒|angelosuġo	<i>noun</i><br><ol><li>dative I of 𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘 (angelosuġ)</li></ol>
𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐔺𐔱𐕈𐔿𐔼|angelosuġoybån'i	<i>noun</i><br><ol><li>archangel</li></ol>
𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐕇|angelosuġox̣	<i>noun</i><br><ol><li>dative III of 𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘 (angelosuġ)</li></ol>
𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘𐕒𐕊|angelosuġoč̣	<i>noun</i><br><ol><li>adessive II of 𐔰𐕎𐔲𐔴𐔾𐕒𐕚𐕒𐕡𐕘 (angelosuġ)</li></ol>
𐔰𐕎𐔳𐕙𐔶𐔰𐕚|andrēas	<i>name</i><br><ol><li>(biblical) Andrew</li></ol>
𐔰𐕐|𐔰𐕐𐕒𐕡𐕙|aš|𐔰𐕐𐕙𐕒𐕇|ašrox̣	<i>noun</i><br><ol><li>work</li></ol>
𐔰𐕐𐔰𐕙𐕄𐔴𐕜|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒𐕚|dative I|ablative I|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐔰𐕇𐕒𐕡|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒𐕐|dative II|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒𐕇𐕒𐕠|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕎|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒𐔺|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕇|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒𐕎|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐔴𐕎|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐔰𐕇|dative III|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒|ablative II|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕘𐕒𐕠|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕘𐕒𐔺|ašarḳeṭ|𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐔰	<i>noun</i><br><ol><li>disciple</li></ol>
𐔰𐕐𐔰𐕙𐕄𐔴𐕜𐕒𐕡𐕎𐕈𐕍𐔴|ašarḳeṭunåq̇e	<i>noun</i><br><ol><li>fellow disciple</li></ol>
𐔰𐕐𐕙𐕒𐕇|ašrox̣	<i>noun</i><br><ol><li>works, acts, deeds</li></ol>
𐔰𐕐𐕙𐕒𐕇 𐕆𐔴𐔱𐔼𐔺𐔰𐔺𐕈̃𐔺|ašrox̣ hebiyayå̃y	<i>name</i><br><ol><li>(biblical) Acts of the Apostles</li></ol>
𐔰𐕔𐕙𐔴|afre	<i>verb</i><br><ol><li>praise</li></ol>
𐔰𐕔𐕙𐔴𐕢𐔴𐕚𐕒𐕡𐕎|afrepesun	<i>verb</i><br><ol><li>to praise</li></ol>
𐔰𐕘|𐔰𐕘𐕙𐕒𐕣|𐔰𐕘𐕒𐕡𐕇𐕒𐕠|𐔰𐕘𐕒𐕡𐕚|𐔰𐕘𐕒𐕡𐕚𐔸𐔰𐕇𐕒𐕠|𐔰𐕘𐕙𐕒𐔾𐕒𐕐|𐔰𐕘𐕙𐕒𐕇𐕒𐕐|𐔰𐕘𐕙𐕒𐕘𐔰|𐔰𐕘𐕙𐕒𐕇𐕒𐕚𐕜𐔰𐔺|𐔰𐕘𐕒𐕡𐔾|𐔰𐕘𐕒𐕡𐕙|𐔰𐕘𐕙𐕒𐕠|𐔰𐕘𐕒𐕡𐕍|𐔰𐕘𐕒𐕡𐕣𐔰ka)|𐔰𐕘𐕙𐕒𐕣𐔰ka)|𐔰𐕘𐕙𐕒𐕇𐕒𐕡|𐔰𐕘𐕒𐕡𐕇|𐔰𐕘𐕒𐕡𐔾𐕒𐕠|𐔰𐕘𐕒𐕡𐕣|𐔰𐕘𐕒𐕡𐔾𐕒𐕐|𐔰𐕘𐕒𐕡𐕊|𐔰𐕘𐕙𐕒𐕇𐕒𐔾|𐔰𐕘𐕙𐕒𐕇𐕒𐕠|𐔰𐕘𐕒𐕡𐕇𐕒𐕐|𐔰𐕘𐕒𐕡𐕇𐕒𐔾|𐔰𐕘𐕙𐕒𐕍|𐔰𐕘𐕙𐕒𐕣𐔰k)|𐔰𐕘𐕙𐕒𐕚𐔸𐔰𐕇𐕒𐕠|𐔰𐕘𐕙𐕒𐔾|𐔰𐕘𐕙𐕒|𐔰𐕘𐕒𐕡𐕠|𐔰𐕘𐕒𐕡𐕇𐕒𐕡|𐔰𐕘𐕙𐕒𐕇|𐔰𐕘𐕒𐕡𐕇𐕒𐕚𐕜𐔰𐔺|𐔰𐕘𐔺𐔰|𐔰𐕘𐔴𐕎|𐔰𐕘𐕙𐕒𐔺|𐔰𐕘𐕙𐕒𐔾𐕒𐕠|𐔰𐕘𐕙𐕒𐕎|𐔰𐕘𐕒𐕡|aġ|𐔰𐕘𐕙𐕒𐕚|𐔰𐕘𐕒𐕡𐕣𐔰k)|𐔰𐕘𐕙𐕒𐕊|𐔰𐕘𐕒𐕡𐕘𐔰	<i>pron</i><br><ol><li>she</li></ol>
𐔰𐕙𐔰𐔱𐔼𐔺𐔰|arabiya	<i>name</i><br><ol><li>Arabia</li></ol>
𐔰𐕚𐔴𐕔|asef	<i>noun</i><br><ol><li>shepherd</li></ol>
𐔰𐕛𐔴𐔾|avel	<i>det</i><br><ol><li>much, many</li></ol>
𐔰𐕡𐔲𐕒𐕡𐕚𐕜𐕒𐕚|awgusṭos	<i>name</i><br><ol><li>August, Roman emperor.</li></ol>
𐔰𐕢𐔼𐔺𐔴𐕚𐔱𐔰𐔰𐔾|apiyesbaal	<i>noun</i><br><ol><li>despiser</li></ol>
𐔱|B	<i>character</i><br><ol><li>The second letter of the Caucasian Albanian alphabet. Transliterated as B.</li><li>The numeral 2 in Caucasian Albanian numbering.</li></ol>
𐔱𐔰|𐔱𐔰𐔴𐕎|ba|baen	<i>verb</i><br><ol><li>do, make</li></ol><br><i>adj</i><br><ol><li>dark</li></ol>
𐔱𐔰𐔰𐔾|baal	<i>noun</i><br><ol><li>doer, maker</li></ol>
𐔱𐔰𐔴𐕎𐔰𐕍|baenaq̇	<i>adj</i><br><ol><li>in/under darkness</li></ol>
𐔱𐔰𐔸𐔴𐕣𐔰𐔾𐔼𐕅|batekalil'	<i>noun</i><br><ol><li>fable, parable</li></ol>
𐔱𐔰𐔸𐕣𐔴𐕚𐕒𐕡𐕎|batkesun	<i>verb</i><br><ol><li>to turn around</li></ol>
𐔱𐔰𐔹|bać̣	<i>num</i><br><ol><li>hundred</li></ol>
𐔱𐔰𐔼|bai	<i>adj</i><br><ol><li>full</li></ol>
𐔱𐔰𐔾𐔰𐔾|balal	<i>noun</i><br><ol><li>candle</li><li>lamp</li></ol>
𐔱𐔰𐕅|bal'	<i>adj</i><br><ol><li>ill</li></ol>
𐔱𐔰𐕅𐔱𐔰𐕍𐔰𐔾|bal'baq̇al	<i>noun</i><br><ol><li>servant</li></ol>
𐔱𐔰𐕌𐔰𐕘𐔰𐔺|bamaġay	<i>noun</i><br><ol><li>idiot</li></ol>
𐔱𐔰𐕙𐔰𐕣|barak	<i>name</i><br><ol><li>Barak, the Israelite king</li></ol>
𐔱𐔰𐕙𐔰𐕣𐔼𐔺𐔰|barakiya	<i>name</i><br><ol><li>(biblical) Barachias or Berechiah, father of Zacharias</li></ol>
𐔱𐔰𐕚𐕄𐔴𐕚𐕒𐕡𐕎|basḳesun	<i>verb</i><br><ol><li>to sleep</li></ol>
𐔱𐔴𐔲𐔱𐔴𐔲|begbeg	<i>adj</i><br><ol><li>very big, large</li></ol>
𐔱𐔴𐔵𐔼|adessive I|𐔵𐔰𐕇𐕒𐕡|𐔱𐔴𐕐𐔼|𐔷𐔰𐕎|dative I|𐔵𐔰𐕀𐕒𐕡|𐔵𐔰𐕇𐕒𐕠|𐔷𐔰𐕇𐕒𐕚𐕜𐔰𐔺|ablative I|𐔵𐔰𐕀|𐔷𐔰𐕇𐕒𐕠|𐔷𐔰𐕣𐔰|𐔵𐕒𐕡|𐔵𐔰𐕀𐕒𐕐|𐔷𐔰|𐔵𐔰𐕇|dative II|beši|𐔷𐔰𐕇𐕒𐕐|𐔷𐔰𐕀|𐔷𐔰𐕇|𐔷𐔰𐕚|𐔷𐔰𐔾𐕒𐕐|𐔵𐔰𐔾𐕒𐕚𐕜𐔰𐔺|𐔵𐔰𐕇𐕒𐕚𐕜𐔰𐔺|𐔷𐔰𐕇𐕒𐕡|dative III|𐔷𐔰𐕀𐕒𐕐|𐔷𐔰𐕀𐕒𐕡|bezi|𐔵𐔰𐕚|𐔵𐔰|𐔵𐔰𐔾𐕒𐕐|anteablative I|𐔵𐔰𐕣𐔰|superessive II|𐔵𐔰𐕇𐕒𐕐	<i>det</i><br><ol><li>(First-person singular possessive determiner) my</li></ol>
𐔱𐔴𐔸𐔾𐔰𐕆𐔴𐕌|betlahem	<i>name</i><br><ol><li>Bethlehem</li></ol>
𐔱𐔴𐔸𐕚𐔰𐔼𐔳𐔰|betsaida	<i>name</i><br><ol><li>(biblical) Bethsaida of Galilee</li></ol>
𐔱𐔴𐔾𐔵𐔴𐔱𐕒𐕡𐔾|belzebul	<i>name</i><br><ol><li>(biblical) Beelzebub</li></ol>
𐔱𐔴𐕊𐔴𐕒𐕡𐕎|beč̣eun	<i>noun</i><br><ol><li>cave</li></ol>
