=an	<i>pron</i><br><ol><li>one, someone (impersonal pronoun)</li><li>(inclusive) we (first-person plural subject pronoun)</li><li>(polite) you (both singular and plural)</li></ol>
=as	<i>pron</i><br><ol><li>(exclusive) we (first-person plural subject pronoun)</li></ol>
Ainu|アィヌ	<i>name</i><br><ol><li>man</li><li>The Ainu people.</li></ol>
a=	<i>pron</i><br><ol><li>one, someone (impersonal pronoun)</li><li>(inclusive) we (first-person plural subject pronoun)</li><li>(polite) you (both singular and plural)</li></ol>
ahci|ahcihi	<i>noun</i><br><ol><li>(dialectal, Sakhalin) grandmother</li></ol>
an	<i>verb</i><br><ol><li>(intransitive, copulative) to exist, be (somewhere); there is</li></ol>
anihi	<i>pron</i><br><ol><li>he, she, it (third-person singular pronoun)</li></ol>
anokay|aokay	<i>pron</i><br><ol><li>one, some people (impersonal plural pronoun)</li><li>(inclusive) we (first-person plural subject pronoun)</li><li>you (polite, both singular and plural)</li></ol>
anutari	<i>pron</i><br><ol><li>one, some people (impersonal plural subject pronoun)</li><li>(inclusive) we (first-person plural subject pronoun)</li><li>(polite) you (second-person plural subject pronoun)</li></ol>
aoka	<i>pron</i><br><ol><li>(Saru dialect) one, some people (impersonal plural pronoun)</li><li>(Saru dialect) (inclusive) we (first-person plural subject pronoun)</li><li>(Saru dialect) you (polite, both singular and plural)</li></ol>
arakke	<i>noun</i><br><ol><li>(dialectal, Sakhalin) alcohol, strong wine</li></ol>
arawan	<i>num</i><br><ol><li>seven</li></ol>
arawan ikasima wan	<i>num</i><br><ol><li>seventeen</li></ol>
asikne	<i>num</i><br><ol><li>five</li></ol>
asikne ikasima wan	<i>num</i><br><ol><li>fifteen</li></ol>
asinuma	<i>pron</i><br><ol><li>one, oneself, someone (impersonal singular pronoun)</li></ol>
aynu	<i>noun</i><br><ol><li>human, man (as opposed to animals or gods)</li><li>man (adult male human)</li><li>an Ainu</li><li>(with possessives) father, husband</li></ol>
aynumosir	<i>noun</i><br><ol><li>the land of humans; the earth</li><li>the land of the Ainu people: Hokkaidō, southern Sakhalin, or the Kuril Islands</li></ol>
cep	<i>noun</i><br><ol><li>fish</li></ol>
ci=	<i>pron</i><br><ol><li>(exclusive) we (first-person plural subject pronoun)</li></ol>
cikap	<i>noun</i><br><ol><li>bird</li></ol>
cikiri	<i>noun</i><br><ol><li>(anatomy) leg</li><li>(anatomy) foot</li></ol>
cikoykip	<i>noun</i><br><ol><li>animal, beast (non-human creature)</li></ol>
cikuni	<i>noun</i><br><ol><li>tree</li><li>wood</li></ol>
ciokay	<i>pron</i><br><ol><li>(exclusive) we (first-person plural subject pronoun)</li></ol>
ciutari	<i>pron</i><br><ol><li>one, some people (impersonal plural pronoun)</li><li>(inclusive) we (first-person plural subject pronoun)</li><li>you (polite, both singular and plural)</li></ol>
coka	<i>pron</i><br><ol><li>(Saru dialect) (exclusive) we (first-person plural subject pronoun)</li></ol>
e	<i>verb</i><br><ol><li>(transitive) to eat</li></ol>
e=	<i>pron</i><br><ol><li>you, thou (first-person singular subject pronoun)</li><li>you, thee (first-person singular object pronoun)</li></ol>
eani	<i>pron</i><br><ol><li>you, thou (second-person singular pronoun)</li></ol>
eci=	<i>pron</i><br><ol><li>you, ye (first-person plural subject pronoun)</li><li>you (first-person plural object pronoun)</li></ol>
ecioka	<i>pron</i><br><ol><li>(Saru dialect) you, ye (second-person plural pronoun)</li></ol>
eciokay	<i>pron</i><br><ol><li>you, ye (second-person plural pronoun)</li></ol>
eciutari	<i>pron</i><br><ol><li>you, ye (second-person plural subject pronoun)</li></ol>
ek|ariki	<i>verb</i><br><ol><li>(intransitive) to come</li></ol>
en=	<i>pron</i><br><ol><li>me (first-person singular object pronoun)</li></ol>
epitta	<i>adj</i><br><ol><li>entire, whole, all</li></ol>
eramuan|eramuoka	<i>verb</i><br><ol><li>(transitive) to understand</li></ol>
etu	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
hakka	<i>noun</i><br><ol><li>(dialect, Sakhalin) hat</li></ol>
hapah|hapapuhu	<i>noun</i><br><ol><li>(dialectal, Sakhalin, anatomy) lungs</li></ol>
hapo	<i>noun</i><br><ol><li>mother</li><li>(in the vocative) mom, mum</li></ol>
hekaci	<i>noun</i><br><ol><li>(rare or dialect) child</li><li>boy, lad (male child)</li></ol>
hemanta	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
henpak	<i>pron</i><br><ol><li>(interrogative) how many, how much</li></ol>
henpara	<i>pron</i><br><ol><li>(interrogative) when</li></ol>
hoku	<i>noun</i><br><ol><li>husband (male spouse)</li></ol>
honi	<i>noun</i><br><ol><li>(anatomy) belly, abdomen</li></ol>
hopuni|hopunpa	<i>verb</i><br><ol><li>(intransitive) to rise, get up</li><li>(intransitive) to fly</li><li>(intransitive, figuratively) to travel, journey</li></ol>
hot ne	<i>num</i><br><ol><li>twenty</li><li>score (as in "a score" for 20 points)</li></ol>
hunak	<i>pron</i><br><ol><li>(interrogative) where</li></ol>
hunna	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
hure	<i>verb</i><br><ol><li>to be red</li></ol>
i=	<i>pron</i><br><ol><li>one, someone (impersonal object pronoun, both singular and plural)</li><li>(inclusive) us (first-person plural object pronoun)</li><li>(polite) you (second-person object pronoun, both singular and plural)</li></ol>
inan	<i>pron</i><br><ol><li>(interrogative) which, which one</li></ol>
ine	<i>num</i><br><ol><li>four</li></ol>
ine ikasima wan	<i>num</i><br><ol><li>fourteen</li></ol>
inkar	<i>verb</i><br><ol><li>to look</li></ol>
ipe|ipepa	<i>noun</i><br><ol><li>food</li><li>(botany) fruit, nut</li></ol><br><i>verb</i><br><ol><li>(intransitive) to eat</li></ol>
iwan	<i>num</i><br><ol><li>six</li></ol>
iwan ikasima wan	<i>num</i><br><ol><li>sixteen</li></ol>
k=	<i>pron</i><br><ol><li>(Saru, before vowels) I (first-person singular subject pronoun)</li></ol>
kam	<i>noun</i><br><ol><li>flesh, meat</li></ol>
kamuy	<i>noun</i><br><ol><li>a god (deity)</li><li>(by extension from the god sense) a bear (large mammal of family Ursidae)</li></ol><br><i>adj</i><br><ol><li>an honorific-like title applied to anything great, important, or terrible, not necessarily implying divinity</li></ol>
kamuymosir	<i>noun</i><br><ol><li>heaven</li></ol>
kani	<i>pron</i><br><ol><li>(Saru dialect) I (first-person singular subject pronoun)</li></ol>
kem	<i>noun</i><br><ol><li>blood</li></ol>
kema	<i>noun</i><br><ol><li>(anatomy) leg</li></ol>
kina	<i>noun</i><br><ol><li>grass</li></ol>
kinasut	<i>noun</i><br><ol><li>snake</li></ol>
kisara	<i>noun</i><br><ol><li>(anatomy) ear, ears</li></ol>
komta	<i>noun</i><br><ol><li>(dialectal, Kuril, anatomy) elbow</li></ol>
ku	<i>verb</i><br><ol><li>to drink</li></ol>
ku=	<i>pron</i><br><ol><li>I (first-person singular subject pronoun)</li></ol>
kuani	<i>pron</i><br><ol><li>I (first-person singular subject pronoun)</li></ol>
kuru|utara	<i>noun</i><br><ol><li>(with modifiers) person</li></ol>
kusu	<i>postp</i><br><ol><li>in order to, to, for</li><li>(with ne) Marks the future tense.</li></ol>
