'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
'-k-l	<i>root</i><br><ol><li>Related to food and eating.</li></ol>
'-l-k	<i>root</i><br><ol><li>Related to going.</li></ol>
Abum	<i>name</i><br><ol><li>Abu, the fifth month of the Babylonian calendar (approximately July-August)</li></ol>
Adad	<i>name</i><br><ol><li>Adad (the god of storm, identeified with the Sumerian god Ishkur, son of Anu or Enlil)</li></ol>
Addarum	<i>name</i><br><ol><li>Adar, the twelfth month of the Babylonian calendar (approximately February-March)</li></ol>
Akkade	<i>name</i><br><ol><li>Akkad (a land in northern Babylonia and a city founded by Sargon of Akkad)</li></ol>
Amurrum	<i>name</i><br><ol><li>(Old Akkadian, Old Babylonian) Amorite</li><li>(geography) toponym for Syria and the West, the land of the Amorites</li><li>(with determinative 𒀭 (ᵈ)) Amurru (god of the Amorites)</li><li>(with determinative 𒀯 (ᵐᵘˡ), Standard Babylonian) Perseus (the "west star")</li></ol>
Ausi'i|ᵐa-u₂-si-'i|𒁹𒀀𒌑𒋛𒀪	<i>name</i><br><ol><li>Hoshea, the nineteenth and last king of the Israelite Kingdom of Israel</li></ol>
Ayyārum	<i>name</i><br><ol><li>Ayyāru, the second month of the Babylonian calendar</li></ol>
Aššūr|aš-šur|𒀸𒋩	<i>name</i><br><ol><li>Assur (political capital of Assyria from the XIV to the IX centuries BCE)</li></ol>
Bābilim	<i>name</i><br><ol><li>Babylon</li></ol>
Enūma Eliš|𒂊𒉡𒈠𒂊𒇺|e-nu-ma e-liš	<i>name</i><br><ol><li>The Enûma Eliš (lit. "when on high"), an Ancient Mesopotamian creation myth named after its opening words.</li></ol>
Gilgameš	<i>name</i><br><ol><li>Gilgamesh (a Sumerian king of early dynastic Uruk, later made an epic hero)</li></ol>
Idiglat	<i>name</i><br><ol><li>Tigris</li></ol>
Igigū	<i>name</i><br><ol><li>(plural only, Old Babylonian, Standard Babylonian) Igigi, a collective name for the "great gods"</li><li>(plural only, Middle Babylonian, Neo-Babylonian) Igigi, the gods of heaven (as opposed to the Anunnakkū, the gods of the netherworld)</li></ol>
Ištar|𒀭𒀹𒁯|ᵈiš₈-tar₂	<i>name</i><br><ol><li>Ishtar (goddess of love and war, associated with the planet Venus, corresponding to the Sumerian Inanna)</li></ol>
Kinaḫnum	<i>name</i><br><ol><li>(geography) Canaan</li></ol>
Kūsu|𒆪𒋛|ku-si	<i>name</i><br><ol><li>Cush</li></ol>
Lamaštum	<i>name</i><br><ol><li>Lamashtu (a female demon in Mesopotamian mythology)</li><li>(medicine) a type of disease</li></ol>
Marduk	<i>name</i><br><ol><li>Marduk (chief god of Babylon, later king of the gods)</li><li>𒀀𒈾 𒈗 𒁁𒉌𒅀 𒀴𒅗 𒂗𒁀𒃻 𒀭𒉺 𒀭𒀫𒌓 𒀀𒈾 𒎙 𒂗𒐊 𒌨𒊒𒁍</li><li>a-na LUGAL be-li₂-ia IR₃-ka EN-BA-ša₂ ᵈPA ᵈAMAR.UTU a-na MAN EN-ia₂ lik-ru-bu/ana šarri bēlīya uradka Bēl-iqīša Nabû Madruk ana šarri bēlīya likrubū/To the king my lord, your servant Bēl-iqīša: may Nabû and Marduk bless the king my lord.</li></ol>
Meluḫḫa|𒈨𒈛𒄩|me-luḫ-ḫaᵏⁱ|me-luḫ-ḫa|𒈨𒈛𒄩𒆠	<i>name</i><br><ol><li>Meluhha</li></ol>
Ninua	<i>name</i><br><ol><li>Nineveh (capital city of Assyria in the late VIII and VII centuries BCE)</li></ol>
Nisaba	<i>name</i><br><ol><li>Nisaba (grain goddess)</li></ol>
Urarṭu|Uraštu	<i>name</i><br><ol><li>Urartu (a country north of Assyria occupying the mountainous area around Lake Van and enemy of Assyria in the first millennium BCE)</li></ol>
Urušalim|𒌑𒊒𒊓𒅆𒆠|u₂-ru-ša₁₀-limᵏⁱ	<i>name</i><br><ol><li>Jerusalem</li></ol>
Utnapištim|ut-ZI|𒌓𒍣	<i>name</i><br><ol><li>(Mesopotamian mythology) Utnapishtim (last antediluvian king of Šuruppak, hero of the Mesopotamian flood story, corresponding to Biblical Noah)</li></ol>
Yaru'u	<i>name</i><br><ol><li>the Nile river</li></ol>
a'īlu	<i>noun</i><br><ol><li>Middle Assyrian form of awīlum</li></ol>
abnum|abnī|𒀀𒁀𒀭|abnam|𒀀𒀊𒉌𒅎|𒀀𒀊𒈾𒀭|abnīn|𒀀𒀊𒉌𒅔|abnū|aban|abnātum|𒀀𒀊𒉡𒌝|𒀀𒀊𒉡|abnān|𒀀𒀊𒉌|𒀀𒀊𒈾𒄠|abnim	<i>noun</i><br><ol><li>stone, rock</li><li>semiprecious or precious stone</li><li>(weight) stone</li></ol>
abullum|abul|abullātum|abulla	<i>noun</i><br><ol><li>entrance gate (of a city, building or building complex)</li></ol>
abum|abū|abbū|𒀀𒁀𒀭|abīn|abān|𒀀𒁉𒅔|abam|abim|abbī|𒀀𒁍𒌝|𒀀𒀊𒁍|abī|𒀀𒁀𒄠|abā|𒀀𒁉|𒀀𒀊𒁉|abi|𒀀𒁉𒅎	<i>noun</i><br><ol><li>father</li></ol>
abīlum	<i>noun</i><br><ol><li>Old Akkadian form of awīlum</li></ol>
abūbum	<i>noun</i><br><ol><li>the Deluge, the Flood (as cosmic event or as personification of the ultimate wrath, destruction and aggressiveness)</li><li>(mythology) the Deluge, the Flood (a monster with definite features)</li><li>a destructive flood</li></ol>
addum	<i>noun</i><br><ol><li>storm, thunderstorm</li></ol>
adi	<i>prep</i><br><ol><li>(place) up to, as far as</li><li>(time) until, within</li><li>(with numbers with the suffix -īšu) times, -fold</li></ol>
adānum|adānātim|𒀀𒁕𒉡𒌝|𒀀𒁕𒈾𒁴|adānān|𒀀𒁕𒀭|adānātum|𒀀𒁕𒈾𒀭|adān|adānīn|adānam|𒀀𒁕𒈾𒄠|𒀀𒁕𒉌𒅔|𒀀𒁕𒉌𒅎|𒀀𒁕𒈾𒌈|adānim	<i>noun</i><br><ol><li>fixed date, time limit (a moment in time at the end of a specified period)</li><li>period of time (of predetermined length or characterized by a sequence of specific events)</li></ol>
agammum|𒀀𒂵𒄠𒈪𒅎|agammī|𒀀𒂵𒄠𒈬𒌝|agammim|agammū|𒀀𒂵𒄠|agamma|𒀀𒂵𒄠𒈪|𒀀𒂵𒄠𒈠𒄠|𒀀𒂵𒄠𒈬|agam|agammam	<i>noun</i><br><ol><li>marsh, lagoon</li></ol>
akalum|𒀀𒅗𒀠|akal|akalam|𒀀𒅗𒅆|akalim|aklum|𒀀𒅗𒈝|𒀀𒅗𒇴	<i>noun</i><br><ol><li>bread, loaf (of bread)</li><li>edibles, food</li></ol>
akkû	<i>noun</i><br><ol><li>(Standard Babylonian, Neo-Assyrian) a type of owl</li></ol>
akālum|𒋫𒀝𒅗𒇷|𒀀𒆪𒌌|𒅅𒅗𒀠|𒅅𒅗𒆷|𒄿𒉌𒆪𒌌|𒋫𒀝𒅗𒆷|𒋫𒀝𒅗𒀠|ītakal|akkal|ikkal|𒇷𒆪𒇻|līkulū|īkulā|ītaklā|𒇻𒆪𒌌|𒋫𒆪𒌌|𒉌𒆪𒌌|nīkul|𒇷𒆪𒆷|𒄿𒋫𒅗𒀠|tākulā|tākulī|𒀀𒀝𒆷|𒄿𒆪𒆷|𒋫𒋫𒀝𒇷|𒄿𒆪𒌌|ātakal|tākul|𒋫𒋫𒀝𒆷|īkulū|tātaklā|takkalā|𒀀𒀝𒇷|līkul|𒋫𒆪𒆷|𒄿𒆪𒇻|nītakal|aklā|ākul|𒋫𒆪𒇷|𒅅𒅗𒇻|𒄿𒋫𒀝𒆷|𒇷𒆪𒌌|aklum|nikkal|akul|takkalī|aklī|𒄿𒋫𒀝𒇻|lūkul|ākilum|𒉌𒅅𒅗𒀠|tātaklī|īkul|𒀀𒆠𒈝|𒉌𒋫𒅗𒀠|takkal|ītaklū|līkulā|𒋫𒋫𒅗𒀠|i nīkul|𒀀𒀝𒈝|ikkalā|𒀀𒋫𒅗𒀠|𒀀𒅗𒈝|ikkalū|tātakal|𒀀𒀝𒅗𒀠	<i>verb</i><br><ol><li>to eat, consume</li><li>to use, to have usufruct of</li><li>to pocket, (to take for oneself)</li></ol>
alaktum|alakta|𒀀𒆷𒀝𒌓|alaktim|alkātim|alaktān|𒀀𒆷𒀝𒋾|alkakātum|𒀀𒆷𒀝𒌈|𒀀𒀠𒅗𒁴|alaktīn|𒀀𒆷𒀝𒋾𒅔|𒀀𒆷𒀝𒁴|𒀀𒀠𒅗𒌈|alkātum|𒀀𒆷𒀝𒋫𒀭|alakti|alaktam	<i>noun</i><br><ol><li>behaviour, customs</li><li>activity, movement</li><li>passage, road, course, way</li><li>caravan</li></ol>
alpum|alpam|𒀠𒁍𒌝|𒀀𒀠𒉺𒄠|𒀀𒀠𒁉|alap|alpī|alpim|𒀀𒆷𒀊|𒀀𒀠𒉺𒀭|alpū|𒀀𒀠𒁍|𒀀𒀠𒁉𒅎|𒀀𒀠𒁉𒅔|alpān|𒀀𒀠𒁍𒌝|al-pu-um|alpīn	<i>noun</i><br><ol><li>ox, bull</li><li>head of cattle</li><li>beef</li></ol>
alākum|illik|ittalak|illak|alik	<i>verb</i><br><ol><li>to go, move, proceed</li><li>to come</li><li>to move about, walk about</li><li>to live, behave, act</li><li>to serve, to do do service</li><li>to be loose, movable, displaced</li><li>to fluctuate (prices), run (water), burn, go (fire), blow (wind), fall (rain), trail (smoke), come, pass (time), run (road)</li><li>to fit, be meant for</li></ol>
amtum|𒀀𒄠𒌈|amat|𒀀𒈠𒁴|amtam|𒀀𒄠𒌓|𒀀𒄠𒋫𒀭|amtān|𒀀𒄠𒋾𒅔|amātim|amātum|amtim|amtīn|𒀀𒈠𒀜|𒀀𒈠𒌈|𒀀𒄠𒁴	<i>noun</i><br><ol><li>female slave, female servant</li></ol>
amurdinnum|𒀀𒈬𒌨𒁲𒅔𒈾𒄠|𒀀𒈬𒌨𒁲𒅔𒉡𒌝|amurdinni|amurdinnim|𒀀𒈬𒌨𒁲𒅔𒉌𒅎|𒀀𒈬𒌨𒁲𒅔𒉌|amurdinnam	<i>noun</i><br><ol><li>bramble</li><li>a disease of the eyes</li></ol>
amurrum	<i>noun</i><br><ol><li>(Babylonian, Neo-Assyrian) west</li><li>(Babylonian, Neo-Assyrian) west wind</li></ol>
amārum|āmirum|𒀀𒄠𒊏|līmur|i nīmur|𒋫𒈬𒊏|ātamar|tātamrā|tammarī|𒀀𒈪𒊒𒌝|𒅎𒈠𒊒|tātamrī|𒄿𒌓𒊒|𒉌𒋫𒈠𒅈|𒇻𒈬𒌨|ītamrā|immarā|īmurū|𒀀𒋫𒈠𒅈|āmur|tātamar|nītamar|nīmur|𒅎𒈠𒊏|immarū|immar|amrum|amur|𒇷𒈬𒊏|tāmurī|𒅎𒈠𒅈|ītamrū|𒋫𒈬𒌨|īmurā|𒋫𒌓𒊏|𒋫𒋫𒈠𒅈|𒋫𒌓𒊑|𒄿𒈬𒊒|amrī|𒌓𒈠𒅈|tammar|ammar|𒇷𒈬𒌨|𒀀𒄠𒊒𒌝|lūmur|𒄿𒈬𒌨|amrā|𒄿𒈬𒊏|ītamar|𒄿𒋫𒈠𒅈|𒌓𒈠𒊑|𒋫𒈬𒊑|𒄿𒉌𒈬𒌨|𒀀𒄠𒈠𒅈|𒇷𒈬𒊒|𒀀𒄠𒊑|𒌓𒈠𒊏|𒉌𒅎𒈠𒅈|tāmurā|līmurū|𒀀𒈠𒊒𒌝|𒄿𒌓𒊏|nimmar|tāmur|līmurā|tammarā|īmur|𒉌𒈬𒌨|𒀀𒈬𒌨	<i>verb</i><br><ol><li>to see, behold, look at, observe, witness, examine, inspect, notice</li><li>to experience, come across, find (an object, a site, etc.)</li><li>to find after searching, to look up (information), find (a result), come to know, realise, learn by experience</li><li>to read (a tablet, document, inscription, etc.)</li></ol>
amēlu	<i>noun</i><br><ol><li>Middle Babylonian, Standard Babylonian, Neo-Babylonian, and Late Babylonian form of awīlum</li></ol>
amīlu	<i>noun</i><br><ol><li>Middle Babylonian, Standard Babylonian, Neo-Babylonian, and Late Babylonian form of awīlum</li></ol>
amšālim|Mari	<i>adv</i><br><ol><li>yesterday</li></ol>
amūtum|𒀀𒈬𒉿𒌈|𒀀𒈬𒋾𒅔|𒀀𒈬𒋾|amūtam|𒀀𒈬𒋫𒀭|amūtim|𒀀𒈬𒌈|amuwātim|amūtān|𒀀𒈬𒁴|amūti|𒀀𒈬𒌓|amuwātum|amūtīn|𒀀𒈬𒉿𒁴	<i>noun</i><br><ol><li>(extispicy) liver (of a sacrificial sheep, examined by the haruspex)</li><li>(extispicy) (liver) omen (findings on a sheep's liver)</li></ol>
ana|𒀀𒈾|a-na	<i>prep</i><br><ol><li>(place, people) to, toward, onto</li><li>(time) for</li><li>(time) within</li><li>(purpose) for, in order to, in favor of</li></ol>
andurārum|Neo-Assyrian|andurār|𒀀𒀭𒁺𒊏𒊏𒄠|𒀀𒀭𒁺𒊏𒊑𒅎|andurāram|andurārim|𒀀𒀭𒁺𒊏𒅈|𒀀𒀭𒁺𒊏𒊒𒌝|Neo-Babylonian	<i>noun</i><br><ol><li>remission of commercial debts</li><li>manumission (of private slaves)</li></ol>
anna|El-Amarna|Nuzi	<i>particle</i><br><ol><li>yes, certainly</li></ol>
annakum|𒀀𒀭𒈾𒆠𒅎|𒀀𒈾𒆪|annak|annaku|annakim|a-na-ku|𒀀𒀭𒈾𒀝|𒀀𒀭𒈾𒆪𒌝|𒀀𒀭𒈾𒅗𒄠|annakam	<i>noun</i><br><ol><li>tin, lead</li></ol>
annûm|annītum|anniātum|annûtum	<i>adj</i><br><ol><li>this, these</li></ol>
anāku|a-na-ku|𒀀𒈾𒆪	<i>pron</i><br><ol><li>I (first-person singular pronoun, nominative case)</li></ol>
apkallum|apkallam|𒀀𒀊𒅗𒀠𒅆|𒀀𒀊𒅗𒀠𒇻|apkallī|apkal|𒀀𒀊𒅗𒀠|𒀀𒀊𒅗𒀠𒈝|apkallū|𒀀𒀊𒅗𒀠𒆷𒀭|apkallim|apkallīn|𒀀𒀊𒅗𒀠𒇷|apkallān|𒀀𒀊𒅗𒀠𒇷𒅔|𒀀𒀊𒅗𒀠𒇴	<i>noun</i><br><ol><li>sage. wise man, expert</li><li>mythological sage</li></ol>
aplum|𒀀𒀊𒅆|𒀀𒀊𒆷𒀭|aplī|𒀀𒀊𒇷|apil|𒀀𒀊𒇴|apal|𒀀𒀊𒇻|aplān|𒀀𒀊𒇷𒅔|aplīn|aplam|aplū|𒀀𒉺𒀠|aplim|𒀀𒀊𒈝	<i>noun</i><br><ol><li>heir, oldest son</li></ol>
appum|𒀀𒀊𒉺𒀭|𒀀𒀊𒁉𒅎|𒀀𒀊𒉺𒁴|appātim|𒀀𒀊𒉺𒄠|appim|𒀀𒀊𒁍𒌝|appam|appi|appān|𒀀𒀊𒉺𒌈|appātum|𒀀𒀊𒁉|𒀀𒀊𒁉𒅔|appīn	<i>noun</i><br><ol><li>nose</li><li>tip, end, edge</li></ol>
aptum|𒀀𒀊𒌓|apātim|aptim|𒀀𒉺𒌈|apti|𒀀𒀊𒋾|apātum|𒀀𒀊𒁴|aptīn|𒀀𒉺𒁴|aptam|𒀀𒀊𒌈|𒀀𒀊𒋾𒅔|aptān|𒀀𒀊𒋫𒀭	<i>noun</i><br><ol><li>window, window opening</li><li>opening of the ear</li></ol>
arantum|𒀀𒊏𒀭𒌓|ar-ra-an-tu₂|𒀀𒊏𒀭𒌈|arantim|arantam|𒀀𒊏𒈾𒀜|aranat|𒀀𒊏𒀭𒁴	<i>noun</i><br><ol><li>A type of grass (potentially fennel)</li></ol>
argamannu|Boghazkeui|Neo-Assyrian|argamannān|𒀀𒅈𒂵𒈠𒀭𒈾𒀭|𒀀𒅈𒂵𒈠𒀭𒉌𒅎|argamannim|argamannum|argaman|argamannīn|argamannī|𒅈𒂵𒌋𒌋𒉡|𒀀𒅈𒂵𒈠𒀭𒈾𒄠|𒀀𒅈𒂵𒈠𒀭𒉡𒌝|ar-ga-man-nu|argamannam|Neo-Babylonian|𒀀𒅈𒂵𒈠𒀭𒉡|argamannū|𒀀𒅈𒂵𒈠𒀭|𒀀𒅈𒂵𒈠𒀭𒉌𒅔|𒀀𒅈𒂵𒈠𒀭𒉌	<i>noun</i><br><ol><li>red purple</li><li>(later) red purple wool</li><li>(Boghazkeui) tribute</li></ol>
ariktum|arikti|𒀀𒊑𒅅𒋫𒀭|arkātum|𒀀𒊑𒅅𒌓|𒀀𒅈𒅗𒌈|𒀀𒊑𒅅𒋾𒅔|𒀀𒊑𒅅𒌈|ariktān|ariktim|ariktīn|arkātim|𒀀𒊑𒅅𒋾|ariktam|𒀀𒊑𒅅𒁴|𒀀𒅈𒅗𒁴	<i>noun</i><br><ol><li>a weapon, a spear, lance, alternatively a bow (logically characterized by longness)</li><li>length</li><li>a long flute</li></ol>
arnum|aran|arnū	<i>noun</i><br><ol><li>crime, wrongdoing, offence, misdeed, guilt, fault, sin</li><li>punishment, penalty</li></ol>
arārum|tātarar|𒅕𒊏𒅈|𒄿𒉌𒊒𒌨|tārurā|irrarā|𒀀𒅈𒊏𒅈|arrar|nīrur|irrar|𒉌𒋫𒊏𒅈|𒋫𒅈𒊏𒅈|𒋫𒋫𒅈𒊑|𒄿𒊒𒌨|𒄿𒋫𒊏𒅈|𒉌𒊒𒌨|𒅕𒊏𒊒|ītarrā|𒀀𒅈𒊏|𒇷𒊒𒊒|𒄿𒊒𒊒|arur|tātarrī|tārurī|𒇷𒊒𒊏|nirrar|līrurā|𒀀𒊒𒌨|𒋫𒋫𒊏𒅈|i nīrur|𒄿𒋫𒅈𒊏|arrī|tātarrā|𒀀𒅈𒊒𒌝|ītarrū|𒋫𒅈𒊏𒊏|𒀀𒊑𒊒𒌝|𒇻𒊒𒌨|tārur|𒋫𒅈𒊏𒊑|𒋫𒊒𒊏|lūrur|𒀀𒅈𒊑|līrurū|līrur|ītarar|𒀀𒋫𒊏𒅈|ārur|𒋫𒊒𒌨|𒋫𒊒𒊑|tarrarī|nītarar|𒋫𒋫𒅈𒊏|arārū|ātarar|irrarū|𒄿𒊒𒊏|īrurā|𒇷𒊒𒌨|tarrarā|𒅕𒊏𒊏|𒉌𒅕𒊏𒅈|arrum|īrur|īrurū|𒀀𒊏𒊒𒌝|tarrar|𒄿𒋫𒅈𒊒|ārirum|arrā	<i>noun</i><br><ol><li>curse</li></ol><br><i>verb</i><br><ol><li>to curse</li><li>to treat with disrespect, insult, disown, disavow</li></ol>
asum|asam|𒀀𒊓𒄠|𒀀𒋢𒌝|asim|𒀀𒋛𒅎|as|asātum|𒀀𒊍	<i>noun</i><br><ol><li>myrtle</li><li>bear</li></ol>
atta|at-ta|𒀜𒋫	<i>pron</i><br><ol><li>you, thou (second-person masculine singular personal pronoun, nominative case)</li></ol>
atti|at-ti|𒀜𒋾	<i>pron</i><br><ol><li>you, thou (second-person feminine singular personal pronoun, nominative case)</li></ol>
attina|Assyrian	<i>pron</i><br><ol><li>ye, you (second-person plural feminine personal pronoun, nominative case)</li></ol>
attunu	<i>pron</i><br><ol><li>ye, you (second-person plural masculine personal pronoun, nominative case)</li></ol>
awātum|awâtum	<i>noun</i><br><ol><li>news, report, message</li><li>secret, rumor</li><li>wording, text, content, terms (of an agreement)</li><li>command, order, decision</li><li>matter, affair, thing, situation, legal case, legal transaction</li></ol>
awīltum|awīlātum	<i>noun</i><br><ol><li>(free) woman, lady</li><li>an epithet for Bēlessunu, a goddess</li></ol>
awīlu	<i>noun</i><br><ol><li>Non-mimated form of awīlum</li></ol>
