A|a	<i>character</i><br><ol><li>The first letter of the Albanian alphabet, written in the Latin script.</li></ol>
AIDS|aidsin|aids|AIDS-it|aidsit|aidsi|AIDS-i|AIDS-in	<i>noun</i><br><ol><li>AIDS (acquired immune deficiency syndrome)</li></ol>
Abisini|Abisinia	<i>name</i><br><ol><li>Abyssinia, Ethiopia</li></ol>
Adam|Adamëve|Adamëvet|Adamë|Adamin|Adamësh|Adami|Adamët|Adamit	<i>name</i><br><ol><li>(religion, Christianity) Adam (biblical figure)</li><li>(religion, Islam) Adem (“Adam”)</li></ol>
Adem|Ademit|Ademëvet|Ademë|Ademësh|Ademi|Ademët|Ademin|Ademëve	<i>name</i><br><ol><li>(religion, Islam) Adam</li><li>(religion, Christianity) equivalent to christian name Adam</li></ol>
Afganistani	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrikë	<i>name</i><br><ol><li>Africa</li></ol>
Afrim|Afrim-en|Afrim-o|Afrim-evet|Afrimi|o Afrim(-o)|Afrim-et|o Afrim-e|Afrim-ja|Afrim-in|Afrimet|oj Afrim-e|Afrim-it|o Afrim-et|oj Afrim-ja|oj Afrim-et|Afrim-esh|Afrime|Afrim-i|Afrim-eve|Afrim-es|Afrim|Afrim-e|o Afrim-i|Afrimja	<i>name</i><br><ol><li>approach</li><li>(rare) friend</li></ol>
Afrime|Afrim-en|Afrim-o|Afrim-evet|o Afrim(-o)|Afrimi|Afrim-et|o Afrim-e|Afrim-ja|Afrim-in|Afrimet|oj Afrim-e|Afrim-it|o Afrim-et|oj Afrim-ja|oj Afrim-et|Afrim-esh|Afrime|Afrim-i|Afrim-eve|Afrim-es|Afrim|Afrim-e|o Afrim-i|Afrimja	<i>name</i><br><ol><li>approach</li><li>(rare) friend</li></ol>
Afrimi|Afrim-en|Afrim-o|Afrim-evet|o Afrim(-o)|Afrim-et|o Afrim-e|Afrim-ja|Afrim-in|oj Afrim-e|Afrimet|Afrim-it|o Afrim-et|oj Afrim-ja|oj Afrim-et|Afrim-esh|Afrime|Afrim-i|Afrim-eve|Afrim-es|Afrim|Afrim-e|o Afrim-i|Afrimja	<i>name</i><br><ol><li>the approach</li><li>the (rare) friend</li></ol>
