A	<i>character</i><br><ol><li>The first letter of the Alemannic German alphabet, written in the Latin script.</li></ol>
Aabig|Ööbig	<i>noun</i><br><ol><li>evening</li></ol>
Aafang|Aafäng	<i>noun</i><br><ol><li>beginning</li></ol>
Aalass|Aaläss	<i>noun</i><br><ol><li>impetus, cause</li><li>event</li></ol>
Aare|Äärme|Äärem	<i>noun</i><br><ol><li>(unit of measurement) are, 100 square metres</li><li>(Uri) Alternative form of Aarm</li></ol>
Aargou	<i>name</i><br><ol><li>Aargau (a canton of Switzerland)</li></ol>
Aarm|Aarme|Äärmli|Äärm	<i>noun</i><br><ol><li>arm</li></ol>
Aaschnitt	<i>noun</i><br><ol><li>(Switzerland) heel, crust (end-piece of a loaf of bread)</li></ol>
Abwart|Abwarti|Abwarte	<i>noun</i><br><ol><li>caretaker, janitor</li><li>supervision, maintenance</li></ol>
Aff|Äffli|Affe	<i>noun</i><br><ol><li>monkey, ape</li></ol>
Alemannisch	<i>name</i><br><ol><li>Alemannic (dialect group or language)</li></ol>
Allmeini	<i>noun</i><br><ol><li>(Uri) common land</li></ol>
Alphorn|Alphörner	<i>noun</i><br><ol><li>(music) alphorn</li></ol>
Altar	<i>noun</i><br><ol><li>(Uri) age, old age</li></ol>
Ameisse	<i>noun</i><br><ol><li>(Uri) ant</li></ol>
Ange	<i>noun</i><br><ol><li>(Uri) hinge, door hinge</li></ol>
Angscht	<i>noun</i><br><ol><li>fear</li></ol>
Angster	<i>noun</i><br><ol><li>(Uri) A small coin of undetermined value.</li></ol>
Anke	<i>noun</i><br><ol><li>butter</li></ol>
Ankebälleli	<i>noun</i><br><ol><li>globeflower (Trollius europaeus)</li></ol>
Arfe	<i>noun</i><br><ol><li>(Uri) Swiss mountain pine, Pinus mugo.</li></ol>
Armbruscht|Armbrüscht	<i>noun</i><br><ol><li>crossbow</li></ol>
Ascht|Äschtli|Äscht	<i>noun</i><br><ol><li>bough, branch</li></ol>
Atzing	<i>noun</i><br><ol><li>(Uri) greenfodder</li></ol>
Au	<i>noun</i><br><ol><li>(Uri) ewe</li></ol>
Aug|Äugli|Auge	<i>noun</i><br><ol><li>(anatomy) eye</li></ol>
Augbraame	<i>noun</i><br><ol><li>(Uri, anatomy) eyebrow</li></ol>
Augespiegel	<i>noun</i><br><ol><li>(Uri) glasses</li></ol>
Baaum	<i>noun</i><br><ol><li>(Uri) tree</li></ol>
Bachbummele	<i>noun</i><br><ol><li>(Breisgau) marsh marigold (Caltha palustris)</li></ol>
Bachrolle	<i>noun</i><br><ol><li>(Breisgau, Försteland) globeflower (Trollius europaeus)</li></ol>
Bade	<i>name</i><br><ol><li>Baden</li></ol>
Badi	<i>noun</i><br><ol><li>public baths, swimming pool</li><li>open-air swimming area at a lakeside etc.; lido</li></ol>
Balung	<i>noun</i><br><ol><li>(Uri) balloon</li></ol>
Barme	<i>noun</i><br><ol><li>(Uri) A trough for animal fodder.</li></ol>
Beck|Becke	<i>noun</i><br><ol><li>baker</li></ol>
Bei	<i>noun</i><br><ol><li>leg</li></ol>
Beiz|Beizli|Beize	<i>noun</i><br><ol><li>pub, bar</li><li>inn</li></ol>
Berri	<i>noun</i><br><ol><li>(Uri) berry</li></ol>
Bett|Better	<i>noun</i><br><ol><li>bed</li></ol>
Bettseicher	<i>noun</i><br><ol><li>(Baden-Württemberg) bedwetter</li><li>(Baden-Württemberg) dandelion</li></ol>
Bier	<i>noun</i><br><ol><li>beer</li></ol>
Bii	<i>noun</i><br><ol><li>(Uri) honey bee</li></ol>
Biig|Biige|Biigli|Biigi	<i>noun</i><br><ol><li>pile, stack</li><li>(regional) woodpile</li></ol>
Biire	<i>noun</i><br><ol><li>(Uri) pear</li></ol>
Biiswind	<i>noun</i><br><ol><li>north wind, Bise (a specific north wind)</li></ol>
Biisääß	<i>noun</i><br><ol><li>(Uri) A man who is established in his profession, e.g. a resident doctor or (full) professor.</li></ol>
Biiwacht	<i>noun</i><br><ol><li>reinforcements for a guard, city watch, etc.</li></ol>
Billere	<i>noun</i><br><ol><li>(Uri) gums (flesh around teeth)</li></ol>
Birbant	<i>noun</i><br><ol><li>(Uri) rascal, imp</li></ol>
Bitz	<i>noun</i><br><ol><li>(Uri) bite, bit</li></ol>
Blacke	<i>noun</i><br><ol><li>(Uri, plural only) monk's rhubarb, Rumex alpinus</li></ol>
Blag|Blagli	<i>noun</i><br><ol><li>(Uri, derogatory, slang) brat</li></ol>
Blatt|Bletter|Blettli	<i>noun</i><br><ol><li>(botany) leaf</li><li>(card games) card</li></ol>
