'acicim	<i>adj</i><br><ol><li>sour</li></ol>
'acocol	<i>noun</i><br><ol><li>spinning top</li></ol>
'ada	<i>noun</i><br><ol><li>enemy</li></ol>
'adeteng	<i>noun</i><br><ol><li>sap (of a tree)</li></ol>
'adi	<i>noun</i><br><ol><li>rice crust; crust of cooked rice</li></ol>
'adingo	<i>noun</i><br><ol><li>shadow</li></ol>
'adipangpang	<i>noun</i><br><ol><li>butterfly</li></ol>
'adipel	<i>noun</i><br><ol><li>wall; bamboo fence; twig fence</li></ol>
'adiping	<i>noun</i><br><ol><li>cockscomb (of a rooster)</li></ol>
'afala	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
'afar	<i>noun</i><br><ol><li>shrimp</li></ol>
'ak'ak	<i>noun</i><br><ol><li>crow</li></ol>
'alem	<i>noun</i><br><ol><li>pangolin</li></ol>
'ali	<i>noun</i><br><ol><li>sister-in-law</li></ol>
'alic	<i>noun</i><br><ol><li>sparrow</li></ol>
'alilis	<i>noun</i><br><ol><li>eagle</li></ol>
'alo	<i>noun</i><br><ol><li>stream; creek; brook</li></ol>
'alopaynay	<i>noun</i><br><ol><li>firefly</li></ol>
'asolo	<i>noun</i><br><ol><li>pestle</li></ol>
'atay	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
'atikak	<i>noun</i><br><ol><li>earthworm</li></ol>
'atimela	<i>noun</i><br><ol><li>flea</li></ol>
'atimla^	<i>noun</i><br><ol><li>flea</li></ol>
'ayam	<i>noun</i><br><ol><li>bird; chicken</li></ol>
'edef	<i>verb</i><br><ol><li>to close (door, window)</li></ol>
'edefen	<i>verb</i><br><ol><li>to shut; to close</li></ol>
'emamosa	<i>noun</i><br><ol><li>(anatomy) pupil</li></ol>
'o'ol	<i>noun</i><br><ol><li>frost</li><li>cloud</li><li>dew</li></ol>
'odal	<i>noun</i><br><ol><li>bee</li></ol>
'ofad	<i>noun</i><br><ol><li>white hair</li></ol><br><i>num</i><br><ol><li>ten thousand</li></ol>
'okak	<i>noun</i><br><ol><li>(anatomy) bone</li></ol>
'okoy	<i>noun</i><br><ol><li>cucumber</li></ol>
'oner	<i>noun</i><br><ol><li>snake</li></ol>
'ong'ong	<i>noun</i><br><ol><li>rice crust; crust of cooked rice</li></ol>
'ongcoy	<i>noun</i><br><ol><li>rock; stone</li></ol>
'oning	<i>noun</i><br><ol><li>dirt</li></ol>
'opo	<i>noun</i><br><ol><li>rice crops/paddy which are already piled up and dried in the sun</li><li>meeting; conference</li></ol><br><i>verb</i><br><ol><li>to assemble; to gather</li></ol>
'opo^	<i>noun</i><br><ol><li>soil and stone/ mound</li></ol>
'orad	<i>noun</i><br><ol><li>rain</li><li>rainwater</li></ol>
'orip	<i>noun</i><br><ol><li>life</li></ol>
'oway	<i>noun</i><br><ol><li>rattan</li></ol>
Ripon	<i>name</i><br><ol><li>Japan</li></ol>
Taypak	<i>name</i><br><ol><li>Taipei</li></ol>
aahowiden	<i>adj</i><br><ol><li>thankworthy; deserving thanks; worthy of gratitude</li></ol>
aca	<i>adv</i><br><ol><li>only</li></ol>
acefel	<i>noun</i><br><ol><li>smoke; mist</li></ol>
aci	<i>conj</i><br><ol><li>and (used before name of person/relative)</li></ol>
acinomoto	<i>noun</i><br><ol><li>monosodium glutamate; MSG</li></ol>
adada	<i>noun</i><br><ol><li>sickness; disease</li><li>pain</li></ol>
adawang	<i>noun</i><br><ol><li>place for gathering</li><li>front gate; doorway; entrance</li></ol>
adingo^	<i>noun</i><br><ol><li>shadow</li></ol>
adipangpang	<i>noun</i><br><ol><li>butterfly</li></ol>
aenem	<i>noun</i><br><ol><li>six people</li></ol>
aenemay	<i>verb</i><br><ol><li>to have six things; to possess six objects</li></ol>
afsa'	<i>adj</i><br><ol><li>tasteless (of food, speech, song, etc.)</li></ol>
akong	<i>noun</i><br><ol><li>grandfather</li></ol>
