a	<i>verb</i><br><ol><li>(transitive, Mpakwithi) to pull</li></ol>
ad̪iki	<i>noun</i><br><ol><li>(Mpakwithi) moon</li></ol><br><i>adj</i><br><ol><li>(Mpakwithi) yellow</li></ol>
ad̪iti	<i>noun</i><br><ol><li>(Mpakwithi) wrinkle</li></ol>
anu	<i>noun</i><br><ol><li>(Mpakwithi) hip</li></ol>
arana	<i>noun</i><br><ol><li>(Mpakwithi) toenail</li><li>(Mpakwithi) fingernail</li></ol>
awn̪ilad̪i	<i>noun</i><br><ol><li>(Mpakwithi) oldest sister</li></ol>
awn̪ipwa	<i>noun</i><br><ol><li>(Mpakwithi) middle sister</li></ol>
ay	<i>noun</i><br><ol><li>(Mpakwithi) vegetable</li></ol>
aŋa	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to go</li><li>(intransitive, Mpakwithi) to come</li></ol>
aŋukwin̪i	<i>noun</i><br><ol><li>(Mpakwithi) maternal uncle</li></ol>
aŋurud̪i	<i>noun</i><br><ol><li>(Mpakwithi) my grandchild</li></ol>
aŋut̪a	<i>noun</i><br><ol><li>(Mpakwithi) daughter</li></ol>
aɽu	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to bark</li></ol>
aᶁima	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to suffer</li></ol>
ba	<i>noun</i><br><ol><li>(Mpakwithi) island</li></ol>
baanu	<i>noun</i><br><ol><li>(Mpakwithi) wild cucumber</li><li>(Mpakwithi) grape</li></ol>
bana	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to climb</li></ol>
barana	<i>noun</i><br><ol><li>(Mpakwithi) carpet snake</li></ol>
baw	<i>noun</i><br><ol><li>(Mpakwithi) tooth</li></ol>
bay	<i>noun</i><br><ol><li>(Mpakwithi) barracouta</li></ol>
baɣa	<i>noun</i><br><ol><li>(Mpakwithi) bag</li><li>(Mpakwithi) marsupial's pouch</li></ol>
baɽi	<i>noun</i><br><ol><li>(Mpakwithi) up</li></ol>
biini	<i>adj</i><br><ol><li>(Mpakwithi) short</li></ol>
buʔu	<i>noun</i><br><ol><li>(Mpakwithi) ghost</li></ol>
buʔu-ᶁe	<i>noun</i><br><ol><li>(Mpakwithi) clever man</li></ol>
bwa	<i>verb</i><br><ol><li>(transitive, Mpakwithi) to break</li></ol>
bwana	<i>noun</i><br><ol><li>(Mpakwithi) bream</li></ol>
bwaraka	<i>noun</i><br><ol><li>(Mpakwithi) Torres Strait pigeon</li></ol>
bwaʔa	<i>noun</i><br><ol><li>(Mpakwithi) meat</li><li>(Mpakwithi) flesh</li></ol>
bwii	<i>verb</i><br><ol><li>(transitive, Mpakwithi) to kill</li></ol>
bwiini	<i>noun</i><br><ol><li>(Mpakwithi) back</li></ol>
bwæni	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to break</li></ol>
büɣu	<i>noun</i><br><ol><li>(Mpakwithi) scorpion</li></ol>
bɽadʳa	<i>adj</i><br><ol><li>(Mpakwithi) long ago</li></ol>
bɽaŋa	<i>noun</i><br><ol><li>(Mpakwithi) husband</li></ol>
bɽeɲi	<i>noun</i><br><ol><li>(Mpakwithi) beach</li></ol>
bɽeʔeŋa	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to play</li></ol>
bɽi	<i>noun</i><br><ol><li>(Mpakwithi) mud</li><li>(Mpakwithi) red paint</li></ol>
bɽiŋi	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to be dirty</li></ol>
bɽiŋi-bɽiŋi	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to be noisy</li></ol>
bɽuyi	<i>noun</i><br><ol><li>(Mpakwithi) night</li></ol>
bɽuyi-bɽuyi	<i>noun</i><br><ol><li>(Mpakwithi) afternoon</li></ol>
dadi	<i>adj</i><br><ol><li>(Mpakwithi) fast</li></ol>
dimiᶁit̪i	<i>noun</i><br><ol><li>(Mpakwithi) water goanna</li></ol>
dupɽiɣu	<i>noun</i><br><ol><li>(Mpakwithi) old woman</li></ol>
duru	<i>noun</i><br><ol><li>(Mpakwithi) four-prong spear</li></ol>
duulu	<i>noun</i><br><ol><li>(Mpakwithi) garfish</li></ol>
duunu	<i>noun</i><br><ol><li>(Mpakwithi) small whiting (fish)</li></ol>
duwiði	<i>noun</i><br><ol><li>(Mpakwithi) name</li></ol>
duðu	<i>noun</i><br><ol><li>(Mpakwithi) word</li></ol>
dwakwabat̪i	<i>noun</i><br><ol><li>(Mpakwithi) salmon</li></ol>
dwaɣa	<i>noun</i><br><ol><li>(Mpakwithi) beach</li></ol>
dwiri	<i>noun</i><br><ol><li>(Mpakwithi) sugarbag bee</li></ol>
dʳa	<i>verb</i><br><ol><li>(transitive, Mpakwithi) to leave</li><li>(transitive, Mpakwithi) to put down</li></ol>
dʳadat̪a	<i>verb</i><br><ol><li>(intransitive, Mpakwithi) to live</li><li>(intransitive, Mpakwithi) to lie down</li></ol>
dʳat̪i	<i>noun</i><br><ol><li>(Mpakwithi) current</li><li>(Mpakwithi) tide</li></ol><br><i>verb</i><br><ol><li>(Mpakwithi) to lie down</li></ol>
dʳeebɽi	<i>noun</i><br><ol><li>(Mpakwithi) umbrella palm</li></ol>
dʳeegwati	<i>noun</i><br><ol><li>(Mpakwithi) trevally</li></ol>
dʳeemɽi	<i>noun</i><br><ol><li>(Mpakwithi) outrigger</li><li>(Mpakwithi) shirt</li></ol>
dʳeeni	<i>adj</i><br><ol><li>(Mpakwithi) different</li></ol>
dʳeet̪imɽi	<i>noun</i><br><ol><li>(Mpakwithi) shirt</li></ol>
dʳi	<i>noun</i><br><ol><li>(Mpakwithi) throat</li></ol>
dʳiiᶁiti	<i>adj</i><br><ol><li>(Mpakwithi) sweet</li></ol>
dʳwamɽa	<i>noun</i><br><ol><li>(Mpakwithi) woman</li></ol>
dʳwaŋa	<i>noun</i><br><ol><li>(Mpakwithi) wife</li></ol>
dʳwaʔara	<i>noun</i><br><ol><li>(Mpakwithi) today</li><li>(Mpakwithi) daytime</li></ol>
dʳwe	<i>noun</i><br><ol><li>(Mpakwithi) shell</li></ol>
dʳwili	<i>noun</i><br><ol><li>(Mpakwithi) brolga</li></ol>
dʳya	<i>noun</i><br><ol><li>(Mpakwithi) wing</li><li>(Mpakwithi) arm</li></ol>
d̪a	<i>noun</i><br><ol><li>(Mpakwithi) splinter</li><li>(Mpakwithi) wood chip</li></ol>
d̪aaƫamana	<i>noun</i><br><ol><li>(Mpakwithi) sap</li></ol>
d̪aɣu	<i>noun</i><br><ol><li>(Mpakwithi) testicles</li></ol>
d̪aʔa	<i>noun</i><br><ol><li>(Mpakwithi) grass</li></ol>
d̪eeni	<i>noun</i><br><ol><li>(Mpakwithi) wasp</li></ol>
d̪i	<i>noun</i><br><ol><li>(Mpakwithi) Smooth-bark tea tree (Melaleuca quinquenervia)</li></ol><br><i>verb</i><br><ol><li>(transitive, Mpakwithi) to suck</li></ol>
d̪it̪i	<i>noun</i><br><ol><li>(Mpakwithi) New Guinea sago</li></ol>
d̪uɽi	<i>noun</i><br><ol><li>(Mpakwithi) kingfisher</li></ol>
d̪wa	<i>noun</i><br><ol><li>(Mpakwithi) eye</li></ol><br><i>verb</i><br><ol><li>(transitive, Mpakwithi) to catch</li></ol>
d̪wa-pawa	<i>noun</i><br><ol><li>(Mpakwithi) eyeball</li></ol>
d̪wa-pay	<i>noun</i><br><ol><li>(Mpakwithi) eyebrow</li></ol>
d̪walad̪i	<i>noun</i><br><ol><li>(Mpakwithi) wild dog</li></ol>
d̪wimi	<i>noun</i><br><ol><li>(Mpakwithi) string</li></ol>
d̪wini	<i>noun</i><br><ol><li>(Mpakwithi) vine</li></ol>
d̪wiʔi	<i>noun</i><br><ol><li>(Mpakwithi) buttocks</li></ol>
d̪ææwat̪i	<i>adj</i><br><ol><li>(Mpakwithi) greedy</li></ol>
ga	<i>noun</i><br><ol><li>(Mpakwithi) mouth</li></ol><br><i>verb</i><br><ol><li>(transitive, Mpakwithi) to poke</li><li>(transitive, Mpakwithi) to peel</li></ol>
gamaraŋu	<i>noun</i><br><ol><li>(Mpakwithi) pannikin</li></ol>
gapɽa	<i>adj</i><br><ol><li>(Mpakwithi) bad</li></ol>
gatʳali	<i>adj</i><br><ol><li>(Mpakwithi) sour</li></ol>
gawri	<i>verb</i><br><ol><li>(transitive, Mpakwithi) to look for</li></ol>
gawðaɣi	<i>noun</i><br><ol><li>(Mpakwithi) crocodile</li></ol>
gaɽaka	<i>noun</i><br><ol><li>(Mpakwithi) star</li></ol>
gaʔaga	<i>noun</i><br><ol><li>(Mpakwithi) kookaburra</li></ol>
gaʔu	<i>noun</i><br><ol><li>(Mpakwithi) chin</li></ol>
gaʔu-ŋa	<i>noun</i><br><ol><li>(Mpakwithi) beard</li></ol>
