׃	<i>punct</i><br><ol><li>Used to signify the end of a passage, such as a verse from Scripture.</li></ol>
אב|ʾāḇ|אָב	<i>name</i><br><ol><li>August</li></ol>
אבא|אַבְנַיָּא|אבנא|אַבְנָא|אֲבוּ|ʾabbā|אֲבָהָתָא|אַבָּא|אִמָּא|ʾaḇnā|אבא	<i>noun</i><br><ol><li>father, ancestor, progenitor</li><li>teacher</li><li>chief, leader</li><li>author, originator</li><li>thicket, woods, grove</li><li>produce, fruit, vegetable</li></ol>
אבאבית	<i>noun</i><br><ol><li>swelling, heaviness</li><li>disorder of the stomach, vomiting (spasms)</li></ol>
אבאשותא	<i>noun</i><br><ol><li>offense, displeasure</li></ol>
אבב|aḇaḇ|אֲבַב	<i>verb</i><br><ol><li>(intransitive) to grow, to ripen</li></ol>
אבגניסטטי|אֶבְגְּנִיסְטָטֵי'	<i>noun</i><br><ol><li>most noble</li></ol>
אבד|avad|אֲבַד	<i>verb</i><br><ol><li>be lost, disappear</li><li>to perish, die</li><li>destroy</li><li>destroy.</li><li>(intransitive), be lost, go to ruin.</li></ol>
אבדא	<i>noun</i><br><ol><li>disappearance</li><li>destruction, ruin</li></ol>
אבדלתא	<i>noun</i><br><ol><li>distinguishing, separation</li><li>Havdalah, a formula of prayer for the exit of the Sabbath or holy days</li></ol>
אבדנא	<i>noun</i><br><ol><li>ruin, destruction</li><li>perdition</li><li>loss</li></ol>
אבה|אָבָה|אָבֵי	<i>verb</i><br><ol><li>to be willing</li></ol>
אבהתא|אמהתא|אֲבוּ|ʾabbā|אֲבָהָתָא|אַבָּא|אִמָּא|אבא	<i>noun</i><br><ol><li>fathers</li></ol>
אבוב|אַבּוּב|אַבּוּבָא	<i>noun</i><br><ol><li>reed, flute</li><li>pipe, tube</li></ol>
אבובא|אבובתא	<i>noun</i><br><ol><li>reed, flute</li><li>pipe, tube</li><li>channel, canal</li></ol>
אבולא|ʾibbûlā|אִבּוּלֵי|אִבּוּלָא	<i>noun</i><br><ol><li>wagon-gate, city gateway</li><li>a fortified place where people like judges sit</li></ol>
אבולאי|ʾibbûlāʾê|אִבּוּלָאֵי	<i>noun</i><br><ol><li>city-gate guards, police</li></ol>
אבורגנא|אַבּוּרְגְּנָא|אַבְּרוּגְנֵי|אַבְּרוּגְנָא|pl.: אַבּוּרְגְּנֵי	<i>noun</i><br><ol><li>bed-cover, ticking (involucrum)</li></ol>
אבזרא|אַבְזָרָא|אֲבִזְרֵי|ʾaḇizrā|אֲבִיזְרֵי|אבזרי|אֲבִיזְרָא|אֲבִזְרֵי'|אֲבִזְרָא|ʾaḇzārā	<i>noun</i><br><ol><li>instrument, appurtenance</li><li>anything used for seasoning; spices, etc.</li></ol>
אבזרי|אֲבִזְרֵי'|אֲבִיזְרֵי	<i>noun</i><br><ol><li>requisites; appurtenances</li></ol>
אבטא	<i>noun</i><br><ol><li>belly; whence</li><li>leather wine-bag</li></ol>
אבטומטוס	<i>adj</i><br><ol><li>self-moving, self-growing, spontaneous</li></ol>
אבטוניות	<i>noun</i><br><ol><li>Cities enjoying their own laws; jurisdictions.</li></ol>
אבטיונא	<i>noun</i><br><ol><li>Commissary, quartermaster in the Roman army.</li></ol>
אבטיחא|אבטיחיא	<i>noun</i><br><ol><li>watermelon</li></ol>
אביבא|אביב	<i>noun</i><br><ol><li>early stage of ripening, especially of grains</li><li>season of beginning barley-crop</li><li>also, the offering of the first fruits (בכורים) (on Passover)</li></ol>
אבידא	<i>adj</i><br><ol><li>lost</li><li>perished, destroyed</li></ol>
אבידתא|אבידא	<i>adj</i><br><ol><li>lost</li><li>perished, destroyed</li></ol>
אבל	<i>verb</i><br><ol><li>to mourn, to lament</li></ol>
אבלא	<i>noun</i><br><ol><li>grief, sadness, sorrow</li><li>mourning, lamentation</li></ol>
אבנא|אַבְנַיָּא|אַבְנָא|ʾaḇnā	<i>noun</i><br><ol><li>rock, stone (material)</li></ol>
אבקא	<i>noun</i><br><ol><li>dust</li></ol>
אברא|אברא	<i>noun</i><br><ol><li>lead</li><li>feather</li></ol>
אברהם	<i>name</i><br><ol><li>(biblical) Abraham</li></ol>
אגוגא	<i>noun</i><br><ol><li>watercourse (aqueduct, canal, waterfall, etc.)</li><li>cleft, fissure</li></ol>
אגונא	<i>noun</i><br><ol><li>assembly, crowd</li><li>contest, competition</li><li>trial, test</li><li>struggle</li></ol>
אגטרגטא|אַגְטְרַגְטָא|agt'ragta|אַגְטְרַגְטַיָּיא	<i>noun</i><br><ol><li>cataract, cascade</li></ol>
אגנא	<i>noun</i><br><ol><li>basin, crater</li><li>jug, pitcher</li><li>bowl</li><li>(anatomy) pelvis</li></ol>
אגרא|אגרא	<i>noun</i><br><ol><li>roof, rooftop</li><li>pay, wage, hire</li><li>fee, fare</li><li>reward</li></ol>
אגרתא	<i>noun</i><br><ol><li>letter, epistle</li></ol>
אדהכי והכי	<i>adv</i><br><ol><li>meanwhile</li></ol>
אדכר|אַדְכֵּר	<i>verb</i><br><ol><li>to remind</li></ol>
אדם|adám	<i>name</i><br><ol><li>(biblical) Adam.</li></ol>
אדמתא|אַדְמְתָא|אֲדָמַת|אַדְמָת|אֲדָמָה|אַדְמָתָא|אַדְמָן	<i>noun</i><br><ol><li>earth, soil, dust</li></ol>
אדנא|אדנהתא|אדנתא	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
אדר|ɑdɑr	<i>name</i><br><ol><li>March: the month of March.</li></ol>
אדרבא|ʾaddərabbā|אַדְּרַבָּא	<i>adv</i><br><ol><li>(Jewish Babylonian Aramaic) on the contrary</li></ol>
אהרון	<i>name</i><br><ol><li>(biblical) Aaron.</li></ol>
או	<i>conj</i><br><ol><li>or, either</li></ol><br><i>intj</i><br><ol><li>woe, alas, O</li></ol>
אוגיניס|אֶוְגִּינֵיס|אֶוְגִּינֵס|אֶבְגִּינוֹס|אֶװְגִּינוֹס	<i>adj</i><br><ol><li>of noble descent</li></ol>
אווזא	<i>noun</i><br><ol><li>(Jewish Babylonian Aramaic, Mandaic) goose</li></ol>
אוחדנא	<i>noun</i><br><ol><li>possession</li><li>dominion, province</li></ol>
אוכלא	<i>noun</i><br><ol><li>food</li></ol>
אוכמא	<i>adj</i><br><ol><li>black</li></ol>
אוכמתא|אוכמא	<i>adj</i><br><ol><li>black</li></ol>
אולי	<i>name</i><br><ol><li>Ulai</li></ol>
אולצנא	<i>noun</i><br><ol><li>calamity</li><li>suffering, oppression</li></ol>
אומתא|אמותא|אומותא|ʾumməṯā	<i>noun</i><br><ol><li>nation, people</li></ol>
אונגליון|אונגליא	<i>noun</i><br><ol><li>gospel</li></ol>
אוצרא	<i>noun</i><br><ol><li>treasury, storehouse</li><li>barn, granary</li></ol>
אוקינוס|אוקינו	<i>noun</i><br><ol><li>ocean</li></ol>
אורגנון|אורגנא	<i>noun</i><br><ol><li>instrument, tool</li><li>vessel</li><li>(anatomy) organ</li></ol>
אורדעא	<i>noun</i><br><ol><li>frog</li></ol>
אורהי	<i>name</i><br><ol><li>Edessa</li></ol>
אורחא|אורחתא	<i>noun</i><br><ol><li>road, way, path</li></ol>
אוריא|אורותא	<i>noun</i><br><ol><li>stall (compartment in stable)</li><li>crib, manger, cradle</li></ol>
אוריתא|ʾōrayṯā|אוֹרַיְתָא	<i>name</i><br><ol><li>Torah</li></ol>
אורכא	<i>noun</i><br><ol><li>length</li></ol>
אורשלם|’ūrišlem	<i>name</i><br><ol><li>Jerusalem</li></ol>
אזדרע|izdəraʿ|izdaraʿ|אִזְדַּרַע|אִזְדְּרַע	<i>verb</i><br><ol><li>to be sown, seeded</li></ol>
אזל|אֲזַל|ʾăzal|יֵאזֵל	<i>verb</i><br><ol><li>to go, depart</li></ol>
אזרע|ʾazraʿ|אַזְרַע	<i>verb</i><br><ol><li>to emit semen, to ejaculate</li></ol>
אחא|אַחַיָּא|אֲחָא|ʾăḥā	<i>noun</i><br><ol><li>brother</li></ol>
אחד	<i>verb</i><br><ol><li>to hold, take, seize</li><li>to shut, close</li></ol>
אחר	<i>verb</i><br><ol><li>to be late, to delay</li></ol>
אחריא	<i>adj</i><br><ol><li>last, final</li></ol>
אחריתא|אחריא	<i>adj</i><br><ol><li>last, final</li></ol>
אחרנא	<i>adj</i><br><ol><li>other, another</li></ol>
אחרתא|אחרנא|אחרניתא	<i>adj</i><br><ol><li>other, another</li></ol>
אידא|אינא|ʾīḏā|אידיא|אילין	<i>pron</i><br><ol><li>which</li></ol>
איהו|איהי|אינהו|ʾīhū|אינהי	<i>pron</i><br><ol><li>(Jewish Babylonian Aramaic) he</li></ol>
איהי	<i>pron</i><br><ol><li>she</li></ol>
איך	<i>conj</i><br><ol><li>like, as, similar to</li></ol>
איכא|אִיכָּא|ʾīkkā	<i>adv</i><br><ol><li>where</li></ol><br><i>conj</i><br><ol><li>where</li></ol><br><i>particle</i><br><ol><li>(Jewish Palestinian Aramaic, Jewish Babylonian Aramaic) there is, there are</li></ol>
איכנא	<i>pron</i><br><ol><li>how, as, similar to</li><li>for example</li></ol>
איל	<i>name</i><br><ol><li>God, the single god of monotheism.</li></ol>
אילא|אַיְלָא|אַיְלֵא|ʾaylā|אַיְלְתָא	<i>noun</i><br><ol><li>stag, hart (male deer)</li></ol>
אילול	<i>name</i><br><ol><li>September</li></ol>
אילין|אידא|אינא	<i>pron</i><br><ol><li>which</li></ol>
אילנא|אִילָנָא|אִילָנַיָּא|ʾīlānā|אִילָנֵי|אִילַן|אִילָנִין	<i>noun</i><br><ol><li>tree</li></ol>
אילתא|אַיְלָא|ʾayəlṯā|אַיְלְתֵא|אַיְלְתָא	<i>noun</i><br><ol><li>hind (female deer)</li></ol>
אין|אֵין|ʾēn	<i>adv</i><br><ol><li>yes</li></ol>
אינא|אידא|אילין	<i>pron</i><br><ol><li>which</li></ol>
אינהו	<i>pron</i><br><ol><li>they</li></ol>
אינון	<i>pron</i><br><ol><li>they</li></ol>
איקרא	<i>noun</i><br><ol><li>honour/honor, glory</li></ol>
איר	<i>name</i><br><ol><li>May</li></ol>
אירג	<i>name</i><br><ol><li>Iraq, the southern end of Mesopotamia</li></ol>
אית|אִית|ʾīṯ	<i>prep</i><br><ol><li>there is, there are</li><li>(with ל־ (lə-)) to have</li></ol>
איתותא	<i>noun</i><br><ol><li>essence, substance</li></ol>
איתתא|נְשַיָּא|ʾittǝṯā|נְשַיָא|אִיתְּתָא|אִתַּת|אִתָּא|נְשִין|נְשֵי	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
