A	<i>character</i><br><ol><li>The first letter of the Aromanian alphabet, called a and written in the Latin script.</li></ol>
Alvania	<i>name</i><br><ol><li>Albania</li></ol>
Alvanii|Alvania	<i>name</i><br><ol><li>Albania (a country in southeastern Europe)</li></ol>
Amirichii|Amirichia	<i>name</i><br><ol><li>The United States of America</li><li>The Americas</li></ol>
Arbinishia	<i>name</i><br><ol><li>Albania</li></ol>
Arbinishii|Arbinishia	<i>name</i><br><ol><li>Albania (a country in southeastern Europe)</li></ol>
Arghentina	<i>name</i><br><ol><li>Argentina</li></ol>
Arghentine|Arghentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Arghentinã|Arghentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Armãnia	<i>name</i><br><ol><li>Romania</li></ol>
Armãnii|Armãnia	<i>name</i><br><ol><li>Romania (a country in Europe)</li></ol>
Arusia	<i>name</i><br><ol><li>Russia</li></ol>
Arusii|Arusia|Rusii|Rusia	<i>name</i><br><ol><li>Russia (a country in eastern Europe)</li></ol>
Athina	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
Athine|Athina	<i>name</i><br><ol><li>Athens (the capital and largest city of Greece)</li></ol>
Athinã|Athina	<i>name</i><br><ol><li>Athens (the capital and largest city of Greece)</li></ol>
Birat|Bãrat|Birati|Bãrata	<i>name</i><br><ol><li>Berat (a city in central Albania)</li></ol>
Bitule|Bitula|Bitulea	<i>name</i><br><ol><li>The second largest city in North Macedonia (after Skopje); formerly named Monastir.</li></ol>
Brazilii|Brazilia	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Britania Mari	<i>name</i><br><ol><li>Great Britain</li></ol>
Bubushtitsa	<i>name</i><br><ol><li>Boboshticë</li></ol>
Bubushtitse|Bubushtitsa	<i>name</i><br><ol><li>Boboshticë (a village in Albania)</li></ol>
Bubushtitsã|Bubushtitsa	<i>name</i><br><ol><li>Boboshticë (a village in Albania)</li></ol>
Bucureshci	<i>name</i><br><ol><li>Bucharest</li></ol>
