অ|o	<i>character</i><br><ol><li>The first character in the Assamese alphabet.</li></ol>
অঁ|õ	<i>intj</i><br><ol><li>yes, yep, (affirmative response to a yes-no question)</li></ol>
অঁকা|নকাৱ|অঁকাবি|নকাবলগা|অঁকালা|অঁকাইছিলা|অঁকোৱা নাছিলে|অঁকাই থাকিব|নকালে|অঁকাই আছে|"not about to" (usage is not common)|অঁকাই নাথাকিবা|অঁকাইছে|অঁকাওঁতে অঁকাওঁতে|অঁকাই আছা|নকায়|অঁকাই অঁকাই|অঁকাই নাথাকিবি|নকাওঁ|অঁকাই থকা নাছিলা|অঁকোৱা নাছিলা|অঁকালে|অঁকাওঁতে|নকাইছিলি|অঁকাম|নকালোঁ|অঁকাবৰ|অঁকাই থকা নাছিলে|নকাইছ|নকাই নকাই|õka|অঁকোৱাত|অঁকোৱা নাছিলোঁ|নকোৱাত|অঁকাই আছ|নকাইছিলা|অঁকাই থাকিম|অঁকাই নাথাক|নকাওঁতে|অঁকাই থাকিবি|অঁকাইছিলি|অঁকাই আছোঁ|অঁকাই নাথাকিম|অঁকাৱ|অঁকাই থকা নাছিলোঁ|অঁকাই নাথাকোঁ|নকাবলৈ|নকাওঁতা|নকাইছে|অঁকাব|নকাবা|অঁকাই|অঁকাইছিলোঁ|অঁকাইছিলে|নকাই|অঁকাওঁতা|অঁকাই থকা নাছিলি|অঁকালত|অঁকাৱঁতী|নকাব|অঁকাই থাকিবা|অঁকাইছোঁ|অঁকাবলগীয়া|নকাম|অঁকাবলৈ|নকাইছোঁ|অঁকাইছ|অঁকায়|"Perhaps"|নকাইছা|নকাওঁতে নকাওঁতে|অঁকাই থকা নাই|অঁকাবা|নকাবি|নকোৱা|অঁকাবলৈকে|অঁকোৱা নাছিলি|অঁকোৱা|অঁকাই আছিলা|অঁকালোঁ|নকাবৰ|নকালা|অঁকাই নাথাকে|অঁকাই নাথাকা|অঁকাই নাথাকিব|নকাইছিলে|অঁকাই আছিলোঁ|নকা|নকাবলগীয়া|অঁকাই আছিলে|নকাইছিলোঁ|অঁকাওঁ|নকাৱঁতী|অঁকাইছা|অঁকালি|অঁকাবলগা|নকালত|অঁকোৱা নাই|নকাবলৈকে|অঁকাই আছিলি|নকালি|অঁকাওক	<i>adj</i><br><ol><li>drawn</li></ol><br><i>verb</i><br><ol><li>cause to draw, illustrate</li></ol>
অঁকৰা|õkora	<i>adj</i><br><ol><li>stupid, fool, idiot</li></ol>
অংক|অংককেইটাক|অংকবিলাকলৈকে|অংকখন|অংকবিলাকত|অংকবোৰৰ|অংকবিলাকৰ|অংকখনলৈ|অংকখনে|অংককেইখনৰ|অংককেইটাই|অংকসমূহলৈ|অংকবোৰেৰে|অংকক|অংককেইখনত|অংকবিলাক|অংকৰে|অংকলৈকে|অংকটো|অংকবোৰলৈ|অংককেইটাৰে|অংকত|অংকটোত|অংকলৈ|অংকসমূহৰ|অংকসমূহ|অংককেইটাত|অংকটোলৈকে|অংককেইখনে|অংকবোৰত|অংকখনেৰে|অংকখনক|অংকটোলৈ|অংকবোৰে|অংককেইখনক|অংকসমূহত|অংকই|অংককেইখনলৈ|অংকবিলাকেৰে|অংকৰ|অংকবিলাকে|অংকসমূহে|অংকবোৰলৈকে|অংকবোৰ|অংককেইটাৰ|অংকবিলাকলৈ|অংকটোৰে|অংককেইখনেৰে|অংকবোৰক|অংকটোক|অংকসমূহক|অংকটোৰ|oṅko|অংকসমূহেৰে|অংকখনৰ|অংককেইটা|অংকটোৱে|অংককেইটালৈ|অংককেইটালৈকে|অংকবিলাকক|অংকখনত|অংকসমূহলৈকে|অংককেইখন	<i>noun</i><br><ol><li>math</li></ol>
অংগ|অংগসমূহলৈ|অংগই|অংগটোলৈকে|অংগসমূহক|অংগবিলাক|অংগসমূহেৰে|অংগসমূহৰ|অংগবোৰলৈ|অংগটোৰে|অংগটোৱে|অংগসমূহত|অংগবিলাকলৈ|অংগটোৰ|অংগত|অংগটোক|অংগকেইটাৰে|অংগটোলৈ|অংগবিলাকত|অংগবোৰে|অংগলৈ|অংগবোৰ|অংগবিলাকক|অংগবিলাকলৈকে|oṅgo|অংগৰ|অংগবোৰত|অংগলৈকে|অংগবোৰলৈকে|অংগটোত|অংগবোৰেৰে|অংগকেইটাক|অংগবিলাকেৰে|অংগবোৰক|অংগকেইটালৈ|অংগকেইটাৰ|অংগবোৰৰ|অংগসমূহ|অংগৰে|অংগসমূহলৈকে|অংগক|অংগকেইটাত|অংগসমূহে|অংগকেইটা|অংগবিলাকে|অংগকেইটালৈকে|অংগকেইটাই|অংগবিলাকৰ|অংগটো	<i>noun</i><br><ol><li>body part, organ</li></ol>
অইন|oin	<i>adj</i><br><ol><li>other, different, someone else</li></ol>
অকল|okol	<i>adj</i><br><ol><li>only</li></ol><br><i>adv</i><br><ol><li>only, just</li></ol>
অকলশৰীয়া|okolxoria	<i>adj</i><br><ol><li>alone</li></ol>
অকলে|okole	<i>adv</i><br><ol><li>alone</li></ol>
