А|a|а	<i>character</i><br><ol><li>The first letter of the Avar alphabet, written in the Cyrillic script.</li></ol>
АрбагІ	<i>noun</i><br><ol><li>Wednesday</li></ol>
Б|B|б|b	<i>character</i><br><ol><li>The second letter of the Avar alphabet, written in the Cyrillic script.</li></ol>
В|в|w|W	<i>character</i><br><ol><li>The third letter of the Avar alphabet, written in the Cyrillic script.</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fourth letter of the Avar alphabet, written in the Cyrillic script.</li></ol>
Дагъистан|Daġistan	<i>name</i><br><ol><li>Daghistan</li></ol>
Итни|Itni	<i>noun</i><br><ol><li>Monday</li></ol>
Рузман|Ruzman	<i>noun</i><br><ol><li>Friday</li></ol>
Талат|Talat	<i>noun</i><br><ol><li>Tuesday</li></ol>
Хамиз|Χamiz	<i>noun</i><br><ol><li>Thursday</li></ol>
Хъизихъ|Q̄iziq̄	<i>noun</i><br><ol><li>Georgia (country)</li></ol>
а|a|А	<i>character</i><br><ol><li>The first letter of the Avar alphabet, written in the Cyrillic script.</li></ol>
авал|awal	<i>noun</i><br><ol><li>beginning</li></ol>
азарго|azargo	<i>num</i><br><ol><li>thousand</li></ol>
азбар|azbar	<i>noun</i><br><ol><li>court</li></ol>
айгъир|ajġir	<i>noun</i><br><ol><li>stallion</li></ol>
алат|alat	<i>noun</i><br><ol><li>tool</li><li>instrument</li></ol>
амру|amru	<i>noun</i><br><ol><li>order, command</li></ol>
анкь|ankḷ	<i>noun</i><br><ol><li>week</li></ol>
анкьго|ankḷgo	<i>num</i><br><ol><li>seven</li></ol>
анлъго|anłgo	<i>num</i><br><ol><li>six</li></ol>
анцӏго|anc̣go	<i>num</i><br><ol><li>ten</li></ol>
арбагӏ|arbaʿ	<i>noun</i><br><ol><li>Wednesday</li></ol>
аскар|askar	<i>noun</i><br><ol><li>army</li></ol>
ах	<i>noun</i><br><ol><li>garden</li></ol>
ахӏмакъ|aḥmaq̇̄	<i>noun</i><br><ol><li>a fool</li></ol>
б|B|Б|b	<i>character</i><br><ol><li>The second letter of the Avar alphabet, written in the Cyrillic script.</li></ol>
баба|baba	<i>noun</i><br><ol><li>mother; mom, mum</li></ol>
багьа|baha	<i>noun</i><br><ol><li>price</li></ol>
багьадур|bahadur	<i>noun</i><br><ol><li>hero</li></ol>
багӏараб|baʿarab	<i>adj</i><br><ol><li>red</li></ol>
багӏли|baʿli	<i>noun</i><br><ol><li>cherry</li></ol>
базар|bazar	<i>noun</i><br><ol><li>market</li></ol>
байрам|bajram	<i>noun</i><br><ol><li>holiday</li></ol>
байрахъ|bajraq̄	<i>noun</i><br><ol><li>flag</li></ol>
бакъ|бакъазулъе|бакъукье|бакъукьа|бакъуе|бакъалъулъан|бакъуда|бакъалъ|бакъаздаса|бакъуде|бакъалъукьа|бакъазукьа|бакъалдасан|бакъалъухъ|бакъукьан|бакъазе|бакъалъухъе|бакъалъул|бакъалъухъа|бакъалдаса|бакъазукьан|бакъазулъан|бакъалъукьан|бакъудаса|бакъалъукь|бакъалъе|бакъазулъ|бакъухъе|бакъазухъа|бакъухъан|бакъукь|бакъалъулъе|бакъухъа|бакъалъулъ|бакъалъулъа|бакъазде|бакъалде|бакъухъ|бакъулъе|бакъазулъа|бакъазда|бакъаздасан|бакъазул|бакъазукь|бакъал|бакъазухъе|бакъудасан|бакъазухъ|бакъазухъан|бакъуца|бакъулъа|бакъулъ|бакъулъан|бакъаз|бакъазукье|бакъалъукье|бакъул|baq̇̄|бакъалда|бакъалъухъан	<i>noun</i><br><ol><li>sun</li></ol>
бакъвараб|baq̇̄warab	<i>adj</i><br><ol><li>dry</li></ol>
бакӏаб|baḳab	<i>adj</i><br><ol><li>heavy</li></ol>
балагь|balah	<i>noun</i><br><ol><li>trouble, misfortune, calamity</li></ol>
баркала	<i>intj</i><br><ol><li>thank you</li></ol>
бацІ|бацІидаса|бацІилъ|бацІалдасан|бацІазукьа|бацІазукьан|бацІазулъа|бацІалъе|бацІалъул|бацІалъ|бацІалдаса|бацІалъукь|бацІалъукьа|бацІазда|бацІалъухъан|бацІазухъан|бацІилъан|бацІаздаса|бацІалъулъан|бацІалъухъ|бацІазулъан|бацІазукье|бацІилъе|бацІазе|бацІазукь|бацІие|бацІихъ|бацІилъа|бацІазухъ|бацІаздасан|бацІалде|бацІалда|бацІиде|бацІалъулъа|бацІикьа|бацІидасан|бацІалъукьан|бацІалъукье|бацІалъулъ|бацІихъа|бацІалъулъе|бацІихъан|бацІазул|бацІикь|бацІаз|бацІазухъе|бацІида|бацІазде|бацІикьан|бацІалъухъа|бацІазухъа|бацІихъе|бацІал|бацІил|бацІица|бацІалъухъе|бацІикье|бацІазулъ|бацІазулъе	<i>noun</i><br><ol><li>wolf</li></ol>
бежизе|bežize	<i>verb</i><br><ol><li>to bake</li></ol>
бекӏер|beḳer	<i>noun</i><br><ol><li>head</li></ol>
бел|bel	<i>noun</i><br><ol><li>shovel, spade</li></ol>
белъине|bełine	<i>verb</i><br><ol><li>to cook</li><li>to dye</li></ol>
бер|ber	<i>noun</i><br><ol><li>eye</li></ol>
бетӏер|beṭer	<i>noun</i><br><ol><li>head</li></ol>
бецав|becaw	<i>adj</i><br><ol><li>blind</li></ol>
бецагӏункӏкӏ|becaʿunḳ̄	<i>noun</i><br><ol><li>mole (animal)</li></ol>
бечӏчӏизе|beč̣̄ize	<i>verb</i><br><ol><li>to milk</li></ol>
би|биялъулъан|бидул|бияздасан|биялъукь|бидудаса|биязулъа|биязулъ|бидулъе|бидухъан|биязулъан|биязе|биялъухъан|биялде|бидукьа|бидулъа|биялдасан|бияздаса|биязукье|бидухъ|бидухъа|бидулъан|биялъукье|биязухъе|биязде|биязухъа|биялъукьа|биялъухъе|бидуда|бидуе|биязул|бидукьан|биялъулъ|бидуде|биял|биязулъе|биялъукьан|бидухъе|бидудасан|биялъухъа|биязда|биялдаса|биялъ|биялъе|биялъул|биязукьа|биязукьан|бияз|биялъухъ|биязухъ|биязукь|бидукье|биялъулъа|биязухъан|bi|биялъулъе|бидулъ|бидукь|бидуца|биялда	<i>noun</i><br><ol><li>blood</li></ol>
бикъизе|biq̇̄ize	<i>verb</i><br><ol><li>to steal</li></ol>
