Anggara	<i>romanization</i><br><ol><li>Romanization of ᬅᬗ᭄ᬕᬭ.</li></ol>
Bali	<i>name</i><br><ol><li>Bali (an island and province of Indonesia)</li></ol>
Hyang	<i>noun</i><br><ol><li>God</li><li>goddess</li><li>divinity</li><li>deified being</li></ol>
Nusantara	<i>romanization</i><br><ol><li>Romanization of ᬦᬹᬲᬵᬦ᭄ᬢᬭ.</li></ol>
Siwa	<i>name</i><br><ol><li>(Hinduism) The Hindu deity Shiva</li></ol>
Ukir|ᬉᬓᬶᬃ	<i>noun</i><br><ol><li>the name of the third week in Bali calendar system.</li></ol>
abut	<i>verb</i><br><ol><li>to pull</li></ol>
acara	<i>romanization</i><br><ol><li>Romanization of ᬆᬘᬵᬭ.</li></ol>
ada	<i>romanization</i><br><ol><li>Romanization of ᬳᬤ</li></ol>
adan	<i>romanization</i><br><ol><li>Romanization of ᬳᬤᬦ᭄</li></ol>
adeg-adeg	<i>noun</i><br><ol><li>the virama (a diacritic that suppresses the inherent vowel of a given (Balinese) consonant letter)</li></ol>
adi	<i>romanization</i><br><ol><li>Romanization of ᬳᬤᬶ</li><li>Romanization of ᬅᬤᬶ</li><li>Romanization of ᬅᬥᬶ</li><li>Romanization of ᬆᬤᬶ</li></ol>
agama	<i>romanization</i><br><ol><li>Romanization of ᬆᬕᬫ.</li></ol>
agni	<i>romanization</i><br><ol><li>Romanization of ᬅᬕ᭄ᬦᬶ</li></ol>
airsania	<i>romanization</i><br><ol><li>Romanization of ᬐᬃᬱᬡ᭄ᬬ.</li></ol>
akah	<i>noun</i><br><ol><li>root (of plant)</li></ol>
aksara	<i>romanization</i><br><ol><li>Romanization of ᬅᬓ᭄ᬱᬭ.</li></ol>
akéh	<i>det</i><br><ol><li>(polite) many</li></ol>
alas	<i>romanization</i><br><ol><li>Romanization of ᬳᬮᬲ᭄.</li></ol>
alot	<i>noun</i><br><ol><li>tough</li></ol>
alus	<i>romanization</i><br><ol><li>Romanization of ᬳᬮᬸᬲ᭄</li></ol>
