Ala	<i>name</i><br><ol><li>God</li></ol>
Bamakɔ	<i>name</i><br><ol><li>Bamako (the capital of Mali)</li></ol>
Bamanan	<i>name</i><br><ol><li>Bambara people</li><li>a member of that people</li></ol>
Bamanankan	<i>name</i><br><ol><li>Bambara language</li></ol>
Farafinna	<i>name</i><br><ol><li>Africa</li></ol>
Fula	<i>name</i><br><ol><li>Fula (West African people)</li></ol>
Fulakan	<i>name</i><br><ol><li>Fula language</li></ol>
Fulani	<i>noun</i><br><ol><li>(derogatory) little Fula</li></ol>
Segu	<i>name</i><br><ol><li>A city in south-central Mali, lying 235 kilometres (146 mi) northeast of Bamako on the River Niger</li><li>A region in south-central Mali.</li></ol>
Tubabukan	<i>name</i><br><ol><li>French language</li></ol>
Zanga	<i>name</i><br><ol><li>a unisex given name</li></ol>
a	<i>article</i><br><ol><li>the (definite article).</li></ol><br><i>intj</i><br><ol><li>ah (expression of surprise)</li><li>eh (expression of reluctance)</li></ol><br><i>pron</i><br><ol><li>they, them (plural)</li><li>he, she, they (singular)</li></ol>
a dɔ la	<i>intj</i><br><ol><li>maybe</li></ol>
a dɔ ra	<i>intj</i><br><ol><li>maybe</li></ol>
a dɔ rɔ	<i>intj</i><br><ol><li>maybe</li></ol>
a'	<i>pron</i><br><ol><li>you</li></ol>
abada	<i>noun</i><br><ol><li>eternity</li></ol><br><i>adv</i><br><ol><li>always, forever</li></ol>
abarika	<i>intj</i><br><ol><li>thanks</li></ol>
abarka	<i>intj</i><br><ol><li>thanks</li></ol>
adamaden	<i>noun</i><br><ol><li>human</li></ol>
adamadenya	<i>noun</i><br><ol><li>humanity</li><li>good manners</li></ol>
aderenalini	<i>noun</i><br><ol><li>adrenaline</li></ol>
adɛrɛsi	<i>noun</i><br><ol><li>address</li></ol>
alalandi	<i>noun</i><br><ol><li>a person who loves God</li></ol>
alamisa	<i>noun</i><br><ol><li>Tuesday</li></ol>
ale	<i>pron</i><br><ol><li>him</li></ol>
alijɛnɛ	<i>noun</i><br><ol><li>(Islam) paradise</li></ol>
alikuranɛ	<i>noun</i><br><ol><li>Quran (the)</li></ol>
alikɔli	<i>noun</i><br><ol><li>(Medical) alcool</li></ol>
alimɛti	<i>noun</i><br><ol><li>matchstick</li></ol>
amiina	<i>adv</i><br><ol><li>amen</li></ol>
an	<i>pron</i><br><ol><li>we</li></ol>
anw	<i>pron</i><br><ol><li>(emphatic) we, us, our</li></ol>
aw	<i>det</i><br><ol><li>your (plural)</li></ol><br><i>pron</i><br><ol><li>you (plural)</li></ol>
ayi	<i>adv</i><br><ol><li>no</li></ol>
ayiwa	<i>adv</i><br><ol><li>Okay; well.</li></ol>
ba|bà|bá	<i>noun</i><br><ol><li>mother</li><li>goat</li><li>river, stream, lake</li></ol><br><i>num</i><br><ol><li>one thousand</li></ol>
baana	<i>adj</i><br><ol><li>rich, wealthy</li></ol><br><i>noun</i><br><ol><li>the middle finger</li></ol>
baara	<i>noun</i><br><ol><li>work</li></ol>
baarakalan	<i>noun</i><br><ol><li>learning to work</li></ol>
babili	<i>noun</i><br><ol><li>bridge (over a river)</li></ol>
babɛlɛ	<i>noun</i><br><ol><li>river gravel</li></ol>
bacɛncɛn	<i>noun</i><br><ol><li>river sand</li></ol>
badaa	<i>adv</i><br><ol><li>forever</li></ol>
bafaarɔ	<i>noun</i><br><ol><li>manatee</li></ol>
bagan	<i>noun</i><br><ol><li>animal, beast</li><li>livestock</li></ol>
bagangɛnna	<i>noun</i><br><ol><li>shepherd</li></ol>
baganmara	<i>noun</i><br><ol><li>livestock farming</li></ol>
bajalan	<i>noun</i><br><ol><li>canal</li></ol>
bakuruba	<i>noun</i><br><ol><li>group</li></ol>
bakurubasanni	<i>noun</i><br><ol><li>subscription</li></ol>
balansan	<i>noun</i><br><ol><li>Faidherbia albida</li></ol>
baliku	<i>noun</i><br><ol><li>adult</li></ol>
balima	<i>noun</i><br><ol><li>sibling, brother, sister</li></ol>
balimakɛ	<i>noun</i><br><ol><li>brother</li></ol>
balimamuso	<i>noun</i><br><ol><li>sister</li></ol>
bama	<i>noun</i><br><ol><li>crocodile</li></ol>
ban	<i>verb</i><br><ol><li>to finish</li></ol>
bana	<i>noun</i><br><ol><li>disease</li><li>outside of the village</li></ol><br><i>verb</i><br><ol><li>sicken (to become sick)</li></ol>
banakisɛ|banakisɛw	<i>noun</i><br><ol><li>a disease, microbe, virus</li></ol>
banan	<i>noun</i><br><ol><li>kapok tree (Ceiba pentandra)</li></ol>
bananku	<i>noun</i><br><ol><li>cassava, manioc</li></ol>
banayɛlɛmata	<i>noun</i><br><ol><li>contagious disease, epidemic</li></ol>
