Ё|Yo|yo|ё	<i>character</i><br><ol><li>The ninth letter of the Bashkir alphabet, written in the Cyrillic script.</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Bashkir alphabet, written in the Cyrillic script.</li></ol>
Австралия|Австралияла|Avstraliya|Австралияны|Австралиянан|Австралияның	<i>name</i><br><ol><li>Australia (a country in Oceania)</li><li>Australia (a continent)</li></ol>
Австрия|Avstriya	<i>name</i><br><ol><li>Austria (a country in Central Europe; capital: Vienna)</li></ol>
Азия|Aziya|Азияның|Азияны|Азиянан|Азияла	<i>noun</i><br><ol><li>Asia (a continent)</li></ol>
Албания|Albaniya	<i>name</i><br><ol><li>Albania (a country in southeastern Europe)</li></ol>
Алла|Alla|Аллала|Алланан|Алланың|Алланы	<i>noun</i><br><ol><li>(Islam) Allah</li><li>(by extension) God</li></ol>
Аллам һаҡлаһын|Аллам һаҡтаһын|Allam haqtahın|Allam haqlahın	<i>intj</i><br><ol><li>may Allah save me from that; God forbid</li></ol>
Аллаға шөкөр|Allağa şökör	<i>intj</i><br><ol><li>praise be to Allah; thank God</li></ol>
Андорра|Andorra|Андорранан|Андорраны|Андоррала|Андорраның	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Арыҫлан|Арыҫландың|Арыҫланға|Арыҫланда|Arıθlan|Арыҫланды|Арыҫландан	<i>noun</i><br><ol><li>(astrology) Leo</li></ol>
Афғанстан|Afğanstan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Ағиҙел|Ағиҙелдә|Ағиҙелгә|Ağiðel|Ағиҙелде|Ағиҙелдең|Ағиҙелдән	<i>name</i><br><ol><li>The Belaya river (the largest in Bashkortostan, Russia)</li></ol>
АҠШ|АҠШҡа|AQŞ|АҠШты|АҠШтан|AQŠ|АҠШта|АҠШтың	<i>name</i><br><ol><li>USA (a country in North America); initialism of Америка Ҡушма Штаттары (Amerika Quşma Ştattarı, “United States of America”)</li></ol><br><i>adj</i><br><ol><li>US, pertaining to the USA</li></ol>
Аҡбуҙат|Aqbuðat|Аҡбуҙатты|Аҡбуҙаттан|Аҡбуҙатта|Аҡбуҙатҡа|Аҡбуҙаттың	<i>noun</i><br><ol><li>In Bashkir mythology, a winged horse</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The second letter of the Bashkir alphabet, written in the Cyrillic script.</li></ol>
Балыҡ|Балыҡтарҙың|Балыҡтарҙы|Балыҡтарҙа|Балыҡтарға|Балыҡҡа|Балыҡта|Балыҡтар|Балыҡтың|Балыҡты|Балыҡтарҙан|Balıq|Балыҡтан	<i>noun</i><br><ol><li>(astrology) Pisces</li></ol>
Бангладеш|Bangladeş	<i>name</i><br><ol><li>Bangladesh (a country in South Asia)</li></ol>
Бахрейн|Baxreyn	<i>name</i><br><ol><li>Bahrain (a country, an archipelago and island in Western Asia, in the Persian Gulf)</li></ol>
Башҡортостан|Башҡортостанда|Başqortostan|Башҡортостандың|Башҡортостандан|Башҡортостанға|Башҡортостанды	<i>name</i><br><ol><li>Bashkortostan (a republic of southern Russia; capital: Ufa)</li></ol>
Беларусь|Belarus’	<i>name</i><br><ol><li>Belarus (a country in Eastern Europe)</li></ol>
Бельгия|Bel’giya	<i>name</i><br><ol><li>Belgium (a country in Western Europe)</li></ol>
Берләшкән Ғәрәп Әмирлектәре|Berläşkän Ğäräp Ämirlektäre	<i>name</i><br><ol><li>United Arab Emirates</li></ol>
Болгария|Bolgariya	<i>name</i><br><ol><li>Bulgaria (a country in Southeast Europe; capital: Sofia)</li></ol>
Босния һәм Герцеговина|Bosniya häm Gertsegovina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Бохара|Бохаранан|Бохарала|Бохараны|Бохараның|Boxara	<i>name</i><br><ol><li>Bukhara (a city in Uzbekistan)</li></ol>
Бруней|Bruney	<i>name</i><br><ol><li>Brunei (a country in Southeast Asia)</li></ol>
Бутан|Butan	<i>name</i><br><ol><li>Bhutan (a country in South Asia)</li></ol>
Буға|Buğa|Буғаға|Буғаларҙа|Буғанан|Буғаның|Буғала|Буғаны|Буғаларҙың|Буғаларҙы|Буғаларҙан|Буғалар|Буғаларға	<i>noun</i><br><ol><li>(astrology) Taurus</li></ol>
В|в|v|V	<i>character</i><br><ol><li>The third letter of the Bashkir alphabet, written in the Cyrillic script.</li></ol>
Ватикан|Vatikán|Ватика́н	<i>name</i><br><ol><li>Vatican City (a city-state in Southern Europe, an enclave within the city of Rome, Italy)</li></ol>
Венгрия|Vengriya	<i>name</i><br><ol><li>Hungary (a country in Central Europe)</li></ol>
Википедия|Википедияларға|Википедияға|Википедияларҙа|Википедияның|Википедиянан|Википедияларҙан|Википедияла|Википедияларҙы|Vikipediya|Википедиялар|Википедияларҙың|Википедияны	<i>name</i><br><ol><li>Wikipedia</li></ol>
Вьетнам|V’yetnam	<i>name</i><br><ol><li>Vietnam (a country in Southeast Asia)</li></ol>
