.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Basque alphabet, called a and written in the Latin script.</li></ol>
AEB	<i>name</i><br><ol><li>Initialism of Ameriketako Estatu Batuak (“United States of America”).</li></ol>
Abadiano|Abadianorengana|Abadianoren|Abadianoraino|Abadianorantz|Abadianorentzat|Abadianotzat|Abadianorenganantz|Abadianori|Abadianorako|Abadianoz|Abadianorenganaino|Abadianorik|Abadianon|Abadianotik|Abadianoko|Abadianorekin|Abadianorengandik|Abadianorenganako|Abadianok|Abadianorengatik|Abadianora|Abadianorengan	<i>name</i><br><ol><li>(inanimate, archaic) A village and municipality of Biscay, Basque Country, Spain.</li></ol>
Abendu|Abendutarako|Abendurantz|Abenduentzat|Abenduz|Abendurako|Abenduarentzat|Abendura|Abenduengatik|Abendurik|Abenduari|Abenduetara|Abendutzat|Abenduraino|Abendua|Abenduak|Abenduetako|Abendutako|Abenduez|Abendutarantz|Abenduen|Abendutik|Abenduren|Abenduekin|Abenduri|Abenduk|Abendurekin|Abendutatik|Abenduaren|Abenduaz|Abenduarekin|Abenduetarako|Abenduek|Abenduetaraino|Abendurengatik|Abenduetan|Abendutara|Abenduei|Abendutan|Abenduarengatik|Abenduan|Abendurentzat|Abendutaraino|Abenduko|Abenduetatik|Abenduetarantz	<i>noun</i><br><ol><li>Advent (period or season of the Christian church year between Advent Sunday and Christmas)</li></ol>
Abendualdi|Abendualditarantz|Abendualditaraino|Abendualdiren|Abendualdiengatik|Abendualdietarantz|Abendualditatik|Abendualditik|Abendualdirako|Abendualditako|Abendualdiek|Abendualdirentzat|Abendualdien|Abendualdiraino|Abendualdirik|Abendualditan|Abendualdiarekin|Abendualdia|Abendualdietatik|Abendualdirantz|Abendualditzat|Abendualdiari|Abendualdietaraino|Abendualdiez|Abendualdiaz|Abendualdirengatik|Abendualdietako|Abendualdirekin|Abendualdietan|Abendualdiaren|Abendualdientzat|Abendualdik|Abendualdiri|Abendualdiei|Abendualdiz|Abendualdiko|Abendualdiarentzat|Abendualdiarengatik|Abendualditarako|Abendualdietara|Abendualdietarako|Abendualdira|Abendualdiekin|Abendualditara|Abendualdian|Abendualdiak	<i>noun</i><br><ol><li>Advent (period or season of the Christian church year between Advent Sunday and Christmas)</li></ol>
Abkhazia|Abkhaziak|Abkhaziatzat|Abkhaziarentzat|Abkhazian|Abkhaziarengatik|Abkhaziako|Abkhaziaz|Abkhaziaraino|Abkhaziarantz|Abkhaziari|Abkhaziarako|Abkhaziaren|Abkhaziarekin|Abkhaziarik|Abkhaziara|Abkhaziatik	<i>name</i><br><ol><li>Abkhazia (a region and unrecognised country in Georgia, Caucasus)</li></ol>
Afganistan|Afganistaneraino|Afganistanekin|Afganistanentzat|Afganistanek|Afganistantzat|Afganistanez|Afganistanera|Afganistani|Afganistango|Afganistanen|Afganistanerako|Afganistanengatik|Afganistanerantz|Afganistandik|Afganistanik	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika Erdiko Errepublika|Afrika Erdiko Errepublikarengatik|Afrika Erdiko Errepublikaz|Afrika Erdiko Errepublikaraino|Afrika Erdiko Errepublikarako|Afrika Erdiko Errepublikatzat|Afrika Erdiko Errepublikara|Afrika Erdiko Errepublikarentzat|Afrika Erdiko Errepublikari|Afrika Erdiko Errepublikan|Afrika Erdiko Errepublikarantz|Afrika Erdiko Errepublikako|Afrika Erdiko Errepublikatik|Afrika Erdiko Errepublikaren|Afrika Erdiko Errepublikarik|Afrika Erdiko Errepublikak|Afrika Erdiko Errepublikarekin	<i>name</i><br><ol><li>Central African Republic</li></ol>
Ainhoa|Ainhoari|Ainhoatik|Ainhoaren|Ainhoarenganaino|Ainhoara|Ainhoarekin|Ainhoaraino|Ainhoarantz|Ainhoarentzat|Ainhoan|Ainhoarengandik|Ainhoarenganantz|Ainhoako|Ainhoarako|Ainhoarenganako|Ainhoaz|Ainhoarengan|Ainhoarik|Ainhoatzat|Ainhoak|Ainhoarengana|Ainhoarengatik	<i>name</i><br><ol><li>(inanimate) A village in Pyrénées-Atlantiques, Nouvelle-Aquitaine, France (in the traditional Basque province of Labourd).</li></ol>
Albania|Albaniak|Albaniara|Albaniaraino|Albaniaren|Albaniarekin|Albaniarik|Albaniari|Albaniako|Albanian|Albaniarengatik|Albaniarentzat|Albaniatzat|Albaniatik|Albaniaz|Albaniarantz|Albaniarako	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Alemania|Alemaniara|Alemaniaren|Alemaniarengatik|Alemaniarekin|Alemaniarentzat|Alemaniarik|Alemaniarako|Alemaniak|Alemaniatzat|Alemaniatik|Alemaniaz|Alemaniaraino|Alemaniako|Alemaniari|Alemaniarantz|Alemanian	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Aljeria|Aljeriak|Aljeriarengatik|Aljeriarako|Aljeriaz|Aljerian|Aljeriarantz|Aljeriatik|Aljeriarekin|Aljeriarik|Aljeriaren|Aljeriari|Aljeriako|Aljeriara|Aljeriaraino|Aljeriarentzat|Aljeriatzat	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Ameriketako Estatu Batuak|Ameriketako Estatu Batuetarako|Ameriketako Estatu Batuetara|Ameriketako Estatu Batuetarantz|Ameriketako Estatu Baturik|Ameriketako Estatu Batuei|Ameriketako Estatu Batuekin|Ameriketako Estatu Batuetan|Ameriketako Estatu Batu|Ameriketako Estatu Batuez|Ameriketako Estatu Batuetako|Ameriketako Estatu Batuentzat|Ameriketako Estatu Batuek|Ameriketako Estatu Batuengatik|Ameriketako Estatu Batuetaraino|Ameriketako Estatu Batutzat|Ameriketako Estatu Batuen|Ameriketako Estatu Batuetatik	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Andorra|Andorrarik|Andorrarekin|Andorrarako|Andorrarentzat|Andorrak|Andorran|Andorrarantz|Andorrari|Andorratzat|Andorraz|Andorraraino|Andorratik|Andorrako|Andorrarengatik|Andorraren|Andorrara	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Angola|Angolarentzat|Angolaraino|Angolara|Angolarantz|Angolari|Angolako|Angolatik|Angolak|Angolarako|Angolarengatik|Angolarik|Angolaren|Angolarekin|Angolatzat|Angolan|Angolaz	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Antartika|Antartikaraino|Antartikarekin|Antartikatik|Antartikarentzat|Antartikan|Antartikaren|Antartikatzat|Antartikaz|Antartikari|Antartikara|Antartikarantz|Antartikarik|Antartikako|Antartikarengatik|Antartikarako|Antartikak	<i>name</i><br><ol><li>Antarctica</li></ol>
Antigua|Antiguarentzat|Antiguan|Antiguarantz|Antiguatik|Antiguatzat|Antiguak|Antiguarekin|Antiguako|Antiguarako|Antiguarik|Antiguaz|Antiguarengatik|Antiguari|Antiguaraino|Antiguaren|Antiguara	<i>name</i><br><ol><li>Antigua</li></ol>
Antigua eta Barbuda|Antigua eta Barbudarantz|Antigua eta Barbudarengatik|Antigua eta Barbudarekin|Antigua eta Barbudaraino|Antigua eta Barbudaren|Antigua eta Barbudan|Antigua eta Barbudarako|Antigua eta Barbudatzat|Antigua eta Barbudak|Antigua eta Barbudatik|Antigua eta Barbudaz|Antigua eta Barbudarik|Antigua eta Barbudara|Antigua eta Barbudako|Antigua eta Barbudarentzat|Antigua eta Barbudari	<i>name</i><br><ol><li>Antigua and Barbuda (a country in North America)</li></ol>
Araba|Arabaraino|Arabatik|Arabarantz|Araban|Arabako|Arabak|Arabaren|Arabaz|Arabari|Arabarengatik|Arabarentzat|Arabara|Arabarekin|Arabarik|Arabatzat|Arabarako	<i>name</i><br><ol><li>Álava (a province of the Basque Country, Spain).</li></ol>
Arabiar Emirerri Batuak|Arabiar Emirerri Batu|Arabiar Emirerri Batuetarantz|Arabiar Emirerri Batuetan|Arabiar Emirerri Batuetako|Arabiar Emirerri Batuek|Arabiar Emirerri Batuekin|Arabiar Emirerri Batuetaraino|Arabiar Emirerri Batuetarako|Arabiar Emirerri Batuez|Arabiar Emirerri Batuei|Arabiar Emirerri Batuetatik|Arabiar Emirerri Baturik|Arabiar Emirerri Batutzat|Arabiar Emirerri Batuen|Arabiar Emirerri Batuengatik|Arabiar Emirerri Batuetara|Arabiar Emirerri Batuentzat	<i>name</i><br><ol><li>United Arab Emirates (a country in the Middle East)</li></ol>
Arellano|Arellanoraino|Arellanotik|Arellanoko|Arellanorako|Arellanorentzat|Arellanoz|Arellanorenganaino|Arellanorenganako|Arellanok|Arellanotzat|Arellanorengandik|Arellanorenganantz|Arellanorengana|Arellanorekin|Arellanora|Arellanoren|Arellanori|Arellanorengan|Arellanorantz|Arellanorik|Arellanon|Arellanorengatik	<i>name</i><br><ol><li>(inanimate) Arellano (a village in Navarre, Spain).</li></ol>
Aristotele|Aristoteleri|Aristotelerengan|Aristotelerengana|Aristotelerenganantz|Aristotelerenganako|Aristotelerik|Aristoteleren|Aristotelek|Aristotelerentzat|Aristotelez|Aristoteletzat|Aristotelerengandik|Aristotelerengatik|Aristotelerekin|Aristotelerenganaino	<i>name</i><br><ol><li>Aristotle</li></ol>
Armenia|Armeniak|Armeniara|Armeniarako|Armeniarengatik|Armeniarik|Armeniarantz|Armenian|Armeniaraino|Armeniarentzat|Armeniari|Armeniarekin|Armeniatzat|Armeniaren|Armeniako|Armeniaz|Armeniatik	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Arrigorriaga|Arrigorriagaraino|Arrigorriagari|Arrigorriagarentzat|Arrigorriagarenganantz|Arrigorriagarengatik|Arrigorriagarengana|Arrigorriagarekin|Arrigorriagan|Arrigorriagak|Arrigorriagarantz|Arrigorriagara|Arrigorriagaz|Arrigorriagaren|Arrigorriagatzat|Arrigorriagarenganaino|Arrigorriagatik|Arrigorriagarik|Arrigorriagarenganako|Arrigorriagarengan|Arrigorriagako|Arrigorriagarako|Arrigorriagarengandik	<i>name</i><br><ol><li>(inanimate) A municipality of Biscay, Spain.</li></ol>
Artizarra|Artizarrera|Artizar|Artizarreko|Artizarretik|Artizarrarekin|Artizarrean|Artizarreraino|Artizarrerantz|Artizarrerako|Artizarrik|Artizarrak|Artizartzat|Artizarraren|Artizarrari|Artizarrarentzat|Artizarrarengatik|Artizarraz	<i>name</i><br><ol><li>(astronomy) Venus</li></ol>
Atena|Atenarik|Atenarengan|Atenarengana|Atenarenganako|Atenarentzat|Atenari|Atenarengandik|Atenarenganaino|Atenaren|Atenarenganantz|Atenaz|Atenarekin|Atenak|Atenarengatik|Atenatzat	<i>name</i><br><ol><li>(Greek mythology) Athena</li></ol>
Australia|Australiarekin|Australiarako|Australiaraino|Australiarik|Australiari|Australiatzat|Australiako|Australiarantz|Australiarengatik|Australiara|Australiatik|Australian|Australiaren|Australiaz|Australiarentzat|Australiak	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Austria|Austriako|Austriaren|Austriaraino|Austriarako|Austriarantz|Austriaz|Austriarentzat|Austriarengatik|Austriak|Austriari|Austriarik|Austriatik|Austriatzat|Austriara|Austriarekin|Austrian	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Azerbaijan|Azerbaijanik|Azerbaijanen|Azerbaijango|Azerbaijanez|Azerbaijanera|Azerbaijandik|Azerbaijani|Azerbaijanek|Azerbaijanekin|Azerbaijanerantz|Azerbaijantzat|Azerbaijaneraino|Azerbaijanerako|Azerbaijanengatik|Azerbaijanentzat	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
B|b	<i>character</i><br><ol><li>The second letter of the Basque alphabet, called be and written in the Latin script.</li></ol>
Balmaseda	<i>name</i><br><ol><li>A town, a municipality of Biscay, Spain.</li></ol>
Barbuda|Barbudan|Barbudaren|Barbudatik|Barbudarik|Barbudaraino|Barbudarako|Barbudarekin|Barbudari|Barbudaz|Barbudarantz|Barbudatzat|Barbudak|Barbudarentzat|Barbudako|Barbudarengatik|Barbudara	<i>name</i><br><ol><li>Barbuda</li></ol>
Barrundia|Barrundiarik|Barrundiarengatik|Barrundiaraino|Barrundiaz|Barrundiarako|Barrundiara|Barrundian|Barrundiaren|Barrundiarentzat|Barrundiako|Barrundiarantz|Barrundiatik|Barrundiatzat|Barrundiari|Barrundiarekin|Barrundiak	<i>name</i><br><ol><li>A municipality of Álava, Basque Country, Spain</li></ol>
Bartzelona	<i>name</i><br><ol><li>Barcelona (the capital city of Catalonia, Spain)</li><li>Barcelona (a province of Catalonia, Spain)</li></ol>
