'm	<i>article</i><br><ol><li>a (dative)</li><li>the (dative)</li></ol>
'n	<i>article</i><br><ol><li>a (accusative)</li><li>the (accusative)</li></ol><br><i>pron</i><br><ol><li>him</li><li>it (dative)</li></ol>
's	<i>pron</i><br><ol><li>it (nominative and accusative)</li><li>this, that</li><li>she</li><li>they, them</li></ol><br><i>article</i><br><ol><li>the</li></ol>
A	<i>character</i><br><ol><li>The first letter of the Bavarian alphabet, written in the Latin script.</li></ol>
Adabei	<i>noun</i><br><ol><li>Someone who constantly attends social events (and thus is literally "there as well"); someone with a feeling of importance and the desire of belonging to high society.</li></ol>
Aug|Aung|Augn	<i>noun</i><br><ol><li>(anatomy) eye</li><li>(on plants, esp. potatoes, grapevines and fruit trees) germ, bud; eye (potato)</li><li>(on dice) dot, pip, spot</li><li>(of a cyclonic storm) eye</li><li>(on the surface of liquids, e.g. soup) drop or globule of grease or fat</li></ol>
Bam|Bama	<i>noun</i><br><ol><li>tree</li></ol>
Bastoni|Wåschtåni	<i>noun</i><br><ol><li>(Vienna) a beating, a caning</li><li>(Vienna) clubs (playing card suit)</li></ol>
Bayern	<i>name</i><br><ol><li>Bavaria (a state of Germany)</li></ol>
Beisl|Beisln	<i>noun</i><br><ol><li>pub, tavern</li></ol>
Biachl|Biachln|Böijchl|Böijchln	<i>noun</i><br><ol><li>book</li></ol>
Blooz|Blaaz	<i>noun</i><br><ol><li>place, spot</li><li>room, space</li></ol>
Boarisch	<i>name</i><br><ol><li>Bavarian (a German dialect spoken in Bavaria and Austria)</li></ol>
Boaspui	<i>noun</i><br><ol><li>example</li></ol>
Bockshernd'l	<i>noun</i><br><ol><li>(Vienna) carob</li></ol>
Boschbot	<i>noun</i><br><ol><li>postman, mail carrier</li></ol>
Bottich	
Brouda|Brejda	<i>noun</i><br><ol><li>brother</li></ol>
Bruada|Briada	<i>noun</i><br><ol><li>brother</li></ol>
Buach|Biacha	<i>noun</i><br><ol><li>book</li></ol>
Buacha|Buachn	<i>noun</i><br><ol><li>beech, beech tree</li></ol>
Buachegga|Buacheggn	<i>noun</i><br><ol><li>beechnut, beech nut (the fruit of the beech tree)</li></ol>
Buachl|Buachal|Buachaln|Buachln	<i>noun</i><br><ol><li>beechnut, beech nut (the fruit of the beech tree)</li></ol>
