Ŭ|ŭ	<i>character</i><br><ol><li>The 22nd letter of the Belarusian Łacinka alphabet.</li></ol>
ŭ|Ŭ	<i>character</i><br><ol><li>The 22nd letter of the Belarusian Łacinka alphabet.</li></ol>
Ё|ё|Jo|jo	<i>character</i><br><ol><li>The seventh letter of the Belarusian alphabet, written in the Cyrillic script.</li></ol>
Іарданія|Іарда́нія|Іарда́ніі|Іарда́ніяй|Iardánija|Іарда́нію|Іарда́ніяю	<i>name</i><br><ol><li>Jordan (a country in Western Asia)</li></ol>
Ізраіль|Izráilʹ|Ізра́ілю|Ізра́ілем|Ізра́іль|Ізра́іля|Ізра́ілі	<i>name</i><br><ol><li>Israel (a country in Western Asia)</li></ol>
Інданезія|Індане́зіі|Indanjézija|Індане́зія|Індане́зію|Індане́зіяй|Індане́зіяю	<i>name</i><br><ol><li>Indonesia (a country in Southeast Asia)</li></ol>
Індыя|І́ндыю|І́ндыя|І́ндыі|І́ндыяй|інды́йскі|І́ндыяю|Índyja	<i>name</i><br><ol><li>India (a country in South Asia)</li></ol>
Ірак|Іра́к|Irák|Іра́ка|іра́кскі|Іра́кам|Іра́ку	<i>name</i><br><ol><li>Iraq (a country in Western Asia)</li></ol>
Іран|іра́нскі|Іра́н|Іра́ну|Іра́на|Irán|Іра́не|Іра́нам	<i>name</i><br><ol><li>Iran (a country in Western Asia)</li></ol>
Іркуцк|Irkúck|ірку́цкі|Ірку́цкам|Ірку́цку|Ірку́цк|Ірку́цка	<i>name</i><br><ol><li>Irkutsk (a city in Russia)</li></ol>
Ірландскае мора|Ірла́ндскім мо́рам|Ірла́ндскім мо́ры|Irlándskaje móra|Ірла́ндскаму мо́ру|Ірла́ндскага мо́ра|Ірла́ндскае мо́ра	<i>name</i><br><ol><li>the Irish Sea</li></ol>
Ірландыя|Ірла́ндыю|Ірла́ндыя|Ірла́ндыі|Ірла́ндыяй|Ірла́ндыяю|ірла́ндскі|Irlándyja	<i>name</i><br><ol><li>Ireland (an island in Europe)</li><li>Ireland (a country in Europe)</li></ol>
Ісландыя|Islándyja|Ісла́ндыяю|Ісла́ндыя|Ісла́ндыю|Ісла́ндыяй|Ісла́ндыі|ісла́ндскі	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Іспанія|Ispánija|Іспа́нія|Іспа́нію|Іспа́ніяю|іспа́нскі|Іспа́ніяй|Іспа́ніі	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Ісус|Ісу́сы|Ісу́сах|Ісу́су|Ісу́сам|Ісу́саў|Isús|Ісу́се|Ісу́с|Ісу́самі|Ісу́са	<i>name</i><br><ol><li>Jesus</li></ol>
Ісус Хрыстос|Ісу́с Хрысто́с|Ісу́се Хры́сце|Ісу́су Хрысту́|Ісу́са Хрыста́|Isús Xrystós|Ісу́се Хрысце́|Ісу́сам Хрысто́м	<i>name</i><br><ol><li>Jesus Christ</li></ol>
Італія|Іта́ліяю|італья́нскі|Іта́ліі|Іта́лію|Itálija|Іта́ліяй|Іта́лія	<i>name</i><br><ol><li>Italy (a country in Southern Europe)</li></ol>
Ў|ŭ|ў|Ŭ	<i>character</i><br><ol><li>The 22nd letter of the Belarusian Cyrillic alphabet.</li></ol>
Ўэльс|Ўэ́льсу|Ŭelʹs|Ўэ́льса|Ўэ́льсе|Ўэ́льсам	<i>name</i><br><ol><li>Wales (a constituent country of the United Kingdom)</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Belarusian alphabet, written in the Cyrillic script.</li></ol>
Агая|Ahája|Ага́я	<i>name</i><br><ol><li>Ohio (a state of the United States)</li><li>Ohio (a river in the central United States)</li></ol>
Адам|Ада́мам|Ада́ме|Ада́мах|Ада́му|Ада́мы|Adám|Ада́ма|Ада́м|Ада́мамі|Ада́маў	<i>name</i><br><ol><li>Adam (the first man in the Bible and Qur’an)</li></ol>
Адэлаіда|Адэлаі́дай|Адэлаі́ду|Адэлаі́даю|Адэлаі́да|Адэлаі́ды|Адэлаі́дзе|Adelaída	<i>name</i><br><ol><li>Adelaide (the capital city of South Australia)</li><li>Adelaide (a river in the Northern Territory, Australia)</li></ol>
Азербайджан|Азербайджа́не|Azerbajdžán|Азэрбайджа́нам|Азербайджа́н|Азэрбайджа́на|Азербайджа́нам|Azjerbajdžán|Азэрбайджа́ну|Азербайджа́ну|Азэрбайджан|Азербайджа́на|Азэрбайджа́н|Азэрбайджа́не	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Азія|А́зію|А́зія|А́зіяю|А́зіяй|азія́цкі|Ázija|А́зіі	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Алах|Ала́хам|Ала́ху|Ала́х|Aláx|Ала́ха	<i>name</i><br><ol><li>Allah (God, in Islam)</li></ol>
Албанія|Альба́ніяю|альба́нскі|Алба́ніяю|Альба́ніі|Алба́нія|Альба́ніяй|Альбанія|алба́нскі|Алба́ніяй|Алба́нію|Alʹbánija|Альба́нія|Albánija|Альба́нію|Алба́ніі	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Алжыр|Alžýr|Алжы́ру|Алжы́р|Алжы́ра|Алжы́ры|Алжы́рам|алжы́рскі	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Аман|Ама́н|Ама́нам|Ама́на|Ама́не|Ама́ну|Amán	<i>name</i><br><ol><li>Oman</li><li>Amman</li></ol>
Амерыка|Amjéryka|Аме́рыках|Аме́рыкам|Аме́рыкай|Аме́рыкі|Аме́рыкамі|амерыка́нскі|Аме́рыкаю|Аме́рыку|Аме́рыка|Аме́рыцы|Аме́рык	<i>name</i><br><ol><li>America (two continents, North America and South America)</li><li>America (the United States of America, a country in North America)</li></ol>
Англія|Анге́льшчына|анге́льскі|Ангельшчына|А́нгліяй|Anhjélʹščyna|Анге́льшчыне|Анге́льшчыну|А́нгліяю|Анге́льшчыны|Ánhlija|А́нглія|А́нгліі|Анге́льшчынай|англі́йскі|Анге́льшчынаю|А́нглію	<i>name</i><br><ol><li>England (a constituent country of the United Kingdom in Europe)</li></ol>
Ангола|Анго́лаю|Анго́ле|Anhóla|Анго́лу|Анго́ла|Анго́лы|Анго́лай	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Андора|Андо́ру|Андо́ры|Андо́раю|Andóra|Андо́рай|Андо́ра	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Антарктыда|Антаркты́ды|Антаркты́даю|Antarktýda|Антаркты́дай|антаркты́чны|Антаркты́да|Антаркты́дзе|Антаркты́ду	<i>name</i><br><ol><li>Antarctica (a continent)</li></ol>
Аргенціна|Аргенці́ну|Arhjencína|Аргенты́ны|Аргенты́на|Аргенты́наю|Аргенці́на|Аргенці́ны|Arhjentýna|Аргенты́ну|Аргенці́не|аргенці́нскі|Аргенці́наю|Аргенты́не|Аргенці́най|Аргентына|аргенты́нскі|Аргенты́най	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Арменія|Армэ́ніі|Армэ́ніяй|Арме́нію|Армэнія|армя́нскі|Armjénija|Армэ́ніяю|Арме́ніяю|Арме́ніі|Арме́нія|Arménija|Армэ́нію|Арме́ніяй|Армэ́нія	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Арыстоцель|Арысто́целю|Arystócjelʹ|Арысто́целем|Арысто́цель|Арысто́целя	<i>name</i><br><ol><li>Aristotle</li></ol>
Афганістан|Афганіста́нам|Афганіста́на|афга́нскі|Афганіста́не|аўга́нскі|Афганіста́н|Afhanistán|Аўганіста́ну|Аўганіста́н|Аўганіста́не|Аўганістан|Aŭhanistán|Афганіста́ну|Аўганіста́нам|Аўганіста́на	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
