Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
Agosto	<i>name</i><br><ol><li>August</li></ol>
Albay|Albáy	<i>name</i><br><ol><li>Albay (a province of the Philippines)</li></ol>
Aldaw nin Katalingkasan	<i>name</i><br><ol><li>Independence Day, June 12, a national holiday in the Philippines</li></ol>
Ama Niamo	<i>name</i><br><ol><li>Our Father</li></ol>
Asya	<i>noun</i><br><ol><li>Asia (a continent)</li></ol>
Asyano	<i>name</i><br><ol><li>Asian</li></ol>
Aurora	<i>name</i><br><ol><li>A province of the Philippines; named for First Lady Aurora Quezon.</li><li>A town in Isabela.</li><li>A town in Zamboanga del Sur; named for Aurora Quezon.</li></ol>
Bacacay	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Bacon	<i>name</i><br><ol><li>a district of Sorsogon City, Philippines.</li></ol>
Baltog	<i>name</i><br><ol><li>the first hero of the trilogy of Ibalong, Bicolano folk epic fragment. The first being Baltog and after Handyong came Bantong.</li></ol>
Bantong	<i>name</i><br><ol><li>the last hero of the trilogy of Ibalong, Bicolano folk epic fragment. The first being Baltog and after Handyong came Bantong.</li></ol>
Barcelona	<i>name</i><br><ol><li>Barcelona (the capital city of Catalonia, Spain)</li><li>Barcelona (a province of Catalonia, Spain)</li><li>Barcelona (a municipality of the province of Sorsogon, Philippines)</li></ol>
Basahan	<i>noun</i><br><ol><li>(historical) The ancient traditional writing system used to write Bicol languages before the colonization by the Spaniards.</li></ol>
Basco	<i>name</i><br><ol><li>Basco (a municipality, the provincial capital of Batanes, Philippines)</li></ol>
Batan	<i>name</i><br><ol><li>One of the islands of An island chain in Albay, Philippines.</li></ol>
Bato	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Bikol	<i>noun</i><br><ol><li>Bicol (language)</li><li>Short for Bicol Region.</li></ol>
Bikolana|Bikolano	<i>noun</i><br><ol><li>female native or inhabitant of Bicol Region, Philippines.</li></ol>
Bikolano|Bikolana	<i>noun</i><br><ol><li>Bicolano (person)</li></ol>
Bikolnon	<i>name</i><br><ol><li>Bicolano (person)</li></ol>
Bisaya|Bisayà	<i>noun</i><br><ol><li>Visayan (person)</li><li>Visayan (dialect continuum)</li><li>Cebuano (language)</li></ol><br><i>adj</i><br><ol><li>Visayan</li></ol>
Biyernes	<i>name</i><br><ol><li>Friday</li></ol>
Bula|Bulâ	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Bulan	<i>name</i><br><ol><li>a municipality in the province of Sorsogon, Philippines.</li></ol>
Bulkan Mayon	<i>name</i><br><ol><li>Mount Mayon</li></ol>
Burias	<i>name</i><br><ol><li>one of the three major islands of the province of Masbate</li></ol>
Cagraray	<i>name</i><br><ol><li>One of the islands of An island chain in Albay, Philippines.</li></ol>
Camalig	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Camaligan	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Camarines Norte	<i>name</i><br><ol><li>A province in Bicol Region, Philippines with the municipality of Daet as the provincial capital, and is created from Ambos Camarines, the other one is Camarines Sur.</li></ol>
Camarines Sur	<i>name</i><br><ol><li>A province in Bicol Region, Philippines with the municipality of Pili as the provincial capital, and is created from Ambos Camarines, the other one is Camarines Norte.</li></ol>
Caramoan	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Castilla	<i>name</i><br><ol><li>Castile</li><li>a municipality in the province of Sorsogon, Philippines</li></ol>
Catanduanes	<i>name</i><br><ol><li>An island province of Bicol Region, Philipppines with the municipality of Virac as the provincial capital and is located on the east of Bicol Peninsula</li></ol>
Daraga	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Disyembre	<i>name</i><br><ol><li>December</li></ol>
Domingo	<i>name</i><br><ol><li>Sunday</li></ol>
Dyos	<i>name</i><br><ol><li>God</li></ol>
Dyos mabalos	<i>phrase</i><br><ol><li>thank you</li></ol>
Dyos mabalos saindo gabos	<i>phrase</i><br><ol><li>thank you all</li></ol>
Dyos marhay na aga	<i>phrase</i><br><ol><li>good morning</li></ol>
Dyos marhay na aldaw	<i>phrase</i><br><ol><li>good day</li></ol>
Dyos marhay na banggi	<i>phrase</i><br><ol><li>good evening</li></ol>
Dyos marhay na hapon	<i>phrase</i><br><ol><li>good afternoon</li></ol>
Dyos marhay na udto	<i>phrase</i><br><ol><li>good noon</li></ol>
Enero	<i>name</i><br><ol><li>January</li></ol>
Esperanza	<i>name</i><br><ol><li>A municipality of Masbate, Philippines.</li></ol>
Garchitorena	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Guinobatan	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Handyong	<i>name</i><br><ol><li>the second hero of the trilogy of Ibalong, Bicolano folk epic fragment. The first being Baltog and after Handyong came Bantong.</li></ol>
Hindi	<i>name</i><br><ol><li>a barangay in Bacacay, Albay in the Philippines.</li></ol>
Hulyo	<i>name</i><br><ol><li>July</li></ol>
Hunyo	<i>name</i><br><ol><li>June</li></ol>
Hupiter|Hupitér	<i>name</i><br><ol><li>Jupiter (planet)</li><li>Jupiter (god)</li></ol>
Huring Pamanggi|Huríng Pamanggi	<i>name</i><br><ol><li>Last Supper</li></ol>
Huwebes	<i>name</i><br><ol><li>Thursday</li></ol>
Ibalong	<i>name</i><br><ol><li>The Bicolano epic</li></ol>
Ingles|Inglés	<i>noun</i><br><ol><li>English language</li><li>English (person)</li></ol><br><i>adj</i><br><ol><li>English (pertaining to England)</li></ol><br><i>verb</i><br><ol><li>To speak in English, to translate into English.</li></ol>
Iriga	<i>name</i><br><ol><li>Iriga (a city in Camarines Sur, Philippines)</li></ol>
Jovellar	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Kagurangnan	<i>noun</i><br><ol><li>Lord</li></ol>
Kinaban|Kinàban	<i>name</i><br><ol><li>The Earth.</li></ol>
Legaspi	<i>name</i><br><ol><li>Legazpi (a city, the provincial capital of Albay)</li></ol>
Legazpi	<i>name</i><br><ol><li>Legazpi (a city, the capital city of Albay, Philippines)</li></ol>
Ligao	<i>name</i><br><ol><li>Ligao (a city in Albay, Philippines)</li></ol>
Lunes	<i>name</i><br><ol><li>Monday</li></ol>
Magallanes	<i>name</i><br><ol><li>A municipality of Agusan del Norte, Philippines</li><li>A municipality of Cavite, Philippines</li><li>A municipality of Sorsogon, Philippines</li></ol>
Malilipot	<i>name</i><br><ol><li>a municipality in the province of Albay, Philippines.</li></ol>
Malinao	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Marso	<i>name</i><br><ol><li>March</li></ol>
Martes	<i>name</i><br><ol><li>Tuesday</li></ol>
Masbate	<i>name</i><br><ol><li>Masbate City, the capital city of Masbate province, Philippines.</li><li>An offshore province of Bicol Region, Philippines located on the southwest of Bicol Peninsula</li><li>the largest of the three islands of the province; the other two are Ticao island and Burias island.</li></ol>
Masbate City	<i>name</i><br><ol><li>the capital city of Masbate province, Philippines.</li></ol>
Mayo	<i>name</i><br><ol><li>May</li></ol>
Mayon	<i>name</i><br><ol><li>Short for Mount Mayon.</li></ol>
Mayong|Màyong	<i>name</i><br><ol><li>(dated) Mount Mayon</li></ol>
Miyerkoles|Miyerkules	<i>name</i><br><ol><li>Wednesday</li></ol>
Naga	<i>name</i><br><ol><li>a component city in the province of Cebu, Philippines.</li><li>an independent component city in Bicol Region geographically located in the province of Camarines Sur</li><li>a municipality in Zamboanga Sibugay</li></ol>
Nagkakasararong Nasyon	<i>name</i><br><ol><li>United Nations</li></ol>
