Aipôcailypse	<i>noun</i><br><ol><li>the Apocalypse</li></ol>
Aipôlon	<i>noun</i><br><ol><li>Apollo (Greek mythology)</li></ol>
Aissompcion	<i>noun</i><br><ol><li>assumption (feast in December)</li></ol>
Dei	<i>noun</i><br><ol><li>God</li></ol>
Dei vos condeuze an veigne meûre	<i>proverb</i><br><ol><li>God bless you</li></ol>
Dei vos condeuze au veing meûr	<i>proverb</i><br><ol><li>God bless you</li></ol>
Jézus-Chrît	<i>noun</i><br><ol><li>Jesus Christ</li></ol>
Noei|Noeis	<i>noun</i><br><ol><li>Christmas</li></ol>
Pairaidis	<i>noun</i><br><ol><li>Paradise, Heaven</li></ol>
Pâques	<i>noun</i><br><ol><li>Easter</li></ol>
aibai|aibôsse|aibais|aibôsses	<i>noun</i><br><ol><li>abbot</li></ol>
aibaissemant|aibaissemants	<i>noun</i><br><ol><li>lowering</li></ol>
aibaitre|aibaitrez|aibait|aibaitisse|aibaites|aibaitisses|aibaitisseins|aibaitoos|aibaitirent|aibaitisseint|aibaitoot|aibaitis|aibaite|aibaitroot|aibaitue|aibaitrons|aibaitons|aibaitit|aibaitant|aibaitront|aibaiteins|aibaits|aibaitré|aibaitu|aibaitez|aibaitroos|aibaitues|aibaitrés|aibaitreins|aibaiteint|aibaitreint|aibaitus|aibaitirens	<i>verb</i><br><ol><li>to butcher; to slaughter for meat</li><li>to shoot dead</li><li>to cut down (a tree)</li><li>to destroy or demolish (a wall)</li><li>(reflexive) to fall down, especially of tall things, such as trees</li><li>(takes a reflexive pronoun) to descend upon with violence or furor</li><li>(takes a reflexive pronoun, of lightning) to strike</li></ol>
aibandon|aibandons	<i>noun</i><br><ol><li>abandonment</li></ol>
aibandonai|aibandonant|aibandonis|aibandonisses|aibandonisseint|aibandoneroos|aibandoneront|aibandone|aibandonisse|aibandoneré|aibandonereins|aibandonoos|aibandoneint|aibandonerés|aibandonoot|aibandoneins|aibandonit|aibandonirens|aibandonie|aibandonereint|aibandonirent|aibandones|aibandoneroot|aibandonais|aibandonons|aibandonez|aibandonies|aibandonisseins|aibandonerez|aibandonerons	<i>verb</i><br><ol><li>(transitive) to abandon</li></ol>
aibaïe|aibaïes	<i>noun</i><br><ol><li>abbey</li></ol>
aibdicaicion|aibdicaicions	<i>noun</i><br><ol><li>abdication</li></ol>
aibeille|aibeilles	<i>noun</i><br><ol><li>bee</li></ol>
aibjeuraicion|aibjeuraicions	<i>noun</i><br><ol><li>abjuration</li></ol>
aibnégaicion	<i>noun</i><br><ol><li>abnegation</li></ol>
aibominaicion|aibominaicions	<i>noun</i><br><ol><li>abomination</li></ol>
aibréviaicion	<i>noun</i><br><ol><li>shortening</li></ol>
aibréviaiture|aibréviaitures	<i>noun</i><br><ol><li>shortening</li></ol>
aibseurditai|aibseurditais	<i>noun</i><br><ol><li>absurdity</li><li>stupidity</li></ol>
aibstancion	<i>noun</i><br><ol><li>abstention</li></ol>
aibstraiccion|aibstraiccions	<i>noun</i><br><ol><li>abstraction</li></ol>
aibôsse|aibai|aibais|aibôsses	<i>noun</i><br><ol><li>abbess</li></ol>
aicceptai|aicceptais|aiccepteroot|aicceptant|aicceuptes|aiccepteré|aiccepteins|aiccepteront|aicceptereins|aicceptisses|aicceptis|aiccepteroos|aiccepterés|aicceptirent|aicceptoot|aicceptie|aiccepteint|aiccepterons|aicceptisseins|aicceptisseint|aicceptirens|aiccepterez|aicceptez|aicceptit|aicceupte|aicceptisse|aicceptons|aicceptereint|aiccepties|aicceptoos	<i>verb</i><br><ol><li>(transitive) to accept</li></ol>
aiccion|aiccions	<i>noun</i><br><ol><li>action</li></ol>
aichevai|aicheuves|aichevirens|aichevez|aichevoot|aicheveroot|aicheverons|aichevereins|aichevisseint|aichevirent|aichevies|aichevisses|aichevis|aicheveroos|aicheverez|aichevie|aichevereint|aicheveint|aichevit|aicheverés|aicheveins|aicheuve|aichevoos|aicheveront|aicheveré|aichevant|aichevisse|aichevons|aichevisseins|aichevais	<i>verb</i><br><ol><li>(transitive) to achieve</li></ol>
aicréditaicion|aicréditaicions	<i>noun</i><br><ol><li>accreditation</li></ol>
aidaiptai|aidaiptes|aidaiptais|aidaipteront|aidaiptoot|aidaipteins|aidaiptie|aidaipteré|aidaiptirens|aidaiptirent|aidaipties|aidaiptis|aidaiptisse|aidaiptisseins|aidaipterés|aidaipteint|aidaipteroot|aidaipte|aidaiptoos|aidaiptisses|aidaipterons|aidaiptit|aidaiptereins|aidaipterez|aidaiptez|aidaiptons|aidaiptisseint|aidaipteroos|aidaiptant|aidaiptereint	<i>verb</i><br><ol><li>(transitive) to adapt</li></ol>
aidaiptaicion	<i>noun</i><br><ol><li>adaptation</li></ol>
aidherai|aidherons|aidherisseins|aidherirens|aidherez|aidhereroos|aidheures|aidherisse|aidheries|aidherie|aidhereins|aidherisses|aidhereront|aidheroot|aidhereroot|aidheroos|aidherit|aidherisseint|aidheure|aidhererés|aidherereins|aidheris|aidherereint|aidherais|aidhereint|aidherant|aidhereré|aidhererons|aidhererez|aidherirent	<i>verb</i><br><ol><li>(transitive) to adhere ( + ài)</li></ol>
aidministraicion|aidministraicions	<i>noun</i><br><ol><li>administration</li></ol>
aidmiraicion|aidmiraicions	<i>noun</i><br><ol><li>admiration</li></ol>
aidulaicion|aidulaicions	<i>noun</i><br><ol><li>adulation</li></ol>
aidôraicion	<i>noun</i><br><ol><li>adoration</li></ol>
aigleutinaicion|aigleutinaicions	<i>noun</i><br><ol><li>agglutination</li></ol>
aigneâ|aigneâs	<i>noun</i><br><ol><li>lamb</li></ol>
aigraivaicion|aigraivaicions	<i>noun</i><br><ol><li>aggravation</li></ol>
aigue	<i>noun</i><br><ol><li>(Charolais) Alternative form of eâ</li></ol>
aigôton|aigôtons	<i>noun</i><br><ol><li>a piece of food to taste before eating it</li></ol>
aigôton de cueuveâ|aigôtons de cueuveâ	<i>noun</i><br><ol><li>waste wine</li><li>the last vintage of a wine barrel</li></ol>
ailai au païs de claiquedant	<i>verb</i><br><ol><li>to go to hell (literal or insult)</li><li>to ingest some medicine for any winter disease</li></ol>
ailbom|ailboms	<i>noun</i><br><ol><li>album</li></ol>
aimor|aimors	<i>noun</i><br><ol><li>love</li></ol>
ainge|ainges	<i>noun</i><br><ol><li>angel</li></ol>
aingelus	<i>noun</i><br><ol><li>angelus</li><li>Angelus bell</li></ol>
ainimaicion|ainimaicions	<i>noun</i><br><ol><li>animation</li></ol>
ainôtaicion	<i>noun</i><br><ol><li>annotation</li></ol>
aipairoillai|aipairoillirent|aipairoillisses|aipairoillisseint|aipairoilleroos|aipairoillant|aipairoilleré|aipairoilleroot|aipairoillez|aipairoillis|aipairoillit|aipairoillais|aipairoilleint|aipairoillirens|aipairoilleins|aipairoillons|aipairoillerez|aipairoilles|aipairoillisse|aipairoilleront|aipairoilloot|aipairoillereint|aipairoillerés|aipairoillie|aipairoilloos|aipairoillerons|aipairoillereins|aipairoillisseins|aipairoille|aipairoillies	<i>verb</i><br><ol><li>(transitive) to join or mix together</li><li>(transitive) to mate animals for breeding</li><li>(transitive) to prepare</li><li>(transitive) to fit with a prosthesis</li><li>(intransitive, nautical) to cast off</li></ol>
aipairoître|aipairoissez|aipairoisse|aipairoissirent|aipairoîtrons|aipairoissoos|aipairoisseint|aipairoissue|aipairoîtreins|aipairoississes|aipairoissues|aipairoississeins|aipairoîtré|aipairoissu|aipairoississeint|aipairoîtroot|aipairoissant|aipairoîtroos|aipairois|aipairoissons|aipairoîtreint|aipairoîtrez|aipairoît|aipairoîtrés|aipairoisses|aipairoissirens|aipairoissoot|aipairoissus|aipairoisseins|aipairoissis|aipairoîtront|aipairoississe|aipairoissit	<i>verb</i><br><ol><li>to appear (become visible)</li></ol>
