A	<i>character</i><br><ol><li>The first letter of the Breton alphabet, called a and written in the Latin script.</li></ol>
Alamagn	<i>name</i><br><ol><li>Germany</li></ol>
An Alre	<i>name</i><br><ol><li>Auray, a commune in Morbihan, Brittany, France</li></ol>
Aostralia	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Aostria	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Aotrou|Aotrounez	<i>name</i><br><ol><li>Lord, Sir, Mr</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Asturiez	<i>name</i><br><ol><li>Asturias (an autonomous community and province of Spain)</li></ol>
Bahamas	<i>name</i><br><ol><li>Bahamas (an archipelago and country in the Caribbean)</li></ol>
Bangladesh|Pangladesh|Vangladesh|V|B|P	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Barbados	<i>name</i><br><ol><li>Barbados (an island and country in the Caribbean)</li></ol>
Belgia|Velgia|Pelgia|P{{{3}}}|V{{{3}}}|B{{{3}}}	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Belize	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Benin	<i>name</i><br><ol><li>Benin (a country in West Africa)</li></ol>
Bhoutan	<i>name</i><br><ol><li>Bhutan (a country in Asia)</li></ol>
Bolivia	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Botswana	<i>name</i><br><ol><li>Botswana (a country in Africa)</li></ol>
Brazil	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Breizh|Preizh|P{{{3}}}|V{{{3}}}|Vreizh|B{{{3}}}	<i>name</i><br><ol><li>Brittany</li></ol>
Breizhad|Preizhiz|Breizhiz|Preizhad|Vreizhad|Vreizhiz	<i>noun</i><br><ol><li>Breton (person from Brittany):</li></ol>
Breizhiz|Breizhad|Preizhiz|Preizhad|Vreizhad|Vreizhiz	<i>noun</i><br><ol><li>Bretons (persons from Brittany)</li></ol>
Brezhon|Prezhoned|Vrezhoned|Brezhoned|Vrezhon|Prezhon	<i>noun</i><br><ol><li>Breton (person from Brittany)</li><li>A (historical) Briton: a member of that people that spoke Brythonic languages.</li></ol>
Bro-C'hall	<i>name</i><br><ol><li>France</li></ol>
Brusel	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Bukarest	<i>name</i><br><ol><li>Bucharest (the capital city of Romania)</li></ol>
Burundi	<i>name</i><br><ol><li>Burundi</li></ol>
C'h	<i>character</i><br><ol><li>The fourth letter of the Breton alphabet.</li></ol>
C'hwevrer	<i>name</i><br><ol><li>February</li></ol>
Costa Rica	<i>name</i><br><ol><li>Costa Rica (a country in Central America)</li></ol>
Dan|Taned|Zaned|Daned|Tan|Zan	<i>noun</i><br><ol><li>Dane</li></ol>
Danez|Tanez|Tanezed|Danezed|Zanezed|Zanez	<i>noun</i><br><ol><li>(female) Dane</li></ol>
Danmark	<i>name</i><br><ol><li>Denmark</li></ol>
Douar	<i>name</i><br><ol><li>the Earth</li></ol>
Douar an Tan	<i>name</i><br><ol><li>Tierra del Fuego (island between Chile and Argentina)</li><li>Tierra del Fuego (archipelago between Chile and Argentina)</li></ol>
Douar-Nevez	<i>name</i><br><ol><li>Newfoundland</li></ol>
Du	<i>name</i><br><ol><li>November</li></ol>
Dulenn	<i>name</i><br><ol><li>Dublin (the capital city of Ireland)</li></ol>
Ebrel	<i>name</i><br><ol><li>April</li></ol>
Egipt	<i>name</i><br><ol><li>Egypt</li></ol>
Elzas	<i>name</i><br><ol><li>Alsace</li></ol>
Elzasad|Elzasiz	<i>noun</i><br><ol><li>(male) Alsatian (person from Alsace)</li></ol>
Elzasadez|Elzasadezed	<i>noun</i><br><ol><li>(female) Alsatian (person from Alsace)</li></ol>
Enez Vanav	<i>name</i><br><ol><li>Isle of Man (an island and Crown dependency of the United Kingdom in the Irish Sea)</li></ol>
Eost	<i>name</i><br><ol><li>August</li></ol>
Eritrea	<i>name</i><br><ol><li>Eritrea</li></ol>
Estonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Felger	<i>name</i><br><ol><li>Fougères (a city in the Ille-et-Vilaine department, France)</li></ol>
Finland	<i>name</i><br><ol><li>Finland</li></ol>
Fouenant	<i>name</i><br><ol><li>Fouesnant (a city in the Finistère department, France)</li></ol>
Frañs	<i>name</i><br><ol><li>France</li></ol>
Gabon	<i>name</i><br><ol><li>Gabon</li></ol>
Galia	<i>name</i><br><ol><li>Gaul (region)</li></ol>
Galian|C'halianed|Kalian|Galianed|C'halian|Kalianed	<i>noun</i><br><ol><li>Gaul (inhabitant of the region of Gaul)</li></ol>
Gall|C'hallaoued|Kall|Gallaoued|Kallaoued|C'hall	<i>noun</i><br><ol><li>(archaic) foreigner</li><li>(dated) Gaul, Gaulish person</li><li>Gallo-speaker</li><li>Frenchman, Romance-speaking person not from Lower Brittany</li></ol>
Genver|Kenver|Kenverioù|C'henver|C'henverioù|Genverioù	<i>name</i><br><ol><li>January</li></ol>
Gouere	<i>name</i><br><ol><li>July</li></ol>
Gouezel|Gouezeled|Kouezel|C'houezeled|Kouezeled|C'houezel	<i>noun</i><br><ol><li>Gael</li></ol>
Gres	<i>name</i><br><ol><li>Greece (country)</li></ol>
Guatemala	<i>name</i><br><ol><li>Guatemala (a country in Central America)</li></ol>
Gwened	<i>name</i><br><ol><li>Vannes</li></ol>
Gwenedad|Wenedad|Kwenediz|Wenediz|Gwenediz|Kwenedad	<i>noun</i><br><ol><li>(male) inhabitant of Vannes</li></ol>
Gwenedadez|Gwenedadezed|Kwenedadez|Wenedadezed|Wenedadez|Kwenedadezed	<i>noun</i><br><ol><li>(female) inhabitant of Vannes</li></ol>
Gwener|Gw{{{3}}}|W{{{3}}}|Kw{{{3}}}|Kwener|Wener	<i>name</i><br><ol><li>Friday</li><li>(astronomy) Venus (planet)</li><li>Venus (Roman goddess)</li></ol>
Gwengamp	<i>name</i><br><ol><li>Guingamp</li></ol>
Gwengolo	<i>name</i><br><ol><li>September</li></ol>
