abang	<i>noun</i><br><ol><li>older brother</li></ol>
abuk	<i>noun</i><br><ol><li>dust (fine, dry particles)</li></ol>
acang|burung acang	<i>noun</i><br><ol><li>pigeon (bird of the pigeon and dove family Columbidae)</li></ol>
adi	<i>noun</i><br><ol><li>Younger sibling.</li></ol>
adi bini-bini	<i>noun</i><br><ol><li>younger sister</li></ol>
adi laki-laki	<i>noun</i><br><ol><li>younger brother</li></ol>
adi-beradi|adi-baradi	<i>noun</i><br><ol><li>sibling (person who shares same parents)</li></ol>
aing|aying	<i>noun</i><br><ol><li>water (liquid H₂O)</li></ol>
aing terajun	<i>noun</i><br><ol><li>waterfall (flow of water over the edge of a cliff)</li></ol>
ais	<i>noun</i><br><ol><li>ice (water in frozen form)</li></ol>
ajai	<i>noun</i><br><ol><li>(anatomy) chin (bottom of a face)</li></ol>
alis	<i>noun</i><br><ol><li>eyebrow</li></ol>
amah	<i>noun</i><br><ol><li>A female domestic worker, a housemaid.</li></ol>
amas	<i>noun</i><br><ol><li>gold (element)</li></ol>
ambuk	<i>noun</i><br><ol><li>monkey (primate)</li></ol>
ampat	<i>num</i><br><ol><li>four</li></ol>
ampir	<i>adj</i><br><ol><li>near, close</li></ol>
anam	<i>num</i><br><ol><li>six</li></ol>
anggur	<i>noun</i><br><ol><li>grape</li></ol>
angin	<i>noun</i><br><ol><li>wind (movement of air)</li></ol>
angsa	<i>noun</i><br><ol><li>goose (bird)</li></ol>
ani	<i>pron</i><br><ol><li>this, these</li></ol>
anjing	<i>noun</i><br><ol><li>dog (animal)</li></ol>
antu	<i>noun</i><br><ol><li>ghost (spirit appearing after death)</li><li>demon (evil spirit)</li></ol>
api	<i>noun</i><br><ol><li>fire (oxidation reaction)</li></ol>
arnab	<i>noun</i><br><ol><li>rabbit</li></ol>
asam aur-aur	<i>noun</i><br><ol><li>Fruit of the tropical tree, Garcinia parvifolia, native to Borneo, used as ingredient in local cooking.</li></ol>
asam kalumbi	<i>noun</i><br><ol><li>Fruit of the tropical tree, Eleiodoxa conferta, used as an ingredient in Asian cooking.</li></ol>
asap	<i>noun</i><br><ol><li>smoke (visible particles and vapour given off by burning material)</li></ol>
ati	<i>noun</i><br><ol><li>(anatomy) liver (organ of the body)</li><li>heart (emotions or kindness)</li></ol>
atu	<i>pron</i><br><ol><li>that, those</li></ol>
awan	<i>noun</i><br><ol><li>cloud (visible mass of water droplets suspended in the air)</li></ol>
awda	<i>pron</i><br><ol><li>(Brunei, formal) you</li></ol>
ayam	<i>noun</i><br><ol><li>chicken (bird)</li><li>chicken (meat)</li></ol>
babu	<i>noun</i><br><ol><li>A mother.</li><li>An aunt.</li><li>Term for any middle-aged or elderly woman.</li></ol>
badam	<i>noun</i><br><ol><li>almond (nut)</li></ol>
bantal	<i>noun</i><br><ol><li>pillow (soft cushion used to support the head in bed)</li></ol>
bantal paluk	<i>noun</i><br><ol><li>bolster (a large cushion or pillow)</li></ol>
baras	<i>noun</i><br><ol><li>uncooked rice</li></ol>
baru	<i>adj</i><br><ol><li>new (age of non-living things)</li></ol>
basar	<i>adj</i><br><ol><li>big</li></ol>
basi	<i>noun</i><br><ol><li>iron (element)</li><li>metal (atomic element or material made of such atoms)</li></ol>
basing	<i>noun</i><br><ol><li>squirrel</li></ol>
batat	<i>noun</i><br><ol><li>melon</li></ol>
batis	<i>noun</i><br><ol><li>(anatomy) leg (lower limb)</li><li>foot (part of the leg from ankle to toe)</li></ol>
batu	<i>noun</i><br><ol><li>rock or stone of any size, including boulder and pebble</li></ol>
bau	<i>noun</i><br><ol><li>smell (sensation)</li></ol>
bayang-bayang	<i>noun</i><br><ol><li>shadow (dark image projected onto a surface)</li></ol>
bayi	<i>noun</i><br><ol><li>pig (mammal of genus Sus)</li></ol>
bayung	<i>noun</i><br><ol><li>a bag for carrying raw sago (made of mengkuang leaves)</li></ol>
beranang	<i>verb</i><br><ol><li>to swim (move through water)</li></ol>
betina	<i>adj</i><br><ol><li>(of animals) female</li></ol>
biabas	<i>noun</i><br><ol><li>guava (tree and fruit)</li></ol>
bida	<i>adj</i><br><ol><li>ugly</li></ol>
biji mata	<i>noun</i><br><ol><li>eyeball</li></ol>
bini	<i>noun</i><br><ol><li>wife</li></ol>
bini-bini	<i>noun</i><br><ol><li>female person; woman or girl</li></ol><br><i>adj</i><br><ol><li>(of humans) female</li></ol>
bintang	<i>noun</i><br><ol><li>star (luminous celestial body)</li></ol>
biru	<i>adj</i><br><ol><li>blue</li></ol><br><i>noun</i><br><ol><li>blue</li></ol>
buah	<i>noun</i><br><ol><li>fruit (food)</li><li>fruit (part of plant)</li></ol><br><i>classifier</i><br><ol><li>Classifier for anything generally concretely big and has volume.</li></ol>
buaya	<i>noun</i><br><ol><li>crocodile (reptile)</li></ol>
bukit	<i>noun</i><br><ol><li>hill (elevated location)</li></ol>
buku	<i>noun</i><br><ol><li>book (collection of sheets of paper bound together containing printed or written material)</li></ol>
bula	<i>noun</i><br><ol><li>ball (spherical object for playing games)</li><li>(colloquial) football (UK), soccer (US)</li></ol>
bula sipak	<i>noun</i><br><ol><li>(formal) football (UK), soccer (US)</li></ol>
bulan	<i>noun</i><br><ol><li>moon (largest natural satellite of planet Earth)</li><li>month (period into which a year is divided)</li></ol>
bulu	<i>noun</i><br><ol><li>body hair (humans)</li><li>fur (animals)</li><li>feather</li></ol>
bulu mata	<i>noun</i><br><ol><li>eyelash</li></ol>
bunga	<i>noun</i><br><ol><li>flower</li><li>interest (finance)</li></ol>
bungi	<i>noun</i><br><ol><li>(dialect, Kampong Ayer) sound (sensation perceived by the ear)</li></ol>
buntak	<i>adj</i><br><ol><li>short (length)</li><li>short (height)</li></ol>
bunyi	<i>noun</i><br><ol><li>sound (sensation perceived by the ear)</li></ol>
burung	<i>noun</i><br><ol><li>bird (animal)</li><li>(childish, slang) penis</li></ol>
burung antu	<i>noun</i><br><ol><li>owl (bird)</li></ol>
butul	<i>noun</i><br><ol><li>bottle (container used for holding liquids)</li></ol>
