А|a|а	<i>character</i><br><ol><li>The first letter of the Bulgarian alphabet, called а (a), and written in the Cyrillic script.</li></ol>
Австралия|Avstrálija|Австра́лия|австрали́йски	<i>name</i><br><ol><li>Australia (a country in Oceania)</li><li>Australia (a continent)</li></ol>
Австрия|А́встрия|Ávstrija|австри́йски|А́встрийо	<i>name</i><br><ol><li>Austria (a country in Central Europe; capital: Vienna)</li></ol>
Адамова ябълка|Ада́мова я́бълка|Ада́мовата я́бълка|Ада́мовите я́бълки|Ада́мови я́бълки|Adámova jábǎlka	<i>noun</i><br><ol><li>Adam's apple</li></ol>
Аерофлот|Aeroflót|Аерофло́т	<i>name</i><br><ol><li>Aeroflot (airline)</li></ol>
Азербайджан|Azerbajdžán|азербайджа́нски|Азербайджа́н	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Азия|А́зия|азиа́тски|Ázija	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Албания|Albánija|Алба́ния|алба́нски|Алба́нийо	<i>name</i><br><ol><li>Albania (a country in southeastern Europe)</li></ol>
Аллах|Алла́х|Алла́хът|Alláh|Алла́сите|Алла́си|Алла́ха	<i>name</i><br><ol><li>Allah (God, in Islam)</li></ol>
Алпи|Álpi|А́лпите|А́лпи	<i>name</i><br><ol><li>the Alps (a mountain range in Europe)</li></ol>
Америка|Amérika|Аме́рике|Аме́рика	<i>name</i><br><ol><li>America (two continents, North America and South America)</li><li>America (the United States of America, a country in North America)</li></ol>
Англия|Ánglija|англи́йски|А́нглия|А́нглийо	<i>name</i><br><ol><li>England (a constituent country of the United Kingdom in Europe)</li></ol>
Андора|Andóra|Андо́ра	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Анкара|Ankára|Анка́ра|Анка́ро	<i>name</i><br><ol><li>Ankara (the capital of Turkey)</li></ol>
Антарктида|Antarktída|Антаркти́да|Антаркти́до	<i>name</i><br><ol><li>Antarctica (a continent)</li></ol>
Арес|А́рес|Áres	<i>name</i><br><ol><li>(Greek mythology) Ares</li></ol>
Аржентина|Aržentína|Арженти́но|Арженти́на	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Ариел|А́риел|Áriel	<i>name</i><br><ol><li>(astronomy) Ariel, moon of Uranus</li></ol>
Арика|Arika	<i>name</i><br><ol><li>Arica (a city in Chile)</li></ol>
Аристотел|Aristotel	<i>name</i><br><ol><li>Aristotle</li></ol>
Армения|Arménija|Арме́ния|арме́нски|Арме́нийо	<i>name</i><br><ol><li>Armenia (a country in the South Caucasus in Western Asia)</li></ol>
Атина|Ати́но|Atína|Ати́на	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
