( )	<i>punct</i><br><ol><li>sometimes used to enclose numbers to distinguish from letters</li></ol>
က|ka.	<i>character</i><br><ol><li>Ka, the first letter of the Burmese alphabet, called ကကြီး (ka.kri:) in Burmese.</li></ol><br><i>conj</i><br><ol><li>if</li></ol><br><i>particle</i><br><ol><li>indicates the subject of the sentence, a topic marker</li></ol><br><i>postp</i><br><ol><li>in, on (in reference to a point in time in the past)</li><li>from (in reference to a place)</li></ol><br><i>verb</i><br><ol><li>to dance</li></ol><br><i>noun</i><br><ol><li>(only used in compounds) fish</li></ol>
ကကုသန်|ka.ku.san	<i>name</i><br><ol><li>(Buddhism) Kakusandha, the 25th of 27 named Buddhas immediately preceding Gautama</li></ol>
ကက်စီနို|kakcinui	<i>noun</i><br><ol><li>casino</li></ol>
ကက်ဆက်|kakhcak	<i>noun</i><br><ol><li>cassette (small flat case containing magnetic tape)</li></ol>
ကက်တလောက်|kakta.lauk	<i>noun</i><br><ol><li>catalogue</li></ol>
ကက်ပတိန်|ယောက်|u:|ဦး|kakpa.tin	<i>noun</i><br><ol><li>captain.</li></ol>
ကက်ဗိနက်|kakbi.nak	<i>noun</i><br><ol><li>cabinet</li></ol>
ကက်သလစ်|kaksa.lac	<i>noun</i><br><ol><li>(Christianity) Catholic</li><li>croquette</li></ol>
ကကြီး|ka.kri:	<i>noun</i><br><ol><li>name of the letter က, the first letter of the Myanmar alphabet</li></ol>
ကချင်|ka.hkyang	<i>name</i><br><ol><li>Kachin.</li></ol>
ကချေသည်|ka.hkyesany	<i>noun</i><br><ol><li>dancer</li></ol>
ကင်ဆာရောဂါ|kanghcarau:ga	<i>noun</i><br><ol><li>(medicine) cancer</li></ol>
ကင်ညာ|kangnya	<i>name</i><br><ol><li>Kenya</li></ol>
ကင်ပွန်း|kangpwan:	<i>noun</i><br><ol><li>(botany) soap acacia, also known as shikakai (Acacia concinna)</li></ol>
ကင်ဘာရာ|kangbhara	<i>name</i><br><ol><li>Canberra (the capital of Australia)</li></ol>
ကင်မရာ|လုံး|kangma.ra	<i>noun</i><br><ol><li>camera (device for taking photographs)</li></ol>
ကင်မရွန်း|kangma.rwan:	<i>name</i><br><ol><li>Cameroon</li></ol>
ကင်း|kang:	<i>noun</i><br><ol><li>general term for centipede and scorpion</li><li>patrol; guard</li><li>king (in a card game)</li></ol>
ကင်းခြေများ|kang:hkre-mya:	<i>noun</i><br><ol><li>centipede</li></ol>
ကင်းပုံ|kang:pum	<i>noun</i><br><ol><li>tindora, a vine that eats leaves and fruit.</li></ol>
ကင်းမြီးကောက်|kaung|ကောင်|kang:mri:kauk	<i>noun</i><br><ol><li>scorpion</li></ol>
ကင်းမွန်|kaung|kang:mwan|ကောင်	<i>noun</i><br><ol><li>cuttlefish, a sea creature with eight short arms and two long arms with suction cups, and a sponge called an exoskeleton.</li></ol>
ကစား|ka.ca:	<i>verb</i><br><ol><li>to play or take part in sports or games</li><li>to gamble</li><li>to tease</li><li>to be unstable, to make it unstable</li><li>to speculate</li></ol>
ကစားကွင်း|ka.ca:kwang:	<i>noun</i><br><ol><li>playground</li></ol>
ကစားစရာ|ka.ca:ca.ra|hku.|ခု	<i>noun</i><br><ol><li>toy, plaything</li></ol>
ကစားသမား|ka.ca:sa.ma:	<i>noun</i><br><ol><li>gambler</li></ol>
ကစီ|ka.ci	<i>noun</i><br><ol><li>rice puree; congee</li></ol>
ကစီဓာတ်|ka.cidhat	<i>noun</i><br><ol><li>carbohydrate</li></ol>
ကဆုန်|ka.hcun	<i>noun</i><br><ol><li>The second month of the traditional Burmese calendar.</li></ol>
ကဆုန်နယုန် ဆွေ့ဆွေ့ခုန်|ka.hcunna.yun hcwe.hcwe.hkun	<i>proverb</i><br><ol><li>used in reference to warm summer months (lit. Kason and Nayon, [enough to induce] convulsive leaps)</li></ol>
