Soveed Socialiis Respyyblikenyydei Sojuuz|SSRS	<i>name</i><br><ol><li>1931–1939 Latin form of Совет Социалис Республикануудай Союз (Sovjet Socialis Rjespublikanuudaj Sojuz, “the Union of Soviet Socialist Republics”)</li></ol>
Soveed Socialiis Respyyʙlikenyydei Sojuuz|SSRS	<i>name</i><br><ol><li>1931–1939 Latin form of Совет Социалис Республикануудай Союз (Sovjet Socialis Rjespublikanuudaj Sojuz, “the Union of Soviet Socialist Republics”)</li></ol>
А|a|а	<i>character</i><br><ol><li>The first letter of the Buryat alphabet, written in the Cyrillic script.</li></ol>
Ага|Aga	<i>name</i><br><ol><li>the Aga</li><li>Aginskoe</li></ol>
Ази|Azi	<i>name</i><br><ol><li>Asia (continent or Roman province)</li></ol>
Америкын Холбоото Штадууд|Amjerikyn Xolbooto Štaduud	<i>name</i><br><ol><li>the United States of America</li></ol>
Б|B|б|b	<i>character</i><br><ol><li>The second letter of the Buryat alphabet, written in the Cyrillic script.</li></ol>
Байгал|Bajgal	<i>name</i><br><ol><li>Baikal (world’s largest freshwater lake by volume)</li></ol>
Буряад|Burjaad	<i>name</i><br><ol><li>synonym of Буряад орон (Burjaad oron, “Buryatia”)</li></ol>
Буряад Республика|Burjaad Rjespublika	<i>name</i><br><ol><li>the Republic of Buryatia</li></ol>
Бээжэн|Beežen	<i>name</i><br><ol><li>Beijing, Peking</li></ol>
В|в|v|V	<i>character</i><br><ol><li>The third letter of the Buryat alphabet, written in the Cyrillic script.</li></ol>
Википеэди|Vikipjeedi	<i>name</i><br><ol><li>Wikipedia</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fourth letter of the Buryat alphabet, written in the Cyrillic script.</li></ol>
Европо|Jevropo	<i>name</i><br><ol><li>Europe (continent)</li></ol>
Захаамин|Zaxaamin	<i>name</i><br><ol><li>Zakamensk (town in Buryatia)</li></ol>
Монгол|Mongol	<i>name</i><br><ol><li>Mongolia (a country in northeastern Asia; capital: Ulaanbaatar)</li></ol>
Ород|Orod	<i>name</i><br><ol><li>Russia</li></ol>
Орос|Oros|Оросой|Orosoj	<i>name</i><br><ol><li>Russia</li></ol>
Оросой Холбоото Улас|Orosoj Xolbooto Ulas	<i>name</i><br><ol><li>synonym of Россиин Федераци (Rossiin Fjedjeraci, “the Russian Federation”)</li></ol>
Ринчинов|Rinčinov|Ринчинова	<i>name</i><br><ol><li>a male surname from Tibetan [in turn originating as a patronymic]</li></ol>
Росси|Rossi|Rossiin|Россиин	<i>name</i><br><ol><li>Russia</li></ol>
Россиин Федераци|Rossiin Fjedjeraci	<i>name</i><br><ol><li>the Russian Federation</li></ol>
Сибирь|Sibirʹ	<i>name</i><br><ol><li>Siberia</li></ol>
Сэлэнгэ|Selenge	<i>name</i><br><ol><li>Selenga (river in Mongolia and Buryatia, Russia; flowing into the Lake Baikal)</li></ol>
