'musta	<i>intj</i><br><ol><li>hello</li><li>how are you?</li><li>used to ask about the status of someone or something</li></ol>
Abe	<i>noun</i><br><ol><li>a nickname for Abelardo</li></ol>
Abet	<i>name</i><br><ol><li>a nickname for Isabel, Elizabeth, etc.</li><li>(rare) a nickname for Albert or Alberto</li></ol>
Abing	<i>name</i><br><ol><li>a nickname for Isabel</li></ol>
Abra	<i>name</i><br><ol><li>Abra (a province of the Philippines)</li></ol>
Abraham	<i>name</i><br><ol><li>(biblical) Abraham</li></ol>
Abril|Abríl	<i>name</i><br><ol><li>April</li></ol><br><i>verb</i><br><ol><li>to do something in April</li><li>to write April in something</li></ol>
Abubakar	<i>name</i><br><ol><li>a Moro surname from Arabic [in turn originating as a patronymic].</li></ol>
Achel	<i>noun</i><br><ol><li>a nickname for Rachel</li></ol>
Achilles	<i>name</i><br><ol><li>(Greek mythology) Achilles</li></ol>
Aching	<i>name</i><br><ol><li>a nickname for Rachel, Maximiana, etc.</li></ol>
Adams	<i>name</i><br><ol><li>A municipality of Ilocos Norte</li><li>the lone barangay of the municipality</li></ol>
Adan	<i>name</i><br><ol><li>(biblical) Adam</li></ol><br><i>noun</i><br><ol><li>a man</li></ol>
Adan ug Eba	<i>name</i><br><ol><li>Adam and Eve</li></ol>
Adbentista	<i>adj</i><br><ol><li>Adventist</li></ol><br><i>noun</i><br><ol><li>Adventist</li></ol>
Adbiyento	<i>noun</i><br><ol><li>(Christianity) Advent</li></ol>
Adlaon	<i>name</i><br><ol><li>A barangay of Cebu City, Cebu, Philippines</li></ol>
Adlaw sa mga Kalag	<i>name</i><br><ol><li>All Souls' Day</li></ol>
Adlaw sa mga Patay	<i>name</i><br><ol><li>All Souls' Day</li></ol>
Adong	<i>name</i><br><ol><li>a nickname for Adonis, Condrado, etc.</li></ol>
Ador	<i>name</i><br><ol><li>a nickname for Dominador, Salvador, etc.</li></ol>
Agatha	<i>noun</i><br><ol><li>a princess; a young girl or woman considered vain, spoiled or selfish; a prima donna</li><li>an unfriendly or disparaging way of addressing such woman or girl</li></ol>
Agosto	<i>name</i><br><ol><li>August</li></ol>
Agsungot	<i>name</i><br><ol><li>A barangay of Cebu City, Cebu, Philippines</li></ol>
Agunod	<i>name</i><br><ol><li>a barangay in Plaridel, Misamis Occidental</li></ol>
Agusan	<i>name</i><br><ol><li>Agusan (a former province of the Philippines)</li></ol>
Agusan del Norte	<i>name</i><br><ol><li>Agusan del Norte (a province of the Philippines)</li></ol>
Agusan del Sur	<i>name</i><br><ol><li>Agusan del Sur (a province of the Philippines)</li></ol>
Aklan	<i>name</i><br><ol><li>Aklan (a province of the Philippines)</li><li>the Aklan River</li></ol>
Alang-alang	<i>name</i><br><ol><li>A barangay of Mandaue, Cebu, Philippines</li></ol>
Albay|Albáy	<i>name</i><br><ol><li>Albay (a province of the Philippines)</li></ol>
Alcantara	<i>name</i><br><ol><li>A municipality of Cebu</li></ol>
Alcoy	<i>name</i><br><ol><li>A municipality of Cebu</li><li>a municipality in Alicante, Spain</li></ol>
Aldong	<i>name</i><br><ol><li>a nickname for Reynaldo</li></ol>
Alegria	<i>name</i><br><ol><li>A municipality of Cebu</li></ol>
Alejang	<i>name</i><br><ol><li>a nickname for Alejandra</li></ol>
Aleosan	<i>name</i><br><ol><li>A municipality of Cotabato, Philippines</li></ol>
Alexandra	<i>name</i><br><ol><li>(astronomy) the asteroid 54 Alexandra</li></ol>
Alice	<i>name</i><br><ol><li>the titular character of Alice's Adventures in Wonderland</li></ol>
Alicia	<i>name</i><br><ol><li>A municipality of Zamboanga Sibugay</li><li>A municipality of Bohol</li><li>A municipality of Isabela</li></ol>
Alimango	<i>name</i><br><ol><li>(astronomy) the constellation Cancer</li><li>(astrology) the zodiac sign Cancer</li></ol>
Aliwang	<i>name</i><br><ol><li>a nickname for Alejandra</li></ol>
Allen	<i>name</i><br><ol><li>A municipality of Northern Samar</li></ol>
Aloguinsan	<i>name</i><br><ol><li>A municipality of Cebu, Philippines</li></ol>
Alubijid	<i>name</i><br><ol><li>A municipality of Misamis Oriental, Philippines</li></ol>
Amang	<i>name</i><br><ol><li>(often offensive) a nickname for a mute or a quiet person</li></ol>
Amay	<i>name</i><br><ol><li>a nickname for one's child</li></ol>
Ambos Camarines	<i>name</i><br><ol><li>(historical) the province of Ambos Camarines</li></ol>
Amboy	<i>name</i><br><ol><li>a nickname for Pablo</li><li>a nickname for someone with light-coloured skin, not necessarily of Caucasian descent</li></ol><br><i>noun</i><br><ol><li>a male who is of American descent; an American Filipino</li></ol>
Amburayan	<i>name</i><br><ol><li>(historical) Amburayan; a former Spanish commandancy</li><li>(historical) a subprovince of Lepanto-Bontoc</li></ol>
Amerika	<i>name</i><br><ol><li>America, United States of America (a country in North America)</li><li>America (the continents of North America and South America)</li></ol>
Amerikana	<i>noun</i><br><ol><li>a female person born in, or a citizen or inhabitant of, the United States of America</li></ol>
