ⴰ|a	<i>character</i><br><ol><li>ya, a Tifinagh letter, the first of the basic Neo-Tifinagh alphabet.</li></ol>
ⴰⴱⴰⴱⴱⵓⵥ|ababbuẓ	<i>noun</i><br><ol><li>bear</li></ol>
ⴰⴱⴰⴱⴱⵓⵥ ⴰⵔⴰⵙ|ababbuẓ aras	<i>noun</i><br><ol><li>brown bear</li></ol>
ⴰⴱⴰⵏⴷⵓ|abandu	<i>noun</i><br><ol><li>flag</li></ol>
ⴰⴱⵅⵅⵓⵛ|abxxuš	<i>adj</i><br><ol><li>black (color)</li></ol>
ⴰⴱⵓⴱⴱⵓ|abubbu	<i>noun</i><br><ol><li>(childish) breast</li></ol>
ⴰⴱⵔⴹⵓⴹ|abrḍuḍ|abṛḍuḍ|ⴰⴱⵕⴹⵓⴹ	<i>noun</i><br><ol><li>tail</li></ol>
ⴰⴱⵔⴽⴰⵏ|ⴰⴱⵔⵛⴰⵏ|abršan|abrkan	<i>adj</i><br><ol><li>black (color)</li></ol>
ⴰⴱⵔⵉⴷ|abrid	<i>noun</i><br><ol><li>road (as opposed to street)</li></ol>
ⴰⴳⴰⴷⵉⵔ|agadir	<i>name</i><br><ol><li>Agadir (a city in Morocco)</li></ol>
ⴰⴳⴰⵎⴰ|agama	<i>noun</i><br><ol><li>nature</li></ol>
ⴰⴳⴰⵎⴰⵏ|agaman|ⵉⴳⴰⵎⴰⵏⵏ	<i>adj</i><br><ol><li>natural</li></ol>
ⴰⴳⴰⵜⵓ|agatu	<i>noun</i><br><ol><li>rope</li></ol>
ⴰⴳⴳⵓ|aggu	<i>noun</i><br><ol><li>(uncountable) smoke</li></ol>
ⴰⴳⴳⵓⵔ|aggur	<i>noun</i><br><ol><li>portal</li></ol>
ⴰⴳⴷⵓⴷ|agdud	<i>noun</i><br><ol><li>(in the singular) people</li><li>assembly</li><li>public, audience</li></ol>
ⴰⴳⴹⵉⴹ|ⵉⴳⴹⴰⴹ|ⴰⵊⴹⵉⴹ|agḍiḍ|ⵜⴰⴳⴹⵉⴹⵜ|ajḍiḍ	<i>noun</i><br><ol><li>bird</li></ol>
ⴰⴳⵊⴷⵉ|agjdi	<i>noun</i><br><ol><li>pole</li></ol>
ⴰⴳⵍⵍⵉⴷ|agllid	<i>noun</i><br><ol><li>lord, king</li><li>master</li></ol>
ⴰⴳⵏⴰⵔ|agnar	<i>num</i><br><ol><li>twenty</li></ol>
ⴰⴳⵔⵉⵙ|ⴰⴳⵯⵔⵉⵙ|agʷris|agris	<i>noun</i><br><ol><li>(rare) ice</li></ol>
ⴰⴳⵯⵍⵉⵎ|agʷlim	<i>noun</i><br><ol><li>skin (of a person, as opposed to hide)</li></ol>
ⴰⴳⵯⵍⵎⴰⵎ|agʷlmam|ⴰⴳⵯⵍⵎⵉⵎ|agʷlmim|ⵉⴳⵯⵍⵎⵉⵎⵏ	<i>noun</i><br><ol><li>lake</li><li>pond</li></ol>
ⴰⴳⵯⵏⵉ|agʷni	<i>noun</i><br><ol><li>(geography) depression, val</li></ol>
ⴰⴷ|ad	<i>adj</i><br><ol><li>this, these</li></ol>
ⴰⴷⴰⵙⵉⵍ|adasil	<i>noun</i><br><ol><li>sole of the foot</li><li>hoof of an animal</li><li>trace, imprint</li></ol>
ⴰⴷⴷⴰⴷ ⴰⵎⴰⵔⵓⵣ|addad amaruz	<i>noun</i><br><ol><li>construct state (inflection for Berber nouns)</li></ol>
ⴰⴷⴼⵍ|adfl	<i>noun</i><br><ol><li>(uncountable) snow</li></ol>
ⴰⴷⵉⵙ|adis	<i>noun</i><br><ol><li>stomach, belly</li></ol>
ⴰⴷⵔⴰⵔ|adrar	<i>noun</i><br><ol><li>mountain</li></ol>
ⴰⴷⵡⴰⵙ|adwas	<i>noun</i><br><ol><li>health</li></ol>
ⴰⴹⴰⴹ|aḍaḍ	<i>noun</i><br><ol><li>finger</li></ol>
ⴰⴹⴰⵔ|aḍaṛ|aḍar|ⴰⴹⴰⵕ	<i>noun</i><br><ol><li>foot</li><li>gigot</li></ol>
ⴰⴹⵏ|aḍn	<i>verb</i><br><ol><li>to be sick</li></ol>
ⴰⴹⵓ|aḍu	<i>noun</i><br><ol><li>wind</li><li>air</li></ol>
ⴰⴼⴰ|afa	<i>noun</i><br><ol><li>fire</li></ol>
ⴰⴼⴰⵍⴽⵓ|afalku	<i>noun</i><br><ol><li>falcon</li></ol>
ⴰⴼⴰⵙⵉ|afasi	<i>adj</i><br><ol><li>right (side)</li></ol><br><i>adv</i><br><ol><li>right (side)</li></ol>
ⴰⴼⴼ|aff	<i>verb</i><br><ol><li>to swell</li></ol>
ⴰⴼⵓⴷ|afud	<i>noun</i><br><ol><li>knee</li></ol>
ⴰⴼⵓⵙ|ⵉⴼⴰⵙⵙⵏ|afus	<i>noun</i><br><ol><li>hand</li></ol>
ⴰⴼⵔ|afr	<i>noun</i><br><ol><li>wing</li></ol>
ⴰⴼⵔⴰ|afra	<i>noun</i><br><ol><li>solution, explanation</li></ol>
ⴰⴼⵔⴷⵉⵙ|ⵉⴼⵔⴷⵉⵙⵏ|afrdis	<i>noun</i><br><ol><li>unit, element</li><li>component</li></ol>
ⴰⴼⵔⵡ|afrw	<i>verb</i><br><ol><li>to fly</li></ol>
ⴰⴼⵙⵙⴰⵢ|afssay	<i>noun</i><br><ol><li>solution</li></ol>
ⴰⴽⴰⵍ|ⴰⵛⴰⵍ|akal|ašal	<i>noun</i><br><ol><li>earth, land</li><li>soil, ground</li></ol>
ⴰⴽⵙⵉⵍ|aksil	<i>noun</i><br><ol><li>tiger</li></ol><br><i>name</i><br><ol><li>Kusaila/Aksel, a king of Altava</li></ol>
ⴰⴽⵙⵓⵎ|aksum	<i>noun</i><br><ol><li>meat, flesh</li><li>skin</li><li>hide</li></ol>
ⴰⵀⴰⴷ|ahad	<i>noun</i><br><ol><li>Wednesday</li></ol>
ⴰⵀⵉⵜⵓⵔ|ahitur	<i>noun</i><br><ol><li>skin (of a person, as opposed to hide)</li></ol>
ⴰⵄⴱⴰⵏ|iɛbann|ⵉⵄⴱⴰⵏⵏ|aɛban	<i>noun</i><br><ol><li>wool-made garment</li></ol>
ⴰⵄⴷⴷⵉⵙ|aɛddis	<i>noun</i><br><ol><li>belly, abdomen</li></ol>
ⴰⵅⴰⵜⴰⵔ|axatar	<i>adj</i><br><ol><li>big</li></ol>
ⴰⵅⴱⴰⵛ|axbaš	<i>noun</i><br><ol><li>claw</li></ol>
ⴰⵅⵍⵉⵊⵊ|axlijj	<i>noun</i><br><ol><li>tree (as opposed to log)</li></ol>
ⴰⵅⵎⵉⵎ|axmim	<i>noun</i><br><ol><li>lip</li></ol>
ⴰⵇⴷⵉⵎ|aqdim	<i>adj</i><br><ol><li>(of a thing) old</li></ol>
ⴰⵇⵎⵓ|aqmu	<i>noun</i><br><ol><li>mouth</li></ol>
ⴰⵇⵕⵕⵓ|aqṛṛu	<i>noun</i><br><ol><li>head</li></ol>
ⴰⵇⵛⴰⵛ|aqšaš	<i>noun</i><br><ol><li>head</li></ol>
ⴰⵇⵛⵎⵉⵔ|aqšmir	<i>noun</i><br><ol><li>rock</li></ol>
ⴰⵇⵛⵓⵔ|aqšur	<i>noun</i><br><ol><li>bark (of tree)</li></ol>
ⴰⵊⵢ|ajy	<i>verb</i><br><ol><li>to be alert, awake</li></ol>
ⴰⵍ|al	<i>prep</i><br><ol><li>until, up to</li></ol>
ⴰⵍⴰⵖⵎⵓ|alaɣmu	<i>noun</i><br><ol><li>(mathematics) exercise</li></ol>
ⴰⵍⴳⴳⵯⴰⵖ|ⴰⵍⵡⵡⴰⵖ|alwwaɣ|alggʷaɣ	<i>adj</i><br><ol><li>smooth</li></ol>
ⴰⵍⵅⵉⵅ|alxix	<i>noun</i><br><ol><li>sand</li></ol>
ⴰⵍⵍ	<i>verb</i><br><ol><li>to cry</li></ol>
ⴰⵍⵢ|aly	<i>verb</i><br><ol><li>to climb</li><li>to go up</li></ol>
ⴰⵎⴰⴹⴰⵍ|amaḍal	<i>noun</i><br><ol><li>world</li></ol>
ⴰⵎⴰⵍⵓ|amalu	<i>noun</i><br><ol><li>shadow</li></ol>
ⴰⵎⴰⵏ|aman|ⵡⴰⵎⴰⵏ	<i>noun</i><br><ol><li>water</li></ol>
ⴰⵎⴰⵖⵓⴷ|amaɣud	<i>adj</i><br><ol><li>honest</li></ol>
ⴰⵎⴰⵣⵉⵖ|yimaziɣn|imaziɣn|umaziɣ|ⵉⵎⴰⵣⵉⵖⵏ|tamaziɣt|ⵜⵎⴰⵣⵉⵖⵜ|ⵜⵉⵎⴰⵣⵉⵖⵉⵏ|ⵜⴰⵎⴰⵣⵉⵖⵜ|ⵢⵉⵎⴰⵣⵉⵖⵏ|ⵓⵎⴰⵣⵉⵖ|amaziɣ	<i>noun</i><br><ol><li>Berber, Amazigh</li></ol>
ⴰⵎⴳⵔⴹ|amgrḍ	<i>noun</i><br><ol><li>neck (as opposed to nape)</li><li>throat</li></ol>
ⴰⵎⴷⴰ|amda	<i>noun</i><br><ol><li>oasis</li></ol>
ⴰⵎⴷⴷⴰⴽⴽⵯⵍ|amddakkʷl	<i>noun</i><br><ol><li>friend</li></ol>
ⴰⵎⴷⵖ|amdɣ	<i>noun</i><br><ol><li>giraffe</li></ol>
ⴰⵎⴹⴰⵏ|amḍan	<i>noun</i><br><ol><li>(mathematics) number</li></ol>
ⴰⵎⴹⵓⵡⵔ|amḍuwr	<i>adj</i><br><ol><li>round</li></ol>
ⴰⵎⴽⴽⵓⵥ|amkkuẓ	<i>noun</i><br><ol><li>square</li></ol>
ⴰⵎⴽⵔⴰⴹ|ⴰⵎⴽⵕⴰⴹ|amkṛaḍ|amkraḍ	<i>noun</i><br><ol><li>triangle</li></ol>
ⴰⵎⵀⴰⴷ|amhad	<i>noun</i><br><ol><li>Thursday</li></ol>
ⴰⵎⵇⵇⵔⴰⵏ|amqqran|ⴰⵎⵖⵖⵔⴰⵏ|amɣɣran	<i>adj</i><br><ol><li>big</li><li>old</li></ol>
ⴰⵎⵍⵍⴰⵍ|amllal	<i>adj</i><br><ol><li>white (color)</li></ol>
ⴰⵎⵓⴷ|amud	<i>noun</i><br><ol><li>seed</li></ol>
ⴰⵎⵓⴹⵉⵏ|amuḍin	<i>noun</i><br><ol><li>sick person</li></ol>
ⴰⵎⵓⵏⵙⴽⴰⵍ|ⵉⵎⵓⵏⵙⴽⴰⵍⵏ|amunskal	<i>adj</i><br><ol><li>complex</li></ol>
ⴰⵎⵖⵔⵉⴱⵉ|amɣribi	<i>adj</i><br><ol><li>Moroccan</li></ol><br><i>noun</i><br><ol><li>a Moroccan person</li></ol>
ⴰⵎⵖⵔⵓⵏ|amɣrun	<i>noun</i><br><ol><li>rhombus</li></ol>
ⴰⵎⵛⵉⵛ|ⴰⵎⵓⵛⵛ|amšiš|amušš	<i>noun</i><br><ol><li>cat</li></ol>
ⴰⵎⵟⵟⴰ|amṭṭaw|ⴰⵎⵟⵟⴰⵡ|amṭṭa	<i>noun</i><br><ol><li>tear</li></ol>
ⴰⵎⵢⴰ|amya	<i>num</i><br><ol><li>zero</li></ol>
ⴰⵎⵣⵔⵓⵢ|amzruy	<i>noun</i><br><ol><li>history</li></ol>
ⴰⵎⵥ|amẓ	<i>verb</i><br><ol><li>to take, to seize</li><li>to hold</li></ol>
ⴰⵎⵥⵥⵓⵖ|amẓẓuɣ	<i>noun</i><br><ol><li>ear</li></ol>
ⴰⵎⵥⵥⵢⴰⵏ|amẓyan|ⴰⵎⵥⵢⴰⵏ|amẓẓyan|ⵉⵎⵥⵥⵢⴰⵏⵏ	<i>adj</i><br><ol><li>small</li></ol>
ⴰⵏⴰⵎⵓⵔ|anamur	<i>adj</i><br><ol><li>national</li></ol>
ⴰⵏⴰⵏⴰⵚ|ananaṣ	<i>noun</i><br><ol><li>pineapple</li></ol>
ⴰⵏⴼⴰⵍ|anfal	<i>noun</i><br><ol><li>folly</li></ol>
ⴰⵏⵏⴰⵢ|annay	<i>verb</i><br><ol><li>to see</li></ol>
ⴰⵏⵓ|anu	<i>noun</i><br><ol><li>well (water)</li></ol>
ⴰⵏⵛⵓⵛ|anšuš	<i>noun</i><br><ol><li>lip</li></ol>
ⴰⵏⵣⴰⵔ|anzar	<i>noun</i><br><ol><li>nose</li></ol>
ⴰⵏⵥⴰⵔ|ⴰⵏⵥⴰⵕ|anẓaṛ|ⴰⵏⵣⴰⵔ|anzar|anẓar	<i>noun</i><br><ol><li>rain</li></ol>
ⴰⵔⴰⵎ|aram	<i>noun</i><br><ol><li>Tuesday</li></ol>
ⴰⵔⴰⵙ|aras	<i>adj</i><br><ol><li>brown</li></ol>
ⴰⵔⴱⴰ|arba	<i>noun</i><br><ol><li>child</li></ol>
ⴰⵔⴳⴰⵏ|argan	<i>noun</i><br><ol><li>Argania spinosa, argan tree</li></ol>
ⴰⵔⴳⴰⵣ|ⵉⵔⴳⴰⵣⵏ|ⴰⵔⵢⴰⵣ|argaz|aryaz	<i>noun</i><br><ol><li>man (adult male human)</li><li>husband</li></ol>
ⴰⵔⵉⵎ|arim	<i>noun</i><br><ol><li>Monday</li></ol>
ⴰⵔⵡ|arw	<i>verb</i><br><ol><li>to give birth</li></ol>
ⴰⵖ|aɣ|ⴰⵅ|ax	<i>verb</i><br><ol><li>to take</li></ol>
ⴰⵖ … ⵛⴰ	<i>verb</i><br><ol><li>to be sick</li></ol>
ⴰⵖⵉⵍⴰⵙ|aɣilas	<i>noun</i><br><ol><li>tiger</li></ol>
ⴰⵖⵓ|ⴰⵖⵖⵓ|aɣɣu|aɣu	<i>noun</i><br><ol><li>milk</li></ol>
ⴰⵖⵓⵍⵉⴷ|aɣulid	<i>noun</i><br><ol><li>cliff</li></ol>
ⴰⵖⵔⴱⵉ|aɣrbi	<i>noun</i><br><ol><li>wind</li></ol>
ⴰⵖⵔⵓⵎ|ⵉⵖⵔⵓⵎⵏ|aɣrum	<i>noun</i><br><ol><li>(uncountable) bread</li><li>(countable) a loaf or round of bread</li></ol>
ⴰⵖⵣⵣⴰⴼ|aɣzzaf	<i>adj</i><br><ol><li>long (as opposed to wide)</li></ol>
