Aablik|Aabliks-je|Aablikke	<i>noun</i><br><ol><li>(Kirchröadsj) view, sight, look</li></ol>
Aabouw|Aabui|Aabuisje	<i>noun</i><br><ol><li>(Kirchröadsj) extension, annex</li></ol>
Aad|Ate|Aatsje	<i>noun</i><br><ol><li>(Kirchröadsj) nature, character, disposition</li><li>(Kirchröadsj) behavior</li><li>(Kirchröadsj) way, method</li><li>(Kirchröadsj, biology, taxonomy) species</li></ol>
Aadenke|Aadenker|Aadinker|Aadenkesje	<i>noun</i><br><ol><li>(Kirchröadsj) memory; remembrance (especially of a deceased person)</li><li>(Kirchröadsj) memento; souvenir; keepsake (something of emotional value kept as a reminder)</li></ol>
Aaf|Aafe|Ääfche	<i>noun</i><br><ol><li>(western Moselle Franconian, few dialects of Ripuarian, Limburgan Ripuarian) ape; monkey</li></ol>
Aap|Aape|Ääpche	<i>noun</i><br><ol><li>(Ripuarian) ape; monkey</li></ol>
Ab|Abte|Abche	<i>noun</i><br><ol><li>(westernmost Ripuarian) An abbot, monastic superior of an abbey</li></ol>
Abbauhammer|Abbauhammere|Abbauhämmerche|Abbauhämmercher	<i>noun</i><br><ol><li>(Mining) (most of Ripuarian) A pneumatic hammer</li></ol>
Ablas|Ables|Ables-je	<i>noun</i><br><ol><li>(Kirchröadsj, Roman Catholicism) indulgence, reduction of expected punishment in purgatory</li></ol>
Abriekoeës|Abriekoeëze|Abriekues-je	<i>noun</i><br><ol><li>(Kirchröadsj) apricot</li></ol>
Absjied|Absjiede|Absjiedsje	<i>noun</i><br><ol><li>(Kirchröadsj) parting, farewell</li></ol>
Aff	<i>noun</i><br><ol><li>(eastern Moselle Franconian, also Moselle Franconian / Hunsrückisch) ape; monkey</li></ol>
Appel|Äppelche|Äppel	<i>noun</i><br><ol><li>(most dialects) apple</li></ol>
Appelkoeës|Appelkues-je|Appelkues-jes|Appelkoeëze|Appelkoeës-jes	<i>noun</i><br><ol><li>(Kirchröadsj) Alternative form of Abriekoeës</li></ol>
Appelkuus|Appelküüsjer|Appelküüscher|Appelkuuse|Appelküüsje|Appelküüsche	<i>noun</i><br><ol><li>(dialectal) Alternative form of Apriekuus</li></ol>
Appeltaat|Appeltäätche|Appeltaate	<i>noun</i><br><ol><li>(Ripuarian, some dialects of Moselle Franconian) apple pie</li></ol>
Au	<i>noun</i><br><ol><li>(southern Moselle Franconian) eye</li></ol>
Auch	<i>noun</i><br><ol><li>(Kölsch) eye</li></ol>
Baam	<i>noun</i><br><ol><li>(southern Moselle Franconian) tree</li></ol>
Bal|Bals|Belsje|Bale|Beëlsje|Bel	<i>noun</i><br><ol><li>(Kirchröadsj, informal) testicle, nut</li><li>(Kirchröadsj, sports) pass, shot</li><li>(Kirchröadsj, chiefly in the negative) anything</li><li>(Kirchröadsj) A bale of hay or straw.</li><li>(Kirchröadsj) A closed bag or package of wares.</li></ol>
Ball|Balle|Bäll|Bal|Bals|Balls|Bällche|Beëlsje|Bel	<i>noun</i><br><ol><li>(most dialects) ball (round or roundish object, most commonly used in games)</li><li>(most dialects, dance) ball (social gathering for dancing), prom (US)</li></ol>
Been|Beenche	<i>noun</i><br><ol><li>(Ripuarian, western Moselle Franconian) leg</li></ol>
Beer|Beere|Beer	<i>noun</i><br><ol><li>(Moselle Franconian) berry (kind of fruit)</li><li>(Moselle Franconian) bear (animal)</li><li>(parts of western Moselle Franconian) beer</li></ol>
Bei|Beiche|Beie	<i>noun</i><br><ol><li>(most dialects) bee (insect)</li></ol>
Beidel	<i>noun</i><br><ol><li>(Moselle Franconian) pouch; bag; purse; wallet</li></ol>
Berch|Berjelche	<i>noun</i><br><ol><li>(Ripuarian, eastern Moselle Franconian) mountain</li></ol>
Berlin	<i>name</i><br><ol><li>Berlin</li></ol>
Bier|Biere	<i>noun</i><br><ol><li>(many dialects) beer (drink)</li><li>(most dialects) a male uncastrated pig; a boar</li></ol>
Bild|Biller|Bildche|Bilder	<i>noun</i><br><ol><li>(most dialects) image; picture; painting; photo</li></ol>
Bir|Birre	<i>noun</i><br><ol><li>pear (fruit)</li></ol>
Birk|Birke	<i>noun</i><br><ol><li>(most dialects) birch (tree)</li></ol>
Blatt|Bläder|Blader|Blättche	<i>noun</i><br><ol><li>(Ripuarian) leaf</li></ol>
Blot	<i>noun</i><br><ol><li>(Ripuarian, northern Moselle Franconian) blood</li></ol>
Blotwoosch|Blotwööschje|Blotwöösch	<i>noun</i><br><ol><li>(Kölsch) blood sausage</li></ol>
Blotwursch|Blotwürschje|Blotwürsch	<i>noun</i><br><ol><li>(most dialects of Ripuarian) blood sausage</li></ol>
Booch|Bööchelche|Booche|Beechelche|Beecher|Bööcher	<i>noun</i><br><ol><li>(Ripuarian, northern Moselle Franconian) book</li><li>(Ripuarian, northern Moselle Franconian) beech (tree)</li></ol>
Boom|Böömche|Bääm|Beemche|Bäämche|Bööm|Beem	<i>noun</i><br><ol><li>(most dialects) tree</li></ol>
Botz|Botze|Bötzje	<i>noun</i><br><ol><li>(Ripuarian) pair of trousers</li></ol>
Breme	<i>name</i><br><ol><li>(Kölsch) Bremen (the capital city of the state of Bremen, Germany)</li><li>(Kölsch) Bremen (a state of Germany)</li></ol>
Brock|Brögge|Bröck|Bröggelche	<i>noun</i><br><ol><li>(most of Ripuarian) bride (woman on or with regard to her wedding day)</li></ol>
Broder|Breder|Bröder|Brederche|Bröderche	<i>noun</i><br><ol><li>(Ripuarian, northern Moselle Franconian) brother</li></ol>
Bross|Bröss|Brössje	<i>noun</i><br><ol><li>(Ripuarian) chest</li><li>(Ripuarian) breast</li></ol>
Brot	<i>noun</i><br><ol><li>(southern Moselle Franconian) bread</li><li>(same region) loaf of bread</li></ol>
Brut|Brude|Brütche	<i>noun</i><br><ol><li>(Ripuarian, northern Moselle Franconian) bread</li><li>(same regions) loaf of bread</li></ol>
Brutt|Brie	<i>noun</i><br><ol><li>(Siegerland Moselle Franconian) bride</li></ol>
Bruut|Brüüt|Brüü	<i>noun</i><br><ol><li>(westernmost and northernmost Ripuarian) bride</li></ol>
Bröck|Brögge|Bröggelche	<i>noun</i><br><ol><li>(Ripuarian) bridge</li></ol>
Buch|Büchelche|Büch|Biechelche|Biecher	<i>noun</i><br><ol><li>(Ripuarian) belly; abdomen; stomach</li><li>(southern Moselle Franconian) book</li></ol>
Bunn|Bünnche|Bunne	<i>noun</i><br><ol><li>(Ripuarian) bean (kind of pulse)</li></ol>
Bunnezupp|Bunnezuppe|Bunnezüppche	<i>noun</i><br><ol><li>a thick soup made from beans</li></ol>
Butz|Bützje|Bütz	<i>noun</i><br><ol><li>(chiefly Ripuarian) kiss</li></ol>
Böggel|Böggele|Böggelche	<i>noun</i><br><ol><li>(most dialects of Ripuarian) pouch; bag; purse; wallet</li><li>(same dialects) scrotum</li><li>(same dialects) derogatory term for a man</li></ol>
Bösch|Bösche|Böschelche|Böscher|Böschje	<i>noun</i><br><ol><li>(Ripuarian) forest</li></ol>
Bühel|Bühelche|Bühele	<i>noun</i><br><ol><li>(westernmost Ripuarian) pouch; bag; purse; wallet</li><li>(same dialects) scrotum</li><li>(same dialects) derogatory term for a man</li></ol>
Chress|Chreste	<i>noun</i><br><ol><li>Christian (believer in Christianity)</li></ol>
Chressfess|Chressfeste	<i>noun</i><br><ol><li>Christmas</li></ol>
Daach|Dooch|Dääch|Däächer	<i>noun</i><br><ol><li>(most dialects) day</li><li>(most dialects) roof</li></ol>
Dau|Daue	<i>noun</i><br><ol><li>(most dialects) dew</li><li>(Ripuarian) push</li></ol>
Dauf|Daifche|Dauwe	<i>noun</i><br><ol><li>(Moselle Franconian) dove, pigeon</li></ol>
Deev|Deeve	<i>noun</i><br><ol><li>(Ripuarian) thief</li></ol>
Deiwel	<i>noun</i><br><ol><li>(Moselle Franconian / Hunsrückisch) devil</li></ol>
Densdaach|Densdääch	<i>noun</i><br><ol><li>(most dialects) Tuesday</li></ol>
Desch|Deschelche|Desche|Deschje	<i>noun</i><br><ol><li>(most dialects) table, desk</li></ol>
Dingsdaach|Dingsdääch	<i>noun</i><br><ol><li>(Kölsch, dated) Tuesday</li></ol>
Doch|Döchelche|Döcher	<i>noun</i><br><ol><li>(chiefly Ripuarian) cloth; paper towel</li></ol>
Doef|Duufje|Doeve	<i>noun</i><br><ol><li>(Kirchröadsj) A dove, pigeon, bird of the family Columbidae.</li><li>(Kirchröadsj) A female dove or pigeon.</li><li>(Kirchröadsj, astronomy) The constellation Columba</li></ol>
Donnersdaach|Donnersdääch	<i>noun</i><br><ol><li>(most dialects) Thursday</li></ol>
