Ꭰ|a|ꭰ	<i>character</i><br><ol><li>first letter of the Cherokee alphabet.</li></ol>
ᎠᎢ|ai	<i>verb</i><br><ol><li>he/she/it is walking</li></ol>
ᎠᎥᏍᎦ|avsga	<i>verb</i><br><ol><li>he/she/it is placing it (a solid object) on the ground</li></ol>
ᎠᎥᏏ|avsi	<i>verb</i><br><ol><li>he/she is handing it (a solid object) to him/her, giving it to him/her</li></ol>
ᎠᎦᎳᏍᎦ|agalasga	<i>verb</i><br><ol><li>he/she/it is breaking it (a flexible object)</li><li>he/she/it is cutting it (a flexible object)</li></ol>
ᎠᎦᎷᎦ|agaluga	<i>noun</i><br><ol><li>tornado, twister</li></ol>
ᎠᎦᎾᎦᏘ|aganagati	<i>noun</i><br><ol><li>doctor, physician</li></ol>
ᎠᎦᎾᏗᎠ|aganadia	<i>verb</i><br><ol><li>he/she/it is licking him/her/it</li></ol>
ᎠᎦᎾᏬᏍᎦ|aganawosga	<i>verb</i><br><ol><li>it is getting warm</li></ol>
ᎠᎦᏍᎦ|agasga	<i>verb</i><br><ol><li>it is raining</li></ol>
ᎠᎦᏍᎦᏂᏓ|agasganida	<i>adj</i><br><ol><li>left-handed</li></ol>
ᎠᎦᏍᎬ|agasgv	<i>noun</i><br><ol><li>rain</li></ol>
ᎠᎦᏐᏍᎬᎢ|agasosgvi	<i>noun</i><br><ol><li>downhill route</li></ol>
ᎠᎦᏐᏗᎭ|agasodiha	<i>verb</i><br><ol><li>he/she/it is going downhill</li></ol>
ᎠᎦᏓᎭᎢ|agadahai	<i>adj</i><br><ol><li>dirty (animate)</li></ol>
ᎠᎦᏔᎯ|agatahi	<i>noun</i><br><ol><li>witness (person bearing testimony)</li></ol>
ᎠᎦᏔᎿᎢ|agatahnai	<i>adj</i><br><ol><li>knowledgeable, learned</li></ol>
ᎠᎦᏖᎾᏍᏗᎢ|agatenasdii	<i>noun</i><br><ol><li>scenery</li></ol>
ᎠᎦᏖᏃᎭ|agatenoha	<i>verb</i><br><ol><li>he/she/it is looking around</li></ol>
ᎠᎦᏘᎭ|agatiha	<i>verb</i><br><ol><li>he/she/it is peeking through it</li></ol>
ᎠᎦᏘᏏ|agatisi	<i>adj</i><br><ol><li>right (opposite of "left")</li></ol>
ᎠᎦᏘᏱ|agatiyi	<i>noun</i><br><ol><li>guard, watchman</li></ol>
ᎠᎦᏙᎲᏍᏗ|agadohvsdi	<i>noun</i><br><ol><li>wisdom</li></ol>
ᎠᎦᏙᎵ|agadoli|ᏗᎦᏙᎵ|digadoli	<i>noun</i><br><ol><li>his/her/its eye</li></ol>
ᎠᎦᏙᏗ|agadodi	<i>noun</i><br><ol><li>telescope</li></ol>
ᎠᎦᏛᎴᎭ|agadvleha	<i>verb</i><br><ol><li>He/she/it is going through it</li><li>He/she is passing a grade</li></ol>
ᎠᎦᏛᎴᏍᎦ|agadvlesga	<i>verb</i><br><ol><li>he/she/it is going through it</li></ol>
ᎠᎦᏟᏱ|agatliyi	<i>adj</i><br><ol><li>eager</li></ol>
ᎠᎦᏴᎵ|agayvli	<i>adj</i><br><ol><li>old (animate), elderly</li></ol>
ᎠᎦᏴᎵᎨᎢ|agayvligei	<i>noun</i><br><ol><li>old woman</li></ol>
ᎠᎧᎲᎠ|akahva	<i>verb</i><br><ol><li>he/she/it is pushing him/her/it (a living thing) aside</li></ol>
ᎠᎧᎵᎢᎭ|akaliiha	<i>verb</i><br><ol><li>he/she/it is filling it</li></ol>
ᎠᎧᏁᏍᏗ|akanesdi	<i>noun</i><br><ol><li>badge</li><li>pin</li></ol>
ᎠᎧᏍᎨᏂ|akasgeni	<i>noun</i><br><ol><li>(anatomy) his/her/its hip</li></ol>
ᎠᎧᏲᏍᎦ|akayosga	<i>verb</i><br><ol><li>he/she/it is drying out</li></ol>
ᎠᎧᏲᏗᎭ|akayodiha	<i>verb</i><br><ol><li>he/she is drying out it out</li><li>he/she is preserving it</li></ol>
ᎠᎨᎮᎦ|agehega	<i>verb</i><br><ol><li>he/she/it is chasing him/her/it</li></ol>
ᎠᎨᎯ|agehi	<i>verb</i><br><ol><li>he/she/it is chasing him/her/it, pursuing him/her/it</li></ol>
ᎠᎨᏯᏗᎭ|ageyadiha	<i>verb</i><br><ol><li>he/she is refusing to give him/her/it</li></ol>
ᎠᎨᏴ|ageyv	<i>noun</i><br><ol><li>woman, female</li></ol>
ᎠᎩᎠ|agia	<i>verb</i><br><ol><li>he/she/it is picking it up (a solid object)</li><li>he/she/it is getting it (a solid object)</li></ol>
ᎠᎩᎡᎭ|agieha	<i>verb</i><br><ol><li>He/she/it is taking it (a solid object) from him/her/it</li></ol>
ᎠᎩᎵᏲᎦ|agiliyoga	<i>verb</i><br><ol><li>he/she/it is suffering, is in pain</li></ol>
ᎠᎩᎾ|agina	<i>noun</i><br><ol><li>young animal (not born in a litter or hatched)</li></ol>
ᎠᎩᏍᎦ|agisga	<i>verb</i><br><ol><li>he/she/it is swallowing it</li></ol>
ᎠᎩᏍᏙᎠ|agisdoa	<i>verb</i><br><ol><li>he/she/it is chewing it</li></ol>
ᎠᎩᏟᏱ|agitliyi	<i>noun</i><br><ol><li>agony, pain</li></ol>
ᎠᎩᏠᏒᏍᏗᎢ|agitlosvsdii	<i>noun</i><br><ol><li>stairs, steps</li></ol>
ᎠᎪᎲᏍᎦ|agohvsga	<i>verb</i><br><ol><li>it is burning, it is on fire</li></ol>
ᎠᎪᎲᏍᏗᎭ|agohvsdiha	<i>verb</i><br><ol><li>he/she is burning it, he/she is setting it on fire</li></ol>
ᎠᎪᎵᏰᎠ|agoliye'a	<i>verb</i><br><ol><li>he/she is reading it</li><li>he/she is examining him/her/it</li></ol>
ᎠᎪᎾ|agona	<i>noun</i><br><ol><li>famine</li></ol>
ᎠᎪᏍᏓᎩᏍᏗ|agosdagisdi	<i>noun</i><br><ol><li>lettuce</li></ol>
ᎠᎪᏍᏚᎩᏍᏗ|agosdugisdi	<i>noun</i><br><ol><li>branch lettuce (Saxifraga micranthidifolia)</li></ol>
ᎠᎪᏕᏍᏗ|agodesdi	<i>noun</i><br><ol><li>shovel, spade</li></ol>
ᎠᎪᏩᏛᏗᎭ|agowadvdiha	<i>verb</i><br><ol><li>he/she is showing it to him/her</li></ol>
ᎠᎪᏮ|agowv	<i>noun</i><br><ol><li>sandpiper</li></ol>
ᎠᎫᎩᏍᏗ|agugisdi	<i>noun</i><br><ol><li>cup</li></ol>
ᎠᎫᏌ|agusa	<i>noun</i><br><ol><li>a Creek, a member of the Creek tribe</li></ol>
ᎠᎬᎦ|agvga	<i>verb</i><br><ol><li>he/she/it is drowning</li></ol>
ᎠᎬᏍᎪᎸᏍᎦ|agvsgolvsga	<i>verb</i><br><ol><li>he/she is scolding him/her</li></ol>
ᎠᎬᏍᏉᎠ|agvsquoa	<i>verb</i><br><ol><li>he/she is washing his/her face</li></ol>
ᎠᎬᏓᎨᏂ|agvdageni	<i>noun</i><br><ol><li>his/her/its forehead</li></ol>
ᎠᎬᏚᎶ|agvdulo	<i>noun</i><br><ol><li>mask (cover for the face)</li></ol>
ᎠᎬᏱᏗᏣ|agvyiditsa	<i>adv</i><br><ol><li>in the way</li></ol>
ᎠᎭᏄᎸᏒ|ahanulvsv	<i>noun</i><br><ol><li>beard</li></ol>
ᎠᎭᏬᏍᏗᎭ|ahawosdiha	<i>verb</i><br><ol><li>he/she/it is smothering him/her/it</li></ol>
ᎠᎯᎭ|ahiha	<i>verb</i><br><ol><li>he/she/it is killing him/her/it</li></ol>
ᎠᎯᎴᎭ|ahileha	<i>verb</i><br><ol><li>he/she is driving a vehicle</li></ol>
ᎠᎯᎵ|ahili	<i>verb</i><br><ol><li>he/she is driving it (a vehicle or animal)</li></ol>
ᎠᎯᎸᏍᏗᎢ|ahilvsdii	<i>noun</i><br><ol><li>steering wheel</li></ol>
ᎠᎰᎵ|aholi	<i>noun</i><br><ol><li>his/her/its mouth (anatomy)</li></ol>
ᎠᎱᎳᎨᎦ|ahulagega	<i>verb</i><br><ol><li>he/she is homesick</li></ol>
ᎠᎱᎵ|ahuli	<i>noun</i><br><ol><li>drum (musical instrument)</li></ol>
ᎠᎱᎵᏒᎦ|ahulisvga	<i>noun</i><br><ol><li>bad breath</li></ol>
ᎠᎱᎸᏂᎭ|ahulvniha	<i>verb</i><br><ol><li>he/she is hitting his/her/it in the [[mouth</li></ol>
ᎠᎱᏣᏬᎳᏛᎢ|ahutsawoladvi	<i>noun</i><br><ol><li>chimney</li></ol>
ᎠᎲᎠ|ahva	<i>verb</i><br><ol><li>he/she/it is moving it from one place to another</li></ol>
ᎠᎲᏍᎦ|ahvsga	<i>verb</i><br><ol><li>he/she/it is setting it (a solid object) down</li></ol>
ᎠᎲᏓᎩᎠ|ahvdagia	<i>verb</i><br><ol><li>He/she is taking it (something long) off a fire</li></ol>
ᎠᎲᏔᏍᎦ|ahvtasga	<i>verb</i><br><ol><li>he/she is putting it (a long object) into a fire</li></ol>
