Afirika|Áfirika	<i>name</i><br><ol><li>Africa (continent)</li></ol>
Atate|Ataté	<i>noun</i><br><ol><li>Father (way of referring to God)</li></ol>
Balaka|Baláka	<i>name</i><br><ol><li>Balaka (a town in Malawi)</li></ol>
Bandawe|Bandáwe	<i>name</i><br><ol><li>Bandawe (a town in Malawi)</li></ol>
Bangula|Bangúla	<i>name</i><br><ol><li>Bangula (a town in Malawi)</li></ol>
Bangwe	<i>name</i><br><ol><li>Bangwe</li></ol>
Bvumbwe|Bvúmbwe	<i>name</i><br><ol><li>Bvumbwe (a village in Malawi)</li></ol>
Chichewa|Chicheŵá	<i>name</i><br><ol><li>Chichewa</li></ol>
Chichiri|Chichíri	<i>name</i><br><ol><li>Chichiri (a neighborhood of Blantyre)</li></ol>
Chikwawa|Chikwáwa	<i>name</i><br><ol><li>Chikwawa (a town in Malawi)</li></ol>
Chileka|Chiléka	<i>name</i><br><ol><li>Chileka International Airport (an airport in Malawi)</li></ol>
Chilomwe|Chilomwé	<i>noun</i><br><ol><li>the Lomwe language</li></ol>
Chingerezi|Chingerézi	<i>noun</i><br><ol><li>the English language</li></ol>
Chingoni|Chingoní	<i>noun</i><br><ol><li>the Ngoni language</li></ol>
Chinkhonde|Chinkhónde	<i>noun</i><br><ol><li>the Nkhonde language, often regarded as a dialect of Nyakyusa</li></ol>
Chintheche|Chinthéche	<i>name</i><br><ol><li>Chintheche (a town in Malawi)</li></ol>
Chinyanja|Chinyanjá	<i>noun</i><br><ol><li>Chichewa, or a macrolanguage of which it is a dialect (a political distinction).</li></ol>
Chipata|Chipáta	<i>name</i><br><ol><li>Chipata (a city in Zambia)</li></ol>
Chipwitikizi|Chipwitikízi	<i>noun</i><br><ol><li>the Portuguese language</li></ol>
Chiradzulu|Chirádzulu	<i>name</i><br><ol><li>Chiradzulu (a town in Malawi)</li></ol>
Chisena|Chiséna	<i>noun</i><br><ol><li>the Sena language</li></ol>
Chisutu|Chisútu	<i>noun</i><br><ol><li>the Sotho language</li></ol>
Chiswahili|Chiswahíli	<i>noun</i><br><ol><li>the Swahili language</li></ol>
Chitipa|Chitípa	<i>name</i><br><ol><li>Chitipa (a town in Malawi)</li></ol>
Chitonga|Chitónga	<i>noun</i><br><ol><li>the Tonga language of Malawi</li></ol>
Chitumbuka|Chitúmbuka	<i>noun</i><br><ol><li>the Tumbuka language</li></ol>
Chiwemba|Chiŵembá	<i>noun</i><br><ol><li>the Bemba language</li></ol>
Chiyao|Chiyáo	<i>noun</i><br><ol><li>the Yao language</li></ol>
Chizulu|Chizúlu	<i>noun</i><br><ol><li>the Zulu language</li></ol>
Chizumulu|Chizúmulu	<i>name</i><br><ol><li>Chizumulu (an island in Malawi)</li></ol>
Chizungu	<i>noun</i><br><ol><li>any European language (usually in reference to English)</li></ol>
Dedza|Dedzá	<i>name</i><br><ol><li>Dedza (a city in Malawi)</li></ol>
Disembala|Disémbala	<i>name</i><br><ol><li>December</li></ol>
Domasi	<i>name</i><br><ol><li>Domasi (a community in Malawi)</li></ol>
Dowa	<i>name</i><br><ol><li>Dowa (a city in Malawi)</li></ol>
Dwangwa|Dwángwa	<i>name</i><br><ol><li>Dwangwa (a river in Malawi)</li></ol>
Dzalanyama	<i>name</i><br><ol><li>Dzalanyama (a community in Malawi)</li></ol>
Edzi|Édzi	<i>noun</i><br><ol><li>AIDS</li></ol>
Ekwendeni|Ekwendéni	<i>name</i><br><ol><li>Ekwendeni (a town in Malawi)</li></ol>
Epulo|Épulo	<i>name</i><br><ol><li>April</li></ol>
Febuluwale|Fébuluwale	<i>name</i><br><ol><li>February</li></ol>
Harare|Haráre	<i>name</i><br><ol><li>Harare (the capital city of Zimbabwe)</li></ol>
Januwale|Jánuwale	<i>name</i><br><ol><li>January</li></ol>
Julaye|Juláye	<i>name</i><br><ol><li>July</li></ol>
Juni|Júni	<i>name</i><br><ol><li>June</li></ol>
Kamuzu	<i>name</i><br><ol><li>a unisex given name, most famously borne by Kamuzu Banda.</li></ol>
Kanengo	<i>name</i><br><ol><li>Kanengo (a neighborhood of Lilongwe)</li></ol>
Karonga|Karongá	<i>name</i><br><ol><li>Karonga (a city in Malawi)</li></ol>
Kasitu|Kasítu	<i>name</i><br><ol><li>Kasitu (a river in Malawi)</li></ol>
Kasungu|Kasúngu	<i>name</i><br><ol><li>Kasungu (a city in Malawi)</li></ol>
Lachinayi|Láchínáyi	<i>noun</i><br><ol><li>Thursday</li></ol>
Lachisanu|Láchísanu	<i>noun</i><br><ol><li>Friday</li></ol>
Lachitatu|Láchítátu	<i>noun</i><br><ol><li>Wednesday</li></ol>
Lachiwiri|Láchíŵíri	<i>noun</i><br><ol><li>Tuesday</li></ol>
Lamulungu|Lámulungu	<i>noun</i><br><ol><li>Sunday</li></ol>
Lasabata|Lásábat	<i>noun</i><br><ol><li>Sunday</li></ol>
Lengwe	<i>name</i><br><ol><li>Lengwe (a national park in Malawi)</li></ol>
