Appo'si'	<i>noun</i><br><ol><li>Grandma, Grandmother, Granny (title of respect)</li></ol>
Chalakki'	<i>noun</i><br><ol><li>Cherokee</li></ol>
Chaloklowa' I̠nittak	<i>noun</i><br><ol><li>Thanksgiving Day; Thanksgiving (holiday); Turkey Day</li></ol>
Chihoowa	<i>name</i><br><ol><li>God</li></ol>
Chikasha	<i>noun</i><br><ol><li>the Chickasaw people.</li></ol><br><i>adj</i><br><ol><li>Chickasaw</li></ol>
Chikashsha	<i>noun</i><br><ol><li>A Chickasaw person.</li></ol><br><i>adj</i><br><ol><li>Chickasaw</li></ol>
Chikashsha I̠minko'	<i>noun</i><br><ol><li>the Chickasaw governor (the governor of the Chickasaw Nation).</li></ol>
Chikashsha I̠yaakni'	<i>noun</i><br><ol><li>Chickasaw Nation</li></ol>
Chikashshanompa'|Chikashsha imanompa|Chikashshanompa	<i>noun</i><br><ol><li>the Chickasaw language.</li></ol>
Chikashshihoo|Chikashshihoo'	<i>noun</i><br><ol><li>Chickasaw woman</li></ol>
Hashi' Ammo'na'	<i>name</i><br><ol><li>January</li></ol>
Hashi' Atochchí'na'	<i>name</i><br><ol><li>March</li></ol>
Hashi' Atokla'	<i>name</i><br><ol><li>February</li></ol>
Hattak Aakapassaa-aasha'	<i>noun</i><br><ol><li>an Eskimo</li></ol>
Hattak Losa' Aa-asha'	<i>noun</i><br><ol><li>African</li></ol>
Iista'	<i>noun</i><br><ol><li>Easter</li></ol>
Mashkooki'	<i>name</i><br><ol><li>the Creek people</li><li>the Seminoles</li></ol>
Missipi'	<i>name</i><br><ol><li>Mississippi</li></ol>
Naahollimanompa'	<i>name</i><br><ol><li>the English language</li></ol>
Nashoba-at chomak po̠fa.	<i>verb</i><br><ol><li>(idiomatic) to be foggy (outside)</li></ol>
Nittak Ammo'na'	<i>noun</i><br><ol><li>Monday</li></ol>
Nittak Atochchi'na'	<i>name</i><br><ol><li>Wednesday</li></ol>
Nittak Atokla'	<i>name</i><br><ol><li>Tuesday</li></ol>
Nittak Ayyoshta'	<i>name</i><br><ol><li>Thursday</li></ol>
Nittak Hollo'	<i>name</i><br><ol><li>Sunday</li></ol>
Nittak Hollo' Aaiklanna'	<i>name</i><br><ol><li>Wednesday</li></ol>
Nittak Hollo' Nakfish	<i>name</i><br><ol><li>Saturday</li></ol>
Nittak Ishhanna'li'	<i>name</i><br><ol><li>Saturday</li></ol>
Nittak Ishtalhlha'pi'	<i>name</i><br><ol><li>Friday</li></ol>
Nittak Ishtontoklo'	<i>name</i><br><ol><li>Sunday</li></ol>
Okla ishto'	<i>noun</i><br><ol><li>Oklahoma City</li></ol>
Oklahomma'	<i>name</i><br><ol><li>Oklahoma</li></ol>
Oklahomma' Aachompa'	<i>name</i><br><ol><li>Oklahoma City</li></ol>
Oshpaanimanompa'	<i>name</i><br><ol><li>the Spanish language</li></ol>
Oshpanni'	<i>name</i><br><ol><li>Mexico</li></ol><br><i>noun</i><br><ol><li>Chicano</li></ol>
Sholop Inittak	<i>noun</i><br><ol><li>Halloween</li></ol>
a'chi	<i>verb</i><br><ol><li>will be</li></ol>
aabi|hooaabi|(hoo-)aabi|hashaabi|hash-aabi|aabili|il-aabi|iloo-aabi|ish-aabi|ilaabi|ishaabi|aabi-li|ilooaabi	<i>verb</i><br><ol><li>(transitive) to paint, grease (I;II)</li><li>(ditransitive) to rub, smear paint/grease on someone (I;II;3)</li></ol>
aachi|ish-aachi|il-aachi|hooaachi|ishaachi|iloo-aachi|ilaachi|hash-aachi|ilooaachi|(hoo-)aachi|aachi-li|hashaachi|aachili	<i>verb</i><br><ol><li>(transitive) to say (I;3)</li><li>(transitive) to mean (I;3)</li><li>(intransitive) to command; to be in charge (I)</li></ol>
aachompa'|chimaachompa'|hachim-aachompa'|am-aachompa'|hapomaachompa'|imaachompa'|pom-aachompa'|pomaachompa'|chim-aachompa'|im-aachompa'|hapom-aachompa'|hachimaachompa'|amaachompa'	<i>noun</i><br><ol><li>city, town</li><li>store, trading post</li></ol>
aachomposhi'|chim-aachomposhi'|imaachomposhi'|pom-aachomposhi'|hachimaachomposhi'|pomaachomposhi'|hapomaachomposhi'|hachim-aachomposhi'|amaachomposhi'|hapom-aachomposhi'|chimaachomposhi'|im-aachomposhi'|am-aachomposhi'	<i>noun</i><br><ol><li>store, boutique</li></ol>
aaholissochi'|pom-aaholissochi'|amaaholissochi'|pomaaholissochi'|hachim-aaholissochi'|hapomaaholissochi'|am-aaholissochi'|imaaholissochi'|im-aaholissochi'|chim-aaholissochi'|hachimaaholissochi'|hapom-aaholissochi'|chimaaholissochi'	<i>noun</i><br><ol><li>desk</li></ol>
aaimpa'|amaaimpa'|imaaimpa'|chim-aaimpa'|im-aaimpa'|hapomaaimpa'|hapom-aaimpa'|am-aaimpa'|pomaaimpa'|hachimaaimpa'|pom-aaimpa'|hachim-aaimpa'|chimaaimpa'	<i>noun</i><br><ol><li>table</li></ol>
aaishi|aaishili|aaishi-li|iloo-aaishi|ishaaishi|hashaaishi|hash-aaishi|hooaaishi|ilooaaishi|il-aaishi|ilaaishi|ish-aaishi|(hoo-)aaishi	<i>verb</i><br><ol><li>(transitive) to take away, to subtract (I;3)</li><li>(ditransitive) to take away from (I;3;3)</li></ol>
aaissachi|il-aaissachi|iloo-aaissachi|hash-aaissachi|aaissachi-li|ishaaissachi|aaissachili|ish-aaissachi|hashaaissachi|ilooaaissachi|hooaaissachi|(hoo-)aaissachi|ilaaissachi	<i>verb</i><br><ol><li>(intransitive) to quit (I)</li><li>(transitive) to leave, abandon (I;II)</li></ol>
aakapassachi'|hachim-aakapassachi'|hapomaakapassachi'|hapom-aakapassachi'|imaakapassachi'|am-aakapassachi'|pomaakapassachi'|chim-aakapassachi'|hachimaakapassachi'|im-aakapassachi'|chimaakapassachi'|amaakapassachi'|pom-aakapassachi'	<i>noun</i><br><ol><li>refrigerator, fridge</li></ol>
aakapassali'|hapom-aakapassali'|chimaakapassali'|hachimaakapassali'|im-aakapassali'|hapomaakapassali'|amaakapassali'|imaakapassali'|pom-aakapassali'|pomaakapassali'|hachim-aakapassali'|chim-aakapassali'|am-aakapassali'	<i>noun</i><br><ol><li>refrigerator, fridge</li></ol>
aalhponi'|amaalhponi'|im-aalhponi'|pom-aalhponi'|chim-aalhponi'|pomaalhponi'|hachimaalhponi'|hachim-aalhponi'|hapom-aalhponi'|chimaalhponi'|am-aalhponi'|imaalhponi'|hapomaalhponi'	<i>noun</i><br><ol><li>kitchen</li></ol>
aaombiniili'|hachimaaombiniili'|hapom-aaombiniili'|amaaombiniili'|imaaombiniili'|am-aaombiniili'|chim-aaombiniili'|hapomaaombiniili'|pomaaombiniili'|pom-aaombiniili'|hachim-aaombiniili'|im-aaombiniili'|chimaaombiniili'	<i>noun</i><br><ol><li>chair</li><li>toilet</li></ol>
aba'|am-aba'|imaba'|hapomaba'|chimaba'|hapom-aba'|amaba'|im-aba'|pomaba'|hachimaba'|pom-aba'|chim-aba'|hachim-aba'	<i>adv</i><br><ol><li>up</li><li>above</li><li>upstairs</li></ol><br><i>noun</i><br><ol><li>ceiling</li><li>upstairs</li></ol>
aba' anompa ishtanompoli'	<i>noun</i><br><ol><li>preacher</li></ol>
aballaka'|a-sa-ballaka'|asaballaka'|achiballaka'|apoballaka'|a-po-ballaka'|a-chi-ballaka'	<i>noun</i><br><ol><li>following</li><li>after</li></ol>
abi	<i>verb</i><br><ol><li>(transitive) to kill (I;II)</li><li>(transitive) to abort (I;II)</li></ol>
abikoppolo'|pom-abikoppolo'|hapom-abikoppolo'|imabikoppolo'|chim-abikoppolo'|hachim-abikoppolo'|im-abikoppolo'|pomabikoppolo'|am-abikoppolo'|hachimabikoppolo'|amabikoppolo'|chimabikoppolo'|hapomabikoppolo'	<i>noun</i><br><ol><li>plague</li><li>epidemic</li><li>serious disease (like AIDS or diseases of similar severity)</li></ol>
aboa	<i>noun</i><br><ol><li>house</li><li>room</li></ol>
aboa aloma	<i>noun</i><br><ol><li>restroom</li><li>outhouse</li></ol>
aboa nusi	<i>noun</i><br><ol><li>bedroom</li></ol>
aboa yupi	<i>noun</i><br><ol><li>bathroom</li></ol>
aboha	<i>noun</i><br><ol><li>house</li><li>room</li></ol>
abooha|pom-abooha|chimabooshi'|imabooshi'|am-abooha|abooshi'|hachim-abooshi'|amabooha|amabooshi'|im-abooshi'|pomabooshi'|hachim-abooha|hapom-abooha|chim-abooshi'|im-abooha|hachimabooshi'|pomabooha|hachimabooha|pom-abooshi'|am-abooshi'|imabooha|chimabooha|hapomabooha|hapom-abooshi'|chim-abooha|hapomabooshi'	<i>noun</i><br><ol><li>house</li><li>room</li></ol>
