A|a	<i>character</i><br><ol><li>The first letter of the Choctaw alphabet, written in the Latin script.</li></ol>
Chalakki|Chalahki	<i>name</i><br><ol><li>Cherokee</li></ol>
Chalvkki|Chalʋkki	<i>name</i><br><ol><li>Cherokee</li></ol>
Chihowa|Chihōwahakhī|Chihōwahakakō|Chihōwahako|Chihōwa|Chihōwahakkia|Chihōwaho|Chihōwahakō|Chihōwahak|Chihōwama|Chihōwahato|Chihōwakia|Chihōwahakōsh|Chihōwahōk|Chihōwaha|Chihōwah|Chihōwaba|Chihōwahōsh|Chihōwapa|Chihōwahano|Chihōwahō|Chihōwahat	<i>name</i><br><ol><li>God</li></ol>
Chiisas|Chisạs	<i>name</i><br><ol><li>Jesus</li></ol>
Chiisas Kilaist imanumpeshi	<i>name</i><br><ol><li>an apostle of Jesus Christ</li></ol>
Chikasha	<i>noun</i><br><ol><li>Chickasaw</li></ol>
Chisvs|Chisʋs	<i>name</i><br><ol><li>Jesus</li></ol>
Chukfi haksobish falaya	<i>noun</i><br><ol><li>jackrabbit</li></ol>
Fibuali	<i>name</i><br><ol><li>February</li></ol>
Filanchi	<i>noun</i><br><ol><li>French</li></ol><br><i>adj</i><br><ol><li>French</li></ol>
Issa|Filvmmi	<i>noun</i><br><ol><li>to leave something</li></ol>
Mach	<i>noun</i><br><ol><li>March</li></ol>
Macha	<i>name</i><br><ol><li>Alternative letter-case form of mach</li></ol>
Mashkoki|Mashkōki	<i>name</i><br><ol><li>Creek, Seminole</li></ol>
Mislaim	<i>name</i><br><ol><li>(biblical) Egypt</li></ol>
Muskoki	<i>name</i><br><ol><li>Muskogee</li></ol>
Sesa	<i>name</i><br><ol><li>Caesar</li></ol>
Simunoli	<i>noun</i><br><ol><li>Seminole</li></ol>
Tisimba	<i>noun</i><br><ol><li>December</li></ol>
VPA	<i>noun</i><br><ol><li>to eat</li></ol>
a	<i>conj</i><br><ol><li>yes</li></ol>
aayokla'	<i>noun</i><br><ol><li>academic alternative form of ayokla</li></ol>
abeka aiasha	<i>noun</i><br><ol><li>hospital</li></ol>
abeka apesuchi	<i>noun</i><br><ol><li>nurse</li></ol>
abi	<i>noun</i><br><ol><li>killer, murderer</li><li>killing, slaughter</li></ol><br><i>verb</i><br><ol><li>to kill, to murder</li><li>to be sick or infected (usually with a skin disease)</li></ol>
achaffa	<i>num</i><br><ol><li>one</li></ol><br><i>noun</i><br><ol><li>oneness, unity</li><li>unit</li></ol><br><i>adj</i><br><ol><li>other, another</li><li>individual, particular, certain</li><li>sole, only</li><li>undivided</li></ol><br><i>verb</i><br><ol><li>to be one</li><li>to unify</li><li>to do one</li></ol>
achukma|hochukma	<i>noun</i><br><ol><li>goodness, good</li><li>excellency, excellence</li><li>purity. pureness</li><li>fairness</li><li>safety, soundness. peace</li></ol><br><i>adj</i><br><ol><li>good</li><li>excellent, nice</li><li>benevolent, kind, gracious</li><li>sound, wholesome, healthful</li><li>handsome</li><li>delightful</li></ol><br><i>verb</i><br><ol><li>to be good, to be excellent, to be easy</li><li>(transitive) to like, to love, to delight</li><li>(intransitive) to feel well, to do well</li><li>(passive) improved, bettered, made good</li></ol><br><i>adv</i><br><ol><li>finely, soundly</li></ol>
afisa	<i>noun</i><br><ol><li>officer</li></ol>
ahe holbi	<i>noun</i><br><ol><li>a boiled potato</li><li>a steamed potato</li></ol>
ahe ibish	<i>noun</i><br><ol><li>a potato hill, a hill of potatoes</li></ol>
aholhpokonna	<i>verb</i><br><ol><li>to dream</li></ol>
aiimpa chukka	<i>noun</i><br><ol><li>resteraunt</li></ol>
aiitvnaha	<i>noun</i><br><ol><li>church</li></ol>
akaka|akakama|akakayakkia|akakayak|akakayo|akakaba|pimakaka|akakayō|akanka|hachimakaka|akakakia|imakaka|amakaka|akakayōsh|akakayano|akakayakō|akakayato|akakayōk|hapimakaka|akakapa|akakayako|chimakaka|akakayakōsh|akakaya|akakayakakō|akakayat	<i>noun</i><br><ol><li>chicken</li><li>poultry</li></ol>
akaka nakni|akak nakni	<i>noun</i><br><ol><li>rooster</li></ol>
akaka nipi|akaka nipi alienable	<i>noun</i><br><ol><li>chicken meat</li><li>poultry</li></ol>
akaka tik	<i>noun</i><br><ol><li>hen</li></ol>
akakoshi|akakoshiya|akakoshipa|amakakoshi|akakoshiba|akank ushi|akakoshiyat|imakakoshi|akakoshiyato|akakoshiyakōsh|akankushi|akakoshiyak|akakoshiyano|pimakakoshi|akakoshiyo|akakoshikia|chimakakoshi|hachimakakoshi|akakoshiyakō|akakoshiyōsh|akakoshiyō|akakoshiyōk|akakoshiyako|akakoshima|hapimakakoshi|akakoshiyakkia|akakoshiyakakō	<i>noun</i><br><ol><li>egg</li><li>chick</li></ol>
akakoshi holba	<i>noun</i><br><ol><li>oval</li></ol>
akakoshi lakna	<i>noun</i><br><ol><li>egg yolk</li></ol>
akanka nipi|akaka nipi|akaka nipi alienable	<i>noun</i><br><ol><li>traditional alternative of akaka nipi</li></ol>
akchalhpi	<i>noun</i><br><ol><li>bark (of a tree)</li></ol>
akkashtala	<i>noun</i><br><ol><li>root</li></ol>
alhpoa	<i>noun</i><br><ol><li>domesticated animal</li></ol>
alhpowa	<i>noun</i><br><ol><li>domesticated animal</li></ol>
alhtoka	<i>verb</i><br><ol><li>to choose</li></ol>
alikchi'	<i>noun</i><br><ol><li>doctor</li></ol>
alla	<i>noun</i><br><ol><li>child</li></ol>
ammi|hapimmi|pishno|pimmi|ammi|ilāp|chimmi|ilap|chishno|transnumeral possessive|hapishno|yamma|hachishno|ano|hachimmi|sashno	<i>pron</i><br><ol><li>(now chiefly Oklahoma Choctaw, archaic in Mississippi Choctaw) mine</li></ol>
ani|hapiani|piani|siani|chiani|hachiani	<i>noun</i><br><ol><li>berry</li><li>nut</li><li>fruit</li></ol>
ano|hapimmi|pishno|pimmi|ammi|ilāp|chimmi|ilap|chishno|transnumeral possessive|hapishno|yamma|hachishno|ano|hachimmi|sashno	<i>pron</i><br><ol><li>(emphatic) I, me</li><li>(Mississippi) mine</li></ol>
