Ammon	<i>noun</i><br><ol><li>Saturday</li></ol>
Enimu	<i>noun</i><br><ol><li>Friday</li></ol>
Eruanu	<i>noun</i><br><ol><li>Thursday</li></ol>
Eunungat	<i>noun</i><br><ol><li>Wednesday</li></ol>
Ingenes	<i>name</i><br><ol><li>English language</li></ol>
Kirisimas	<i>name</i><br><ol><li>Christmas</li></ol>
Kot	<i>name</i><br><ol><li>God</li></ol>
Merika	<i>name</i><br><ol><li>America</li></ol>
Orru	<i>noun</i><br><ol><li>Tuesday</li></ol>
Paipel	<i>name</i><br><ol><li>The Bible</li></ol>
Raninfen	<i>noun</i><br><ol><li>Sunday</li></ol>
Ruk	<i>name</i><br><ol><li>Chuuk; Truk</li></ol>
Sarifan	<i>noun</i><br><ol><li>Monday</li></ol>
Setan	<i>name</i><br><ol><li>Satan</li></ol>
Toowis	<i>name</i><br><ol><li>Germany</li></ol><br><i>noun</i><br><ol><li>German</li></ol>
Ttooyis	<i>name</i><br><ol><li>Germany</li></ol><br><i>noun</i><br><ol><li>German</li></ol>
a	<i>pron</i><br><ol><li>he</li><li>she</li><li>it</li></ol><br><i>adj</i><br><ol><li>he is</li><li>she is</li><li>it is</li></ol>
ach	<i>det</i><br><ol><li>First-person plural inclusive general possessive; our (inclusive)</li></ol>
achasefan	<i>suffix</i><br><ol><li>atonement</li></ol>
achengicheng	<i>adj</i><br><ol><li>beloved</li></ol>
achi	<i>noun</i><br><ol><li>bee</li></ol>
achocho	<i>verb</i><br><ol><li>to try hard</li></ol>
aea	<i>verb</i><br><ol><li>to use</li></ol>
aewin	<i>adj</i><br><ol><li>first</li></ol>
afanafan	<i>noun</i><br><ol><li>teaching</li></ol>
afanafana	<i>verb</i><br><ol><li>(intransitive) to teach</li></ol>
afar	<i>noun</i><br><ol><li>shoulder (of humans and animals)</li></ol>
ai	<i>det</i><br><ol><li>First person singular general possessive; my (used with general-class objects)</li></ol>
aier	<i>verb</i><br><ol><li>to repent</li></ol>
ainipwoch	<i>noun</i><br><ol><li>cooking pot</li></ol>
aiti	<i>verb</i><br><ol><li>(transitive) to teach</li></ol>
akkar	<i>noun</i><br><ol><li>sun</li></ol>
akkom	<i>adv</i><br><ol><li>first, firstly</li></ol><br><i>verb</i><br><ol><li>to be first</li></ol>
allim	<i>adj</i><br><ol><li>good</li></ol>
am	<i>pron</i><br><ol><li>First-person plural exclusive pronoun; us (exclusive)</li></ol>
amam	<i>verb</i><br><ol><li>to deny</li></ol>
amanau	<i>noun</i><br><ol><li>salvation</li></ol><br><i>verb</i><br><ol><li>to save, offer salvation</li></ol>
amen	<i>intj</i><br><ol><li>amen</li></ol>
ami	<i>pron</i><br><ol><li>Second-person plural pronoun; you (plural)</li></ol>
amo	<i>verb</i><br><ol><li>may</li><li>to let</li></ol>
an	<i>det</i><br><ol><li>third person singular possessive; his, hers, its (used with general-class objects)</li></ol><br><i>noun</i><br><ol><li>path, road</li></ol>
angang	<i>verb</i><br><ol><li>to work</li></ol>
angko	<i>noun</i><br><ol><li>anchor</li></ol>
animuen	<i>adj</i><br><ol><li>fifth</li></ol>
anini	<i>verb</i><br><ol><li>to contend</li></ol>
aninnis	<i>noun</i><br><ol><li>help, assistance</li></ol>
anisi	<i>verb</i><br><ol><li>(transitive) to help</li></ol>
anneani	<i>verb</i><br><ol><li>(transitive) to read</li><li>(transitive) to count</li></ol>
annuk	<i>noun</i><br><ol><li>rule</li><li>commandment</li></ol>
annuku	<i>noun</i><br><ol><li>to command</li></ol>
annut	<i>verb</i><br><ol><li>to sleep</li></ol>
annë	<i>adj</i><br><ol><li>delicious</li></ol>
antare	<i>noun</i><br><ol><li>altar</li></ol>
anuön	<i>noun</i><br><ol><li>young man</li></ol>
apw|ap	<i>intj</i><br><ol><li>no</li></ol>
apwangapwang	<i>adj</i><br><ol><li>weak</li></ol>
apwonueta	<i>verb</i><br><ol><li>to fulfill</li></ol>
ar	<i>det</i><br><ol><li>third person plural general possessive; their</li></ol>
aramas	<i>noun</i><br><ol><li>person</li><li>human</li></ol>
arap	<i>adj</i><br><ol><li>close, near</li></ol><br><i>verb</i><br><ol><li>to move close to</li></ol>
araw	<i>adj</i><br><ol><li>blue</li></ol>
aruanun	<i>adj</i><br><ol><li>fourth</li></ol>
arus	<i>noun</i><br><ol><li>horse</li></ol>
asepwan	<i>noun</i><br><ol><li>wind</li></ol>
asor	<i>noun</i><br><ol><li>sacrifice</li><li>offering</li></ol>
assefich	<i>noun</i><br><ol><li>arrow</li></ol>
asösö	<i>verb</i><br><ol><li>to rest</li></ol>
