А|а|a	<i>character</i><br><ol><li>The first letter of the Chuvash alphabet, written in the Cyrillic script.</li></ol>
Австри|Avstri|Австрин	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Азербайджан|Azerbajdžan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Албани|Албанин|Albani	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Андорра|Андоррăн|Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Армени|Armeni|Арменин	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Атӑл|At̬ăl	<i>name</i><br><ol><li>Volga (river)</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The third letter of the Chuvash alphabet, written in the Cyrillic script.</li></ol>
Беларуҫ|Belaruś	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Бельги|Belʹgi|Бельгин	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Болгари|Bolgari|Болгарин	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Братислава|Brat̬islava	<i>name</i><br><ol><li>Bratislava (the capital and largest city of Slovakia)</li></ol>
В|V|в|v	<i>character</i><br><ol><li>The fourth letter of the Chuvash alphabet, written in the Cyrillic script.</li></ol>
Венгри|Vengri	<i>name</i><br><ol><li>Hungary</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fifth letter of the Chuvash alphabet, written in the Cyrillic script.</li></ol>
Куба|Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Меркурий|Merk̬urij	<i>name</i><br><ol><li>(astronomy) Mercury</li><li>(Roman mythology) Mercury</li></ol>
Огайо|Ogajo	<i>name</i><br><ol><li>Ohio (a state of the United States)</li><li>Ohio (a river in the central United States)</li></ol>
Раҫҫей|Raśśej	<i>name</i><br><ol><li>Russia</li></ol>
Руанда|Ruanda	<i>name</i><br><ol><li>Rwanda (a country in East Africa)</li></ol>
Уганда	<i>name</i><br><ol><li>Uganda (a country in East Africa)</li></ol>
Швейцари|Švejtsari	<i>name</i><br><ol><li>Switzerland</li></ol>
Эрмени|Эрменин|Ermeni	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Эстони|Эстонин|Estoni	<i>name</i><br><ol><li>Estonia</li></ol>
а|А|a	<i>character</i><br><ol><li>The first letter of the Chuvash alphabet, written in the Cyrillic script.</li></ol>
