'me	<i>abbrev</i><br><ol><li>Clipping of any contraction consisting of a preposition + me, e.g. bomme, memme, etc.</li></ol>
's	<i>article</i><br><ol><li>nominative singular neuter</li><li>accusative singular neuter</li></ol><br><i>pron</i><br><ol><li>(Sette Comuni) Alternative form of es (“it”)</li></ol>
'z|iar|mich|izàndarn|ich|en|zandare|zàndare|dich|si|er|'z|is|se|diar|biar|ze|artàndare|bandare|òich|i|es|iartàndare|in|èar|ogàndarn|iime|miar|ach|zich|du|bar|iart|innàndarn|ar|zòi|zi|'s	<i>pron</i><br><ol><li>(Luserna) it</li></ol>
Altaborg	<i>name</i><br><ol><li>(Sette Comuni) A place near Rotzo and the Altarkhnotto linked to Germanic paganism.</li></ol>
Altarkhnotto	<i>noun</i><br><ol><li>(Sette Comuni) A rock formation near Rotzo, said to have been where pagans and druids once performed human sacrifices.</li></ol>
Aspag	<i>name</i><br><ol><li>(Sette Comuni) Albaredo (a village in Vicenza, Veneto, Italy)</li></ol>
Astetal	<i>name</i><br><ol><li>Valdastico (a town in Veneto, Italy)</li></ol>
Avént	<i>noun</i><br><ol><li>Advent (season before Christmas)</li></ol>
Bainacht	<i>noun</i><br><ol><li>(Sette Comuni) Christmas</li></ol>
Biin	<i>name</i><br><ol><li>(Sette Comuni) Vienna (the capital city of Austria)</li></ol>
Boinichtn	<i>noun</i><br><ol><li>Christmas</li></ol>
Brandtal	<i>name</i><br><ol><li>Vallarsa (a town in Trentino-Alto Adige, Italy)</li></ol>
Bèarn	<i>name</i><br><ol><li>(Sette Comuni) Verona (a city in Veneto, Italy)</li></ol>
Bèllostant	<i>name</i><br><ol><li>(Sette Comuni) Italy</li></ol>
CD	<i>noun</i><br><ol><li>(Luserna) CD (compact disc)</li></ol>
Drai Rè	<i>noun</i><br><ol><li>Epiphany</li></ol>
Folgrait|Folgràit	<i>name</i><br><ol><li>Folgaria (a town in Trentino-Alto Adige, Italy)</li></ol>
Frattn	<i>name</i><br><ol><li>Fratte (a village in Trentino-Alto Adige, Italy)</li></ol>
Gabüartnacht|Gabüartnèchte|Gabüartnèchten	<i>noun</i><br><ol><li>(Sette Comuni) Christmas</li></ol>
Gott	<i>name</i><br><ol><li>(Luserna, Sette Comuni) God</li></ol>
Guuta Diibe	<i>name</i><br><ol><li>(Sette Comuni, folklore) Befana (old woman who delivers gifts to children on Epiphany Eve)</li></ol>
Hasplkhnott	<i>name</i><br><ol><li>Campolongo (a town in Treviso, Veneto, Italy)</li></ol>
Hear	<i>name</i><br><ol><li>(Luserna) God, Lord</li></ol>
Hèere	<i>name</i><br><ol><li>(Sette Comuni) the Lord (God)</li></ol>
Hòlighe Brau|anara Hòlighen Braun|Hòlighe Bràu|dar Hòlighen Braun|de Hòliga Brau|an Hòliga Brau	<i>name</i><br><ol><li>(Sette Comuni) Virgin Mary</li></ol>
Jaut	<i>noun</i><br><ol><li>(Sette Comuni) unkempt, scruffy person</li></ol>
Kalbraitag	<i>noun</i><br><ol><li>(Mezzaselva) Alternative form of Kalvraitag</li></ol>
Kalnètsch	<i>name</i><br><ol><li>Caldonazzo (a town in Trentino-Alto Adige, Italy)</li></ol>
Kalvraitag|Kalvraitaaghe	<i>noun</i><br><ol><li>(Sette Comuni) Good Friday</li></ol>
Lavròu	<i>name</i><br><ol><li>Lavarone (a town in Trentino-Alto Adige, Italy)</li></ol>
Leve	<i>name</i><br><ol><li>Levico Terme (a town in Trentino-Alto Adige, Italy)</li></ol>
Lusérn	<i>name</i><br><ol><li>(Luserna) Luserna (a village in Trentino, Trentino-Alto Adige, Italy)</li></ol>
Luzèrn	<i>name</i><br><ol><li>(Sette Comuni) Luserna (a village in Trentino, Trentino-Alto Adige, Italy)</li></ol>
Monteruf	<i>name</i><br><ol><li>Monterovere (a village in Trentino-Alto Adige, Italy)</li></ol>
Naügedjar	<i>noun</i><br><ol><li>(Luserna) New Year's (holiday celebrating the beginning of a new year)</li></ol>
Oastarn	<i>noun</i><br><ol><li>Easter</li></ol>
Pentekòste	<i>noun</i><br><ol><li>(Luserna) Pentecost (Christian festival)</li></ol>
Poatzan	<i>name</i><br><ol><li>Bolzano (the provincial capital of South Tyrol, Trentino-Alto Adige, Italy)</li></ol>
Roathüatle	<i>name</i><br><ol><li>(Luserna) Little Red Riding Hood</li></ol>
Rogatziongen	<i>noun</i><br><ol><li>Rogationtide, Rogation days</li></ol>
Rotz	<i>name</i><br><ol><li>Rotzo (a town in Veneto, Italy)</li></ol>
Rovrait|Rovràit	<i>name</i><br><ol><li>Rovereto (a city in Trentino-Alto Adige, Italy)</li></ol>
Slait	<i>name</i><br><ol><li>Schio (a town in Veneto, Italy)</li></ol>
Tautsch	<i>name</i><br><ol><li>German, Cimbrian (language)</li></ol>
Tcénne	<i>name</i><br><ol><li>(Sette Comuni) Thiene (a city in Veneto, Italy)</li></ol>
Tetsch	<i>name</i><br><ol><li>Tezze sul Brenta (a town in Veneto, Italy)</li></ol>
Tria	<i>name</i><br><ol><li>Trento (the provincial capital of Trentino, Trentino-Alto Adige, Italy)</li></ol>
Vaschom	<i>noun</i><br><ol><li>Carnival, a festival in the week proceeding Lent</li></ol>
Vassom	<i>noun</i><br><ol><li>(Luserna) Carnival (festival held before the beginning of Lent)</li></ol>
Vastzait	<i>noun</i><br><ol><li>Lent</li></ol>
a|an|aname|anara	<i>article</i><br><ol><li>(Luserna) a, an</li></ol>
aabend	<i>noun</i><br><ol><li>(Sette Comuni) evening</li></ol>
aadar|aadarn	<i>noun</i><br><ol><li>(Sette Comuni) vein</li></ol>
aala|aaln	<i>noun</i><br><ol><li>(Sette Comuni) bradawl</li></ol>
aan	<i>prep</i><br><ol><li>(+ dative) on; For stationary objects, e.g. It is on the table.</li><li>(+ accusative) on, onto; For moving objects, e.g. I put it on the table.</li></ol><br><i>adv</i><br><ol><li>(Sette Comuni) on, onward</li></ol>
aanbórtan|aanbórtest|iart aanbórtatet|gaanbórtan|bar aanbórtan|bar haban gaanbórtet|ze habent gaanbórtet|ze aanbórtan|han gaanbórtet|ze aanbórtent|iart aanbórtet|ze aanbórtatan|hast gaanbórtet|aanbórt|aanbórtatest|ear aanbórtet|aanbórtet|aanbórtabar|bar aanbórtatan|ear aanbórte|aanbórtate|aanbórtet (iart)|iart habet gaanbórtet|ear aanbórtate|aanbórte|aanbórte (ear)|aanbórtanten|ear hat gaanbórtet|gaanbórtet|aanbórtan (ze)	<i>verb</i><br><ol><li>(Sette Comuni) to answer</li></ol>
aanléghe	<i>noun</i><br><ol><li>(Sette Comuni) garment, piece of clothing</li></ol>
aanlòoneg|me aanlòonegorsten|khòonen aanlòonegorn|an aanlòonega|an aanlòoneges|ze zèint aanlòoneg|aname aanlòonegorn|khòonen aanlòonegorsten|is ist aanlòonegor|an aanlòonegorstes|dar aanlòonege|aname aanlòonegen|'s aanlòonegore|an aanlòonegorstar|anara aanlòonegorsten|èar ist aanlòonegor|an aanlòonegora|khòone aanlòonegorn|de aanlòonegorsta|an aanlòonegen|khòone aanlòonegen|dar aanlòonegorn|aanlòonegorn|an aanlòonegorsten|aanlòonegor|'s aanlòonegorste|aanlòonegen|de aanlòonegora|khòone aanlòonegorsten|aanlòonegore|anara aanlòonegen|khòonen aanlòonegen|aname aanlòonegorsten|in aanlòonegorn|an aanlòonegorar|ze zèint dar aanlòonegorste|in aanlòonegen|dar aanlòonegorste|an aanlòonegorsta|èar ist dar aanlòonegorste|dar aanlòonegen|me aanlòonegen|zi ist aanlòoneg|an aanlòonegar|aanlòonege|dar aanlòonegorsten|anara aanlòonegorn|an aanlòonegorn|zi ist dar aanlòonegorsta|de aanlòonegorsten|zi ist aanlòonegor|èar ist aanlòoneg|aanlòonegorste|an aanlòonegors|in aanlòonegorsten|de aanlòonegorn|me aanlòonegorn|is ist aanlòoneg|is ist dar aanlòonegorste|de aanlòonegen|de aanlòonega|dar aanlòonegore|ze zèint aanlòonegor|'s aanlòonege|aanlòonegorsten	<i>adj</i><br><ol><li>(not comparative) lone, solitary</li><li>(comparative) lonely</li></ol>
aanlòonekhot	<i>noun</i><br><ol><li>solitude, loneliness</li><li>oneness</li></ol>
aanrüufan	<i>verb</i><br><ol><li>(Sette Comuni) to endorse, support</li></ol>
aapar|éepare	<i>noun</i><br><ol><li>(Sette Comuni) snow-free place</li></ol>
aaparan	<i>verb</i><br><ol><li>(Sette Comuni, of snow) to thaw</li></ol>
aars|aarse|èerzle|èerze|èerzen	<i>noun</i><br><ol><li>buttocks</li><li>anus</li></ol>
aatom	<i>noun</i><br><ol><li>(Sette Comuni) breath</li><li>(Sette Comuni) moment, instant</li></ol>
abar	<i>adv</i><br><ol><li>(Sette Comuni) down</li></ol>
abarbìssar|abarbìssarn	<i>noun</i><br><ol><li>(Sette Comuni) an ignorant person, idiot</li></ol>
abarkhemmar|abarkhemmarn	<i>noun</i><br><ol><li>(Sette Comuni) descendant</li></ol>
abas	<i>noun</i><br><ol><li>(Luserna) evening</li></ol>
abe	<i>adv</i><br><ol><li>down</li><li>south, down south</li></ol>
abedékhinghe	<i>noun</i><br><ol><li>discovery (act or instance of finding something out)</li><li>uncovering (act or instance of removing something’s cover)</li></ol>
abeziang	<i>verb</i><br><ol><li>(Luserna, of clothing) to take off</li></ol>
abito	<i>noun</i><br><ol><li>dress (of a woman)</li></ol>
abrèl	<i>noun</i><br><ol><li>(Luserna) August</li></ol>
achte|achten|acht	<i>num</i><br><ol><li>(Sette Comuni, Luserna) eight</li></ol>
achte maanont	<i>noun</i><br><ol><li>(Sette Comuni) October</li></ol>
achtete|an achteten|èar ist achtete|ze zèint achtete|is ist achtete|de achteten|khòone achteten|dar achtete|in achteten|de achteta|an achtetar|achteten|me achteten|an achteta|'s achtete|dar achteten|zi ist achtete|khòonen achteten|an achtetes|anara achteten|aname achteten	<i>adj</i><br><ol><li>(Sette Comuni) eighth</li></ol><br><i>noun</i><br><ol><li>(Sette Comuni) the eighth one</li></ol>
achtzane|achtzan	<i>num</i><br><ol><li>(Luserna, Sette Comuni) eighteen</li></ol>
achtzante|ze zèint achtzante|dar achtzante|khòone achtzanten|de achtzanten|khòonen achtzanten|zi ist achtzante|'s achtzante|in achtzanten|èar ist achtzante|an achtzanta|aname achtzanten|me achtzanten|dar achtzanten|de achtzanta|achtzanten|an achtzanten|is ist achtzante|an achtzantar|an achtzantes|anara achtzanten	<i>adj</i><br><ol><li>(Sette Comuni) eighteenth</li></ol><br><i>noun</i><br><ol><li>(Sette Comuni) the eighteenth one</li></ol>
achtzekh	<i>num</i><br><ol><li>(Luserna) eighty</li></ol>
adlar	<i>noun</i><br><ol><li>eagle, earn</li></ol>
affa|affen	<i>noun</i><br><ol><li>(Sette Comuni) toad</li></ol>
agale	<i>noun</i><br><ol><li>(Sette Comuni) fishbone</li></ol>
agosto	<i>noun</i><br><ol><li>(Luserna) August</li></ol>
agòsten	<i>noun</i><br><ol><li>(Sette Comuni) August</li></ol>
aiba	<i>noun</i><br><ol><li>(Sette Comuni) yew</li></ol>
aicha|aichen	<i>noun</i><br><ol><li>(Sette Comuni) oak (tree)</li></ol>
aiksala|aiksalen	<i>noun</i><br><ol><li>(Sette Comuni, nautical) rudder</li></ol>
ais|aise	<i>noun</i><br><ol><li>(Luserna, Sette Comuni, Tredici Comuni) ice</li></ol>
aisbint|aisbinte	<i>noun</i><br><ol><li>(Sette Comuni) cold wind</li></ol>
aisnaaghel|aisnègheln|aisnaghele|aisnèghele|aisnègale	<i>noun</i><br><ol><li>(Sette Comuni) crampon</li></ol>
aissokkel|aissokeln	<i>noun</i><br><ol><li>(Sette Comuni, plural only) icicles</li></ol>
aitel	<i>adv</i><br><ol><li>all, completely</li></ol><br><i>adj</i><br><ol><li>so many (a large number of)</li></ol>
aiza	<i>noun</i><br><ol><li>pasture</li></ol>
aizaran|aizartest|iart aizart|bar haban ga-àizart|hast ga-àizart|ear aizare|aizaranten|aizarbar|ga-àizart|aizarst|ze habent ga-àizart|ze aizartan|ear aizarte|bar aizaran|han ga-àizart|bar aizartan|aizare (ear)|iart aizartet|aizarte|aizare|ear aizart|ze aizaran|ear hat ga-àizart|aizaran (ze)|aizar|aizart|iart|iart habet ga-àizart|ze aizarnt	<i>verb</i><br><ol><li>(Sette Comuni, of clothing) to iron</li></ol>
aizarn|aizarnle|aizarnlen	<i>noun</i><br><ol><li>(Sette Comuni) iron (metal)</li></ol>
aizarnle|aizarnlen	<i>noun</i><br><ol><li>knitting needle</li></ol>
aizarnprett|aizarnprettar|aizarnprettarn|aizarnprette	<i>noun</i><br><ol><li>blade</li><li>sheet (of metal, etc.)</li></ol>
aizarnstèkho|aizarnstèkhen	<i>noun</i><br><ol><li>(Sette Comuni) An iron bar, pointed at one end to pierce the ground for placing wooden stakes, and rounded on the other to pestle coffee, salt, pepper, etc.</li></ol>
akhar|èkhare|ekharle|èkhar	<i>noun</i><br><ol><li>(Luserna, Sette Comuni) field</li></ol>
aksel|akseln|aksala|àksel	<i>noun</i><br><ol><li>shoulder</li></ol>
aksela	<i>noun</i><br><ol><li>axis; axle</li><li>shoulder</li></ol>
akselmàura|akselmauren|akselmàuren	<i>noun</i><br><ol><li>(Sette Comuni) barbican</li></ol>
aksl	<i>noun</i><br><ol><li>(Luserna) shoulder</li></ol>
albar	<i>noun</i><br><ol><li>(Luserna) tree</li></ol>
albìssig	<i>adj</i><br><ol><li>(Sette Comuni) omniscient, all-knowing</li></ol>
alfabet	<i>noun</i><br><ol><li>(Sette Comuni) alphabet</li></ol>
alles|alle|allar|alla	<i>pron</i><br><ol><li>(Sette Comuni, Luserna) all</li></ol>
alles aname stròoche	<i>adv</i><br><ol><li>(Sette Comuni, set phrase) all of a sudden</li></ol>
allias	<i>pron</i><br><ol><li>(Tredici Comuni) everything, all</li></ol>
allz	<i>pron</i><br><ol><li>(Luserna) everything, all</li></ol>
almachtig	<i>adj</i><br><ol><li>(Sette Comuni) almighty, omnipotent</li></ol>
almozen|àlmozen	<i>noun</i><br><ol><li>charity</li></ol>
alpenroas|alpenroasan|alpenröasle	<i>noun</i><br><ol><li>(Luserna) alpenrose</li></ol>
alpenveilkhen	<i>noun</i><br><ol><li>(Luserna) cyclamen (flower)</li></ol>
alt|de alten|an alten|anara alten|èar ist alt|zi ist éltor|zi ist alt|dar éltorn|aname éltorn|anara éltorn|èar ist dar éltorste|an éltorstar|khòonen éltorn|an éltorsta|an alta|khòonen éltorsten|èar ist éltor|me alten|éltor|dar éltorste|éltorsten|dar éltore|khòone éltorsten|is ist dar éltorste|an altes|zi ist dar éltorsta|éltorste|an éltorsten|aname éltorsten|an éltorar|ze zèint alt|de éltorsta|me éltorsten|de alta|anara éltorsten|in éltorsten|'s alte|ze zèint dar éltorste|de éltorn|éltorn|an éltorn|'s éltorste|ze zèint éltor|de éltorsten|dar alten|éltore|is ist éltor|khòone éltorn|an éltora|an éltors|me éltorn|aname alten|alten|alte|an éltorstes|in éltorn|de éltora|dar éltorsten|'s éltore|an altar|in alten|is ist alt|khòone alten|khòonen alten|dar alte	<i>adj</i><br><ol><li>(most dialects) old, elderly</li></ol>
altaaghe	<i>adv</i><br><ol><li>(Sette Comuni) every day</li></ol>
altar	<i>noun</i><br><ol><li>(Sette Comuni) altar</li></ol>
altekhot	<i>noun</i><br><ol><li>(Sette Comuni) old age</li></ol>
alz	<i>conj</i><br><ol><li>(Luserna) as</li></ol>
amada	<i>noun</i><br><ol><li>(Sette Comuni) aunt</li></ol>
amalan|ze ameltan|amelst|amelt (iart)|amale (ear)|ze amalnt|amalanten|amalan (ze)|ze amalan|iart amelt|bar amalan|bar ameltan|ear hat ga-àmelt|han ga-àmelt|hast ga-àmelt|amal|amelt|iart ameltet|ear amale|ze habent ga-àmelt|iart habet ga-àmelt|amale|ga-àmelt|ameltest|amelte|ear amelte|ear amelt|bar haban ga-àmelt|amelbar	<i>verb</i><br><ol><li>to starch</li></ol>
amasa|amasen	<i>noun</i><br><ol><li>(Sette Comuni) ant</li></ol>
ambràlle	<i>adv</i><br><ol><li>(Sette Comuni) everywhere</li></ol>
ambrùmme	<i>adv</i><br><ol><li>(Sette Comuni, interrogative) why</li></ol>
ambìa	<i>conj</i><br><ol><li>(Sette Comuni, informal) because</li></ol>
ambìdar	<i>adv</i><br><ol><li>(Sette Comuni) again</li></ol>
amelméel|àmelméele	<i>noun</i><br><ol><li>(Sette Comuni) starch</li></ol>
ammelésten	<i>adv</i><br><ol><li>(Sette Comuni) finally, lastly</li></ol>
ammèarst	<i>adv</i><br><ol><li>(Sette Comuni) first, first of all</li></ol>
ammèerstenaan	<i>adv</i><br><ol><li>(Sette Comuni) in the beginning</li></ol>
ammìndor	<i>adv</i><br><ol><li>(Sette Comuni) at least</li></ol>
amèerstenaan	<i>adv</i><br><ol><li>(Sette Comuni) at first</li></ol>
an|aname|anara	<i>article</i><br><ol><li>(Sette Comuni) a, an</li></ol><br><i>conj</i><br><ol><li>(Sette Comuni) that (introduces a subordinate clause)</li></ol>
andar|andarn	<i>pron</i><br><ol><li>(Sette Comuni) other</li></ol><br><i>adj</i><br><ol><li>other (different)</li><li>other (not the one or ones previously referred to)</li><li>(postpositive, after pronouns) else</li></ol>
andarstba	<i>adv</i><br><ol><li>elsewhere</li></ol>
andarstbìa	<i>adv</i><br><ol><li>(Sette Comuni) otherwise, or else</li></ol>
ande	<i>conj</i><br><ol><li>(Sette Comuni) if</li></ol>
ane	<i>prep</i><br><ol><li>(Sette Comuni, + accusative) without</li></ol>
anesta|anesto|aneste	<i>noun</i><br><ol><li>(Sette Comuni) niece</li></ol>
anesto|anesta|aneste	<i>noun</i><br><ol><li>(Sette Comuni) nephew</li></ol>
anlòan	<i>adj</i><br><ol><li>(Sette Comuni) all alone</li></ol><br><i>adv</i><br><ol><li>(Sette Comuni) only, just, alone</li></ol>
ante	<i>noun</i><br><ol><li>(Sette Comuni) sorrow</li></ol>
antìa	<i>adv</i><br><ol><li>(Sette Comuni) sometimes</li></ol><br><i>pron</i><br><ol><li>some</li><li>any</li></ol>
antòal	<i>pron</i><br><ol><li>(Sette Comuni) someone, some (people)</li></ol>
anza|anzen	<i>noun</i><br><ol><li>(Sette Comuni) small snake</li></ol>
aorn	<i>noun</i><br><ol><li>(Sette Comuni) maple</li></ol>
aprile	<i>noun</i><br><ol><li>(Luserna) April</li></ol>
ar	<i>noun</i><br><ol><li>(Luserna) maple, maple tree</li></ol><br><i>pron</i><br><ol><li>(Sette Comuni) Short for èar (“he”).</li></ol>
arbat	<i>noun</i><br><ol><li>(Luserna) work</li></ol>
arbatar	<i>noun</i><br><ol><li>(Luserna) worker</li></ol>
arbatn	<i>verb</i><br><ol><li>(Luserna) to work</li></ol>
arm|dar èrme|dar èrmorste|èar ist dar èrmorste|èrmorn|de èrmorsten|an èrmar|an èrmorn|me èrmorsten|èrmore|is ist èrmor|an èrmes|an èrmorar|èrmorsten|is ist arm|de èrma|in èrmen|èrmor|'s èrmore|an èrmors|dar èrmorsten|an èrmorsta|èrmorste|khòonen èrmen|an èrmorstes|aname èrmorsten|de èrmorn|zi ist arm|de èrmora|ze zèint arm|khòone èrmorn|de èrmen|in èrmorn|an èrma|ze zèint èrmor|aname èrmorn|anara èrmorsten|me èrmen|zi ist èrmor|aname èrmen|èar ist arm|ze zèint dar èrmorste|khòonen èrmorsten|khòone èrmen|de èrmorsta|an èrmorsten|me èrmorn|an èrmen|èar ist èrmor|khòonen èrmorn|in èrmorsten|an èrmora|an èrmorstar|dar èrmore|èrme|is ist dar èrmorste|anara èrmorn|'s èrmorste|zi ist dar èrmorsta|khòone èrmorsten|anara èrmen|èrmen|dar èrmen|'s èrme|dar èrmorn	<i>noun</i><br><ol><li>(Sette Comuni) arm</li></ol><br><i>adj</i><br><ol><li>(Sette Comuni, Luserna) poor</li></ol>
armaaran|bar armaaran|ze armaartan|armaare|armaartest|armaarst|ze armaaran|bar haban ga-armaart|ear armaarte|ze armaarnt|iart habet ga-armaart|armaar|armaart (iart)|ear armaare|hast ga-armaart|armaare (ear)|ear armaart|iart armaartet|ze habent ga-armaart|armaaranten|ga-armaart|iart armaart|armaart|han ga-armaart|armaarbar|armaaran (ze)|armaarte|ear hat ga-armaart|bar armaartan	<i>verb</i><br><ol><li>(Sette Comuni) to arm (supply with weapons)</li></ol>
armakhot	<i>noun</i><br><ol><li>(Sette Comuni) poverty</li></ol>
arsot|àrsot	<i>adj</i><br><ol><li>arid, dry</li></ol>
artàndare	<i>pron</i><br><ol><li>Synonym of iart (“you”) (plural)</li></ol>
