Acapolco	<i>name</i><br><ol><li>Acapulco (the largest city in the modern state of Guerrero, Mexico)</li></ol>
Ahcolco	<i>name</i><br><ol><li>Aculco</li></ol>
Ahuitzotl|Āhuitzōtl	<i>name</i><br><ol><li>The name of the ninth Aztec ruler, preceding Montezuma II.</li></ol>
Alemania	<i>name</i><br><ol><li>Germany</li></ol>
Altepetl Mexihco	<i>name</i><br><ol><li>Mexico City (the capital and largest city of the modern Mexico).</li></ol>
Amaquemehcan|Āmaquēmehcān	<i>name</i><br><ol><li>Amaquemecan; Amecameca, the official name is Amecameca de Juárez.</li></ol>
Atemaxac	<i>name</i><br><ol><li>Guadalajara (the largest city in the modern state of Jalisco, Mexico)</li></ol>
Atlacomolco	<i>name</i><br><ol><li>Atlacomulco (the largest city in the modern State of Mexico, Mexico)</li></ol>
Atlixco	<i>name</i><br><ol><li>Atlixco</li></ol>
Austria	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Axayacatl|Āxāyacatl	<i>name</i><br><ol><li>Axayacatl, the sixth tlatoani of Mexico-Tenochtitlan and of the Aztec Triple Alliance.</li></ol>
Azcapotzalco	<i>name</i><br><ol><li>Azcapotzalco.</li></ol>
Batavia	<i>name</i><br><ol><li>Netherlands</li></ol>
Callifornia|California	<i>name</i><br><ol><li>California (a province of New Spain)</li></ol>
Caxtillan|Castillan|castillã|caxtillan|Castillã	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Caxtillan acalli|castillan acalli|castillã acalli|castilla acalli|Caxtīllān ācalli	<i>noun</i><br><ol><li>(it is) a ship, specifically a 16th-century Spanish galleon or caravel.</li></ol>
Caxtillan camohtli|Caxtīllān camohtli	<i>noun</i><br><ol><li>carrot</li></ol>
Caxtillan centli|Caxtīllān centli	<i>noun</i><br><ol><li>Wheat.</li></ol>
Caxtillan chilli|Caxtīllān chīlli	<i>noun</i><br><ol><li>clove</li></ol>
Caxtillan chiyancaca|castillan chiancaca|Caxtīllān chiyancaca	<i>noun</i><br><ol><li>(it is) sugar.</li></ol>
Caxtillan copalli|Caxtīllān copalli	<i>noun</i><br><ol><li>A fragrant resin or incense of European origin; storax.</li></ol>
Caxtillan epazotl|Caxtīllān epazōtl	<i>noun</i><br><ol><li>mint, spearmint</li></ol>
Caxtillan huehxolotl|castillan vexolotl|Caxtīllān huehxōlōtl	<i>noun</i><br><ol><li>rooster, cock</li></ol>
