ܐ	<i>character</i><br><ol><li>aleph, first letter of the Syriac alphabet</li></ol><br><i>num</i><br><ol><li>number one (1)</li></ol>
ܐܐܪ|ܐܐܪܐܣ|ʾāʾar|ܐܐܪܣ|ܐܐܪܘܣ	<i>noun</i><br><ol><li>air, breeze</li><li>(figuratively) look, appearance, sight; aspect</li></ol>
ܐܒ|ʾāḇ	<i>name</i><br><ol><li>August</li><li>Av</li></ol>
ܐܒܐ|ܐܒܝܟܝܢ|ܐܒܝܗܘܢ|ܐܡܗܬܝ|ܐܒܢܟܝܢ|ܐܡܟܝܢ|ܐܡܗܬܟܝ|ܐܡܗܝܗܘܢ|ܐܒܗܘܢ|ܐܡܢ|ܐܒܗܝܗܝܢ|ܐܒܢܝ|ܐܒܝܟܘܢ|ܐܒܢܢ|ܐܡܗܬܐ|ܐܡܗܘܢ|ܐܡܗܝܟ|ܐܒܘܗ|ܐܒܢܟ|ܐܡܗܢ|ܐܒܗ|ܐܒܢܐ|ܐܡܗܬܟ|ܐܒܢ|ܐܡܗܝܟܝܢ|ܐܒܗܝܟܝ|ܐܒܢܟܘܢ|ܐܒܝ|ܐܒܝܗܝܢ|ܐܡܝ|ܐܒܢܝܟܝܢ|ܐܒܗܘܗܝ|ܐܡܗܬܗ|ܐܡܟܝ|ܐܒܗܬܟܝܢ|ܐܒܟܝܢ|ʾabbāʾ|ܐܡܟ|ܐܒܢܝܟܘܢ|ʾem|ܐܡܗܘܗܝ|ܐܒܗܢ|ܐܒܗܝܟ|ܐܒܗܬܢ|ʾăḇāhē|ܐܡܟܘܢ|ܐܡܗܐ|ܐܒܢܗ|ܐܡܗܬܟܘܢ|ܐܒܢܗܘܢ|ܐܒܝܢ|ܐܡܗܝܗܝܢ|ܐܒܝܗ|ܐܒܘܟ|ܐܒܘܟܝܢ|ܐܡܗܝܢ|ܐܒܟܝ|ܐܡܐ|ܐܡܗ|ܐܒܢܝܗܘܢ|ܐܒܢܝܢ|ܐܒܐ|ܐܒܗܝܗܘܢ|ܐܒܢܝܟܝ|ܐܒܗܝܟܝܢ|ܐܡܗܝܗ|ܐܡ|ܐܒܢܝܗ|ܐܒܗܝ|ܐܡܗܬ|ܐܡܗܬܟܝܢ|ܐܒܗܬܗܝܢ|ܐܒܗܬܟܝ|ܐܒܗܬܗܘܢ|ʾabbāne|ܐܒ|ʾăḇāhāṯā|ܐܡܗܝܟܘܢ|ܐܒܟܘܢ|ܐܡܗܝ|ܐܒܘܗܝ|ܐܒܘܢ|ܐܒܗܬܝ|ܐܒܗܝܗ|ܐܒܗܐ|ܐܡܗܬܢ|ܐܡܗܝܟܝ|ܐܒܢܝܟ|ܐܒܗܬܐ|ܐܒܘܗܝܢ|ܐܡܗܬܗܝܢ|ܐܒܘܟܘܢ|ʾaḇnā|ܐܒܟ|ܐܒܝܟ|ʾebbāne|ʾăḇāʾ|ܐܒܗܝܢ|ܐܒܢܝܗܝܢ|ܐܒܗܬܟ|ܐܒܗܬ|ܐܒܢܗܝܢ|ܐܒܢܟܝ|ܐܒܗܬܟܘܢ|ܐܒܝܟܝ|ܐܒܘܟܝ|ܐܒܘܗܘܢ|ܐܒܢܘܗܝ|ܐܒܗܬܗ|ܐܡܗܬܗܘܢ|ܐܒܗܝܟܘܢ|ʾebbāʾ	<i>noun</i><br><ol><li>father</li><li>(in the plural) parents</li><li>(figuratively) forefather, ancestor, progenitor</li><li>monk, abbot; bishop</li><li>chief, leader</li><li>(figuratively) author, originator, founder, inventor</li><li>teacher</li><li>produce, fruit, vegetable</li><li>crocodile</li></ol>
ܐܒܓܕ|ʾabgad	<i>noun</i><br><ol><li>(orthography) alphabet, abjad</li></ol>
ܐܒܕܢܐ|ܐܒܕܢܗܘܢ|ˀaḇdānā|ܐܒܕܢܝ|ܐܒܕܢ|ܐܒܕܢܢ|ܐܒܕܢܟܝܢ|ܐܒܕܢܗܝܢ|ܐܒܕܢܟ|ܐܒܕܢܗ|ܐܒܕܢܟܘܢ|ܐܒܕܢܟܝ	<i>noun</i><br><ol><li>ruin, destruction, annihilation</li><li>perdition</li><li>loss</li><li>end</li></ol>
ܐܒܘܒܐ|ܐܒܘܒܝܗ|ܐܒܘܒܟܝ|ܐܒܘܒܗܝܢ|ܐܒܘܒܝ|ܐܒܘܒܟ|ܐܒܘܒܝܟ|ܐܒܘܒܘܗܝ|ܐܒܘܒܝܗܝܢ|ܐܒܘܒܗ|ܐܒܘܒܗܘܢ|ܐܒܘܒܝܢ|ܐܒܘܒܢ|ܐܒܘܒ|ʾabbūḇā|ܐܒܘܒܝܗܘܢ|ܐܒܘܒܝܟܘܢ|ܐܒܘܒܟܘܢ|ܐܒܘܒܟܝܢ|ܐܒܘܒܝܟܝܢ|ܐܒܘܒܬܐ|ܐܒܘܒܝܟܝ	<i>noun</i><br><ol><li>reed, flute</li><li>pipe, tube</li><li>channel, canal</li></ol>
ܐܒܙܪܐ|ܒܙܪܝ|ܒܙܪܝܗ|ܒܙܪܝܢ|ܒܙܪܝܟܝܢ|ʾaḇzārā|ܒܙܪܐ|ܒܙܪܗܘܢ|ܒܙܪ|ܒܙܪܝܗܝܢ|ܒܙܪܟܝܢ|ܒܙܪܗ|ܒܙܪܝܗܘܢ|ܒܙܪܝܟܝ|ܒܙܪܟ|ܒܙܪܢ|ܒܙܪܗܝܢ|bazrā|ܒܙܪܘܗܝ|ܒܙܪܝܟܘܢ|ܒܙܪܟܘܢ|ܒܙܪܟܝ|ܒܙܪܝܟ	<i>noun</i><br><ol><li>appurtenance, attachment to a device by which it is manipulated such as a plough-handle</li></ol>
ܐܒܝܕܘܬܐ|ܐܒܝܕܘܬܟ|ܐܒܝܕܘܬܝ|ܐܒܝܕܘܬܟܝ|ܐܒܝܕܘܬܗ|ܐܒܝܕܘܬܟܘܢ|ܐܒܝܕܘܬܢ|ܐܒܝܕܘܬܗܘܢ|ܐܒܝܕܘ|ܐܒܝܕܘܬ|ܐܒܝܕܘܬܗܝܢ|ʾăḇīḏūṯāʾ|ܐܒܝܕܘܬܟܝܢ	<i>noun</i><br><ol><li>loss, abandonment</li><li>perversity, depravity</li><li>(with first person singular possessive suffix) used as a personal expression of humility</li></ol>
ܐܒܟܐ|ܐܒܟܝܗ|ܐܒܟܟ|ܐܒܟܗܝܢ|ܐܒܟܘܗܝ|ܐܒܟܝܟܘܢ|ܐܒܟ|ܐܒܟܟܘܢ|ܐܒܟܝܢ|ܐܒܟܗܘܢ|ܐܒܟܝܟܝ|ܐܒܟܟܝ|ܐܒܟܝܗܘܢ|ܐܒܟܗ|ʾāḇakkā|ܐܒܟܟܝܢ|ܐܒܟܢ|ܐܒܟܝܟ|ܐܒܟܝܗܝܢ|ܐܒܟܝܟܝܢ|ܐܒܟܝ	<i>noun</i><br><ol><li>cock, rooster</li></ol>
