'm	<i>det</i><br><ol><li>my</li></ol><br><i>pron</i><br><ol><li>me</li></ol>
'th	<i>det</i><br><ol><li>your (informal second person singular possessive determiner)</li><li>thy; thine</li></ol><br><i>pron</i><br><ol><li>you (informal second person singular pronoun)</li><li>thee</li></ol>
Adam	<i>name</i><br><ol><li>Adam (biblical figure)</li></ol>
Almayn	<i>name</i><br><ol><li>Germany</li></ol>
Almaynek	<i>name</i><br><ol><li>the German language</li></ol>
Amerika	<i>name</i><br><ol><li>America, United States of America (a country in North America)</li></ol>
Anton	<i>name</i><br><ol><li>Antony, A village and civil parish in east Cornwall, England</li></ol>
Arberth	<i>name</i><br><ol><li>Arberth (city in South-West Wales)</li></ol>
Arwednak	<i>name</i><br><ol><li>Falmouth (a harbour town in Cornwall, United Kingdom)</li></ol>
Asvens	<i>name</i><br><ol><li>Advent (period between Advent Sunday and Christmas)</li></ol>
Australya	<i>name</i><br><ol><li>(Standard Cornish) Australia</li></ol>
Austrya	<i>name</i><br><ol><li>Austria</li></ol>
Azerek	<i>name</i><br><ol><li>Azeri (a language in Azerbaijan)</li></ol>
Baskek	<i>name</i><br><ol><li>Basque (a language in the Basque Country)</li></ol>
Bethalem	<i>name</i><br><ol><li>Bethlehem (a city in Palestine)</li></ol>
Beybel	<i>name</i><br><ol><li>Bible</li></ol>
Brython|Brythonion	<i>noun</i><br><ol><li>a Briton, Brythonic Celt.</li></ol>
Bulgari	<i>name</i><br><ol><li>Bulgaria</li></ol>
CH|ch	<i>character</i><br><ol><li>Third letter of the Cornish alphabet</li></ol>
De Halan Gwâv	<i>name</i><br><ol><li>(Standard Cornish) All Saints' Day (Christian feast day on 1st November)</li></ol>
Dewnans	<i>name</i><br><ol><li>Devon (a county of England)</li></ol>
Du	<i>name</i><br><ol><li>November</li></ol>
Duw|Dhuw|Tuw	<i>name</i><br><ol><li>God</li></ol>
Ebrel	<i>adv</i><br><ol><li>in April (month)</li></ol><br><i>name</i><br><ol><li>April (month)</li></ol>
Ebryl	<i>name</i><br><ol><li>(Common Cornish) April</li></ol>
Efen	<i>adv</i><br><ol><li>in June</li></ol><br><i>name</i><br><ol><li>June</li></ol>
Ejyp	<i>name</i><br><ol><li>Egypt</li></ol>
Ejyptek	<i>name</i><br><ol><li>Egyptian (language)</li></ol>
Est	<i>name</i><br><ol><li>August</li></ol>
Estoni	<i>name</i><br><ol><li>Estonia</li></ol>
Frenk|Frenkyon	<i>noun</i><br><ol><li>(Revived Late Cornish) Frenchman</li></ol><br><i>name</i><br><ol><li>(Revived Late Cornish) France</li></ol>
Frenkek	<i>name</i><br><ol><li>(Revived Late Cornish) the French language</li></ol>
Frenkes|Frenkesow	<i>noun</i><br><ol><li>(Revived Late Cornish) Frenchwoman</li></ol>
Frynk|Frynkyon	<i>noun</i><br><ol><li>Frenchman</li></ol><br><i>name</i><br><ol><li>France</li></ol>
Frynkek	<i>name</i><br><ol><li>the French language</li></ol>
Frynkes|Frynkesow	<i>noun</i><br><ol><li>Frenchwoman</li></ol>
Galathyans	<i>name</i><br><ol><li>Galatians (book of the Bible)</li></ol>
Genver|Enver|Henver|Kenver	<i>name</i><br><ol><li>January</li></ol>
Godhal|Hwodhal|Kodhal|Wodhal|Godhyli	<i>noun</i><br><ol><li>Irishman</li><li>Gael</li></ol>
Godhaleger	<i>noun</i><br><ol><li>Irish-speaker</li></ol>
Godhalek	<i>name</i><br><ol><li>the Irish language</li></ol>
