Avainch	<i>name</i><br><ol><li>(Vegliot) Vrbnik (a village and municipality on the east coast of Krk, Croatia)</li></ol>
Dalmazia	<i>name</i><br><ol><li>Dalmatia</li></ol>
Di	<i>noun</i><br><ol><li>God</li></ol>
Verbenik|Verbeník	<i>name</i><br><ol><li>Vrbnik (a city in Veglia)</li></ol>
a	<i>prep</i><br><ol><li>to</li><li>at</li></ol>
a la luorga	<i>adv</i><br><ol><li>(Vegliot) far, distant</li></ol>
a lič	<i>adv</i><br><ol><li>near</li><li>at</li></ol>
abandonur|bandunure|abandunure	<i>verb</i><br><ol><li>to abandon, leave behind</li></ol>
abas	<i>adv</i><br><ol><li>down</li></ol><br><i>intj</i><br><ol><li>down!, down with!</li></ol>
abastrain	<i>noun</i><br><ol><li>(Vegliot) a type of red grape</li></ol>
abrasur	<i>verb</i><br><ol><li>to hug, embrace</li><li>to encompass</li></ol>
abreviatiaun	<i>noun</i><br><ol><li>abbreviation</li></ol>
abreviur|abreviut	<i>verb</i><br><ol><li>to abbreviate</li></ol>
abrivur	<i>verb</i><br><ol><li>(of a boat or aircraft) To get underway and pick up speed.</li></ol>
abrivuta|brivuota	<i>noun</i><br><ol><li>speed</li><li>headway</li><li>thrust</li></ol>
abstraict	<i>noun</i><br><ol><li>abstract</li></ol>
abucur	<i>verb</i><br><ol><li>to advocate</li></ol>
abás	<i>adv</i><br><ol><li>down</li></ol>
acaid	<i>noun</i><br><ol><li>(Vegliot) vinegar</li></ol>
acait	<i>noun</i><br><ol><li>vinegar</li></ol>
actiaun	<i>noun</i><br><ol><li>action</li></ol>
adias	<i>adv</i><br><ol><li>now</li></ol>
adviant	<i>noun</i><br><ol><li>(Vegliot) arrival, advent</li></ol>
advocur	<i>verb</i><br><ol><li>to advocate</li></ol>
advocut|abucuta|abucut|advocuta	<i>noun</i><br><ol><li>advocate, attorney, lawyer</li><li>counsel, legal adviser</li><li>barrister</li></ol>
afacro|afur|affacro	<i>noun</i><br><ol><li>matter, affair</li><li>bargain, deal, trade</li></ol>
afaict|affaict|afet	<i>noun</i><br><ol><li>affect</li></ol>
afaictur|affaictur	<i>verb</i><br><ol><li>to affect</li></ol>
affuor|affuar	<i>noun</i><br><ol><li>(Vegliot) affair</li></ol>
agariuól	<i>noun</i><br><ol><li>needlecase</li></ol>
agaun	<i>noun</i><br><ol><li>(Vegliot) twaite shad</li></ol>
agnial|gnial	<i>noun</i><br><ol><li>(Vegliot) lamb</li></ol>
agniál	<i>noun</i><br><ol><li>ring</li><li>lamb</li></ol>
agost|aguast	<i>noun</i><br><ol><li>(Vegliot) August</li></ol>
agusta|aguste|argúst	<i>noun</i><br><ol><li>spiny lobster</li></ol>
ail	<i>noun</i><br><ol><li>(Vegliot) garlic</li></ol>
aimarí	<i>noun</i><br><ol><li>Hail Mary</li></ol>
alaite	<i>noun</i><br><ol><li>(Vegliot) intestines, bowels, guts</li></ol>
alaura	<i>adv</i><br><ol><li>so</li><li>then</li><li>thus</li></ol>
alborur	<i>verb</i><br><ol><li>to hoist, raise</li><li>to flare up</li></ol>
aleger|alegar	<i>adj</i><br><ol><li>(Vegliot) cheerful</li></ol>
alegr	<i>adj</i><br><ol><li>happy, glad, cheerful</li></ol>
alegraia	<i>noun</i><br><ol><li>fun, merriment</li><li>playfulness</li></ol>
altramiant	<i>adv</i><br><ol><li>or else, otherwise, otherwise else</li></ol>
altramiante	<i>adv</i><br><ol><li>(Vegliot) Alternative form of altramiant</li></ol>
altur	<i>noun</i><br><ol><li>(Vegliot) altar</li></ol>
alviar	<i>noun</i><br><ol><li>beehive, hive</li></ol>
alzuarse	<i>verb</i><br><ol><li>to stand up, to rise</li></ol>
alzur|alzuarse	<i>verb</i><br><ol><li>(Vegliot) to raise, lift</li></ol>
alzur cole palaure	<i>verb</i><br><ol><li>(Vegliot) to read</li></ol>
amaic|amaič	<i>noun</i><br><ol><li>friend (male)</li></ol>
amaica|amaice	<i>noun</i><br><ol><li>friend (female)</li></ol>
amaur	<i>noun</i><br><ol><li>love</li><li>sweetheart, darling</li></ol>
amazur	<i>verb</i><br><ol><li>to kill</li></ol>
amia	<i>noun</i><br><ol><li>aunt</li></ol>
amuar	<i>verb</i><br><ol><li>(Vegliot) Alternative form of amur (“to love”)</li></ol>
amur|amuora	<i>verb</i><br><ol><li>to love</li></ol><br><i>adj</i><br><ol><li>bitter</li></ol>
anca	<i>adv</i><br><ol><li>also, too, as well</li><li>even, even though</li></ol>
ancusene	<i>noun</i><br><ol><li>(Vegliot) anvil</li></ol>
andua	<i>adv</i><br><ol><li>(Vegliot) where</li></ol>
anduar	<i>verb</i><br><ol><li>(Vegliot) to go</li></ol>
andur	<i>verb</i><br><ol><li>to go, move</li></ol>
andure	<i>verb</i><br><ol><li>(Vegliot) Alternative form of anduar (“to go”)</li></ol>
anduve	<i>adv</i><br><ol><li>(Vegliot) Alternative form of andua (“where”)</li></ol>
anera	<i>noun</i><br><ol><li>duck</li></ol>
