ހ|h	<i>character</i><br><ol><li>The first letter of the Thaana alphabet, named hā.</li></ol>
ހަ|ha	<i>num</i><br><ol><li>six</li></ol>
ހަށްޓި|haṣ̊ṭi	<i>num</i><br><ol><li>sixty</li></ol>
ހަނދު|haⁿdu|ހަނދުތައް	<i>noun</i><br><ol><li>moon</li></ol>
ހަނދުފަޅި ބިބީ|ހަނދުފަޅި ބިބީތައް|haⁿdufaḷi bibī	<i>noun</i><br><ol><li>raccoon butterflyfish</li></ol>
ހަން|ހަންތައް|han̊	<i>noun</i><br><ol><li>skin, hide, leather; balloon</li><li>distress signal given on a boat or on an island indicating that urgent help was needed</li></ol>
ހަންދަރު|han̊daru	<i>noun</i><br><ol><li>hundredweight</li></ol>
ހަރިޔާނާ|hariyānā	<i>name</i><br><ol><li>Haryana (a state of India)</li></ol>
ހަރު|haru|ހަރުތައް	<i>adj</i><br><ol><li>hard, solid</li><li>mature, mellow, experienced</li><li>wise, cognitive, sagacious</li></ol><br><i>noun</i><br><ol><li>hole, burrow</li><li>rung on coconut palms, or any pole, used to climb</li><li>rack, stand, shelf, hangar, support</li><li>rest, bracket</li><li>loom</li><li>lathe</li></ol>
ހަރުބަސް|ހަރުބަސްތައް|harubas	<i>noun</i><br><ol><li>(grammar) proverb</li></ol>
ހަރުފަ|harufa|ހަރުފަތައް	<i>noun</i><br><ol><li>snake</li></ol>
ހަކުރު|ހަކުރުތައް|hakuru	<i>noun</i><br><ol><li>jaggery, palm syrup</li><li>sugar</li></ol>
ހައެއް|haek̊	<i>num</i><br><ol><li>six</li></ol>
ހައްދަނީ|haddanī	<i>verb</i><br><ol><li>to cultivate</li></ol>
ހައްދުންމަތި|haddun̊mati	<i>name</i><br><ol><li>Haddhunmathi (an atoll in the Maldives)</li></ol>
ހަވިއްތަ|ހަވިއްތަތައް|havitta	<i>noun</i><br><ol><li>chaitya</li></ol>
ހަވީރު|havīru	<i>noun</i><br><ol><li>the last quarter of the day, evening, eventide</li></ol>
ހަފުތާ|hafutā	<i>noun</i><br><ol><li>a week (unit of time)</li></ol>
ހަދަނީ|hadanī	<i>verb</i><br><ol><li>to make, build, construct, prepare, form, adorn</li></ol>
ހަތަރު|hataru	<i>num</i><br><ol><li>four</li></ol>
ހަތަރެއް|hatarek̊	<i>num</i><br><ol><li>four</li></ol>
ހަތާ|hatā	<i>noun</i><br><ol><li>the ceremonial parasol of the Maldivian Sultan</li></ol>
ހަތާވީސް|hatāvīs	<i>num</i><br><ol><li>twenty-seven</li></ol>
ހަތި|hati	<i>noun</i><br><ol><li>fungus, mushroom</li><li>stratus clouds</li><li>mushroom coral (montipora)</li></ol>
ހަތިޔާރު|hatiyāru|ހަތިޔާރުތައް	<i>noun</i><br><ol><li>weapon, instrument, tool</li></ol>
ހަތެއް|hatek̊	<i>num</i><br><ol><li>seven</li></ol>
ހަތް|hat̊	<i>num</i><br><ol><li>seven</li></ol><br><i>noun</i><br><ol><li>the ceremonial parasol of the Maldivian Sultan</li></ol>
ހަތްތެރި|hat̊teri	<i>num</i><br><ol><li>seventy</li></ol>
ހަސްފަތާލު|ހަސްފަތާލުތައް|hasfatālu	<i>noun</i><br><ol><li>hospital</li><li>infirmary</li><li>sanatorium</li></ol>
ހާ|ހާތައް|hā	<i>noun</i><br><ol><li>Name of the first letter of the Thaana script (ހ)</li></ol>
ހާއްޔޯ|hāyyō	<i>intj</i><br><ol><li>Used to catch a listener's attention, hey!</li></ol>
ހާސް|hās	<i>num</i><br><ol><li>thousand</li></ol>
ހިނގަނީ|hiⁿganī	<i>verb</i><br><ol><li>to walk</li></ol>
ހިނި|hini|ހިނިތައް	<i>noun</i><br><ol><li>ant</li><li>laughter</li></ol>
ހިންނަވަރު|hin̊navaru	<i>name</i><br><ol><li>Hinnavaru (an island in Lhaviyani, Maldives)</li></ol>
ހިންދު ކަނޑު|hin̊du kaⁿḍu	<i>name</i><br><ol><li>Indian Ocean</li></ol>
ހިންދު ދިދަމަސް|ހިންދު ދިދަމަސްތައް|hin̊du didamas	<i>noun</i><br><ol><li>phantom bannerfish</li></ol>
ހިންދުކޮކާ ބިބީ|hin̊dukokā bibī|ހިންދުކޮކާ ބިބީތައް	<i>noun</i><br><ol><li>Indian vagabond butterflyfish</li></ol>
ހިންދުސްތާނު|hin̊dustānu	<i>name</i><br><ol><li>India</li></ol>
ހިންދޫދީން|hin̊dūdīn̊	<i>name</i><br><ol><li>Hinduism</li></ol>
ހިރި|ހިރިތައް|hiri	<i>noun</i><br><ol><li>glory, honour, blessing, fortune; splendour</li><li>wealth</li><li>virtue</li><li>fame</li></ol>
ހިބަރު|ހިބަރުތައް|hibaru	<i>noun</i><br><ol><li>swordfish</li></ol>
ހިމާޗަލް ޕްރަދޭޝް|himācal pradēš	<i>name</i><br><ol><li>Himachal Pradesh (a state of India)</li></ol>
ހިތަނީ|hitanī	<i>verb</i><br><ol><li>to think, suppose, presume, assume</li><li>to treat</li><li>to regard</li></ol>
ހިތް|hit̊	<i>noun</i><br><ol><li>heart, mind, breast (as the seat of emotion)</li></ol>
ހިލަ|hila	<i>noun</i><br><ol><li>rock</li></ol>
ހިޔަ|hiya	<i>num</i><br><ol><li>(archaic) ninety-six</li></ol><br><i>noun</i><br><ol><li>(archaic) the heart (as the seat of emotion)</li></ol>
ހުންނަނީ|hun̊nanī	<i>verb</i><br><ol><li>to stand</li></ol>
ހުޅު|huḷu	<i>adj</i><br><ol><li>(archaic) small, mini, little, lesser, inferior, minor</li><li>hinge</li><li>joint</li><li>flame, flambeau, torch</li></ol>
ހުޅުމާލެ|huḷumāle	<i>name</i><br><ol><li>Hulhumalé (an island in North Malé, Maldives)</li></ol>
ހުކުރު|ހުކުރުތައް|hukuru	<i>noun</i><br><ol><li>Friday</li></ol>
ހުކުރު ދުވަސް|ހުކުރު ދުވަސްތައް|hukuru duvas	<i>noun</i><br><ol><li>Friday</li></ol>
