aba	<i>noun</i><br><ol><li>taro</li></ol>
abak	<i>noun</i><br><ol><li>sleeping mat</li></ol>
abang	<i>noun</i><br><ol><li>boat</li></ol>
abbut	<i>noun</i><br><ol><li>hole; cave</li></ol>
abigi|abigí	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
abong	<i>noun</i><br><ol><li>(anatomy) top of head</li></ol>
abuyog	<i>noun</i><br><ol><li>bumblebee</li></ol>
adaw	<i>noun</i><br><ol><li>baby monkey</li></ol>
adigi	<i>noun</i><br><ol><li>house post or pillar</li></ol>
agatol|agatól	<i>noun</i><br><ol><li>small freshwater crab</li></ol>
agay|agáy	<i>noun</i><br><ol><li>friend (a term of address used between friends of the same sex or with one's spouse or close relative)</li></ol><br><i>intj</i><br><ol><li>an expression of surprise</li></ol>
agden|agdén	<i>noun</i><br><ol><li>stairs</li></ol>
agi|agí	<i>noun</i><br><ol><li>bark cloth</li></ol>
agom	<i>noun</i><br><ol><li>companion</li></ol>
agradis	<i>noun</i><br><ol><li>(anatomy) thumb</li></ol>
akuwang	<i>noun</i><br><ol><li>eagle</li></ol>
alab	<i>noun</i><br><ol><li>(northern dialects) knee</li></ol>
aladum	<i>noun</i><br><ol><li>clothes</li></ol>
alayu	<i>noun</i><br><ol><li>pestle</li></ol>
alebban	<i>noun</i><br><ol><li>bladder</li></ol>
alegid	<i>adj</i><br><ol><li>old</li></ol>
alemtak	<i>noun</i><br><ol><li>leech</li></ol>
alibutag	<i>noun</i><br><ol><li>whirlpool</li></ol>
alikansad	<i>noun</i><br><ol><li>faraway place</li></ol>
alingabngab	<i>noun</i><br><ol><li>large deep hole in the ground; cave</li></ol>
alinunu	<i>noun</i><br><ol><li>shadow</li><li>reflection</li></ol>
alipep	<i>noun</i><br><ol><li>armpit</li></ol>
alokinag	<i>noun</i><br><ol><li>earthworm</li></ol>
along	<i>noun</i><br><ol><li>son (term of address for a male child)</li></ol>
alsap	<i>noun</i><br><ol><li>fog; mist</li></ol>
aluyu	<i>noun</i><br><ol><li>sea wave</li></ol>
amogud	<i>noun</i><br><ol><li>forest, jungle, woods, remote area, mountains</li></ol>
amoyu	<i>noun</i><br><ol><li>pet; domestic animal</li></ol>
amtek	<i>noun</i><br><ol><li>large, red ant that bites</li></ol>
amur	<i>noun</i><br><ol><li>dew</li></ol>
anak	<i>noun</i><br><ol><li>child</li></ol>
anggu	<i>noun</i><br><ol><li>plant with edible red berries</li></ol>
angsu	<i>noun</i><br><ol><li>smell of urine</li></ol>
anitu	<i>noun</i><br><ol><li>ghost</li></ol>
annam	<i>num</i><br><ol><li>six</li></ol>
annipig	<i>noun</i><br><ol><li>scorpion</li></ol>
anod|anód	<i>noun</i><br><ol><li>cloud flying in the sky</li></ol>
anya	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
apapet	<i>noun</i><br><ol><li>bitter melon</li></ol>
apay	<i>pron</i><br><ol><li>(interrogative) why</li></ol>
apgas|apgás	<i>noun</i><br><ol><li>salt</li></ol>
apon	<i>noun</i><br><ol><li>afternoon</li></ol>
apoy|apóy	<i>noun</i><br><ol><li>dead tree; firewood</li></ol>
appan|appán	<i>noun</i><br><ol><li>fishbait</li></ol>
appat	<i>num</i><br><ol><li>four</li></ol>
