Aabringe	<i>noun</i><br><ol><li>(Erzgebirgisch) request</li><li>(Erzgebirgisch) concern (matter of concern)</li><li>(Erzgebirgisch) application</li></ol>
Aach|Aachele|Aang|[Term?]	<i>noun</i><br><ol><li>(Erzgebirgisch) eye</li><li>(Erzgebirgisch) oak tree</li></ol>
Aadeppl|Aadeppln	<i>noun</i><br><ol><li>(Erzgebirgisch) Alternative form of Ardeppl</li></ol>
Aangmoß	<i>noun</i><br><ol><li>(Erzgebirgisch)</li></ol>
Aarchr	<i>noun</i><br><ol><li>(Erzgebirgisch) anger, annoyance (state of being angry, annoyed)</li><li>(Erzgebirgisch) trouble (as in, to be in trouble)</li></ol>
Abbel	<i>noun</i><br><ol><li>(Upper Saxon) apple</li></ol>
Abee	<i>noun</i><br><ol><li>(Erzgebirgisch, uncountable) toilet</li></ol>
Abeedeckl	<i>noun</i><br><ol><li>(Erzgebirgisch) toilet lid</li></ol>
Abeefanstr	<i>noun</i><br><ol><li>(Erzgebirgisch) toilet window</li></ol>
Abtritt	<i>noun</i><br><ol><li>(Erzgebirgisch) toilet</li></ol>
Achtooch	<i>noun</i><br><ol><li>(Erzgebirgisch) eight days (in a week)</li></ol>
Aff	<i>noun</i><br><ol><li>(Erzgebirgisch) monkey, ape</li><li>(Erzgebirgisch) silly person</li></ol>
Ahlieng	<i>noun</i><br><ol><li>(Erzgebirgisch) request</li><li>(Erzgebirgisch) concern (matter of concern)</li><li>(Erzgebirgisch) application</li></ol>
Anntun	<i>noun</i><br><ol><li>(Erzgebirgisch) (Eastern Erzgebirgisch) homesickness</li></ol>
Appel	<i>noun</i><br><ol><li>(Upper Saxon) apple</li></ol>
Arb|[Term?]	<i>noun</i><br><ol><li>(Erzgebirgisch) Clipping of Arbitt.</li></ol>
Arbeer|[Term?]	<i>noun</i><br><ol><li>(Erzgebirgisch) strawberry</li></ol>
Arbitt|[Term?]	<i>noun</i><br><ol><li>(Erzgebirgisch) work</li></ol>
Arbittr|[Term?]	<i>noun</i><br><ol><li>(Erzgebirgisch) worker</li></ol>
Arbs|Arbsn	<i>noun</i><br><ol><li>(Erzgebirgisch) pea</li></ol>
Archr	<i>noun</i><br><ol><li>(Erzgebirgisch) Alternative form of Aarchr</li></ol>
