Kuextekapan	<i>name</i><br><ol><li>Huasteca</li></ol>
Mexco	<i>name</i><br><ol><li>Mexico.</li></ol>
Mexko	<i>name</i><br><ol><li>Mexico</li></ol>
abril	<i>noun</i><br><ol><li>April</li></ol>
acahya	<i>noun</i><br><ol><li>companion.</li></ol>
achakalin	<i>noun</i><br><ol><li>shrimp</li></ol>
achi	<i>det</i><br><ol><li>a little.</li></ol>
achtihuiehquetl	<i>noun</i><br><ol><li>The oldest son or daughter.</li></ol>
achtohui	<i>adj</i><br><ol><li>first.</li></ol><br><i>adv</i><br><ol><li>before.</li></ol>
agosto	<i>noun</i><br><ol><li>August</li></ol>
ahacatl	<i>noun</i><br><ol><li>wind.</li><li>divide.</li></ol>
ahakatl	<i>noun</i><br><ol><li>wind</li></ol>
ahqueya	<i>adv</i><br><ol><li>who?</li></ol>
ahqui	<i>verb</i><br><ol><li>to swim.</li></ol>
ahsi	<i>verb</i><br><ol><li>to arrive.</li></ol>
ahuacacuahuitl	<i>noun</i><br><ol><li>avocado tree.</li></ol>
akachikiwitl	<i>noun</i><br><ol><li>basquet cane</li></ol>
aketzpalin	<i>noun</i><br><ol><li>aligator</li></ol>
alaxox|lalax	<i>noun</i><br><ol><li>orange</li></ol>
alaxoxtontli	<i>noun</i><br><ol><li>mandarine</li></ol>
altepetl|altepetini	<i>noun</i><br><ol><li>altepetl, city, town.</li></ol>
altepetlehquetl	<i>noun</i><br><ol><li>the inhabitant of an altepetl, town.</li></ol>
ama	<i>adv</i><br><ol><li>now</li></ol>
amacamanalli	<i>noun</i><br><ol><li>map.</li></ol>
amantzi	<i>adv</i><br><ol><li>right now</li></ol>
amatl	<i>noun</i><br><ol><li>paper.</li><li>book.</li></ol>
amatlahcuilolli	<i>noun</i><br><ol><li>A letter.</li></ol>
amelli	<i>noun</i><br><ol><li>well.</li></ol>
amigo|iamigo	<i>noun</i><br><ol><li>friend</li></ol>
amohuanti	<i>pron</i><br><ol><li>second person; you (plural)</li></ol>
apipiyalotl	<i>noun</i><br><ol><li>dragonfly</li></ol>
apolin	<i>noun</i><br><ol><li>capulin</li></ol>
aqui	<i>verb</i><br><ol><li>to be (negative).</li></ol>
atemitl	<i>noun</i><br><ol><li>river.</li></ol>
atl	<i>noun</i><br><ol><li>water</li></ol>
atli	<i>verb</i><br><ol><li>to drink water.</li></ol>
awakatl|ahuacatl	<i>noun</i><br><ol><li>(Ixcatepec, Tantoyuca, Tepetzintla and Temapache) avocado</li></ol>
awiyak|ahuiyac	<i>adj</i><br><ol><li>tasty.</li><li>good-smelling.</li></ol>
ax	<i>adv</i><br><ol><li>not</li></ol>
ax aqui	<i>pron</i><br><ol><li>nobody</li></ol>
ax cualli	<i>adj</i><br><ol><li>bad.</li></ol>
ax quema	<i>adv</i><br><ol><li>never</li></ol>
ax tleno	<i>intj</i><br><ol><li>you're welcome.</li></ol>
axcahua	<i>noun</i><br><ol><li>sheep.</li></ol>
axcaneli	<i>noun</i><br><ol><li>ant.</li></ol>
axtle	<i>particle</i><br><ol><li>no, negative response.</li></ol>
aya	<i>adv</i><br><ol><li>not yet</li></ol>
ayohtli	<i>noun</i><br><ol><li>gourd, squash.</li></ol>
ayotl	<i>noun</i><br><ol><li>turtle.</li></ol>
azoltic	<i>adj</i><br><ol><li>blue.</li></ol>
burro	<i>noun</i><br><ol><li>donkey.</li></ol>
cafe	<i>noun</i><br><ol><li>coffee</li></ol>
cahualtoahui	<i>noun</i><br><ol><li>widow (female).</li></ol>
cahualtotlayi	<i>noun</i><br><ol><li>widow (male).</li></ol>
cahuatlehco	<i>verb</i><br><ol><li>to ride a horse.</li></ol>
calaqui	<i>verb</i><br><ol><li>to enter.</li></ol>
calendario	<i>noun</i><br><ol><li>calendar</li></ol>
calli|caltini	<i>noun</i><br><ol><li>house.</li></ol>
caltlacatl|caltlacameh|caltlacame	<i>noun</i><br><ol><li>person.</li></ol>
camanaliztli	<i>noun</i><br><ol><li>story.</li></ol>
camanalli	<i>noun</i><br><ol><li>word.</li><li>language.</li></ol>
camanalohquetl	<i>noun</i><br><ol><li>speaker.</li></ol>
camanalohua	<i>verb</i><br><ol><li>to speak.</li></ol>
camati	<i>verb</i><br><ol><li>to speak.</li></ol>
camohtli|camohtini	<i>noun</i><br><ol><li>sweet potato.</li></ol>
campa	<i>adv</i><br><ol><li>where</li></ol>
canque	<i>adv</i><br><ol><li>where</li><li>whither, to where.</li></ol>
carro|carros	<i>noun</i><br><ol><li>car.</li><li>chariot.</li></ol>
cartilla	<i>noun</i><br><ol><li>card, book</li></ol>
caxtiltecacamanalli|caxtiltecacamanali	<i>noun</i><br><ol><li>the Spanish language.</li></ol>
caxtolli	<i>num</i><br><ol><li>fifteen.</li></ol>
