А|а	<i>character</i><br><ol><li>The first letter of the Eastern Mari alphabet, written in the Cyrillic script.</li></ol>
Куба|Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Марий Эл|Marij Èl	<i>name</i><br><ol><li>Mari El (a republic of Russia; capital: Yoshkar-Ola)</li></ol>
Россий|Rossij	<i>name</i><br><ol><li>Russia</li></ol>
Эстоний|Èstonij	<i>name</i><br><ol><li>Estonia</li></ol>
Юл|Ûl	<i>name</i><br><ol><li>the Volga river</li></ol>
ава|ava	<i>noun</i><br><ol><li>mother</li><li>mother-in-law, husband's mother</li><li>(agriculture) female</li></ol>
авагашта|avagašta	<i>noun</i><br><ol><li>(construction) ceiling beam</li></ol>
авалташ|avaltaš	<i>verb</i><br><ol><li>grab (in a handful)</li><li>(idiomatic) carry on</li></ol>
авалык|avalyk	<i>noun</i><br><ol><li>(anatomy) uterus, womb</li></ol>
аванвопш|avanvopš	<i>noun</i><br><ol><li>seine</li></ol>
авапун|avapun	<i>noun</i><br><ol><li>down (feathers)</li></ol>
аварок|avarok	<i>noun</i><br><ol><li>(geology) ground, undersoil</li></ol>
авызлаш|avyzlaš	<i>verb</i><br><ol><li>(obsolete) taste food (while public praying before eating)</li></ol>
ака|aka	<i>noun</i><br><ol><li>elder sister</li></ol>
арня|arnâ	<i>noun</i><br><ol><li>week</li></ol>
ача|ača	<i>noun</i><br><ol><li>father</li></ol>
аяр|aâr	<i>noun</i><br><ol><li>poison, venom</li></ol>
вашкаш|vaškaš	<i>noun</i><br><ol><li>hurry</li><li>rush</li></ol>
вашмут|vašmut	<i>noun</i><br><ol><li>answer</li></ol>
ваштар|vaštar	<i>noun</i><br><ol><li>maple</li></ol>
ведра|vedra	<i>noun</i><br><ol><li>bucket</li></ol>
вем|vem	<i>noun</i><br><ol><li>marrow</li></ol>
вич|vič	<i>num</i><br><ol><li>five</li></ol>
виян|viân	<i>adj</i><br><ol><li>strong</li></ol>
вож|vož	<i>noun</i><br><ol><li>root</li></ol>
вуй|vuj	<i>noun</i><br><ol><li>head</li></ol>
вырляҥге|vyrlâṅge	<i>noun</i><br><ol><li>wagtail</li></ol>
