أبيب|ʔabīb	<i>name</i><br><ol><li>The eleventh month of the Coptic calendar.</li></ol>
أجر|ḥatʾaggar|أجّري|ʾaggart|بتأجّروا|ḥaʾaggar|اأجّر|بنأجّر|ḥayʾaggaru|أجّروا|تأجّر|aʾaggar|حيأجّروا|yiʾaggar|tiʾaggaru|بأجّر|أجّرت|ʾaggarti|حأجّر|بيأجّر|baʾaggar|yiʾaggaru|متأجر|bitʾaggari|ʾaggarit|binʾaggar|يأجّر|أجّرنا|تأجّري|بتأجّر|أجّرتي|يأجّروا|ʾaggaru|ḥatʾaggaru|biyʾaggar|أجّر|أجّرتوا|نأجّر|tiʾaggar|حتأجّروا|ḥayʾaggar|حنأجّر|ḥatʾaggari|ʾaggarna|bitʾaggar|بتأجّري|ḥanʾaggar|ʾaggar|bitʾaggaru|تأجّروا|حيأجّر|بيأجّروا|niʾaggar|tiʾaggari|حتأجّري|Term?|ʾaggari|ʾaggartu|biyʾaggaru|حتأجّر	<i>verb</i><br><ol><li>(transitive) to rent</li></ol>
أربعة|ʾaṛbaʿa	<i>num</i><br><ol><li>four</li></ol>
أربعتاشر|ʾaṛbaʿtāšaṛ	<i>num</i><br><ol><li>fourteen</li></ol>
أربعين|ʾarbaʿīn	<i>num</i><br><ol><li>forty</li></ol>
أرضية|ارضية|ʾarḍiyya	<i>noun</i><br><ol><li>floor</li><li>flooring</li><li>background</li><li>storage charge</li><li>rental of ground</li></ol>
أستيكة|أساتيك|اساتيك|astīka|استيكات|استيكه|مستيكة|أستيكات|استيكة|mastīka|مساتيك	<i>noun</i><br><ol><li>chewing gum</li><li>rubber to erase writing</li><li>squeegee for printing etc.</li><li>rubber bowl such as used by a barber</li><li>stick, cue</li></ol>
أسد|أسود|أسدة|ʾasad	<i>noun</i><br><ol><li>lion</li><li>(astrology) Leo</li></ol>
أصر|يصرّ|yiṣirr|ʾaṣarr	<i>verb</i><br><ol><li>(intransitive) to insist, to persist</li></ol>
أكرة|أكر|ʔukra	<i>noun</i><br><ol><li>handle</li><li>doorknob</li></ol>
أكل|ʾakal|ياكل	<i>verb</i><br><ol><li>(transitive, sometimes humorous) to eat at, to vex, to irritate</li><li>(transitive) to irritate the skin of</li></ol>
ألف|آلاف|ʾalf	<i>num</i><br><ol><li>thousand</li></ol>
أم|أمّ|'umm	<i>noun</i><br><ol><li>mother</li></ol>
أمشير|ʔamšir	<i>name</i><br><ol><li>The twelfth month of the Coptic calendar.</li></ol>
أنا|'ána	<i>pron</i><br><ol><li>I</li></ol>
أنا ما بتكلمش إنجليزي|ana ma batkallimsh ingilizi	<i>phrase</i><br><ol><li>I don't speak English</li></ol>
أنا مبتكلمش عربي|ʾanā mabatkallimš ʿarabi|أَنَا مَبَتْكَلِّمْش عَرَبِي	<i>phrase</i><br><ol><li>I don't speak Arabic</li></ol>
أنبا|ʔamba	<i>noun</i><br><ol><li>apa (a title used for male clergy or saints in the Coptic Church)</li></ol>
أنهي|ʔanhi	<i>pron</i><br><ol><li>(interrogative) which?</li></ol>
