Bulåggna	<i>name</i><br><ol><li>Bologna (a city and province of Italy)</li></ol>
Enòuna	<i>name</i><br><ol><li>(Greek mythology) Oenone, first wife of Paris of Troy</li></ol>
Licaòun	<i>name</i><br><ol><li>(Greek mythology) Lycaon (a king of ancient Arcadia)</li></ol>
a	<i>pron</i><br><ol><li>I</li><li>we</li><li>you (plural)</li></ol>
acanimèint	<i>noun</i><br><ol><li>(Modena) anger; rage</li></ol>
acatèr	<i>verb</i><br><ol><li>(Bologna) to find</li></ol>
agåccia	<i>noun</i><br><ol><li>needle (long, thin, sharp implement used in sewing)</li><li>a pole placed on hills to prevent landslides</li><li>a pole for supporting bridges</li><li>a pole for reinforcing buildings</li></ol>
al	<i>pron</i><br><ol><li>(nominative case) he</li><li>(accusative case) him</li></ol>
alesitimìa|alesitimìi	<i>noun</i><br><ol><li>(Carpi) alexithymia (deficiency in understanding, processing, or describing emotions)</li></ol>
americàn	<i>noun</i><br><ol><li>American (person from the United States)</li><li>(slang) exhibitionist (person who attempts to draw attention to him- or herself)</li></ol><br><i>adj</i><br><ol><li>American (from or relating to the United States)</li><li>(slang) exhibitionistic (attempting to draw attention to him- or herself)</li></ol>
an	<i>noun</i><br><ol><li>year</li></ol>
antibiòtic	<i>noun</i><br><ol><li>antibiotic</li></ol>
antibiòtig	<i>noun</i><br><ol><li>antibiotic</li></ol>
arbòt	<i>noun</i><br><ol><li>the back of a shoe</li></ol>
arghignàr-as|arghignàda|arghignâ|arghignàdi	<i>verb</i><br><ol><li>(Mirandola) to sulk; to pout</li></ol>
arghignèr-es|arghignèdi|arghignèda|arghignê	<i>verb</i><br><ol><li>(Modena) to sulk; to pout</li></ol>
argiulî	<i>adj</i><br><ol><li>(Carpi) cured</li></ol>
arliàda|arliàdi	<i>noun</i><br><ol><li>(Mirandola) anger; rage</li></ol>
arlièda|arlièdi	<i>noun</i><br><ol><li>(Carpi) anger; rage</li></ol>
arlìa|arlìi	<i>noun</i><br><ol><li>(Carpi) anger; rage</li></ol>
armàri	<i>noun</i><br><ol><li>(Carpi) cupboard</li></ol>
armèri	<i>noun</i><br><ol><li>(Bologna) cupboard</li></ol>
