Алгамасторт|Algamastort	<i>name</i><br><ol><li>the Netherlands</li></ol>
Блаушка|Blauška	<i>name</i><br><ol><li>(religion) Feast of the Annunciation</li></ol>
ВР|VR	<i>noun</i><br><ol><li>UN (United Nations)</li></ol>
Инечи|Ineči	<i>noun</i><br><ol><li>Easter</li></ol>
Колмоце инязорпазксчи|Kolmoce injazorpazksči	<i>name</i><br><ol><li>Third Reich</li></ol>
Кранцмастор|Krancmastor	<i>name</i><br><ol><li>France</li></ol>
Кри.|Kri.	<i>adv</i><br><ol><li>B.C., BC (abbreviation for Кристозонь икеле, before Christ)</li></ol>
Крм.|Krm.	<i>adv</i><br><ol><li>A.D., AD (abbreviation for Кристозодо мейле, anno Domini)</li></ol>
Куловне|Kulovne	<i>name</i><br><ol><li>Cinderella (the fairy tale and the protagonist)</li></ol>
Курсякст|Kursjakst	<i>noun</i><br><ol><li>(astronomy): Libra.</li><li>(astrology): Libra.</li></ol>
Ловняське|Lovnäśke	<i>name</i><br><ol><li>Snow White</li></ol>
Папазей|Papazej|Папазейс|Папазейсэ|Папазейстэ|Папазейга|Папазейкс|Папазейнень|Папазейде|Папазейшка|Папазеень|Папазейтеме	<i>noun</i><br><ol><li>(in magic incantations) ruler of the penis</li></ol>
Пелькине|Pelʹkine	<i>name</i><br><ol><li>Tom Thumb</li></ol>
Пурцуз Пукшай|Purcuz Pukšaj	<i>name</i><br><ol><li>Porky Pig</li></ol>
Эстэнь Мастор|Estenʹ Mastor	<i>name</i><br><ol><li>Estonia</li></ol>
Якстере Кепече|Äkstere Kepeče	<i>name</i><br><ol><li>Little Red Riding Hood</li></ol>
Яку Яксярго|Jaku Jaksjargo	<i>name</i><br><ol><li>Donald Duck</li></ol>
Якшаматя|Äkšamatä	<i>name</i><br><ol><li>Father Frost, Ded Moroz, Santa Claus</li></ol>
ава|авашка|ават|авас|авадо|ava|авасо|авань|авакс|ававтомо|аванень|авава|авасто	<i>noun</i><br><ol><li>woman</li><li>mother</li></ol>
ававт|avavt	<i>noun</i><br><ol><li>mother-in-law (husband's mother)</li></ol>
аволдавомс|avoldavoms	<i>verb</i><br><ol><li>to be swept</li></ol>
аволдавтомс|avoldavtoms	<i>verb</i><br><ol><li>wave</li><li>sweep, besom</li><li>strike at</li><li>nod</li><li>grab</li><li>overdo</li></ol>
аволдакшномс|avoldakšnoms	<i>verb</i><br><ol><li>to wave</li><li>to besom, to sweep</li><li>to strike at</li><li>to nod</li><li>to grab</li><li>to overdo</li></ol>
аволдамс|avoldams	<i>verb</i><br><ol><li>to wave</li><li>to besom, to sweep</li><li>to strike at</li><li>to nod</li><li>to grab</li><li>to overdo</li></ol>
аволямс|avoljams	<i>verb</i><br><ol><li>to wave</li><li>to besom, to sweep</li><li>to strike at</li><li>to nod</li><li>to grab</li><li>to overdo</li></ol>
автемс|avtems	<i>verb</i><br><ol><li>to open</li></ol>
аель|aeľ	<i>noun</i><br><ol><li>girth, cinch</li></ol>
азор|azor	<i>noun</i><br><ol><li>master, owner</li></ol>
айгор|ajgor	<i>noun</i><br><ol><li>stallion</li></ol>
ал|al	<i>noun</i><br><ol><li>egg</li></ol>
ал ашо|al ašo	<i>noun</i><br><ol><li>egg white</li></ol>
алаша|alaša	<i>noun</i><br><ol><li>horse</li><li>gelding, hoss</li></ol>
ало|alo	<i>adj</i><br><ol><li>lower</li></ol>
аловбандт|alovbandt	<i>adv</i><br><ol><li>downhill,</li><li>on the wane, on the decrease</li></ol>
алойшть|alojštʹ	<i>adv</i><br><ol><li>very, extremely, highly</li></ol>
алтыма|altyma	<i>noun</i><br><ol><li>net, fishnet</li></ol>
алтюжа|altüža	<i>noun</i><br><ol><li>egg yolk</li></ol>
андомс|andoms	<i>verb</i><br><ol><li>feed</li></ol>
анок|anok	<i>adj</i><br><ol><li>ready</li></ol>
аравтыця|aravtycja	<i>noun</i><br><ol><li>film director</li></ol>
арво|arvo	<i>noun</i><br><ol><li>non-fermented mead, water with honey</li><li>nectar</li></ol><br><i>adj</i><br><ol><li>clean, pure</li></ol>
аргумне|argumne	<i>noun</i><br><ol><li>raven</li><li>Pegasus, winged horse (in Erzya mythology)</li></ol>
аржо|aržo	<i>noun</i><br><ol><li>black woodpecker</li></ol>
арсемапель|arsemapeľ	<i>noun</i><br><ol><li>(computing) computer</li></ol>
арт	<i>noun</i><br><ol><li>pattern, design, tracery</li><li>picture</li><li>image</li><li>photograph, photo</li></ol>
атя|atja	<i>noun</i><br><ol><li>elder, old man</li><li>husband</li></ol>
атявт|atjavt	<i>noun</i><br><ol><li>father-in-law (husband's father)</li></ol>
атякш|atjakš	<i>noun</i><br><ol><li>rooster, cock</li></ol>
атякшбуло|atjakšbulo	<i>noun</i><br><ol><li>cocktail</li></ol>
атярозь|atjarozʹ	<i>noun</i><br><ol><li>ergot</li></ol>
атятеште|atjatešte	<i>noun</i><br><ol><li>hellebore</li></ol>
ацерь|acerʹ	<i>noun</i><br><ol><li>(anatomy) A nerve.</li></ol>
ацерьке|acerʹke	<i>noun</i><br><ol><li>(anatomy) A neuron.</li></ol>
ашкал|aškal	<i>noun</i><br><ol><li>(zoology) European sturgeon, beluga</li></ol>
