A|a	<i>character</i><br><ol><li>The first letter of the Estonian alphabet, called aa and written in the Latin script.</li></ol>
Aada	<i>name</i><br><ol><li>Adah (biblical character)</li></ol>
Aadam	<i>name</i><br><ol><li>Adam (biblical character)</li></ol>
Aadria meri	<i>name</i><br><ol><li>The Adriatic Sea.</li></ol>
Aafrika|Aafrikast|Aafrikal|Aafrikas|Aafrikani|Aafrikalt|Aafrikatest|Aafrikatelt|Aafrikaks|Aafrikateta|Aafrikaisse|Aafrikatena|Aafrikais|Aafrikaga|Aafrikale|Aafrikailt|Aafrikaiks|Aafrikateni|Aafrikatega|Aafrikates|Aafrikate|Aafrikail|Aafrikateks|Aafrikasse|Aafrikaid|Aafrikata|Aafrikad|Aafrikatesse|Aafrikatele|Aafrikatel|Aafrikaist|Aafrikana|Aafrikat|Aafrikaile	<i>name</i><br><ol><li>Africa</li></ol>
Aaron	<i>name</i><br><ol><li>Aaron (biblical figure)</li></ol>
Aasa	<i>name</i><br><ol><li>Asa (Biblical figure)</li></ol>
Aasia|Aasiail|Aasiais|Aasiateks|Aasiatele|Aasias|Aasiaks|Aasiate|Aasiateni|Aasiaisse|Aasial|Aasiatest|Aasialt|Aasiani|Aasiaile|Aasiates|Aasiasse|Aasiatel|Aasiatesse|Aasiatega|Aasiaid|Aasiatelt|Aasiana|Aasiast|Aasiad|Aasiailt|Aasiaiks|Aasiatena|Aasiateta|Aasiaist|Aasiat|Aasiata|Aasiale|Aasiaga	<i>name</i><br><ol><li>Asia</li></ol>
Abhaasi NSV	<i>name</i><br><ol><li>Abkhazian SSR, a republic of the USSR from 1921 to 1931.</li></ol>
Abruka	<i>name</i><br><ol><li>Abruka</li></ol>
Afganistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Ahto	<i>name</i><br><ol><li>Variation of Ahti, god of waters in Finnish and Estonian mythology.</li></ol>
Ahvenamaa|Ahvenamaal|Ahvenamaadeta|Ahvenamailt|Ahvenamaist|Ahvenamaiks|Ahvenamaadeni|Ahvenamaana|Ahvenamaata|Ahvenamaadesse|Ahvenamaad|Ahvenamaalt|Ahvenamaile|Ahvenamaade|Ahvenamaaga|Ahvenamaale|Ahvenamaisse|Ahvenamaadest|Ahvenamaasse|Ahvenamaaks|Ahvenamaadeks|Ahvenamaas|Ahvenamaadena|Ahvenamaadega|Ahvenamaha|Ahvenamaani|Ahvenamaasid|Ahvenamail|Ahvenamaast|Ahvenamaadel|Ahvenamais|Ahvenamaadelt|Ahvenamaadele|Ahvenamaades|Ahvenamaid	<i>name</i><br><ol><li>Åland</li></ol>
Albaania|Albaanias|Albaaniast|Albaaniani|Albaaniasse|Albaaniaks|Albaaniaga|Albaanialt|Albaanial|Albaaniana|Albaaniat|Albaaniale|Albaaniata	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Alpid	<i>name</i><br><ol><li>Alps (a mountain range in Western Europe)</li></ol>
Alžeeria	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Alžiir	<i>name</i><br><ol><li>Algiers</li></ol>
Ameerika|Ameerikateta|Ameerikates|Ameerikad|Ameerikal|Ameerikalt|Ameerikaga|Ameerikaid|Ameerikani|Ameerikailt|Ameerikatel|Ameerikaisse|Ameerikateni|Ameerikana|Ameerikata|Ameerikast|Ameerikatelt|Ameerikat|Ameerikas|Ameerikaist|Ameerikaiks|Ameerikaks|Ameerikale|Ameerikatesse|Ameerikatest|Ameerikate|Ameerikatena|Ameerikail|Ameerikatele|Ameerikateks|Ameerikais|Ameerikaile|Ameerikatega|Ameerikasse	<i>name</i><br><ol><li>America</li></ol>
Ameerika Ühendriigid	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Ameerika Ühendriikide dollar	<i>noun</i><br><ol><li>US dollar</li></ol>
Amsterdam	<i>name</i><br><ol><li>Amsterdam (a city and municipality of North Holland, Netherlands; capital city of the Netherlands)</li></ol>
Andorra|Andorralt|Andorral|Andorrani|Andorrat|Andorraks|Andorrana|Andorrata|Andorrast|Andorrale|Andorras|Andorraga|Andorrasse	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Andorra la Vella	<i>name</i><br><ol><li>Andorra la Vella (the capital city of Andorra)</li></ol>
Andreas	<i>name</i><br><ol><li>Andrew (biblical figure)</li></ol>
Angola	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Antarktika|Antarktikani|Antarktikasse|Antarktikata|Antarktikalt|Antarktikaga|Antarktikale|Antarktikas|Antarktikal|Antarktikaks|Antarktikat|Antarktikana|Antarktikast	<i>name</i><br><ol><li>Antarctic (the region encompassing the continent of Antarctica and nearby islands)</li></ol>
Antarktis|Antarktistes|Antarktiselt|Antarktisilt|Antarktiseni|Antarktisteni|Antarktisel|Antarktisis|Antarktisil|Antarktiseks|Antarktise|Antarktises|Antarktistele|Antarktisega|Antarktisteks|Antarktist|Antarktistesse|Antarktised|Antarktistega|Antarktisist|Antarktisena|Antarktisile|Antarktisteta|Antarktisisse|Antarktisiks|Antarktisele|Antarktisesse|Antarktiste|Antarktisest|Antarktistena|Antarktisi|Antarktisse|Antarktiseta|Antarktistelt|Antarktistel|Antarktistest	<i>name</i><br><ol><li>Antarctica</li></ol>
Antigua ja Barbuda	<i>name</i><br><ol><li>Antigua and Barbuda (a country in the Caribbean)</li></ol>
Araabia|Araabiaiks|Araabiates|Araabialt|Araabiateni|Araabiana|Araabiatele|Araabiaks|Araabiaist|Araabiaisse|Araabiatelt|Araabiatena|Araabiaile|Araabiatel|Araabiad|Araabiateks|Araabiast|Araabiatest|Araabiat|Araabiateta|Araabias|Araabiale|Araabiani|Araabiail|Araabiata|Araabiailt|Araabial|Araabiatega|Araabiaga|Araabiasse|Araabiais|Araabiaid|Araabiatesse|Araabiate	<i>name</i><br><ol><li>Arabia</li></ol>
Araabia Ühendemiraadid	<i>name</i><br><ol><li>United Arab Emirates</li></ol>
Argentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Arktika	<i>name</i><br><ol><li>Arctic</li></ol>
Armeenia|Armeenialt|Armeeniata|Armeeniaks|Armeenias|Armeeniast|Armeenial|Armeeniasse|Armeeniana|Armeeniaga|Armeeniani|Armeeniale|Armeeniat	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Armeenia NSV	<i>name</i><br><ol><li>Armenian SSR, a republic of the USSR from 1936 to 1991.</li></ol>
Aruküla	<i>name</i><br><ol><li>Aruküla</li></ol>
Aserbaidžaan|Aserbaidžaanita|Aserbaidžaanis|Aserbaidžaanisse|Aserbaidžaaniga|Aserbaidžaaniks|Aserbaidžaanilt|Aserbaidžaanist|Aserbaidžaanina|Aserbaidžaanil|Aserbaidžaanile|Aserbaidžaanini|Aserbaidžaani	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Aserbaidžaani NSV	<i>name</i><br><ol><li>Azerbaijan SSR, a republic of the USSR from 1936 to 1991.</li></ol>
Aspergeri sündroom	<i>noun</i><br><ol><li>Asperger syndrome</li></ol>
Astana	<i>name</i><br><ol><li>Astana (the capital city of Kazakhstan)</li></ol>
Ateena	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
Atlandi ookean	<i>name</i><br><ol><li>the Atlantic Ocean</li></ol>
Austraalia	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Austria|Austriana|Austrialt|Austriata|Austrias|Austriaks|Austriaga|Austriale|Austriat|Austriani|Austriasse|Austriast|Austrial	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Aşgabat	<i>name</i><br><ol><li>Ashgabat (the capital city of Turkmenistan)</li></ol>
B|b	<i>character</i><br><ol><li>The second letter of the Estonian alphabet, called bee and written in the Latin script.</li></ol>
Bahama	<i>name</i><br><ol><li>Bahamas (an archipelago and country in the Caribbean)</li></ol>
Bakuu	<i>name</i><br><ol><li>Baku (the capital of Azerbaijan)</li></ol>
Baleaarid	<i>name</i><br><ol><li>Balearic Islands (an autonomous community and province of Spain)</li></ol>
Balti meri	<i>name</i><br><ol><li>(rare, not suggested) Baltic Sea</li></ol>
Baltimaad|Baltimail|Baltimaisse|Baltimaadega|Baltimaadena|Baltimaadesse|Baltimaadel|Baltimaasid|Baltimaadeks|Baltimaile|Baltimaadeta|Baltimaade|Baltimaist|Baltimaadeni|Baltimaadele|Baltimaid|Baltimailt|Baltimaades|Baltimaiks|Baltimais|Baltimaadest|Baltimaadelt	<i>name</i><br><ol><li>The Baltics.</li></ol>
Bangladesh	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Barbados	<i>name</i><br><ol><li>Barbados (an island and country in the Caribbean)</li></ol>
Belfast	<i>name</i><br><ol><li>Belfast (the capital city of Northern Ireland)</li></ol>
Belgia|Belgialt|Belgiailt|Belgiat|Belgiatele|Belgiaist|Belgiate|Belgiaks|Belgiates|Belgial|Belgiani|Belgiaid|Belgias|Belgiaisse|Belgiana|Belgiatest|Belgiateks|Belgiale|Belgiais|Belgiaiks|Belgiatega|Belgiasse|Belgiatel|Belgiateni|Belgiata|Belgiatesse|Belgiateta|Belgiad|Belgiast|Belgiatena|Belgiail|Belgiaile|Belgiaga|Belgiatelt	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Belgrad	<i>name</i><br><ol><li>Belgrade (the capital city of Serbia)</li></ol>
Belize	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Benin	<i>name</i><br><ol><li>Benin (a country in West Africa)</li></ol>
Berliin	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li><li>Berlin (a state of Germany, containing the capital city)</li></ol>
Bern	<i>name</i><br><ol><li>Bern (the capital city of Switzerland; capital city of Bern canton)</li><li>Bern (a canton of Switzerland)</li></ol>
Bhutan	<i>name</i><br><ol><li>Bhutan (a country in Asia)</li></ol>
Biškek	<i>name</i><br><ol><li>Bishkek (the capital of Kyrgyzstan)</li></ol>
Boliivia	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Bonn	<i>name</i><br><ol><li>Bonn (a city in North Rhine-Westphalia, Germany)</li></ol>
Bosnia|Bosniat|Bosnial|Bosniaga|Bosniaks|Bosnias|Bosniast|Bosniata|Bosniani|Bosniale|Bosnialt|Bosniana|Bosniasse	<i>name</i><br><ol><li>Bosnia (northern part of Bosnia and Herzegovina)</li></ol>
Bosnia ja Hertsegoviina|Bosniast ja Hertsegoviinast|Bosnialt ja Hertsegoviinalt|Bosnias ja Hertsegoviinas|Bosnia ja Hertsegoviinana|Bosnia ja Hertsegoviinani|Bosnial ja Hertsegoviinal|Bosniasse ja Hertsegoviina|Bosniaks ja Hertsegoviinaks|Bosnia ja Hertsegoviinata|Bosniat ja Hertsegoviinat|Bosnia ja Hertsegoviinaga|Bosniateni ja Hertsegoviinadeni|Bosniasse ja Hertsegoviinasse|Bosniale ja Hertsegoviinale	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Botswana	<i>name</i><br><ol><li>Botswana (a country in Africa)</li></ol>
Brasiilia	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Bratislava	<i>name</i><br><ol><li>Bratislava (the capital city of Slovakia)</li></ol>
Briti saared	<i>name</i><br><ol><li>British Isles</li></ol>
Brüssel	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Budapest	<i>name</i><br><ol><li>Budapest (the capital city of Hungary)</li></ol>
Bukarest	<i>name</i><br><ol><li>Bucharest (the capital city of Romania)</li></ol>
Bulgaaria|Bulgaariateta|Bulgaariates|Bulgaariaks|Bulgaariais|Bulgaariata|Bulgaariatega|Bulgaariaile|Bulgaariate|Bulgaarialt|Bulgaariaga|Bulgaariana|Bulgaariasse|Bulgaariateni|Bulgaariani|Bulgaariailt|Bulgaariateks|Bulgaarias|Bulgaarial|Bulgaariaisse|Bulgaariatelt|Bulgaariatesse|Bulgaariast|Bulgaariatele|Bulgaariaid|Bulgaariatest|Bulgaariatena|Bulgaariad|Bulgaariaiks|Bulgaariaist|Bulgaariale|Bulgaariail|Bulgaariatel|Bulgaariat	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
C|c	<i>character</i><br><ol><li>The third letter of the Estonian alphabet, called tsee and written in the Latin script.</li></ol>
Cardiff	<i>name</i><br><ol><li>Cardiff (a city and county, the capital and largest city of Wales)</li></ol>
Chișinău	<i>name</i><br><ol><li>Chisinau (a municipality, the capital city of Moldova)</li></ol>
D|d	<i>character</i><br><ol><li>The fourth letter of the Estonian alphabet, called dee and written in the Latin script.</li></ol>
Daan|Daaniga|Daaniks|Daanil|Daanist|Daanile|Daanini|Daanita|Daanina|Daanis|Daani|Daanilt|Daanisse	<i>name</i><br><ol><li>Dan, the fifth son of Jacob</li><li>one of the Twelve Tribes of Israel, descended from Dan</li></ol>
Diana	<i>name</i><br><ol><li>(Roman mythology) Diana</li></ol>
Dominikaani Vabariik	<i>name</i><br><ol><li>Dominican Republic (a country in the Caribbean)</li></ol>
Doonau	<i>name</i><br><ol><li>Danube</li></ol>
Dublin	<i>name</i><br><ol><li>Dublin (the capital city of Ireland)</li></ol>
Dušanbe	<i>name</i><br><ol><li>Dushanbe (the capital of Tajikistan)</li></ol>
E|e	<i>character</i><br><ol><li>The fifth letter of the Estonian alphabet, called ee and written in the Latin script.</li></ol>
Edinburgh	<i>name</i><br><ol><li>Edinburgh (the capital city of Scotland)</li><li>Edinburgh, City of Edinburgh (a council area of Scotland)</li></ol>
Eeden|Eedeneilt|Eedeneil|Eedeneis|Eedenitesse|Eedenilt|Eedenitest|Eedenina|Eedeniks|Eedenis|Eedeneile|Eedenitele|Eedenite|Eedeneiks|Eedenites|Eedenit|Eedenil|Eedenist|Eedeniteni|Eedeni|Eedenitega|Eedenid|Eedenini|Eedenitel|Eedeniteta|Eedenitelt|Eedeneisse|Eedenile|Eedeniteks|Eedenisse|Eedenita|Eedeneist|Eedeniga|Eedenitena|Eedeneid	<i>name</i><br><ol><li>(biblical) A garden serving as the home for Adam and Eve before they fall into sin.</li><li>(by extension) An idyllic, paradisiacal place on Earth.</li></ol>
Eelija	<i>name</i><br><ol><li>Elijah (Biblical figure)</li></ol>
Eesti|Eestiga|Eestisse|Eestiks|Eestina|Eestile|Eestil|Eestita|Eestit|Eestis|Eestini|Eestilt|Eestist	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Eesti NSV	<i>name</i><br><ol><li>Estonian SSR, a republic of the USSR from 1940 to 1991.</li></ol>
Eesti Nõukogude Sotsialistlik Vabariik	<i>name</i><br><ol><li>Estonian SSR</li></ol>
Eesti Vabariik	<i>name</i><br><ol><li>The Republic of Estonia</li></ol>
Eesti kroon	<i>noun</i><br><ol><li>The former currency of the Republic of Estonia</li></ol>
Eeva	<i>name</i><br><ol><li>Eve (wife of Adam)</li></ol>
Egiptus	<i>name</i><br><ol><li>Egypt</li></ol>
Elevandiluurannik	<i>name</i><br><ol><li>Ivory Coast, Côte d'Ivoire (a country in West Africa)</li></ol>
Eliisa	<i>name</i><br><ol><li>Elisha (biblical character)</li></ol>
Eliisabet	<i>name</i><br><ol><li>Elizabeth (biblical character)</li></ol>
Endla	<i>name</i><br><ol><li>A lake, famous in folk poetry, and a nature reserve in Jõgeva parish, Estonia.</li></ol>
Ester	<i>name</i><br><ol><li>Esther (biblical character)</li><li>the book of Esther</li></ol>
Etioopia	<i>name</i><br><ol><li>Ethiopia</li></ol>
Euraasia	<i>name</i><br><ol><li>Eurasia</li></ol>
Euripidese	<i>name</i><br><ol><li>Euripides</li></ol>
Euroopa|Euroopatele|Euroopat|Euroopates|Euroopail|Euroopaga|Euroopatega|Euroopateks|Euroopateni|Euroopatesse|Euroopasse|Euroopalt|Euroopate|Euroopais|Euroopana|Euroopatelt|Euroopale|Euroopast|Euroopatena|Euroopas|Euroopal|Euroopaisse|Euroopatel|Euroopateta|Euroopata|Euroopaile|Euroopaks|Euroopaiks|Euroopatest|Euroopailt|Euroopaist|Euroopad|Euroopani|Euroopaid	<i>name</i><br><ol><li>Europe</li></ol>
Euroopa Liit|Euroopa Liitudeta|Euroopa Liidu|Euroopa Liidusse|Euroopa Liidel|Euroopa Liiduks|Euroopa Liidesse|Euroopa Liite|Euroopa Liiduna|Euroopa Liitusid|Euroopa Liidus|Euroopa Liideks|Euroopa Liidule|Euroopa Liides|Euroopa Liiduta|Euroopa Liitudega|Euroopa Liidult|Euroopa Liitudel|Euroopa Liidust|Euroopa Liitudeni|Euroopa Liitudest|Euroopa Liitudena|Euroopa Liitudele|Euroopa Liidud|Euroopa Liitudeks|Euroopa Liidelt|Euroopa Liitudesse|Euroopa Liidest|Euroopa Liitude|Euroopa Liitudelt|Euroopa Liiduni|Euroopa Liidele|Euroopa Liitu|Euroopa Liiduga|Euroopa Liidul|Euroopa Liitudes	<i>name</i><br><ol><li>European Union</li></ol>
F|f	<i>character</i><br><ol><li>The sixth letter of the Estonian alphabet, called eff and written in the Latin script.</li></ol>
Falklandi saared	<i>name</i><br><ol><li>Falkland Islands (an archipelago and overseas territory of the United Kingdom, located in the South Atlantic)</li></ol>
Filipiinid	<i>name</i><br><ol><li>Philippines</li></ol>
Filippus	<i>name</i><br><ol><li>Philip (biblical apostle and deacon)</li></ol>
G|g	<i>character</i><br><ol><li>The seventh letter of the Estonian alphabet, called gee and written in the Latin script.</li></ol>
Georgia|Georgiatelt|Georgiailt|Georgiatesse|Georgiateta|Georgiani|Georgiate|Georgiaga|Georgiasse|Georgiaiks|Georgial|Georgiaisse|Georgiaid|Georgiateks|Georgiatest|Georgiateni|Georgiana|Georgiaile|Georgialt|Georgiata|Georgiail|Georgiaist|Georgiates|Georgiad|Georgias|Georgiais|Georgiaks|Georgiale|Georgiat|Georgiatega|Georgiast|Georgiatel|Georgiatele|Georgiatena	<i>name</i><br><ol><li>Georgia (a country in Europe and Asia)</li><li>Georgia (a state of the United States)</li></ol>
Getter	
Gruusia|Gruusiaist|Gruusiaile|Gruusiata|Gruusiat|Gruusiate|Gruusial|Gruusiail|Gruusiatest|Gruusiaga|Gruusias|Gruusiateni|Gruusiatena|Gruusiast|Gruusiatesse|Gruusiatel|Gruusiatelt|Gruusiateta|Gruusiatele|Gruusiaid|Gruusiais|Gruusiaisse|Gruusialt|Gruusiatega|Gruusiana|Gruusiates|Gruusiaiks|Gruusiateks|Gruusiani|Gruusiasse|Gruusiale|Gruusiailt|Gruusiaks|Gruusiad	<i>name</i><br><ol><li>Georgia</li></ol>
Gruusia NSV	<i>name</i><br><ol><li>Georgian SSR, a republic of the USSR from 1936 to 1991.</li></ol>
Gröönimaa	<i>name</i><br><ol><li>Greenland</li></ol>
H|h	<i>character</i><br><ol><li>The eighth letter of the Estonian alphabet, called haa or hašš and written in the Latin script.</li></ol>
Haapsalu	<i>name</i><br><ol><li>Haapsalu (a town in Estonia)</li></ol>
Hanna	<i>name</i><br><ol><li>Hannah (biblical character)</li><li>Anna (biblical prophetess)</li></ol>
Helsingi	<i>name</i><br><ol><li>Helsinki (the capital city of Finland)</li></ol>
Hertsegoviina|Hertsegoviinana|Hertsegoviinast|Hertsegoviinale|Hertsegoviinat|Hertsegoviinata|Hertsegoviinani|Hertsegoviinaga|Hertsegoviinal|Hertsegoviinaks|Hertsegoviinalt|Hertsegoviinas|Hertsegoviinasse	<i>name</i><br><ol><li>Herzegovina (southern part of Bosnia and Herzegovina)</li></ol>
Hiina	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Hiina Rahvavabariik	<i>name</i><br><ol><li>The People's Republic of China</li></ol>
Hiina Vabariik	<i>name</i><br><ol><li>The Republic of China</li></ol>
Hiiumaa	<i>name</i><br><ol><li>Hiiumaa (island)</li><li>Hiiu County in Estonia</li></ol>
Hispaania	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Horvaatia|Horvaatiailt|Horvaatiaist|Horvaatiaga|Horvaatiani|Horvaatial|Horvaatiaiks|Horvaatiateni|Horvaatialt|Horvaatiasse|Horvaatias|Horvaatiates|Horvaatiatel|Horvaatiateta|Horvaatiad|Horvaatiat|Horvaatiatesse|Horvaatiaid|Horvaatiaile|Horvaatiale|Horvaatiate|Horvaatiata|Horvaatiatest|Horvaatiatelt|Horvaatiaisse|Horvaatiatena|Horvaatiaks|Horvaatiatega|Horvaatiatele|Horvaatiail|Horvaatiast|Horvaatiateks|Horvaatiais|Horvaatiana	<i>name</i><br><ol><li>Croatia</li></ol>
Hypnos	<i>name</i><br><ol><li>(Greek mythology) Hypnos</li></ol>
I|i	<i>character</i><br><ol><li>The ninth letter of the Estonian alphabet, called ii and written in the Latin script.</li></ol>
Ida-Timor	<i>name</i><br><ol><li>East Timor</li></ol>
Iiri|Iiridele|Iirilt|Iiriga|Iirideta|Iiril|Iirina|Iirita|Iirini|Iirid|Iiridest|Iirile|Iirit|Iirist|Iirides|Iirisid|Iiride|Iiridega|Iirisse|Iirideni|Iiridena|Iiridel|Iiriks|lirit|Iiridelt|Iiris|Iiridesse|Iirideks	<i>name</i><br><ol><li>Clipping of Iirimaa.</li></ol>
Iiri meri	<i>name</i><br><ol><li>The Irish Sea.</li></ol>
Iirimaa|Iirimaile|Iirimaad|Iirimaadena|Iirimaist|Iirimaani|Iirimaasid|Iirimaaisse|Iirimail|Iirimaiks|Iirimaadel|Iirimaaks|Iirimaata|Iirimaadelt|Iirimaale|Iirimaana|Iirimaadeks|Iirimaaga|Iirimaid|Iirimaasse|Iirimaades|Iirimaadest|Iirimaadeni|lirimaad|Iirimaas|Iirimaal|Iirimailt|Iirimaade|Iirimaadele|Iirimaadega|Iirimaalt|Iirimais|Iirimaadeta|Iirimaast|Iirimaadesse	<i>name</i><br><ol><li>Ireland (an island in Europe)</li><li>Ireland (a country in Europe)</li></ol>
Iisak	<i>name</i><br><ol><li>Isaac (biblical character)</li></ol>
Iisrael	<i>name</i><br><ol><li>Israel</li></ol>
Illüüria	<i>name</i><br><ol><li>Illyria</li></ol>
Ilmjärv	<i>name</i><br><ol><li>Lake Ilmen</li></ol>
India ookean	<i>name</i><br><ol><li>Indian Ocean</li></ol>
Indoneesia	<i>name</i><br><ol><li>Indonesia</li></ol>
Inglismaa	<i>name</i><br><ol><li>England</li></ol>
Iraak	<i>name</i><br><ol><li>Iraq</li></ol>
Iraan	<i>name</i><br><ol><li>Iran</li></ol>
Iris	<i>name</i><br><ol><li>(Greek mythology) Iris</li></ol>
Island|Islande|Isilisse|Isililt|Islandideta|Isilina|Isileks|Islandidele|Islandideks|Islandidelt|Isilile|Islandisid|Isilist|Isilesse|Islandidesse|Islandide|Isili|Isilest|Isilele|Isilel|Islandideni|Islandidel|Islandi|Islandidest|Islandides|Islandidega|Isilita|Isilelt|Isiliga|Isilini|Islandidena|Isiliks|Isilis|Isilid|Isilil|Isiles	<i>name</i><br><ol><li>Iceland (a country in Europe)</li><li>Iceland (island)</li></ol>
Islandi Vabariik	<i>name</i><br><ol><li>The Republic of Iceland</li></ol>
Itaalia|Itaaliad|Itaaliasse|Itaaliast|Itaaliateni|Itaalias|Itaaliateta|Itaaliates|Itaaliat|Itaaliailt|Itaalial|Itaaliateks|Itaaliatesse|Itaaliatega|Itaaliatel|Itaaliale|Itaaliaga|Itaaliaks|Itaaliatele|Itaaliaid|Itaaliatena|Itaaliate|Itaalialt|Itaaliaiks|Itaaliaisse|Itaaliaist|Itaaliatelt|Itaaliatest|Itaaliais|Itaaliana|Itaaliaile|Itaaliail|Itaaliata|Itaaliani	<i>name</i><br><ol><li>Italy</li></ol>
J|j	<i>character</i><br><ol><li>The tenth letter of the Estonian alphabet, called jott and written in the Latin script.</li></ol>
Jaakob	<i>name</i><br><ol><li>Jacob (biblical character).</li></ol>
Jaakobus	<i>name</i><br><ol><li>James (Biblical figure)</li></ol>
Jaapan	<i>name</i><br><ol><li>Japan</li></ol>
Jaapani meri	<i>name</i><br><ol><li>Sea of Japan</li></ol>
Janus	<i>name</i><br><ol><li>(Roman mythology) Janus</li></ol>
Jeemen	<i>name</i><br><ol><li>Yemen</li></ol>
Jeesus	<i>name</i><br><ol><li>Jesus</li></ol>
Jehoova	<i>name</i><br><ol><li>Jehovah</li></ol>
Jehoova tunnistaja|Jehoova tunnistajat	<i>noun</i><br><ol><li>Jehovah's Witness</li></ol>
Jerevan	<i>name</i><br><ol><li>Yerevan (the capital city of Armenia)</li></ol>
Joel	<i>name</i><br><ol><li>(biblical) Joel.</li></ol>
Johanna	<i>name</i><br><ol><li>(biblical) Joanna</li></ol>
Johannes	<i>name</i><br><ol><li>(biblical) John.</li></ol>
Joona	<i>name</i><br><ol><li>(biblical) Jonah</li></ol>
