А|а	<i>character</i><br><ol><li>The first letter of the Evenki alphabet, written in the Cyrillic script.</li></ol>
авгара|awgara	<i>adj</i><br><ol><li>healthy</li></ol><br><i>noun</i><br><ol><li>health</li></ol>
авданна|awdanna	<i>noun</i><br><ol><li>leaf</li></ol>
авду|awdu	<i>noun</i><br><ol><li>cattle</li></ol>
авми|awmī|авмӣ|а̄вмӣ|āwmī	<i>verb</i><br><ol><li>(transitive) to wash</li><li>(intransitive) to bathe</li><li>(transitive) to wipe</li><li>(transitive) to get wet</li><li>(transitive) to add</li></ol>
авса|awsa	<i>noun</i><br><ol><li>box (container)</li></ol>
авун|awun	<i>noun</i><br><ol><li>hat</li></ol>
агды|agdi	<i>noun</i><br><ol><li>thunder</li><li>storm</li><li>lightning</li></ol>
ады|adi	<i>pron</i><br><ol><li>how many</li></ol>
ака|akā|ака̄	<i>noun</i><br><ol><li>Zeya-dialect form of акӣн (akīn, “elder brother”)</li></ol>
акин|akin	<i>noun</i><br><ol><li>elder brother</li></ol>
ала|ala	<i>adj</i><br><ol><li>sweet</li></ol>
алагуми|alagūmī|алагӯмӣ	<i>verb</i><br><ol><li>(transitive) to teach</li></ol>
алатми|alātmī|ала̄тмӣ	<i>verb</i><br><ol><li>(transitive) to await</li><li>(intransitive) to wait</li></ol>
алта|alta	<i>noun</i><br><ol><li>gold</li></ol>
амака|amāka|ама̄ка	<i>noun</i><br><ol><li>bear</li></ol>
ами|amī|а̄мӣ|āmī|амӣ	<i>noun</i><br><ol><li>father, dad (used when addressing one's father)</li><li>sleep</li></ol><br><i>verb</i><br><ol><li>(intransitive) to sleep</li></ol>
амин|amin	<i>noun</i><br><ol><li>father</li></ol>
амта|amta	<i>noun</i><br><ol><li>taste</li></ol>
амут|а̄мут|āmut	<i>noun</i><br><ol><li>lake</li></ol>
амңа|amŋa|амӈа	<i>noun</i><br><ol><li>mouth</li></ol>
анда|anda	<i>noun</i><br><ol><li>friend</li></ol>
анңани	<i>noun</i><br><ol><li>year</li></ol>
араки|araki	<i>noun</i><br><ol><li>liquor</li><li>wine</li></ol>
арба|arba	<i>adj</i><br><ol><li>shallow</li></ol>
асаки|asaki	<i>noun</i><br><ol><li>wing</li></ol>
асаткан|asatkan	<i>noun</i><br><ol><li>girl</li></ol>
аси|asi	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
асикта|asikta	<i>noun</i><br><ol><li>fir</li></ol>
ачакта|açakta	<i>noun</i><br><ol><li>maple</li></ol>
ачин|açin	<i>adv</i><br><ol><li>no; not</li></ol>
багдавки|багдавкӣ|bagdawkī	<i>noun</i><br><ol><li>swan</li></ol>
багдама|bagdama	<i>adj</i><br><ol><li>white</li></ol>
бадялаки|baʒalaki	<i>noun</i><br><ol><li>frog</li></ol>
балдыми|baldīmī|балды̄мӣ	<i>verb</i><br><ol><li>(intransitive) to be born</li><li>(intransitive) to live</li><li>(intransitive) to bear (a child or young)</li><li>(intransitive, of animals or plants) to grow</li></ol>
баян|bajan	<i>adj</i><br><ol><li>rich</li></ol>
бебевки|бебевкӣ|bebewkī	<i>noun</i><br><ol><li>sheep</li></ol>
бега|bēga|бе̄га	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
белика|бе̄лика|bēlika	<i>noun</i><br><ol><li>swallow (bird)</li></ol>
беру|beru	<i>noun</i><br><ol><li>sheep</li></ol>
би|bi	<i>pron</i><br><ol><li>I (personal pronoun)</li></ol>
билэ|bilə	<i>noun</i><br><ol><li>place</li></ol>
бими|бимӣ|bimī	<i>verb</i><br><ol><li>(copulative) to be</li><li>(intransitive) to be</li><li>(intransitive) to live</li></ol>
бира|bira	<i>noun</i><br><ol><li>river</li></ol>
бираг|birag	<i>noun</i><br><ol><li>river</li></ol>
бичэкэй|biçəkəj	<i>noun</i><br><ol><li>spleen</li></ol>
бокан|бо̄ка̄н|bōkān	<i>noun</i><br><ol><li>thigh</li></ol>
бокта|бо̄кта|bōkta|bokta	<i>noun</i><br><ol><li>hail</li></ol>
болгиг|bolgig	<i>noun</i><br><ol><li>hazel</li></ol>
болони|boloņi	<i>noun</i><br><ol><li>autumn</li></ol>
босокто|bosokto	<i>noun</i><br><ol><li>kidney</li></ol>
бу|bu	<i>pron</i><br><ol><li>we</li></ol>
буга|buga	<i>noun</i><br><ol><li>sky, heaven</li><li>world</li></ol>
булми|булмӣ|bulmī	<i>verb</i><br><ol><li>(intransitive) to be dying</li><li>(transitive) to pet</li><li>(transitive) to wash (clothes)</li><li>(transitive) to smear</li><li>(transitive) to smoothen; to straighten</li></ol>
бултумэ|bultumə	<i>adj</i><br><ol><li>slippery</li></ol>
булэн|bulən	<i>noun</i><br><ol><li>enemy</li></ol>
буми|bumi	<i>verb</i><br><ol><li>to give</li></ol>
буни|бунӣ|buņī	<i>noun</i><br><ol><li>death</li><li>corpse</li></ol>
бургу|burgu	<i>adj</i><br><ol><li>thick, fat</li></ol>
бурдук|burduk	<i>noun</i><br><ol><li>flour</li><li>bread</li></ol>
бэе|bəje	<i>noun</i><br><ol><li>man</li></ol>
бэйңэ|beynge	<i>noun</i><br><ol><li>wild animal</li></ol>
бэйӈо|bəjŋo	<i>noun</i><br><ol><li>wild deer</li></ol>
бэюн|bəjun	<i>noun</i><br><ol><li>animal</li></ol>
вами|ва̄мӣ|wāmī	<i>verb</i><br><ol><li>(transitive) to catch (on a hunt)</li><li>(transitive) to kill</li><li>(transitive) to bruise (a limb)</li></ol>
гаг|gag	<i>noun</i><br><ol><li>swan</li></ol>
гаки|gaki	<i>noun</i><br><ol><li>crow</li></ol>
гами|гамӣ|gamī	<i>verb</i><br><ol><li>(transitive) to take</li><li>(transitive) to receive</li><li>(transitive) to buy</li><li>(transitive) to remove</li><li>(intransitive) to use two poles to push oneself through water while sitting on the stern of a hunting canoe</li></ol>
гара|gara	<i>noun</i><br><ol><li>branch</li></ol>
ге|gē|ге̄	<i>adj</i><br><ol><li>other, another</li><li>second</li><li>following, next, new</li><li>reverse</li></ol>
гивчэн|giwçən	<i>noun</i><br><ol><li>wild goat</li><li>roe deer</li></ol>
гида|gida	<i>noun</i><br><ol><li>spear</li></ol>
гирамна|giramna	<i>noun</i><br><ol><li>bone</li></ol>
гирки|girki	<i>noun</i><br><ol><li>friend</li></ol>
гирку|girku	<i>noun</i><br><ol><li>wolf</li></ol>
гиркуми|girkumī|гиркумӣ	<i>verb</i><br><ol><li>(intransitive) to step</li><li>(intransitive) to walk</li></ol>
горо|goro	<i>adj</i><br><ol><li>far, distant, remote</li></ol>
городу|gorodu	<i>adv</i><br><ol><li>far</li></ol>
гугда|gugda	<i>adj</i><br><ol><li>high</li></ol>
гулдука|gulduka	<i>noun</i><br><ol><li>thigh</li></ol>
гулэ|gulə	<i>noun</i><br><ol><li>house</li></ol>
гунми|гӯнмӣ|gūnmī	<i>verb</i><br><ol><li>(transitive) to say</li><li>(transitive) to reply</li></ol>
гургакта|gurgakta	<i>noun</i><br><ol><li>beard</li></ol>
гускэ|guskə	<i>noun</i><br><ol><li>wolf</li></ol>
гуткэн|гуткэ̄н|gutkə̄n	<i>noun</i><br><ol><li>pike (fish)</li></ol>
гуткэчэн|gutkəçən	<i>noun</i><br><ol><li>pike (fish)</li></ol>
гэвун|gəwun	<i>noun</i><br><ol><li>oar, paddle</li></ol>
гэлэми|гэлэмӣ|gələmī	<i>verb</i><br><ol><li>(transitive) to ask; to beg</li><li>(transitive) to demand</li><li>(transitive) to wish; to want</li><li>(transitive) to be bored</li></ol>
гэмургэн|gəmurgən	<i>noun</i><br><ol><li>clavicle</li></ol>
гэрби|gərbī|гэрбӣ	<i>noun</i><br><ol><li>name</li><li>reputation</li></ol>
гэчипчу|gəçipçu	<i>adj</i><br><ol><li>bitter</li></ol>
давладеми|dawlāʒemī|давла̄демӣ	<i>verb</i><br><ol><li>(transitive, intransitive) to sing</li></ol>
давлами|давла̄мӣ|dawlāmī	<i>verb</i><br><ol><li>(transitive) to sing (long songs)</li></ol>
дага|daga	<i>adv</i><br><ol><li>near</li></ol>
даран|daran	<i>noun</i><br><ol><li>row</li></ol>
девми|девмӣ|ʒewmī	<i>verb</i><br><ol><li>(transitive) to eat</li></ol>
дег|ʒeg	<i>noun</i><br><ol><li>chin</li></ol>
дегдэми|дегдэмӣ|ʒegdəmī	<i>verb</i><br><ol><li>(transitive) to burn</li><li>(intransitive) to burn</li></ol>
