A	<i>character</i><br><ol><li>The first letter of the Fijian alphabet, written in the Latin script.</li></ol>
Adelaidi	<i>name</i><br><ol><li>Adelaide (the capital of South Australia, Australia)</li></ol>
Aferika	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Ailadi	<i>name</i><br><ol><li>Ireland (an island and country in Europe)</li></ol>
Aisiladi	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Ajenitina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Alabenia	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Amerika	<i>name</i><br><ol><li>America (a continent)</li></ol>
Aqari	<i>name</i><br><ol><li>Hungary (a country in Europe)</li></ol>
Belijiume	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Birisibeni	<i>name</i><br><ol><li>Brisbane (the capital of Queensland, Australia).</li></ol>
Epereli	<i>name</i><br><ol><li>April</li></ol>
Esia	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Filipaini	<i>name</i><br><ol><li>the Philippines (a country in Asia)</li></ol>
Hitila	<i>name</i><br><ol><li>Hitler</li></ol>
Idia	<i>name</i><br><ol><li>India (a country in Asia)</li></ol>
Idonisia	<i>name</i><br><ol><li>Indonesia (a country in Asia)</li></ol>
Iemeni	<i>name</i><br><ol><li>Yemen (a country in Asia)</li></ol>
Igiladi	<i>name</i><br><ol><li>England (a constituent country of the United Kingdom)</li></ol>
Ijipita	<i>name</i><br><ol><li>Egypt (a country in Africa)</li></ol>
Irani	<i>name</i><br><ol><li>Iran (a country in Asia)</li></ol>
Isireli	<i>name</i><br><ol><li>Israel (a country in Asia)</li></ol>
Itali	<i>name</i><br><ol><li>Italy (a country in Europe)</li></ol>
Iurope	<i>name</i><br><ol><li>Europe (a continent)</li></ol>
Jaina	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Jamani	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Janueri	<i>name</i><br><ol><li>January</li></ol>
Japani	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Jiulai	<i>name</i><br><ol><li>July</li></ol>
Joritani	<i>name</i><br><ol><li>Jordan (a country in Asia)</li></ol>
June	<i>name</i><br><ol><li>June</li></ol>
Kabera	<i>name</i><br><ol><li>Canberra (the capital city of Australia)</li></ol>
Karaisijeji	<i>name</i><br><ol><li>Christchurch (a city in New Zealand)</li></ol>
Karisi	<i>name</i><br><ol><li>Greece (a country in Europe)</li></ol>
Katari	<i>name</i><br><ol><li>Qatar (a country in Asia)</li></ol>
Kenada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Kolobia	<i>name</i><br><ol><li>Colombia (a country in South America)</li></ol>
Lepanoni	<i>name</i><br><ol><li>Lebanon (a country in Asia)</li></ol>
Lituani	<i>name</i><br><ol><li>Lithuania (a country in Europe)</li></ol>
Madaqasika	<i>name</i><br><ol><li>Madagascar (a country in Africa)</li></ol>
Maji	<i>name</i><br><ol><li>March</li></ol>
Makogai	<i>name</i><br><ol><li>Makogai (an island in Fiji)</li></ol>
Malesia	<i>name</i><br><ol><li>Malaysia (a country in Asia)</li></ol>
Malevani	<i>name</i><br><ol><li>Melbourne (the capital of Victoria, Australia).</li></ol>
May	<i>name</i><br><ol><li>May</li></ol>
Mekisiko	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
Moqolia	<i>name</i><br><ol><li>Mongolia (a country in Asia)</li></ol>
Moroko	<i>name</i><br><ol><li>Morocco (a country in Africa)</li></ol>
Na Vosa Vakaviti	<i>name</i><br><ol><li>The Fijian language.</li></ol>
Niukaseli	<i>name</i><br><ol><li>Newcastle (a city in New South Wales, Australia)</li><li>Any other city called Newcastle</li></ol>
Niusiladi	<i>name</i><br><ol><li>New Zealand (a country in Oceania)</li></ol>
Noveba	<i>name</i><br><ol><li>November</li></ol>
Nowei	<i>name</i><br><ol><li>Norway (a country in Europe)</li></ol>
Odurasi	<i>name</i><br><ol><li>Honduras (a country in North America)</li></ol>
Okaladi	<i>name</i><br><ol><li>Auckland (a city in New Zealand).</li></ol>
Okosita	<i>name</i><br><ol><li>August</li></ol>
Okotova	<i>name</i><br><ol><li>October</li></ol>
Ositerelia	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Ositiria	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Palisitaina	<i>name</i><br><ol><li>Palestine (a country in Asia)</li></ol>
Pefa	<i>name</i><br><ol><li>Perth (the capital of Western Australia, Australia)</li></ol>
Poladi	<i>name</i><br><ol><li>Poland (a country in Europe)</li></ol>
Potukali	<i>name</i><br><ol><li>Portugal (a country in Europe)</li></ol>
Rusi	<i>name</i><br><ol><li>Russia (a country in Europe and Asia)</li></ol>
Serene	<i>name</i><br><ol><li>Sydney (the capital of New South Wales, Australia).</li></ol>
Seviteba	<i>name</i><br><ol><li>September</li></ol>
Siga Tabu	<i>noun</i><br><ol><li>Sunday</li></ol>
Sikoteladi	<i>name</i><br><ol><li>Scotland (a constituent country of the United Kingdom)</li></ol>
Sipeini	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Suva	<i>name</i><br><ol><li>The capital city of Fiji.</li></ol>
Tisaili	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Tiseba	<i>name</i><br><ol><li>December</li></ol>
Toga	<i>name</i><br><ol><li>Tonga (a country in Oceania)</li></ol>
Toki	<i>name</i><br><ol><li>Turkey (a country in Europe and Asia)</li></ol>
Ukuredi	<i>name</i><br><ol><li>Ukraine (a country in Europe)</li></ol>
