Alemagnes	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Aoûta	<i>name</i><br><ol><li>Aosta (a city in Aosta Valley, Italy)</li></ol>
Armènia	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Azèrbayidjan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Bièlorussia	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Brèsil	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Bèlgica	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Canada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Chalendes	<i>noun</i><br><ol><li>Christmas</li></ol>
Châtelyon	<i>name</i><br><ol><li>Châtillon (a town in Aosta Valley, Italy)</li></ol>
Cipro	<i>name</i><br><ol><li>Cyprus (a country in Europe)</li></ol>
Cosovo	<i>name</i><br><ol><li>Kosovo (a country in Europe)</li></ol>
Croacia	<i>name</i><br><ol><li>Croatia (a country in Europe)</li></ol>
Croméyeui	<i>name</i><br><ol><li>Courmayeur (a town in Aosta Valley, Italy)</li></ol>
Danemârc	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Enda	<i>name</i><br><ol><li>India (a country in Asia)</li></ol>
Finlanda	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
France	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Goatemala	<i>name</i><br><ol><li>Guatemala (a country in North America)</li></ol>
Groenland	<i>name</i><br><ol><li>Greenland (an autonomous territory of Denmark)</li></ol>
Grèssan	<i>name</i><br><ol><li>Gressan (a town in Aosta Valley, Italy)</li></ol>
Grèça	<i>name</i><br><ol><li>Greece (a country in Europe)</li></ol>
Hongries	<i>name</i><br><ol><li>Hungary (a country in Europe)</li></ol>
Irlanda	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Islanda	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Jorgia	<i>name</i><br><ol><li>Georgia (a country in Europe and Asia)</li></ol>
Kènia	<i>name</i><br><ol><li>Kenya (a country in Africa)</li></ol>
Lituania	<i>name</i><br><ol><li>Lithuania (a country in Europe)</li></ol>
Lussembôrg	<i>name</i><br><ol><li>Luxembourg (a country in Europe)</li></ol>
Lètonia	<i>name</i><br><ol><li>Latvia (a country in Europe)</li></ol>
Mexique	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
