'save	<i>noun</i><br><ol><li>A toad.</li><li>A washbasin.</li></ol>
A	<i>character</i><br><ol><li>The first letter of the Friulian alphabet, written in the Latin script.</li></ol>
Abruç	<i>name</i><br><ol><li>Abruzzo</li></ol>
Achil	<i>name</i><br><ol><li>(Greek mythology) Achilles</li></ol>
Afrodite	<i>name</i><br><ol><li>(Greek mythology) Aphrodite</li></ol>
Andalusie	<i>name</i><br><ol><li>Andalusia (an autonomous community of Spain)</li></ol>
Anticrist	<i>name</i><br><ol><li>Antichrist</li></ol>
Aoste	<i>name</i><br><ol><li>Aosta</li></ol>
Arabie	<i>name</i><br><ol><li>Arabia</li></ol>
Aragon	<i>name</i><br><ol><li>Aragon (an autonomous community of Spain)</li></ol>
Asie	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Australie	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Austrie	<i>name</i><br><ol><li>Austria</li></ol>
Avost	<i>noun</i><br><ol><li>August</li></ol>
Avrîl	<i>noun</i><br><ol><li>April</li></ol>
Bulgarie	<i>name</i><br><ol><li>Bulgaria</li></ol>
Calabrie	<i>name</i><br><ol><li>Calabria</li></ol>
Campanie	<i>name</i><br><ol><li>Campania</li></ol>
Catalogne	<i>name</i><br><ol><li>Catalonia</li></ol>
Cine	<i>name</i><br><ol><li>China</li></ol>
Cipri	<i>name</i><br><ol><li>Cyprus</li></ol>
Colombie	<i>name</i><br><ol><li>Colombia (a country in South America)</li></ol>
Coree	<i>name</i><br><ol><li>Korea</li></ol>
Crete	<i>name</i><br><ol><li>Crete</li></ol>
Cube	<i>name</i><br><ol><li>Cuba</li></ol>
Dicembar	<i>noun</i><br><ol><li>December</li></ol>
Dionis	<i>name</i><br><ol><li>(Greek mythology) Dionysus (the Greek god of wine)</li></ol>
Diu	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Emilie	<i>name</i><br><ol><li>Emilia</li></ol>
Estonie	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Etrurie	<i>name</i><br><ol><li>Etruria</li></ol>
Europe	<i>name</i><br><ol><li>Europe (a continent)</li></ol>
Fevrâr	<i>noun</i><br><ol><li>February</li></ol>
Florence	<i>name</i><br><ol><li>Florence</li></ol>
France	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Friûl	<i>name</i><br><ol><li>Friuli</li></ol>
Galizie	<i>name</i><br><ol><li>Galicia (an autonomous community of Spain)</li><li>Galicia (historical Central European kingdom)</li></ol>
Genâr	<i>noun</i><br><ol><li>January</li></ol>
Gjenue	<i>name</i><br><ol><li>Genoa</li></ol>
Grecie	<i>name</i><br><ol><li>Greece</li></ol>
Istrie	<i>name</i><br><ol><li>Istria</li></ol>
Italie	<i>name</i><br><ol><li>Italy (a country in Europe)</li></ol>
Jugn	<i>noun</i><br><ol><li>June</li></ol>
Lazi	<i>name</i><br><ol><li>Lazio</li></ol>
Letonie	<i>name</i><br><ol><li>Latvia (a country in Europe)</li></ol>
Ligurie	<i>name</i><br><ol><li>Liguria</li></ol>
Lituanie	<i>name</i><br><ol><li>Lithuania</li></ol>
Lombardie	<i>name</i><br><ol><li>Lombardy</li></ol>
Lui	<i>noun</i><br><ol><li>July</li></ol>
Mai	<i>noun</i><br><ol><li>May</li></ol>
Malte	<i>name</i><br><ol><li>Malta</li></ol>
Marcjis	<i>name</i><br><ol><li>Marche (Italian region)</li></ol>
Març	<i>noun</i><br><ol><li>March</li></ol>
Milan	<i>name</i><br><ol><li>Milan</li></ol>
Molîs	<i>name</i><br><ol><li>Molise</li></ol>
Mongolie	<i>name</i><br><ol><li>Mongolia</li></ol>
Nadâl	<i>name</i><br><ol><li>Christmas</li></ol>
Napoli	<i>name</i><br><ol><li>Naples</li></ol>
Novembar	<i>noun</i><br><ol><li>November</li></ol>
Oceanie	<i>name</i><br><ol><li>Oceania (a continent)</li></ol>
Otubar	<i>noun</i><br><ol><li>October</li></ol>
Pasche	<i>noun</i><br><ol><li>Easter</li></ol>
Piemont	<i>name</i><br><ol><li>Piedmont</li></ol>
