A|a	<i>character</i><br><ol><li>The first letter of the Fula alphabet, called a and written in the Latin script.</li></ol>
Boɗaaɗo|Woɗaaɓe ɓe|Boɗaaɗo o|Woɗaaɓe	<i>noun</i><br><ol><li>member of a subgroup of nomadic Fulas native to the eastern Sahel.</li></ol>
Fulfulde	<i>name</i><br><ol><li>Fula language</li></ol>
Haalpulaar|Haalpulaar o|Haalpulaar'en|Haalpulaar'en ɓe	<i>noun</i><br><ol><li>a person who speaks Pulaar or Pular</li><li>a member of the Toucouleur people</li></ol>
Motti	<i>name</i><br><ol><li>Mopti (a city in central Mali)</li></ol>
Pulaar	<i>name</i><br><ol><li>Fula language</li></ol>
Pular	<i>name</i><br><ol><li>Fula language</li></ol>
Pullo|Fulɓe ɓe|Pullo o|Fulɓe	<i>noun</i><br><ol><li>a member of the Fula people</li></ol>
Teenengu	<i>name</i><br><ol><li>Tenenkou (a town in central Mali)</li></ol>
a|A	<i>character</i><br><ol><li>The first letter of the Fula alphabet, written in the Latin script.</li></ol><br><i>pron</i><br><ol><li>you (second person singular subject pronoun; short form)</li></ol>
aada|aada o|aadaaji ɗi	<i>noun</i><br><ol><li>custom, tradition</li></ol>
aadagol	<i>verb</i><br><ol><li>(intransitive) to make a decision, decide</li><li>to conclude an accord, make an agreement, give one's word</li></ol>
aadanagol	<i>verb</i><br><ol><li>(transitive) to commit oneself, to promise (to do something), to swear</li></ol>
aaden|aaden o	<i>noun</i><br><ol><li>human, person</li></ol>
aadi|aadi o|aadiiji|aadiiji ɗi	<i>noun</i><br><ol><li>covenant, pact</li></ol>
aafiya|aafiya o	<i>noun</i><br><ol><li>health, well-being</li></ol>
aahiijo|aahiijo o|aahiiɓe ɓe	<i>noun</i><br><ol><li>a Quran student</li></ol>
aala|aala o	<i>noun</i><br><ol><li>tool, instrument</li></ol>
aali|aaliiɓe ɓe	<i>noun</i><br><ol><li>family, clan, lineage</li></ol>
aan	<i>pron</i><br><ol><li>you (second person singular emphatic pronoun)</li></ol>
aanyeere|aanyeere nde|aanyeeje ɗe	<i>noun</i><br><ol><li>grave, tomb</li></ol>
aawdi|aawdi ndi|aawɗi ɗi|awdiiji ɗi|aawdiiji ɗi|awdi|awdi ndi	<i>noun</i><br><ol><li>seed (that which is sown or planted)</li></ol>
aawoowo	<i>noun</i><br><ol><li>sower</li></ol>
aawugol	<i>verb</i><br><ol><li>(transitive) to sow, to plant seed</li></ol>
abada	<i>adv</i><br><ol><li>never</li></ol>
abadan	<i>adv</i><br><ol><li>never</li></ol>
abbere|gabbe	<i>noun</i><br><ol><li>grain, seed</li></ol>
