A Baña	<i>name</i><br><ol><li>A town and municipality of A Coruña, Galicia, Spain.</li><li>A parish of A Baña, A Coruña, Galicia.</li></ol>
A Capela	<i>name</i><br><ol><li>A municipality of A Coruña, Galicia, Spain.</li><li>A parish of A Capela, A Coruña, Galicia.</li></ol>
A Coruña	<i>name</i><br><ol><li>A Coruña (a province of Galicia, Spain; capital: A Coruña)</li><li>A Coruña (a city in A Coruña, Galicia, Spain)</li></ol>
A Rioxa	<i>name</i><br><ol><li>La Rioja (an autonomous community and province of Spain)</li></ol>
ADN	<i>noun</i><br><ol><li>(biochemistry) Initialism of ácido desoxirribonucleico. DNA (deoxyribonucleic acid)</li></ol>
AFI	<i>name</i><br><ol><li>IPA; Acronym of Alfabeto Fonético Internacional (“International Phonetic Alphabet”).</li></ol>
AQS	<i>noun</i><br><ol><li>Initialism of auga quente sanitaria.</li></ol>
ARIM	<i>name</i><br><ol><li>Acronym of Antiga República Iugoslava da Macedonia (FYROM, former Yugoslav Republic of Macedonia)</li></ol>
ARN	<i>noun</i><br><ol><li>(biochemistry, genetics) RNA</li></ol>
ATP	<i>noun</i><br><ol><li>(biochemistry) Initialism of adenosín trifosfato (“ATP”).</li></ol>
Abanqueiro	<i>name</i><br><ol><li>A parish of Boiro, A Coruña, Galicia.</li></ol>
Abkhazia	<i>name</i><br><ol><li>Abkhazia</li></ol>
Abruzos	<i>name</i><br><ol><li>Abruzzo (a region of Italy)</li></ol>
Acerbaixán	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Afganistán	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrodita	<i>name</i><br><ol><li>Aphrodite</li></ol>
Albania	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Albarde	<i>name</i><br><ol><li>A locality in Sabugueira parish, Santiago de Compostela, A Coruña, Galicia</li><li>A locality in Atán parish, Pantón, A Coruña, Galicia</li></ol>
Alcobre	<i>name</i><br><ol><li>A village in Piloño parish, Vila de Cruces, Pontevedra, Galicia.</li><li>a toponymical surname</li></ol>
Aldariz	<i>name</i><br><ol><li>A village in Padriñán parish, Sanxenxo, Pontevedra, Galicia</li><li>a toponymical surname</li></ol>
Aldarís	<i>name</i><br><ol><li>A village in Fruíme parish, Lousame, A Coruña, Galicia</li></ol>
Aldemunde	<i>name</i><br><ol><li>A parish of Carballo, A Coruña, Galicia</li><li>Aldemunde de Arriba (a village in Aldemunde parish, Carballo, A Coruña, Galicia)</li><li>Aldemunde de Abaixo (a village in Aldemunde parish, Carballo, A Coruña, Galicia)</li><li>a toponymical surname</li></ol>
Aldobrén	<i>name</i><br><ol><li>A village in Lamas de Moreira parish, A Fonsagrada, Lugo, Galicia.</li></ol>
Alemaña	<i>name</i><br><ol><li>Germany</li></ol>
Alemparte	<i>name</i><br><ol><li>A parish of Lalín, Pontevedra, Galicia.</li><li>a number of villages throughout Galicia</li><li>a toponymical surname</li></ol>
Alexandría	<i>name</i><br><ol><li>Alexandria (a city in Egypt)</li></ol>
Alfabeto Fonético Internacional	<i>name</i><br><ol><li>International Phonetic Alphabet</li></ol>
Allariz	<i>name</i><br><ol><li>A town and municipality of Ourense, Galicia, Spain.</li><li>A parish of Allariz, Ourense, Galicia.</li><li>A village in San Román parish, Lugo, Lugo, Galicia.</li><li>A village in San Tomé de Piñeiro parish, Marín, Pontevedra, Galicia.</li></ol>
Almariz	<i>name</i><br><ol><li>A village in Santo André de Penosiños, Ramirás, Ourense, Galicia.</li></ol>
Almofrei	<i>name</i><br><ol><li>A parish of Cerdedo-Cotobade, Pontevedra, Galicia.</li><li>A river in Pontevedra, Galicia; formerly river Bora</li></ol>
Alsacia	<i>name</i><br><ol><li>Alsace (a historical region in France)</li></ol>
Alta Austria	<i>name</i><br><ol><li>Upper Austria (a state of Austria)</li></ol>
Altamira	<i>name</i><br><ol><li>a number of villages throughout Galicia</li></ol>
Alto Volta	<i>name</i><br><ol><li>Upper Volta</li></ol>
