A·chik	<i>noun</i><br><ol><li>Garo people, especially the ones who live in Garo Hills.</li></ol>
A·chikku	<i>noun</i><br><ol><li>The Garo language</li><li>The Indian dialects of Garo</li></ol>
Braa	<i>verb</i><br><ol><li>to fill</li></ol>
abat	<i>noun</i><br><ol><li>cultivation</li></ol>
abeso	<i>noun</i><br><ol><li>Tuesday</li></ol>
abi	<i>noun</i><br><ol><li>elder sister</li></ol>
abigipa	<i>noun</i><br><ol><li>(formal) elder sister</li></ol>
abitang	<i>noun</i><br><ol><li>(formal) elder sister</li></ol>
abo	<i>noun</i><br><ol><li>grandmother</li></ol>
abua	<i>verb</i><br><ol><li>to bathe</li></ol>
achak	<i>noun</i><br><ol><li>dog</li></ol>
ada	<i>noun</i><br><ol><li>elder brother</li></ol>
adagipa	<i>noun</i><br><ol><li>(formal) elder brother</li></ol>
adatang	<i>noun</i><br><ol><li>(formal) elder brother</li></ol>
ade	<i>noun</i><br><ol><li>younger maternal aunt</li></ol>
agal	<i>noun</i><br><ol><li>big fire, wildfire</li></ol>
agana|aganjawakon|agankana|aganbo|agangen|agannoa|agankan|aganahama|aganjakan|aganja|aganjawa|aganenga|agannajok|aganjaengama|aganjahakon|agannoakon|aganjajok|agannabe|agangenma|aganakon|aganama|aganjaha|aganjawama|aganjaengakon|aganna|agankujawa|aganjanabaginang|aganbone|aganaengakon|aganjakon|agannabaginang|agannoama|agankuja|agannabene|aganengama|aganaha|agangenkon|agankujaenga|aganjahama|aganjaenga|aganjahajok|aganjanajok|aganjok|aganahajok|aganjama|agankujaha|aganjana|aganjakana|aganahakon	<i>verb</i><br><ol><li>to speak</li></ol>
aganani	<i>noun</i><br><ol><li>speech</li><li>quote</li></ol>
aganchaka|aganchakjakon|aganchakjaenga|aganchakjana|aganchakjawa|aganchakjanabaginang|aganchaknabene|aganchakkujaenga|aganchakna|aganchakjakan|aganchakakon|aganchakjaengama|aganchakenga|aganchakjaengakon|aganchaknajok|aganchakjaha|aganchaknoakon|aganchakkana|aganchakjahama|aganchakjahakon|aganchaknoa|aganchakgenkon|aganchaknabaginang|aganchakbone|aganchakjawakon|aganchakahajok|aganchakjama|aganchaknoama|aganchakbo|aganchakjahajok|aganchakama|aganchakja|aganchakjok|aganchakjakana|aganchakgen|aganchakahama|aganchakahakon|aganchakkujawa|aganchakjajok|aganchaknabe|aganchakaha|aganchakgenma|aganchakaengakon|aganchakkuja|aganchakengama|aganchakjawama|aganchakkan|aganchakjanajok|aganchakkujaha	<i>verb</i><br><ol><li>to answer</li></ol>
agangrikani	<i>noun</i><br><ol><li>conversation</li></ol>
agisi	<i>noun</i><br><ol><li>desert</li></ol>
agrea	<i>verb</i><br><ol><li>to be very</li></ol>
aguk	<i>noun</i><br><ol><li>grasshopper (generic term)</li></ol>
aiau	<i>intj</i><br><ol><li>wow</li></ol>
aina	<i>noun</i><br><ol><li>mirror</li></ol>
airo	<i>noun</i><br><ol><li>Wednesday</li></ol>
ajong	<i>noun</i><br><ol><li>elder maternal aunt</li></ol>
akgipin	<i>pron</i><br><ol><li>someone else</li></ol>
alabok	<i>noun</i><br><ol><li>crane</li></ol>
am	<i>noun</i><br><ol><li>mat</li></ol>
ama	<i>noun</i><br><ol><li>mother</li></ol>
ambi	<i>noun</i><br><ol><li>grandmother</li></ol>
ambigipa	<i>noun</i><br><ol><li>(formal) grandmother</li></ol>
ambitang	<i>noun</i><br><ol><li>(formal) grandmother</li></ol>
amikka	<i>pron</i><br><ol><li>someone, an unknown or hypothetical person</li></ol>
amsoka	<i>verb</i><br><ol><li>to imagine</li></ol>
amua	<i>verb</i><br><ol><li>to sacrifice</li></ol>
amuta	<i>verb</i><br><ol><li>to accuse</li></ol>
am·a	<i>verb</i><br><ol><li>to search</li></ol>
andala	<i>verb</i><br><ol><li>to be dark</li></ol>
andalba	<i>verb</i><br><ol><li>to be dark</li></ol>
anga|angko|angna|angni	<i>pron</i><br><ol><li>I</li></ol>
angde	<i>noun</i><br><ol><li>son</li></ol>
anggri	<i>noun</i><br><ol><li>nephew</li></ol>
angjong	<i>noun</i><br><ol><li>younger brother</li></ol>
angko	<i>pron</i><br><ol><li>me (accusative singular of anga (“I”))</li></ol>
angsu	<i>noun</i><br><ol><li>grandchild</li></ol>
ang·ke	<i>noun</i><br><ol><li>crab</li></ol>
anti	<i>noun</i><br><ol><li>week</li><li>market</li></ol>
an·cheng	<i>noun</i><br><ol><li>sand</li></ol>
an·chi	<i>noun</i><br><ol><li>blood</li></ol>
an·ching	<i>pron</i><br><ol><li>inclusive we (i.e we including you)</li></ol>
an·senga	<i>verb</i><br><ol><li>to be happy</li></ol>
an·tang	<i>pron</i><br><ol><li>an·tang</li></ol>
apa	<i>noun</i><br><ol><li>father</li></ol>
apal	<i>noun</i><br><ol><li>outside</li></ol>
apala	<i>verb</i><br><ol><li>to be wide</li></ol>
apchona	<i>verb</i><br><ol><li>to be narrow</li></ol>
apsan	<i>adv</i><br><ol><li>together</li></ol>
aram	<i>noun</i><br><ol><li>cloud</li></ol>
arata	<i>verb</i><br><ol><li>to be lazy</li></ol>
aro	<i>conj</i><br><ol><li>and, in addition to</li></ol>
asa	<i>noun</i><br><ol><li>hope</li></ol>
asal	<i>noun</i><br><ol><li>manure</li></ol>
aski	<i>noun</i><br><ol><li>star</li></ol>
asong	<i>noun</i><br><ol><li>country</li></ol>
asonga	<i>verb</i><br><ol><li>to sit</li></ol>
atchinga	<i>verb</i><br><ol><li>sneeze</li></ol>
atchu	<i>noun</i><br><ol><li>grandfather</li></ol>
atchugipa	<i>noun</i><br><ol><li>(formal) grandfather</li></ol>
atchutang	<i>noun</i><br><ol><li>(formal) grandfather</li></ol>
attam	<i>noun</i><br><ol><li>evening</li></ol>
attamnam	<i>intj</i><br><ol><li>good evening</li></ol>
awang	<i>noun</i><br><ol><li>younger paternal uncle</li></ol>
a·a	<i>noun</i><br><ol><li>the Earth</li></ol>
a·ba	<i>noun</i><br><ol><li>field, paddy</li></ol>
a·bacha	<i>verb</i><br><ol><li>to start</li></ol>
a·bri	<i>noun</i><br><ol><li>hill</li></ol>
a·chik	<i>noun</i><br><ol><li>hill</li></ol>
a·dipek	<i>noun</i><br><ol><li>mud</li></ol>
a·dok	<i>noun</i><br><ol><li>area</li></ol>
a·gilsak	<i>noun</i><br><ol><li>world</li><li>realm</li></ol>
a·kinchi	<i>noun</i><br><ol><li>dust</li></ol>
a·kinte	<i>noun</i><br><ol><li>lump of soil</li></ol>
a·rongga	<i>noun</i><br><ol><li>upland</li></ol>
a·sam	<i>noun</i><br><ol><li>the side</li></ol>
a·samo	<i>postp</i><br><ol><li>(follows genitive -ni) beside, next to</li></ol>
a·sel	<i>noun</i><br><ol><li>control, responsibility</li></ol>
a·song	<i>noun</i><br><ol><li>country</li></ol>
ba	<i>conj</i><br><ol><li>or</li></ol>
baba	<i>noun</i><br><ol><li>father</li></ol>
bachi	<i>pron</i><br><ol><li>where</li></ol>
badaka	<i>adv</i><br><ol><li>how?, what kind of?</li></ol>
badam	<i>noun</i><br><ol><li>peanut</li></ol>
badi	<i>adv</i><br><ol><li>how?, which way?</li></ol>
bading-chiwalgipa	<i>noun</i><br><ol><li>business</li></ol>
bagipa	<i>pron</i><br><ol><li>which, which of several (of people or things)</li></ol>
baita	<i>pron</i><br><ol><li>how much, how many</li></ol>
bajal	<i>noun</i><br><ol><li>market</li></ol>
baji	<i>noun</i><br><ol><li>time</li></ol>
baju	<i>noun</i><br><ol><li>friend</li></ol>
bak	<i>postp</i><br><ol><li>(follows locative case -cha) side, position, in the direction of</li><li>part, section</li></ol>
bakkandika	<i>verb</i><br><ol><li>to be short</li></ol>
bakra	<i>noun</i><br><ol><li>wilderness</li></ol>
bakroa	<i>verb</i><br><ol><li>to be long</li></ol>
baksa	<i>particle</i><br><ol><li>with</li></ol>
bala	<i>verb</i><br><ol><li>to blow</li></ol>
balwa	<i>noun</i><br><ol><li>wind</li></ol>
bal་wa	<i>noun</i><br><ol><li>wind, breeze</li></ol>
bano	<i>pron</i><br><ol><li>where</li></ol>
bari-bagan	<i>noun</i><br><ol><li>farm</li></ol>
baring	<i>noun</i><br><ol><li>eggplant, brinjal</li></ol>
basako	<i>pron</i><br><ol><li>when</li></ol>
basea	<i>verb</i><br><ol><li>to choose</li></ol>
bata	<i>verb</i><br><ol><li>to cross, to pass</li></ol>
batdo	<i>noun</i><br><ol><li>parrot</li></ol>
bate	<i>postp</i><br><ol><li>(follows dative case -na) more than</li></ol>
ba·ra	<i>noun</i><br><ol><li>cloth, clothes</li></ol>
bebe ra·a	<i>verb</i><br><ol><li>to believe</li></ol>
beng	<i>noun</i><br><ol><li>frog</li></ol>
benga	<i>verb</i><br><ol><li>to be deaf</li></ol>
bengb·lok	<i>noun</i><br><ol><li>frog</li></ol>
beng·a	<i>verb</i><br><ol><li>to forbid</li></ol>
ben·chidik	<i>noun</i><br><ol><li>lizard</li></ol>
be·a	<i>verb</i><br><ol><li>to break</li></ol>
be·en	<i>noun</i><br><ol><li>meat</li></ol>
bia|bini|biko|bina	<i>pron</i><br><ol><li>he, she</li></ol><br><i>verb</i><br><ol><li>to wed</li></ol><br><i>noun</i><br><ol><li>wedding</li></ol>
biap	<i>noun</i><br><ol><li>place, location</li></ol>
bibal	<i>noun</i><br><ol><li>flower</li></ol>
bibik	<i>noun</i><br><ol><li>(anatomy) intestines</li></ol>
bibil	<i>noun</i><br><ol><li>afterbirth</li></ol>
bichri	<i>noun</i><br><ol><li>seed</li></ol>
bidu	<i>noun</i><br><ol><li>vine</li></ol>
bigil	<i>noun</i><br><ol><li>skin</li><li>bark (of a tree)</li></ol>
bigro	<i>noun</i><br><ol><li>length, the longer dimension</li></ol>
bija	<i>noun</i><br><ol><li>bee</li></ol>
bijak	<i>noun</i><br><ol><li>leaf</li></ol>
bijol	<i>noun</i><br><ol><li>mucus</li></ol>
bika	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
biking	<i>noun</i><br><ol><li>shell (of a turtle, insect etc...)</li></ol>
bikit	<i>noun</i><br><ol><li>gall bladder</li></ol>
bikma	<i>noun</i><br><ol><li>stomach</li></ol>
biko	<i>pron</i><br><ol><li>him, her(accusative singular of bia (“he, she”))</li></ol>
bil	<i>noun</i><br><ol><li>strength</li></ol>
bila	<i>verb</i><br><ol><li>(intransitive) to fly (of both animate and inanimate entities)</li><li>(intransitive) to jump</li><li>(transitive) to dig out (e.g. tubers)</li><li>to uncover</li></ol>
bilaka	<i>verb</i><br><ol><li>to be strong</li></ol>
bilonga|bilongen	<i>verb</i><br><ol><li>to be much, too</li></ol>
bil·a	<i>verb</i><br><ol><li>to wrap</li></ol>
bimang	<i>noun</i><br><ol><li>body</li></ol>
bimchipe	<i>adv</i><br><ol><li>diligently</li></ol>
biming	<i>noun</i><br><ol><li>name, given name</li></ol>
bineka	<i>verb</i><br><ol><li>to crush</li></ol>
bisimang	<i>pron</i><br><ol><li>they</li></ol>
bisong|bisongko|bisongna|bisongni	<i>pron</i><br><ol><li>they</li></ol>
bitchi	<i>noun</i><br><ol><li>egg</li></ol>
bite	<i>noun</i><br><ol><li>fruit</li></ol>
bitin	<i>noun</i><br><ol><li>meat</li></ol>
bitip	<i>noun</i><br><ol><li>nest, cocoon</li></ol>
bi·a	<i>verb</i><br><ol><li>to ask, request, pray</li></ol>
bi·sa	<i>noun</i><br><ol><li>child</li></ol>
bi·samiting	<i>noun</i><br><ol><li>childhood</li></ol>
bobil	<i>noun</i><br><ol><li>enemy, rival</li></ol>
bochi	<i>noun</i><br><ol><li>paternal aunt</li></ol>
bochigipa	<i>noun</i><br><ol><li>(formal) wife of elder brother</li></ol>
bodol	<i>noun</i><br><ol><li>exchange</li></ol>
bohari	<i>noun</i><br><ol><li>wife of younger brother</li><li>wife of nephew</li><li>daughter-in-law</li></ol>
boi	<i>noun</i><br><ol><li>book</li></ol>
boka	<i>verb</i><br><ol><li>to want, demand</li></ol>
bol	<i>noun</i><br><ol><li>tree</li></ol>
bolcheksi	<i>noun</i><br><ol><li>twig</li></ol>
boldim	<i>noun</i><br><ol><li>sprout</li></ol>
bolgantong	<i>noun</i><br><ol><li>log</li></ol>
bolgong	<i>noun</i><br><ol><li>fallen tree</li></ol>
bolgrim	<i>noun</i><br><ol><li>forest</li></ol>
bolpang	<i>noun</i><br><ol><li>tree</li></ol>
bonga	<i>num</i><br><ol><li>four</li></ol>
boning	<i>noun</i><br><ol><li>husband of younger sister</li></ol>
boninggipa	<i>noun</i><br><ol><li>(formal) husband of younger sister</li></ol>
bonkama	<i>noun</i><br><ol><li>to be last</li></ol>
bostu	<i>suffix</i><br><ol><li>thing</li></ol>
bra	<i>noun</i><br><ol><li>arrow</li></ol>
brea	<i>verb</i><br><ol><li>(transitive) to buy</li></ol>
breta	<i>verb</i><br><ol><li>to burst</li></ol>
bri	<i>num</i><br><ol><li>four</li></ol>
bring	<i>noun</i><br><ol><li>jungle, forest</li></ol>
bua	<i>verb</i><br><ol><li>to pierce</li></ol>
budu	<i>noun</i><br><ol><li>rope</li></ol>
bura	<i>noun</i><br><ol><li>elder</li></ol>
buraa	<i>verb</i><br><ol><li>to be old, to age</li></ol>
busua	<i>verb</i><br><ol><li>cough</li></ol>
chaa	<i>verb</i><br><ol><li>(of seeds and plants) to grow, to germinate</li></ol>
chabi	<i>noun</i><br><ol><li>key</li></ol>
chadenga	<i>verb</i><br><ol><li>to stand</li></ol>
chakatronga	<i>verb</i><br><ol><li>to wake up</li></ol>
chakri	<i>noun</i><br><ol><li>job</li></ol>
chalaia	<i>verb</i><br><ol><li>to drive</li></ol>
chama	<i>verb</i><br><ol><li>to distribute among individuals</li></ol>
chambil	<i>noun</i><br><ol><li>pomelo</li></ol>
cham·a	<i>verb</i><br><ol><li>to wear out</li></ol>
