ሀየል|ሀየላት|häyyäl|and collective	<i>noun</i><br><ol><li>ibex</li></ol>
ሀገር|hägär|አህጉር	<i>noun</i><br><ol><li>cultivated field, inhabited land, province, country</li><li>countryside, hamlet, villa</li><li>town, city</li><li>farmer, inhabitant of a land, urban resident</li></ol>
ሁ	<i>pron</i><br><ol><li>him, his, it, its (bound object pronoun)</li></ol>
ሃ	<i>pron</i><br><ol><li>her (bound object pronoun)</li></ol>
ሄኖክ|henok	<i>name</i><br><ol><li>Enoch</li></ol>
ህየ|həyä	<i>adv</i><br><ol><li>there</li></ol>
ለውዝ|läwz	<i>noun</i><br><ol><li>almond</li></ol>
ለፌ|läfe	<i>adv</i><br><ol><li>thence, here and there, hither thither, from there</li><li>since, thenceforth</li><li>above, higher, over</li></ol>
ላህም|አልህምት|lahm	<i>noun</i><br><ol><li>cow, bull</li><li>cattle</li></ol>
ሌሊት|ለያልይ|läyaly|lelit	<i>noun</i><br><ol><li>night</li></ol>
ልሳን|ləsan	<i>noun</i><br><ol><li>tongue</li><li>speech</li><li>an isthmus, peninsula</li></ol>
ልብ|ləbb|አልባብ	<i>noun</i><br><ol><li>heart</li></ol>
ልብን|ləbn	<i>noun</i><br><ol><li>storax (Styrax officinalis, in particular the resin thereof)</li></ol>
ልብያ|ləbya	<i>name</i><br><ol><li>Libya (Greco-Roman client state)</li></ol>
ልጓም|ləgʷam|ልጓማት	<i>noun</i><br><ol><li>bridle</li><li>halter, band, holdfast</li></ol>
ሎሚ|lomi	<i>noun</i><br><ol><li>lime, lemon, citrus</li></ol>
ሐሊብ|ḥälib	<i>noun</i><br><ol><li>milk</li></ol><br><i>name</i><br><ol><li>Aleppo</li></ol>
ሐመዳ|ḥämäda	<i>noun</i><br><ol><li>snow, frost</li></ol>
ሐራቅሊ|ḥäraḳli	<i>name</i><br><ol><li>Heraclea</li></ol>
ሐብስ|ḥäbs	<i>noun</i><br><ol><li>prison, jail</li></ol>
