A	<i>character</i><br><ol><li>The first letter of the Greenlandic alphabet, written in the Latin script.</li></ol>
AIDS	<i>noun</i><br><ol><li>AIDS</li></ol>
Afrika Kujalleq	<i>name</i><br><ol><li>South Africa</li></ol>
Anna	<i>name</i><br><ol><li>Anna (biblical)</li></ol>
Australia	<i>noun</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Avannaa|Avannaarsua	<i>name</i><br><ol><li>Avannaa, formerly Nordgrønland (“North Greenland”), a former administrative division of Greenland. Since 2008, it has been incorporated into Avannaata and Northeast Greenland National Park.</li></ol>
Barentsip eqqaamiui	<i>name</i><br><ol><li>Barents Region</li></ol>
Belgia	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Danmarki	<i>name</i><br><ol><li>Denmark</li></ol>
Dortmund	<i>name</i><br><ol><li>Dortmund (a major city in North Rhine-Westphalia, in western Germany)</li></ol>
Erik Aappalaartoq	<i>name</i><br><ol><li>Erik the Red</li></ol>
Estlandi	<i>name</i><br><ol><li>Estonia</li></ol>
Finlandi	<i>name</i><br><ol><li>Finland</li></ol>
Folketingi	<i>name</i><br><ol><li>Folketing</li></ol>
Frankrigi	<i>name</i><br><ol><li>France</li></ol>
Grækenlandi	<i>name</i><br><ol><li>Greece</li></ol>
Hollandi	<i>name</i><br><ol><li>the Netherlands, Holland</li></ol>
Hvideruslandi	<i>name</i><br><ol><li>Belarus</li></ol>
Iisaaq	<i>name</i><br><ol><li>Isaac (biblical)</li></ol>
Ilisimatusarfik	<i>name</i><br><ol><li>University of Greenland (a university in Nuuk)</li></ol>
Illoqqortoormiut	<i>noun</i><br><ol><li>Ittoqqortoormiit</li></ol>
Inatsisartut	<i>name</i><br><ol><li>the parliament of Greenland, short for the full official name Kalaallit Nunaanni Inatsisartut</li></ol>
Irlandi	<i>name</i><br><ol><li>Ireland</li></ol>
Island	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Islandi	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Issittoq	<i>name</i><br><ol><li>the Arctic region</li></ol>
Italia	<i>name</i><br><ol><li>Italy</li></ol>
Jaaku	<i>name</i><br><ol><li>Jacob, James (biblical)</li></ol>
Japanimiu	<i>noun</i><br><ol><li>Japanese</li></ol>
Kalaallit Nunaat	<i>name</i><br><ol><li>Greenland</li></ol>
Karybdis	<i>name</i><br><ol><li>Charybdis (monster)</li></ol>
Korea Avannarleq	<i>name</i><br><ol><li>North Korea</li></ol>
Korea Kujalleq	<i>name</i><br><ol><li>South Korea</li></ol>
Kunngeqarfik Danmarki	<i>name</i><br><ol><li>the Kingdom of Denmark</li></ol>
Letlandi	<i>name</i><br><ol><li>Latvia</li></ol>
Litaueni	<i>name</i><br><ol><li>Lithuania</li></ol>
Naalagaaffeqatigiit	<i>name</i><br><ol><li>the Danish realm</li></ol>
Naalakkersuisut	<i>name</i><br><ol><li>(plural only) Naalakkersuisut; the government of Greenland</li></ol>
Norge	<i>name</i><br><ol><li>Norway (a country in Northern Europe; capital and largest city: Oslo)</li></ol>
Nuuk|Nûk	<i>name</i><br><ol><li>Nuuk (the capital city of Greenland)</li></ol>
Poleni	<i>name</i><br><ol><li>Poland</li></ol>
Portugali	<i>name</i><br><ol><li>Portugal (a country in Europe)</li></ol>
Pukkitsormiut	<i>name</i><br><ol><li>the Netherlands</li></ol>
Qalasersuaq Kujalleq	<i>name</i><br><ol><li>Antarctica</li></ol>
Qallunaat Nunaat	<i>name</i><br><ol><li>Denmark</li></ol>
Rumænia	<i>name</i><br><ol><li>Romania</li></ol>
Ruslandi	<i>name</i><br><ol><li>Russia</li></ol>
Saqqaq	<i>name</i><br><ol><li>a settlement founded in 1755 in the Qaasuitsup municipality of western Greenland</li></ol>
Savalimmiut|Savalimmiunit|Savalimmiutigut|Savalimmiunik|Savalimmiutut|Savalimmiunut|Savalimmiuni	<i>name</i><br><ol><li>the Faroe Islands</li></ol>
Schweizi	<i>name</i><br><ol><li>Switzerland</li></ol>
Siimuut	<i>name</i><br><ol><li>Simon (biblical)</li></ol>
Spania	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Sverige	<i>name</i><br><ol><li>Sweden</li></ol>
TV-eqarfik	<i>noun</i><br><ol><li>television broadcasting company</li></ol>
Tasmaniamiu	<i>noun</i><br><ol><li>Tasmanian</li></ol>
Tjekkia	<i>name</i><br><ol><li>the Czech Republic</li></ol>
Toornarsuk	<i>name</i><br><ol><li>Satan</li></ol>
Tuluit Nunaat	<i>name</i><br><ol><li>England</li><li>United Kingdom</li></ol>
Tunu	<i>name</i><br><ol><li>East Greenland, the East coast of Greenland</li></ol>
Tuuma	<i>name</i><br><ol><li>Thomas (biblical)</li></ol>
Tyrkia	<i>name</i><br><ol><li>Turkey</li></ol>
Tysklandi	<i>name</i><br><ol><li>Germany</li></ol>
Ukrainamiutut	<i>name</i><br><ol><li>the Ukrainian language</li></ol>
Uunartoq Qeqertaq	<i>name</i><br><ol><li>Warming Island, island off the east coast of Greenland.</li></ol>
a'arpoq	<i>verb</i><br><ol><li>(childish, intransitive) pees</li><li>(childish, intransitive) poos</li></ol>
aa-at	<i>phrase</i><br><ol><li>is that right?</li><li>is it true?</li></ol>
aa-ila	<i>intj</i><br><ol><li>nay! oh gee!</li></ol>
aaffaffak|aaffaffannit|aaffaffaat|aaffaffammik|aaffaffannik|aaffaffattut|aaffaffaap|aaffaffat|aaffaffannut|aaffaffammut|aaffaffammit|aaffaffammi|aaffaffatsigut|aaffaffanni|aaffaffakkut	<i>noun</i><br><ol><li>a particular fabulous animal</li></ol>
aaffanniaq|aaffanniap|aaffanniamit|aaffanniami|aaffanniamik|aaffanniatut|aaffannianik|aaffannianut|aaffanniamut|aaffanniat|aaffanniatigut|aaffanniakkut|aaffannianit|aaffanniani	<i>noun</i><br><ol><li>walrus hunter</li></ol>
aaffanniarpoq	<i>verb</i><br><ol><li>(intransitive) hunts walrus</li></ol>
aaffanniusiorpoq	<i>verb</i><br><ol><li>(transitive) builds a tool with which to hunt walrus</li></ol>
aaffanniut|aaffanniutit	<i>noun</i><br><ol><li>a tool for hunting walrus</li></ol>
aaffanniutaaruppoq	<i>verb</i><br><ol><li>(intransitive) loses equipment whilst hunting walrus</li></ol>
aaffappoq	<i>verb</i><br><ol><li>to capture a walrus</li></ol>
aaffaq|aaffamik|aaffami|aaffani|aaffap|aaffakkut|aaffanut|aaffamut|aaffanit|aaffanik|aaffatigut|aaffat|aaffatut|aaffamit	<i>noun</i><br><ol><li>hunting area (for reindeer)</li></ol>
aaffarmiippoq	<i>verb</i><br><ol><li>to be in a reindeer hunting area</li></ol>
aagiak|aagissani|aagissamit|aagissamik|aagissanik|aagissatut|aagissakkut|aagisatut|aagissatigut|aagissanit|aagissat|aagissami|aagissap|aagissanut|aagissamut	<i>noun</i><br><ol><li>blood clot, thrombus</li></ol>
aagiaq|aagianut|aagiami|aagiamut|aagiap|aagiatigut|aagiatut|aagiani|aagiamit|aagiamik|aagiat|aagiakkut|aagianik|aagianit	<i>noun</i><br><ol><li>a tine of a reindeer's antler</li></ol>
aagooq|aaguut	<i>noun</i><br><ol><li>(rare) eider, particularly common eider (Somateria mollissima)</li></ol>
aaja	<i>adv</i><br><ol><li>no</li></ol>
aak|aatsigut|aannik|aakkut|aammik|aannit|aammi|aammit|aannut|aanni|aavit|aammut|aattut|aap	<i>noun</i><br><ol><li>blood</li></ol>
aakilliorneq|aakilliornermit|aakilliornermut|aakilliornikkut|aakilliornermik|aakilliornertigut|aakilliornertut|aakilliornerit|aakilliornerni|aakilliornernik|aakilliornerup|aakilliornernit|aakilliornermi|aakilliornernut	<i>noun</i><br><ol><li>anemia</li></ol>
aakilliorpoq	<i>verb</i><br><ol><li>(intransitive) be anemic</li><li>(intransitive) lacks blood</li></ol>
aalaakkak|aalaakkammit|aalaakkannit|aalaakkatsigut|aalaakkanni|aalaakkannut|aalaakkaat|aalaakkannik|aalaakkattut|aalaakkammik|aalaakkammi|aalaakkaap|aalaakkakkut|aalaakkammut	<i>noun</i><br><ol><li>firm, stable, unchanging</li></ol>
aalajangerpaa|aalajangerpoq	<i>verb</i><br><ol><li>(transitive) decides, determines, confirms</li><li>(transitive) fixes, fastens</li></ol>
aalajavoq	<i>verb</i><br><ol><li>(intransitive) wavers, is easily moved, does not stand firm</li></ol>
aalaneq|aalanermik|aalanermit|aalanernit|aalanernut|aalanikkut|aalanermi|aalanertigut|aalanermut|aalanernik|aalanerni|aalanerit|aalanerup|aalanertut	<i>noun</i><br><ol><li>movement</li></ol>
