'a|taro'a ore|hoguero'a hikuái|teremba'e'a nde|toimbope'a ha'ekuéra|ñaimba'epe'a|taimba'epe'a che|ñande japoro'a|tereguero'a nde|peẽ peporo'a|tamba'e'a che|tañaimbope'a ñande|toje'a ha'ekuéra|tojo'a ha'ekuéra|tapeirope'a|tajaje'a ñande|pero'a|horo'a|ha'e oiporope'a|ha'ekuéra horo'a|ore roje'a|tairope'a|hamba'e'a|taje'a che|tapeiguerope'a peẽ|tajaiguerope'a ñande|toipe'a ha'ekuéra|tapeiporope'a|hembo'a|tañambo'a ñande|oimba'epe'a|ore roimbope'a|tapejo'a peẽ|pe'a|tajajo'a ñande|toguero'a ha'e|ñande jaro'a|ejepe'a|roiguerope'a|to'a ha'ekuéra|ore ro'a|tajajoipe'a ñande|homba'e'a hikuái|reimba'epe'a|roimba'epe'a|peẽ peirope'a|che hambo'a|oiguerope'a|tajajepe'a ñande|oiguerope'a hikuái|nde rejepe'a|tajepe'a che|ñande jajoipe'a|peẽ peipe'a|tajairope'a|peiporope'a|tañaimba'epe'a ñande|tajaipe'a ñande|peipe'a|taroporo'a|peimba'epe'a|ore roipe'a|peẽ peiporope'a|taroimba'epe'a ore|tereje'a nde|ha'ekuéra oimbope'a|peje'a|toro'a|terejepe'a nde|to'a ha'e|peẽ pero'a|taja'a ñande|pejo'a|remba'e'a|tombo'a ha'ekuéra|hoguero'a|nde re'a|tapembo'a peẽ|peẽ peimbope'a|toguero'a ha'ekuéra|oirope'a|tereirope'a|nde reiporope'a|tereiporope'a|toimba'epe'a ha'ekuéra|eiporope'a|heporo'a|ha'e oje'a|che airope'a|che ajepe'a|ore rombo'a|tajaro'a|tereimba'epe'a nde|ha'e hoporo'a|peẽ peje'a|ore roiporope'a|terero'a|che ha'a|ñande jaiporope'a|oiporope'a|haguero'a|tojepe'a ha'ekuéra|pejepe'a|tapeimbope'a peẽ|nde reirope'a|taroipe'a ore|taiporope'a|oimba'epe'a hikuái|ñande jaipe'a|ha'e horo'a|peẽ pe'a|taporo'a|peẽ pejepe'a|tambo'a che|tapeporo'a|hero'a|tapeimba'epe'a peẽ|aimba'epe'a|toipe'a ha'e|ore rojo'a|ñande jairope'a|nde reimbope'a|tomba'e'a ha'ekuéra|hikuái|nde rembo'a|che haro'a|ñande jajo'a|tarojoipe'a ore|ha'ekuéra ho'a|taroirope'a|pemba'e'a|tereporo'a|ñande jajepe'a|che aje'a|tapeguero'a peẽ|nde reporo'a|ñamba'e'a|che aipe'a|peẽ pejo'a|ore rojepe'a|hoporo'a|tojepe'a ha'e|eiguerope'a|tajaiporope'a|ore roporo'a|taroimbope'a ore|reiguerope'a|tereiguerope'a nde|ha'e ojepe'a|tereipe'a nde|eimbope'a|tajaguero'a ñande|nde reipe'a|taroiporope'a|taroro'a|peimbope'a|ta'a che|eimba'epe'a|ñande ñambo'a|tarombo'a ore|nde reje'a|peẽ pejoipe'a|ha'ekuéra hoporo'a|ha'ekuéra oiporope'a|taroguero'a ore|toje'a ha'e|tere'a nde|tapejoipe'a peẽ|eirope'a|ha'e oimbope'a|nde rero'a|ñande ja'a|ñande ñaimbope'a|tarojo'a ore|ñande jaje'a|tapemba'e'a peẽ|ha'ekuéra ojoipe'a|aiguerope'a|tape'a peẽ|tapero'a|ha'ekuéra oipe'a|eipe'a|ha'ekuéra oje'a|taipe'a che|toiporope'a|taiguerope'a che|heguero'a|peiguerope'a|pembo'a|taro'a|ha'e oirope'a|peporo'a|ore roro'a|peguero'a|tombo'a ha'e|taroiguerope'a ore|peirope'a|homba'e'a|tapejepe'a peẽ|roguero'a|toiguerope'a ha'ekuéra|tapeipe'a peẽ|che haporo'a|ha'ekuéra hojo'a|reguero'a|taimbope'a che|tereimbope'a nde|he'a|taroje'a ore|romba'e'a|tomba'e'a ha'e|toimba'epe'a ha'e|ore rojoipe'a|che aimbope'a|eje'a|ha'ekuéra hombo'a|peẽ pembo'a|toiguerope'a ha'e|toimbope'a ha'e|ha'ekuéra ojepe'a|ha'e oipe'a|tojoipe'a ha'ekuéra|tañamba'e'a ñande|toporo'a|ore roirope'a|pejoipe'a|taromba'e'a ore|ha'e hombo'a|terembo'a nde|tarojepe'a ore|toirope'a|taguero'a che|hemba'e'a|che aiporope'a|ha'e ho'a|tapeje'a peẽ|tajaporo'a|ha'ekuéra oirope'a	<i>noun</i><br><ol><li>fall</li><li>fruit</li><li>egg</li></ol><br><i>verb</i><br><ol><li>to fall</li><li>to be born</li><li>to fructify</li><li>to like someone</li></ol>
'e	<i>verb</i><br><ol><li>say</li></ol>
'u|roguero'u|taro'u|ore rombo'u|nde re'u|eje'u|ha'ekuéra hoporo'u|ore rojo'u|hembo'u|ñande jajo'u|ore roro'u|taje'u che|taro'u ore|remba'e'u|hemba'e'u|nde rembo'u|ñande jaje'u|peẽ peporo'u|pemba'e'u|peẽ pejo'u|taroporo'u|ta'u che|ha'ekuéra hombo'u|tapeporo'u|tajaporo'u|ore ro'u|che ha'u|tere'u nde|to'u ha'e|haguero'u|nde rero'u|ha'ekuéra hojo'u|nde reje'u|tombo'u ha'ekuéra|ñande ja'u|homba'e'u hikuái|tapejo'u peẽ|ha'e hoporo'u|ha'e hombo'u|taguero'u che|che haporo'u|hoguero'u|terembo'u nde|ñande japoro'u|peẽ pe'u|taporo'u|horo'u|tarojo'u ore|homba'e'u|peguero'u|to'u ha'ekuéra|taja'u ñande|che haro'u|ha'ekuéra ho'u|ñande ñambo'u|toro'u|ñamba'e'u|hoporo'u|tereporo'u|toje'u ha'e|che hambo'u|taroro'u|heporo'u|hikuái|toguero'u ha'e|pero'u|ha'e oje'u|teremba'e'u nde|ha'e ho'u|pe'u|ha'ekuéra horo'u|he'u|peẽ pembo'u|peẽ pero'u|tereje'u nde|tomba'e'u ha'ekuéra|tape'u peẽ|toporo'u|tomba'e'u ha'e|ñande jaro'u|peje'u|tombo'u ha'e|taromba'e'u ore|tapembo'u peẽ|nde reporo'u|reguero'u|peporo'u|ha'ekuéra oje'u|tañamba'e'u ñande|pembo'u|tapeje'u peẽ|che aje'u|taroje'u ore|tañambo'u ñande|ore roje'u|hoguero'u hikuái|terero'u|ore roporo'u|toje'u ha'ekuéra|hero'u|hamba'e'u|toguero'u ha'ekuéra|tojo'u ha'ekuéra|tajaje'u ñande|heguero'u|tarombo'u ore|ha'e horo'u|tapemba'e'u peẽ|tamba'e'u che|tapeguero'u peẽ|romba'e'u|tajaro'u|tambo'u che|tereguero'u nde|tajajo'u ñande|taroguero'u ore|tajaguero'u ñande|peẽ peje'u|pejo'u|tapero'u	<i>verb</i><br><ol><li>eat, drink</li></ol>
Arareñói	<i>name</i><br><ol><li>Christmas</li></ol>
Etoña	<i>name</i><br><ol><li>Estonia</li></ol>
G̃|g̃	<i>character</i><br><ol><li>The 10th letter of the Guaraní alphabet.</li></ol>
Islã	<i>name</i><br><ol><li>Islam</li></ol>
Ka'aguasu	<i>name</i><br><ol><li>Caaguazú (a department of Paraguay).</li></ol>
Kyoasia	<i>name</i><br><ol><li>Croatia</li></ol>
Perũ	<i>name</i><br><ol><li>Peru (a country in South America)</li></ol>
Taragüi	<i>name</i><br><ol><li>Corrientes</li></ol>
Tupã	<i>name</i><br><ol><li>(Christianity) God</li></ol>
aguara	<i>noun</i><br><ol><li>fox</li><li>maned wolf (Chrysocyon brachyurus)</li></ol>
aguará	<i>noun</i><br><ol><li>fox</li></ol>
aguyje	<i>intj</i><br><ol><li>thank you</li></ol>
ahoja	<i>noun</i><br><ol><li>blanket</li><li>coat</li></ol>
ahy'o	<i>noun</i><br><ol><li>throat</li><li>larynx</li><li>pharynx</li><li>voice</li></ol>
aku	<i>adj</i><br><ol><li>hot</li></ol>
akã|akãnguéra	<i>noun</i><br><ol><li>head</li></ol>
