آنگن|આંગણ|ā̃gaṇ	<i>noun</i><br><ol><li>(Lisan ud-Dawat) courtyard</li></ol>
ابر|abar|અબર	<i>noun</i><br><ol><li>(Lisan ud-Dawat) cloud</li></ol>
ابرار|abrār	<i>adj</i><br><ol><li>(Lisan ud-Dawat) noble, righteous</li></ol>
ابلوو|ubalvũ	<i>noun</i><br><ol><li>(Lisan ud-Dawat, intransitive) to boil</li></ol>
ابهام|ibhām	<i>noun</i><br><ol><li>(Lisan ud-Dawat) confusion, misunderstanding</li><li>(Lisan ud-Dawat) doubt</li></ol>
اتاول|utāvaḷ|ઉતાવળ|utāval	<i>noun</i><br><ol><li>(Lisan ud-Dawat) hurry, haste</li></ol>
ادرك|adarak|અદરક	<i>noun</i><br><ol><li>(Lisan ud-Dawat) ginger</li></ol>
انديشه|andeśo|અંદેશો	<i>noun</i><br><ol><li>(Lisan ud-Dawat) doubt</li></ol>
اوکلوو|ūkalvũ|ઊકળવું	<i>verb</i><br><ol><li>(Lisan ud-Dawat, intransitive) to boil</li></ol>
اچھوں|અચ્છું|acchũ	<i>adj</i><br><ol><li>(Lisan ud-Dawat) good</li></ol>
بال|bāl	<i>noun</i><br><ol><li>(Lisan ud-Dawat) hair</li></ol>
تمام|તમામ|tamām|تَمام	<i>adj</i><br><ol><li>(Lisan ud-Dawat) all</li><li>(Lisan ud-Dawat) every</li></ol>
تميں|tamẽ|તમે|tame	<i>pron</i><br><ol><li>(Lisan ud-Dawat) you, you all; second person nominative plural or formal</li><li>(Lisan ud-Dawat) you, you all; second person ergative plural or formal</li></ol>
دعوت|dāvat	<i>name</i><br><ol><li>(Lisan ud-Dawat)Alternative form of دعوۃ (دعوۃ)</li></ol>
دعوۃ|દાવત|dāvat	<i>noun</i><br><ol><li>(Lisan ud-Dawat) invitation, call (to a religion, etc.)</li></ol>
دل|dil|દિલ	<i>noun</i><br><ol><li>(Lisan ud-Dawat) heart</li></ol>
دن|din|દિન	<i>noun</i><br><ol><li>(Lisan ud-Dawat) day</li></ol>
دنيا|duniyā|દુનિયા	<i>noun</i><br><ol><li>(Lisan ud-Dawat) world, universe</li></ol>
ديوس|dīvas|divas|દિવસ	<i>noun</i><br><ol><li>(Lisan ud-Dawat) day</li></ol>
دھاڑو|દહાડા|દહાડો|દહાડાઓ|દહાડે|dahāḍo|dahāṛo|દહાડાએ	<i>noun</i><br><ol><li>(Lisan ud-Dawat) day</li></ol>
سوڑم|સોડમ|soḍam|soṛam	<i>noun</i><br><ol><li>(Lisan ud-Dawat) sweet smell, fragrance</li></ol>
سوں|sũ|શું	<i>noun</i><br><ol><li>(Lisan ud-Dawat) interrogative pronoun; what, which</li></ol>
سچ|sac	<i>noun</i><br><ol><li>(Lisan ud-Dawat) truth</li></ol>
شام|શામ|shām	<i>noun</i><br><ol><li>(Lisan ud-Dawat) evening</li></ol>
صبح|સુબહ|subah	<i>noun</i><br><ol><li>(Lisan ud-Dawat) morning, dawn</li></ol>
صدق|સિદક|sidq	<i>noun</i><br><ol><li>(Lisan ud-Dawat) truth, trueness</li><li>(Lisan ud-Dawat) truthfulness, sincerity</li></ol>
عبادت|ibādat	<i>name</i><br><ol><li>(Lisan ud-Dawat) Alternative form of عبادۃ (عبادۃ)</li></ol>
عبادۃ|ઇબાદત|ibādat	<i>noun</i><br><ol><li>(Lisan ud-Dawat) worship</li><li>(Lisan ud-Dawat) devotion</li><li>(Lisan ud-Dawat) veneration</li><li>(Lisan ud-Dawat) homage</li></ol>
عزت|izzat|ઇઝ્ઝત	<i>noun</i><br><ol><li>(Lisan ud-Dawat)honour, esteem</li></ol>
فؤاد|ફુવાદ|fuwād	<i>noun</i><br><ol><li>(Lisan ud-Dawat) heart</li></ol>
فضیلۃ|fazīlat|ફઝીલત	<i>noun</i><br><ol><li>(Lisan ud-Dawat) virtue</li></ol>
