آش|āš	<i>noun</i><br><ol><li>(Kuwait, uncountable) A thick green soup made from legumes and other ingredients.</li></ol>
آنا|āna|آنَا	<i>pron</i><br><ol><li>I</li></ol>
أوتي|أُوَاتِي|أُوتِي|úúti	<i>noun</i><br><ol><li>an iron</li></ol>
أوردي|أورِّدي|orridi	<i>adv</i><br><ol><li>already</li></ol>
ابلة|اَبْلة|abḷa|ابلات|اَبْلِتين	<i>adj</i><br><ol><li>female teacher</li></ol><br><i>noun</i><br><ol><li>a female teacher</li></ol>
اثول|اَثْوَل|aṯwal|ثولة	<i>adj</i><br><ol><li>simpleton</li></ol>
اجار|ačār|ajār	<i>noun</i><br><ol><li>rent</li></ol>
احنا|aḥna|iḥna	<i>pron</i><br><ol><li>we (subject pronoun)</li></ol>
اخترع|iḵtiraʿ|يِخْتِرِع|اِخْتِرَع	<i>verb</i><br><ol><li>(transitive) to invent</li><li>(intransitive) to be frightened, to be scared, to be afraid</li></ol>
اذون|اذاني|ʾaḏūn|اذونين|أذون|aḏūn|اذنين	<i>noun</i><br><ol><li>ear</li></ol>
استانس|اِسْتانَس|ɪstanəs	<i>verb</i><br><ol><li>to be happy, to be joyful</li></ol>
استكان|استكانتين|istikān|استكانات	<i>noun</i><br><ol><li>small, usually glassy teacups, used in homes, stores, and at social events to drink and serve tea to guests.</li></ol>
اشارة|اشارات|اشارتين|išāra	<i>noun</i><br><ol><li>sign</li><li>Short for اشارة مرور (išārat murūr, “traffic light”).</li></ol>
اشكار|eškâr	<i>pron</i><br><ol><li>(Kuwait) matter</li></ol>
اشكرة|اَشْكَرة|aškara	<i>adv</i><br><ol><li>obviously</li></ol>
اصنصير|اَصَنْصيرين|اَصَنْصير|aṣanṣēr|اَصَنْصيرات	<i>noun</i><br><ol><li>lift, elevator</li></ol>
اغراض|aḡrāḏ̣	<i>noun</i><br><ol><li>(plural only) stuff, things</li></ol>
اقزوز|igzōz|اِقْزوزات|اِقْزوز|اِقْزوزين	<i>noun</i><br><ol><li>exhaust pipe</li></ol>
ال|اِلـ	<i>article</i><br><ol><li>the definite article; the</li></ol><br><i>pron</i><br><ol><li>(colloquial) the relative clause; that, who, which, etc</li></ol><br><i>prep</i><br><ol><li>(colloquial) to (destination)</li></ol>
الاحد|il-aḥad	<i>noun</i><br><ol><li>Sunday</li></ol>
الاربعا|il-arbiʿa	<i>noun</i><br><ol><li>Wednesday</li></ol>
الحين|اَلْحِين|ɪl7in|اِلْحين|əl7in	<i>adv</i><br><ol><li>now</li></ol>
الدنمارك|ɪddɪnɪmɑrk	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
الذيب ما يهرول عبث|iḏḏīb mā-yharwil ʕabaṯ	<i>proverb</i><br><ol><li>A bad person does not do something arbitrarily and/or futilely, even if their action seems innocent or innocuous</li></ol>
العراق|li-ʕrāg	<i>name</i><br><ol><li>Iraq (a country in Asia)</li></ol>
اليمعة|il-yimʿa	<i>noun</i><br><ol><li>Friday</li></ol>
اليوم|il-yōm	<i>adv</i><br><ol><li>today</li></ol>
امية|imya|ميتين|اميات	<i>num</i><br><ol><li>a hundred, one hundred</li></ol><br><i>adj</i><br><ol><li>hundredth</li></ol>
انت|اِنْتَ|inti|int|اِنْتِ|اِنْتْ|inta	<i>pron</i><br><ol><li>you (singular subject pronoun)</li></ol>
انتو|اِنْتُو|intaw|intu|اِنْتَوْ	<i>pron</i><br><ol><li>you (second-person plural subject pronoun)</li></ol>
انتي|انت|intay|inti|اِنْتي|اِنْتِ|اِنْتَيْ	<i>pron</i><br><ol><li>you (second-person feminine singular subject pronoun)</li></ol>
انفش|infašš|يِنْفَش|فَشّ|اِنْفَشّ	<i>verb</i><br><ol><li>to be deflated.</li></ol>
اهم|uhum|اُهُم	<i>pron</i><br><ol><li>they (subject pronoun)</li></ol>
اهمه|uhma|اُهْمَه	<i>pron</i><br><ol><li>they (subject pronoun)</li></ol>
اهو|اُهو|uhu	<i>pron</i><br><ol><li>he (subject pronoun)</li></ol>
اهوه|اُهْوَه|uhwa	<i>pron</i><br><ol><li>he (subject pronoun)</li></ol>
اهي|ihi|اِهي	<i>pron</i><br><ol><li>she (subject pronoun)</li></ol>
اهيه|اِهْيَه|ihya	<i>pron</i><br><ol><li>she (subject pronoun)</li></ol>
اوتوماتيك|otomatik|õtõmātik	<i>adj</i><br><ol><li>automatic, self-reliant, does not need manual input.</li><li>(motor vehicles) short for قير اوتوماتيك (gēr otomātik, “automatic transmission”)</li></ol>
ايد|īd|أيادي|إِيد|إِيدين	<i>noun</i><br><ol><li>(anatomy) hand</li><li>(anatomy) arm</li></ol>
اچار|اجار|ačār	<i>noun</i><br><ol><li>(uncountable) pickled vegetables.</li></ol>
باجلا|bājilla|باجلة|باجلات	<i>noun</i><br><ol><li>broad bean (Vicia faba)</li></ol>
بار|بارات|bār	<i>noun</i><br><ol><li>bar (alcohol shop)</li></ol>
باص|bāṣ|باصات	<i>noun</i><br><ol><li>bus</li></ol>
باق|يبوق|bāg	<i>verb</i><br><ol><li>(also figuratively) to illegally or immorally take away money, person(s) or thing(s); to steal; to rob; to burglarize; to embezzle.</li><li>to kidnap.</li></ol>
بالطو|بالطوّات|bāḷṭu|بالطوّين	<i>noun</i><br><ol><li>an overcoat.</li><li>a lab coat.</li></ol>
بالول|baaluul	<i>noun</i><br><ol><li>salmon</li></ol>
بالي|بالْية|bāli|بالنا	<i>noun</i><br><ol><li>بال (bāl, “mind, thinking, attention”)+ـي (-i, “first person singular possessive affix”): my mind, my thinking, my attention</li></ol><br><i>adj</i><br><ol><li>untidy, unclean, in bad shape</li></ol>
بانزين خانة|bānzīnḵāna	<i>noun</i><br><ol><li>(Kuwait, obsolete) petrol station, gas station</li></ol>
باورة|baawra	<i>noun</i><br><ol><li>anchor</li></ol>
باچر|bacɪr|باجر|باچِر	<i>adv</i><br><ol><li>tomorrow</li><li>in the future, tomorrow</li></ol>
بدون|bidūn|بِدون	<i>prep</i><br><ol><li>without, sans</li></ol><br><i>noun</i><br><ol><li>someone without a nationality; a bidoon</li></ol>
برا|بَرّا|barra	<i>adv</i><br><ol><li>outside, outdoors</li></ol><br><i>prep</i><br><ol><li>outside of, out of</li></ol>
بردة|parda|barda|بَرْدَة	<i>noun</i><br><ol><li>curtain</li></ol>
بريك|بْريكات|brēk|بْريك	<i>noun</i><br><ol><li>brake pedal</li><li>a break, a gradual or sudden stop in a motor vehicle</li><li>a break, a time of rest from studying, work, etc</li></ol>
بس|bas	<i>conj</i><br><ol><li>but, though</li><li>only, just</li><li>enough</li></ol>
بشت|بْشوت|بِشْت|bišt	<i>noun</i><br><ol><li>bisht; a light cloak worn on top of the dishdasha (or equivalent traditional dress) by the clergy, state officials, and in social events.</li><li>(figuratively) a pompous and self-aggrandizing person.</li></ol>
بشتختة|bištaḵta|بِشْتَخْتة|بِشْتَخْتات	<i>noun</i><br><ol><li>phonograph, gramophone</li></ol>
بطاط|بُطاطة|بُطاطات|بُطاط|buṭāṭ	<i>noun</i><br><ol><li>potato (vegetable)</li><li>French fries, fries, chips</li><li>crisps, chips</li></ol>
بطران	<i>noun</i><br><ol><li>reveler</li><li>waster of money</li><li>arrogant</li></ol>
بطل|بَطَّل|بُطْلين|بْطولة|بَطَلين|بْطول|buṭuḷ|بَطَلة|اَبْطال|بُطُل|بَطَل|baṭṭal|يبَطِّل|baṭaḷ	<i>noun</i><br><ol><li>hero</li><li>bottle (especially a bottle made of plastic)</li></ol><br><i>verb</i><br><ol><li>to open</li><li>to give up (a habit)</li></ol>
بطيخ|baṭṭīḵ|بطيخة	<i>noun</i><br><ol><li>cantaloupe, muskmelon</li><li>unprofessional, bad, crappy</li></ol>
بعدين|بَعْدين|baʿdēn	<i>adv</i><br><ol><li>later</li></ol>
بغى|يِبي|biḡa|or يَبي	<i>verb</i><br><ol><li>to want</li></ol>
بكر|بَكَّرَات|بَكَّر	<i>noun</i><br><ol><li>(dialectal) a pair of pliers</li></ol>
بلبلة|balbala|بَلْبَلَة|بَلْبَلات	<i>noun</i><br><ol><li>confusion, disorder, mess</li></ol>
بلش|بلّش|ballaš	<i>verb</i><br><ol><li>to start, to begin, to commence</li></ol>
بلنتي|بَلَنْتيّين|balanti|بَلَنْتيّات|بَلَنْتي	<i>noun</i><br><ol><li>penalty kick</li></ol>
بليل|billēl|بِلّيل	<i>adv</i><br><ol><li>at night; night</li></ol>
بنسل|pinsil|binsil|بِنْسِل	<i>noun</i><br><ol><li>(Kuwait, obsolete) pencil.</li></ol>
بنطرون|بَنْطَرون|بَنْطَرونات|banṭarōn	<i>noun</i><br><ol><li>(pair of) pants, trousers, especially jeans</li></ol>
بنچرچي|bəncərci	<i>noun</i><br><ol><li>a motor vehicle mechanic</li></ol>
بهار|بْهارات|bhār|بْهار|بْهارين	<i>noun</i><br><ol><li>spice, seasoning</li></ol>
بهمن|bahman|بَهْمَن	<i>name</i><br><ol><li>Kuwaiti family name; Bahman; Behman; Behmen</li></ol>
بوبر|bōbar	<i>noun</i><br><ol><li>(dialectal) pumpkin, gourd</li></ol>
بوعرام|بُوعَرّامات|بُوعَرّام|buʿarrām	<i>noun</i><br><ol><li>bus</li></ol>
بوفيه|بوفيات|بوفيهات|bofe	<i>noun</i><br><ol><li>buffet</li></ol>
بوك|būk	<i>noun</i><br><ol><li>wallet</li></ol>
بيالة|biyāla|بيالات	<i>noun</i><br><ol><li>a small glass cup, usually used for tea.</li></ol>
بيبي|bebi	<i>noun</i><br><ol><li>baby</li></ol>
بيمة|bīma|بيمْتين	<i>noun</i><br><ol><li>(obsolete) car insurance</li></ol>
بچى|or يَبْچي|biča|يِبْچي	<i>verb</i><br><ol><li>to cry, to weep (over), to lament</li></ol>
تأتأة|taʾtaʾa|تأتآت	<i>noun</i><br><ol><li>stuttering, stammering</li></ol>
تانكي|تانكيّات|تانْكيّين|تانْكي|tānki	<i>noun</i><br><ol><li>a water tank, a big container of water usually placed at rooftops</li></ol>
تاوة|تاوه|تاوات	<i>noun</i><br><ol><li>frying pan</li><li>skillet</li></ol>
تاير|tāyir|تواير	<i>noun</i><br><ol><li>tyre, tire, wheel</li></ol>
تجوري|تجوريات|tajūri|tijūri	<i>noun</i><br><ol><li>vault, strongbox, safe or chest for storing valuables</li></ol>
تحلطم|tḥaḷṭam|تْحَلْطَم|taḥaḷṭum|تَحَلْطَم|taḥaḷṭim|تَحَلْطُم|تَحَلْطِم|taḥaḷṭam|يِتْحَلْطَم	<i>verb</i><br><ol><li>to nag, to whine, to complain</li></ol><br><i>noun</i><br><ol><li>nagging, whining, complaining</li></ol>
تدوده|تْدودَهْ|يِتْدودَهْ|tdōdah|tadōdah	<i>verb</i><br><ol><li>to be confused</li></ol>
ترانزيت|ترانزيتين|trānzēt|ترانزيتات	<i>noun</i><br><ol><li>layover</li></ol>
ترف|tərf	<i>noun</i><br><ol><li>(derogatory) a spoiled and/or effeminate person.</li></ol>
ترمس|ترامس|tirmas|تِرمس|turmas|تُرمس	<i>noun</i><br><ol><li>(regional) thermos</li><li>(regional) insulated beverage container</li><li>lupin seeds</li></ol>
تريق|تريگ|يتريّگ|trayyag|يتريّق	<i>verb</i><br><ol><li>to have breakfast</li></ol>
ترچية|tirčīya|تُرْچيّة|turčīya|تَراچي|تِرْچيّة	<i>noun</i><br><ol><li>earring</li></ol>
تسبح|تسبّح|يتسبّح|tasabbaḥ	<i>verb</i><br><ol><li>to swim, to bathe, to take a shower.</li></ol>
تعبان|تعابى|تعبانين|تعبانة|taʕbān	<i>adj</i><br><ol><li>tired, fatigued</li></ol>
تقليد|taqlīd|تَقاليد	<i>noun</i><br><ol><li>tradition, habit</li><li>imitation, impression</li><li>(Islam) Taqlid</li><li>counterfeit</li></ol>
تكا|تَكّا|takka|يتَكّي	<i>verb</i><br><ol><li>to sit around, to chill, to relax (somewhere).</li></ol>
تكانة|tikāna|تِكانة	<i>adj</i><br><ol><li>dependable and reliable person</li></ol>
تكرون|يِتْكَرْوَن	<i>verb</i><br><ol><li>to become infected with the coronavirus; to catch COVID</li></ol>
تكية|تِكِيَة|takiya|تِكَي	<i>noun</i><br><ol><li>a large cushion to lean back against in majlis furniture set</li></ol>
تمبل|تَنابِل|tambal|تَمْبَل	<i>adj</i><br><ol><li>a lazy person</li></ol>
تمشى|تَمَشّىٰ|tamašša|يِتْمَشّىٰ	<i>verb</i><br><ol><li>to walk for leisure</li></ol>
تهارب|يتهارب	<i>verb</i><br><ol><li>to struggle against one another</li><li>to bother one another</li></ol>
توست|tōst|توستة|توستات	<i>noun</i><br><ol><li>sliced bread</li></ol>
تونس|يَتَوَنَّس	<i>verb</i><br><ol><li>to be entertained (with people)</li></ol>
توهق|tawahhag|يِتْوَهَّق|تَوَهَّق	<i>verb</i><br><ol><li>to fall into trouble</li></ol>
تيشيرت|tīšērtāt|tīšērt|تيشيرتات	<i>noun</i><br><ol><li>T-shirt</li></ol>
تيلة|تيلتين|tīla|تِيَل	<i>noun</i><br><ol><li>a marble (tiny glassy ball toy)</li></ol>
جاس|jās|يجيس	<i>verb</i><br><ol><li>to touch</li></ol>
جامة|جامات|jāma|جامْتين	<i>noun</i><br><ol><li>a window of a motor vehicle such as a car or an aeroplane</li></ol>
جبن|اجبان|jibin|جبنة	<i>noun</i><br><ol><li>cheese</li></ol>
جدر|jidir|جدور	<i>noun</i><br><ol><li>a saucepot; a saucepan</li></ol>
جزاف|جزافين|jazzāf|جَزّاف	<i>noun</i><br><ol><li>(dated) fishmonger</li></ol>
جعص|jiʕṣ|جعوص	<i>noun</i><br><ol><li>a stingy person</li></ol><br><i>adj</i><br><ol><li>stingy</li></ol>
جليب|jilīb	<i>noun</i><br><ol><li>well</li></ol>
جليد|جَليد|jalīd	<i>noun</i><br><ol><li>ice</li></ol>
جمعية|جمعيات|jamʿīya	<i>noun</i><br><ol><li>supermarket, grocery store</li></ol>
جناية|jināya|جِنايْتين|جِناية|جِنايات	<i>noun</i><br><ol><li>a felony (as opposed to a misdemeanor)</li><li>crime</li></ol>
جنطة|janṭa|جنطتين|جنط	<i>noun</i><br><ol><li>a bag</li><li>a purse</li></ol>
جوتي|جُوَاتِي|jūti	<i>noun</i><br><ol><li>shoes (a pair)</li></ol>
جون الكويت|jõn il-kwēt	<i>name</i><br><ol><li>Kuwait Bay</li></ol>
جونقر|جناقر|jongər	<i>noun</i><br><ol><li>someone who is very strong and powerful.</li></ol>
جيك|čīk|jēk|čayyak|čēk	<i>name</i><br><ol><li>Jake</li></ol>
جيكر|جيكَرة|jēkar|جيكَر|جِياكِر|جيكَرين	<i>adj</i><br><ol><li>(Kuwait, often humorous) ugly</li></ol><br><i>noun</i><br><ol><li>(playing cards) the joker</li></ol>
حارة|ḥāra|حارات|حارْتين	<i>noun</i><br><ol><li>a lane in the street</li></ol>
حاس|يحوس|ḥās	<i>verb</i><br><ol><li>to roam around, to wander around, to walk around freely, usually without a specific purpose</li></ol>
حاش|يحوش|ḥāš	<i>verb</i><br><ol><li>to hit</li></ol>
