A	<i>character</i><br><ol><li>The first letter of the Haitian Creole alphabet, written in the Latin script.</li></ol>
Afrik	<i>name</i><br><ol><li>Africa</li></ol>
Ajantin	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Akennsas	<i>name</i><br><ol><li>Arkansas</li></ol>
Amerik dinò	<i>name</i><br><ol><li>North America</li></ol>
Amerik disid	<i>name</i><br><ol><li>South America</li></ol>
An nou pa lage!	<i>phrase</i><br><ol><li>Let's not give up!</li></ol>
Antatik	<i>name</i><br><ol><li>Antarctica</li></ol>
Antiy	<i>name</i><br><ol><li>Antilles</li></ol>
Ayisyen	<i>noun</i><br><ol><li>Haitian (person from Haiti)</li></ol>
Ayiti	<i>name</i><br><ol><li>Haiti (a country in the Caribbean)</li></ol>
Azi	<i>name</i><br><ol><li>Asia</li></ol>
Bondye	<i>name</i><br><ol><li>God</li></ol>
Brezil	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Dayiti	<i>adj</i><br><ol><li>of Haiti</li></ol>
Enndyana	<i>name</i><br><ol><li>Indiana</li></ol>
Espay	<i>name</i><br><ol><li>Spain</li></ol>
Estoni	<i>name</i><br><ol><li>Estonia</li></ol>
Etazini	<i>name</i><br><ol><li>United States (a country in North America)</li></ol>
Ewòp	<i>name</i><br><ol><li>Europe</li></ol>
Frans	<i>name</i><br><ol><li>France</li></ol>
Indiana	<i>name</i><br><ol><li>Indiana</li></ol>
Iranis	<i>name</i><br><ol><li>Uranus</li></ol>
Itali	<i>name</i><br><ol><li>Italy</li></ol>
Izrayèl	<i>name</i><br><ol><li>Israel</li></ol>
Jakmèl	<i>name</i><br><ol><li>Jacmel (a port town and commune and capital of the Sud-Est department, Haiti)</li></ol>
Jezikri	<i>name</i><br><ol><li>Jesus Christ</li></ol>
Jipitè	<i>name</i><br><ol><li>Jupiter</li></ol>
Jòb	<i>name</i><br><ol><li>Job</li></ol>
Kanada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Kap Ayisyen	<i>name</i><br><ol><li>Cap-Haïtien (a city on the north coast of Haiti).</li></ol>
Kris	<i>name</i><br><ol><li>Christ</li></ol>
Kwoasi	<i>name</i><br><ol><li>Croatia</li></ol>
Latè	<i>name</i><br><ol><li>Alternative letter-case form of latè</li></ol>
Mas	<i>name</i><br><ol><li>Mars</li></ol>
Monreyal	<i>name</i><br><ol><li>Montreal (the largest city in Quebec, Canada)</li><li>Montreal (an island in Quebec, Canada, the site of the city of Montreal)</li></ol>
Mèki	<i>name</i><br><ol><li>Mercury</li></ol>
Nasyon Zini|Nasyonzini	<i>name</i><br><ol><li>United Nations</li></ol>
Okay	<i>name</i><br><ol><li>A seaport and commune of Cayes borough, Sud department, Haiti</li><li>An arrondissement of the Sud department, Haiti</li></ol>
Olicha	<i>name</i><br><ol><li>(voodoo) A lwa, who considered to be cruel and knowledgeable about medicinal plants.</li></ol>
Oregon	<i>name</i><br><ol><li>Oregon</li></ol>
Oseyani	<i>name</i><br><ol><li>Oceania</li></ol>
Owayo	<i>name</i><br><ol><li>Ohio</li></ol>
Ozetazini	<i>adv</i><br><ol><li>in the United States</li><li>to the United States</li></ol>
Pari	<i>name</i><br><ol><li>Paris (the capital and largest city of France)</li></ol>
Pari Antiy yo	<i>name</i><br><ol><li>(historical) Synonym of Kap Ayisyen</li></ol>
Pawòl	<i>name</i><br><ol><li>Word</li></ol>
Pòl	<i>name</i><br><ol><li>(biblical) Paul</li></ol>
Pòtoprens	<i>name</i><br><ol><li>Port-au-Prince</li></ol>
Satin	<i>name</i><br><ol><li>Saturn</li></ol>
Sentespri	<i>name</i><br><ol><li>Holy Spirit</li></ol>
Seyè	<i>name</i><br><ol><li>Lord (God)</li></ol>
Swis	<i>name</i><br><ol><li>Switzerland</li></ol>
Syèd	<i>name</i><br><ol><li>Sweden</li></ol>
Venezuela	<i>name</i><br><ol><li>Venezuela (a country in South America)</li></ol>
Venis	<i>name</i><br><ol><li>Venus</li></ol>
Vodou	<i>name</i><br><ol><li>voodoo (religion)</li></ol>
