'ya|ƴa|ƴā|ƴāƴā|ƴar̃|'yā'yā|'yar̃|'yā	<i>noun</i><br><ol><li>daughter</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Hausa alphabet, written in the Latin script. followed by B.</li></ol>
A'ishatu|Ā'ìshatù	<i>name</i><br><ol><li>Aisha (wife of Muhammad)</li></ol>
Adam|Adàm	<i>name</i><br><ol><li>Adam (biblical character)</li></ol>
Adamu|Ā̀dàmu	<i>name</i><br><ol><li>Adam (biblical character)</li></ol>
Afirka|Afir̃kà	<i>name</i><br><ol><li>Africa</li></ol>
Afirka ta Kudu|Afìr̃kà ta Kudù	<i>name</i><br><ol><li>South Africa (a country in Africa)</li></ol>
Afrilu|Àfr̃īlù	<i>name</i><br><ol><li>April</li></ol>
Agusta|Àgustā̀	<i>name</i><br><ol><li>August</li></ol>
Ailan|Ailàn	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Alhamis|Àlhàmîs	<i>name</i><br><ol><li>Thursday</li></ol>
Ali|Àli	<i>name</i><br><ol><li>Ali (son-in-law of Muhammad)</li></ol>
Allah|Allā̀h	<i>name</i><br><ol><li>Allah, God</li></ol>
Almasihu|Àlmàsīhù	<i>name</i><br><ol><li>(Islam, Christianity) Jesus, the Messiah</li></ol>
Alƙahira|Àlƙāhìr̃a	<i>name</i><br><ol><li>Cairo</li></ol>
Alƙur'ani|Àlƙùr̃'ānī̀	<i>name</i><br><ol><li>Qur'an</li></ol>
Amirka|Amùr̃kà|Amurka|Amìr̃kà	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Anaca|Ànàcà	<i>name</i><br><ol><li>Onitsha (a city in Nigeria)</li></ol>
Ankara|Ankàr̃à	<i>name</i><br><ol><li>Accra (the capital city of Ghana)</li></ol>
Asabar|Àsabàr̃	<i>name</i><br><ol><li>Saturday</li></ol>
Asiya|Āsiyà	<i>name</i><br><ol><li>Asia</li></ol>
Attaura|Àttaur̃ā	<i>name</i><br><ol><li>Torah, Pentateuch</li><li>Hebrew Bible</li></ol>
Baba|Bā̀ba	<i>name</i><br><ol><li>a unisex given name</li></ol>
Badun|Bā̀dùn	<i>name</i><br><ol><li>Ibadan (a city in Nigeria)</li></ol>
Bafilatani|Bàfilātànī|Filā̀nī|Bàfilātànin	<i>noun</i><br><ol><li>Fula (person)</li></ol>
Bafillace|Bàfillācḕ|Filā̀nī|Bàfillācèn|Bàfillātā̀	<i>noun</i><br><ol><li>Fula (person)</li></ol>
Bagadaza|Bàgàdāzà	<i>name</i><br><ol><li>Baghdad (a city in Iraq)</li></ol>
Bagwari|Bàgwārìyā|Bàgwārī|Gwā̀rā̀wā|Bàgwārin	<i>noun</i><br><ol><li>a Gbagyi person</li><li>someone who speaks Hausa poorly</li></ol>
Bahar Maliya|Bàhàr̃ Māliyà	<i>name</i><br><ol><li>Red Sea</li></ol>
Bahar Rum|Bàhàr̃ Rûm	<i>name</i><br><ol><li>Mediterranean Sea</li></ol>
Bahaushe|Hausāwā|Bàhaushèn|Bàhaushḕ|Bàhaushìyā	<i>noun</i><br><ol><li>Hausa person</li></ol>
Balarabe|Bàlār̃abìyā|Bàlār̃abèn|Lār̃abāwā|Bàlār̃abḕ	<i>noun</i><br><ol><li>Arab</li></ol>
Bararo|Bàr̃àr̃on|Bàr̃àr̃ō	<i>noun</i><br><ol><li>pastoral Fula (person)</li></ol>
Barbarci|Barbarcin|Barbarcī	<i>noun</i><br><ol><li>Kanuri language</li></ol>
Barno|Bàr̃no	<i>name</i><br><ol><li>Borno (a state of Nigeria)</li></ol>
Basakkwace|Bàsakkwacèn|Bàsakkwacìyā|Sakkwatāwā|Bàsakkwacḕ	<i>noun</i><br><ol><li>someone from Sokoto</li></ol>
Bature|Tūr̃āwā|Bàtūr̃èn|Bàtūr̃ìyā|Bàtūr̃ḕ	<i>noun</i><br><ol><li>European</li></ol>
Bici|Bicì	<i>name</i><br><ol><li>Bichi (a town in Nigeria)</li></ol>
Bini|Bī̀ni	<i>name</i><br><ol><li>Benin City (a city in Nigeria)</li><li>Benin (a country in Africa)</li></ol>
Binuwai|Binuwài	<i>name</i><br><ol><li>Benue River</li><li>Benue (a state of Nigeria)</li></ol>
Birnin Kudu|Bir̃nin Kudù	<i>name</i><br><ol><li>Birnin Kudu (a town in Nigeria)</li></ol>
Birnin Ƙudus|Bir̃nin Ƙudùs	<i>name</i><br><ol><li>Jerusalem (a city in Israel)</li></ol>
Birtaniya|Bìr̃tāniyà	<i>name</i><br><ol><li>United Kingdom (a country in Europe)</li></ol>
